!!SBtab TableType='Proteomaps'
!ProteinIdentifier	!Abundance
LIC12644	8.2609516585
LIC11597	338.4393016287
LIC12643	23.0248717945
LIC11598	113.1625008812
LIC20089	126.9231288611
LIC20088	77.8315502955
LIC12659	18.3506057775
LIC20085	330.4444156141
LIC20087	36.7725743202
LIC20086	79.718060534
LIC12240	932.8706879761
LIC20080	100.0966023598
LIC12243	77.9200334328
LIC20083	2022.136612714
LIC12244	113.2914042288
LIC20082	14.0209368959
LIC12245	1712.4519533772
LIC12246	47.483100109
LIC12247	84.5576169411
LIC12248	368.3294588099
LIC12249	13.0092551892
LIC12651	53.7528582959
LIC12653	95.6602517252
LIC13333	10.3541777959
LIC13331	111.279213586
LIC13336	24.9783509471
LIC13337	27.0746457517
LIC13334	38.4617471547
LIC20076	67.1123189776
LIC20079	108.2229086135
LIC20077	253.9766901073
LIC20078	2185.4326918078
LIC13339	93.5696548348
LIC13338	71.4813301153
LIC13341	55.2201111212
LIC13345	469.0278160384
LIC13346	33.4764706863
LIC13347	690.0290294226
LIC20060	28.2309979829
LIC20061	44.8817466686
LIC13348	460.9909467355
LIC20062	808.4538322477
LIC20064	1807.8461370671
LIC20065	24610.5420221981
LIC20066	18.481307087
LIC20067	29.6271510317
LIC20068	151.5074498164
LIC20069	19.3932666552
LIC11708	570.0581190779
LIC11707	700.9704414903
LIC11709	484.2616702064
LIC11704	872.2396294309
LIC11703	962.2268287534
LIC11706	42.9216115938
LIC11702	31.7508292234
LIC11701	809.17727161
LIC12211	2486.1712591171
LIC13314	544.8076836587
LIC12210	1039.8064397902
LIC20050	111.3570123217
LIC13312	39.2370025494
LIC13313	319.5427865078
LIC12609	183.8656628021
LIC13310	395.9134061564
LIC12215	10.3124539174
LIC13311	73.0324390139
LIC12213	67.256709639
LIC12604	24.9278438779
LIC20057	42.7176770376
LIC12603	1077.8753520749
LIC20058	506.4492304686
LIC12602	81.5923386823
LIC12601	141.2106147272
LIC12608	68.9211565485
LIC20054	1034.5133101542
LIC12607	142.9343775144
LIC12606	54.488495158
LIC20051	17.7551499665
LIC12605	319.8900034277
LIC11719	12.1921674847
LIC11718	16.0455744296
LIC12600	304.7851796478
LIC11713	694.1380348485
LIC11712	57.8299791634
LIC11711	47.1351687008
LIC12217	198.9740090984
LIC11717	119.7135009407
LIC11716	66.3206224938
LIC13318	1596.7194417201
LIC13316	1669.6416313048
LIC13324	361.5778579797
LIC12200	324.9404093931
LIC13325	182.3861227442
LIC13326	3446.7800752208
LIC12202	1376.9466986811
LIC12201	61.4970103592
LIC12204	130.8003229363
LIC11720	32.5062873956
LIC12203	1366.7148603089
LIC12613	835.5662263241
LIC20044	1409.8376134194
LIC20045	208.8951288486
LIC12615	2333.2050217841
LIC12614	2044.2876949173
LIC20047	43.8640144467
LIC12617	64.9709397932
LIC12616	916.4057308259
LIC12619	68.8921458151
LIC20042	19.1264805982
LIC12618	623.7325029949
LIC20043	10.9047829701
LIC11729	400.5286813854
LIC20049	99.4735873096
LIC20048	829.3924021544
LIC12610	184.7501421475
LIC12611	24.8883639078
LIC12205	340.2665407451
LIC12206	106.1032737805
LIC11721	45.2152627647
LIC12207	653.9946188155
LIC12208	10.1801124217
LIC11726	505.9221261731
LIC13328	387.7022904069
LIC11725	134.8193930984
LIC11728	233.6715986149
LIC10606	2251.8455592961
LIC10604	9.4375667791
LIC10603	10.1581442477
LIC10602	894.2960392752
LIC10601	2582.4968054259
LIC11105	24.4835393358
LIC10600	1819.7242223079
LIC11106	376.4726416581
LIC20037	638.8232730507
LIC10608	165.7313507177
LIC10607	1390.5355000807
LIC20030	157.4102280558
LIC20032	644.6225198364
LIC20031	159.0519082775
LIC20034	11.9791868886
LIC20033	141.5792400574
LIC20036	61.040478109
LIC20035	804.5126422487
LIC11101	608.6019261812
LIC10615	56.0245834252
LIC10617	12.1045113901
LIC10610	196.4821938594
LIC10612	320.123521401
LIC20028	419.4130151491
LIC20029	88.9084182849
LIC20026	149.0536719967
LIC11500	321.9050205326
LIC20027	138.5532923729
LIC10618	109.3251817975
LIC20021	37.8957247431
LIC20020	119.0945206477
LIC11501	17.2845556698
LIC20022	587.4941862807
LIC11129	19.9663337325
LIC10624	372.5111657545
LIC10623	94.5221373859
LIC10622	245.1203620495
LIC11128	98.9356462325
LIC10621	1629.4799793406
LIC10628	207.2576324658
