K02040	PstS
K00854	XylB
K00855	PrkB
K00856	-
K00857	Tdk
K00850	PfkB
K00850	PfkA
K00851	GntK
K00851	IdnK
K00852	RbsK
K00858	NadK
K00859	CoaE
K04353	-
K04352	-
K01183	-
K04350	-
K01184	-
K01187	MalZ
K04354	-
K01189	-
K01188	-
K04358	-
K15728	-
K13762	-
K03868	-
K02984	-
K02985	-
K02986	RpsD
K02987	-
K02980	-
K02981	-
K02982	RpsC
K08291	-
K02639	-
K02988	RpsE
K02989	-
K03580	RapA
K03585	AcrA
K03585	AcrE
K01724	-
K01720	PrpD
K01728	-
K09530	-
K09531	-
K09532	-
K09533	-
K09534	-
K09535	-
K09536	-
K09537	-
K09539	-
K05400	-
C9JTX5	-
K05402	-
K02184	-
K02186	-
K02187	-
K02180	-
K02183	-
K13186	-
K13187	-
K13184	-
K13185	-
K13182	-
K13183	-
K03769	PpiC
K03768	PpiB
K03767	PpiA
K03766	-
K03764	MetJ
K13188	-
K13189	-
K09455	-
K09454	-
K09453	-
K09451	-
K09458	FabF
K00602	PurH
K13988	-
YER016W	-
K13987	-
K13984	-
K13982	-
K13980	-
K13981	-
P0CG39	-
P0CG38	-
K12585	-
K12584	-
K12587	-
K12586	-
K12581	-
K12580	-
K12589	-
K04912	-
K11728	-
K11725	-
K11727	-
K11720	LptG
K11721	-
K11722	-
K11723	-
K10459	-
K06840	-
K10455	-
K10454	-
K10456	-
K10451	-
K06848	-
K10453	-
K10980	-
K00414	-
K07466	-
K11588	-
K11589	-
K11858	-
K11859	-
YNL322C	-
K11580	-
K11581	-
K11850	-
K11583	-
K11584	-
K11585	-
K11586	-
K11855	-
K10679	NfsB
K10678	NfsA
K08726	-
F8WB63	-
K08722	YfbR
K08729	-
K08468	-
B7ZAP6	-
K08463	-
K00117	Gcd
K00444	-
K00111	GlpD
K00111	GlpA
K00441	-
K01538	-
K01539	-
K04728	-
K04729	-
K01530	-
K04723	-
K01533	CopA
K04726	-
K04727	-
K04725	-
K14609	-
K14358	-
YHR172W	-
K15919	-
K15918	-
K15917	-
B4DWQ5	-
b1004	WrbA
K06642	-
YOR009W	-
Q8IY98	-
K13378	NuoC
K13375	-
K13376	-
K13370	-
K13373	-
K02373	-
K02372	FabZ
YHR126C	-
K02376	-
K12350	-
K12351	-
K12353	-
K12356	-
K12357	-
K13519	-
K13511	-
K13510	-
K13513	-
K13512	-
K13515	-
K13514	-
K13517	-
K13516	-
AT1G18590	-
K03020	-
K03021	-
K03022	-
K03023	-
K03024	-
K03025	-
K03026	-
K03027	-
K03028	-
K03029	-
K06618	-
K06619	-
Q562Y8	-
K06611	-
Q562Y4	-
Q562Y3	-
K06617	-
K11113	-
K11112	-
K11111	-
K11446	-
K11114	-
K11449	-
K11448	-
K00613	-
K00610	PyrI
K00611	ArgI
K00611	ArgF
K00616	TalA
K00616	TalB
K00615	TktB
K00615	TktA
K00618	-
K00619	ArgA
K06474	-
K06477	-
K06470	-
K10869	-
K06472	-
K08446	-
K10864	-
K10865	-
K10866	-
K10867	-
K06478	-
K06479	-
K10862	-
K10863	-
K01052	-
K04571	-
K07877	-
K07876	-
K07875	-
K01050	-
K07873	-
K07872	-
K07871	-
K07870	-
b3510	HdeA
K07879	-
K07878	-
K04574	-
K10244	-
K10246	-
K10247	-
Q1KLZ0	-
K05220	-
K08061	-
Q6S8J3	-
K15746	-
K15747	-
K15744	-
K15748	-
K13744	-
K06210	-
K09086	-
K09089	-
K02968	RpsT
K02969	-
K02966	-
K02967	RpsB
K02964	-
K02965	RpsS
K05642	-
K05643	-
K05640	-
K05641	-
K03569	MreB
K03568	TldD
K03564	Bcp
K03563	CsrA
K01704	LeuD
K01703	LeuC
K09558	-
K09559	-
K09552	-
K09553	-
K09550	-
K09551	-
YGL075C	-
K09557	-
K09554	-
K09555	-
K14165	-
K14163	-
K08142	-
K05391	-
K05460	-
K14169	-
K08147	-
K05396	DcyD
K03701	UvrA
K03702	UvrB
YPL124W	-
K03704	CspH
K03704	CspI
K03704	CspF
K03704	CspG
K03704	CspD
K03704	CspE
K03704	CspB
K03704	CspC
K03704	CspA
K09431	-
K09430	-
K09433	-
K09434	-
K09436	-
K12839	-
K12838	-
K12835	-
K12834	-
K12837	-
K12836	-
K12831	-
K12830	-
K12833	-
K12832	-
K15348	-
K11669	-
K04936	-
K04380	-
K06866	YfiD
K06861	LptB
K12651	-
K12650	-
K12653	-
K12655	-
K12654	-
K12657	-
K12656	-
K11875	-
K11876	-
K11877	-
K11878	-
YGR279C	-
K06091	-
K08707	-
K10477	-
K10476	-
K10475	-
K10474	-
K10473	-
K10472	-
K10470	-
YMR006C	-
K11306	-
K11307	-
K11304	-
K11305	-
K11302	-
K11303	-
K11300	-
K11301	-
K11308	-
K00137	Prr
K00135	GabD
