K02040	PstS
K01775	Alr
K01775	DadX
K09549	-
K09548	-
K09540	-
K09543	-
K09542	-
K14156	-
K14157	-
K14406	-
K08150	-
K14404	-
K14405	-
K14402	-
K14403	-
K14400	-
K14401	-
Q53FS0	-
K09408	-
K09409	-
K09404	-
K09405	-
K09406	-
K09407	-
K09403	-
K12801	-
K12804	-
YBR301W	-
K03732	RhlB
K06818	-
K12667	-
K12662	-
K12663	-
K12668	-
K12669	-
K11863	-
K11861	-
K11860	-
K11867	-
K11866	-
K11865	-
K11864	-
K11869	-
K11868	-
K14288	-
Q96DE1	-
K10402	-
K10403	-
K10400	-
K10401	-
K10406	-
K10407	-
K10404	-
K10405	-
K11315	-
K11314	-
K11317	-
K11316	-
K11310	-
K11313	-
SPBC244.01c	-
K11319	-
K11318	-
K00142	-
K00415	-
K00140	-
K00417	-
K00147	ProA
K00412	-
K00145	ArgC
K00149	-
K00418	-
K00419	-
K09396	-
K09391	-
K09392	-
Q13707	-
YJR151C	-
K04713	-
K04712	-
K04710	-
K04717	-
K04716	-
K04715	-
K04714	-
K04718	-
K05041	-
K05042	-
K05044	-
K05045	-
K05047	-
K05048	-
K02017	ModC
K03949	-
K03948	-
K03943	-
K03942	-
K03941	-
K03940	-
K03947	-
K03946	-
K03945	-
K03944	-
YOL069W	-
K15414	-
K15413	-
SPCC122302	-
b0897	YcaC
K12323	-
K12324	-
K12327	-
K12329	-
K12328	-
K11674	-
K11671	-
K13811	-
K13813	-
Q9H9F9	-
K06662	-
K06669	-
K12493	-
K12492	-
K12491	-
K12490	-
K12495	-
K12494	-
K11419	-
K11412	-
K11413	-
K11411	-
K11416	-
K11417	-
K11415	-
K00629	-
K00622	-
K00621	-
K00620	-
K00627	AceF
K00626	AtoB
K00626	YqeF
K00624	-
Q53HF6	-
K06485	-
K06484	-
K06487	-
K06486	-
K06481	-
K06480	-
K06483	-
K06482	-
K07828	-
K07829	-
K05625	-
K07826	-
K07827	-
K07532	-
K02906	RplC
K07530	-
K05627	-
K00089	-
K00088	GuaB
K00083	-
K03602	XseB
K02901	-
HinT1	-
K05995	PepE
K01972	LigA
K01972	LigB
K01974	RtcA
K07758	-
K07759	-
K07752	-
K07753	-
K07750	-
K07751	PepB
K07756	-
K07755	-
YJL174W	-
K00311	-
K00643	-
K01280	-
K00314	-
K01284	Dcp
K01285	-
K02957	-
K05676	-
K02955	-
K05674	-
K05673	-
K02952	RpsM
K02951	-
K02950	RpsL
K02959	RpsP
K02958	-
K01017	-
K00884	NagK
K00882	FruK
K01016	-
K01015	-
K00889	-
K00888	-
K04506	-
K04507	-
K01756	PurB
K01025	-
K04502	-
K04503	-
K01020	-
K04501	-
K01758	-
K01759	GloA
K04508	-
K09563	-
K09562	-
K09561	-
K09560	-
K09567	-
K09566	-
K09565	-
K09564	-
K09569	-
K09568	-
K05453	-
K08171	-
K05455	-
K08179	-
K14423	-
K14424	-
K14137	-
K12862	-
K12863	-
K12860	-
K12861	-
K12866	-
K12867	-
K12864	-
K12865	-
K12868	-
K12869	-
K03530	HupB
K03531	FtsZ
K03537	-
K03538	-
K03539	-
K02223	-
K03289	NupG
K03283	-
K12687	Flu
K08889	-
K08888	-
K08887	-
K08886	-
K08885	-
K08883	-
K08882	-
K08881	-
K08880	-
Ivy	Ivy
K11085	MsbA
K11087	-
K11086	-
K11089	-
K11088	-
K08773	-
K08772	-
K08775	-
K08776	-
K06834	-
K06835	-
K06836	-
K06830	-
K09823	Zur
K06832	-
K09821	-
K10424	-
K10425	-
K10426	-
K10427	-
K06838	-
K06839	-
K09828	-
K10423	-
G8FSY7	-
K11339	-
K11338	-
K08412	-
K00164	SucA
K00166	-
K00167	-
K00161	-
K00162	-
K00163	AceE
K10688	-
K10683	-
K10684	-
K10685	-
K10686	-
K10687	-
K14301	-
K14300	-
K14303	-
K14302	-
K14305	-
K14304	-
K14307	-
K14306	-
K14309	-
K14308	-
K04083	HslO
K04082	HscB
K04087	HflC
K04088	HflK
K01568	-
K01565	-
K05022	-
K05023	-
K05021	-
K05026	-
K02035	OppA
K02035	NikA
K02035	SapA
K02035	YgiS
K02035	MppA
K02035	DdpA
K05024	-
K02052	YdcT
K13304	-
K13305	-
K13302	-
K02055	YdcS
YHR143W	-
K12309	-
K12301	-
K12307	-
K12305	-
K12304	-
K11658	-
K03072	SecD
K03071	SecB
K03070	SecA
K08968	-
K03076	SecY
K03075	SecG
K03074	SecF
K08964	-
K11651	-
K08967	-
K08960	-
K11655	-
K11656	-
K08963	-
Q562R8	-
Q562R6	-
K06134	-
Q562R4	-
Q562R5	-
K09611	-
K06130	-
K06645	-
Q562R1	-
B3KUD3	-
Hsp12	-
K04864	-
K06257	-
K11434	-
F5H6T1	-
K11437	-
K11430	-
K11431	-
K11432	-
K11433	-
K07511	-
K07512	-
K07513	-
K11438	-
K07515	-
K10745	-
K10744	-
K10747	-
K10746	-
K10740	-
K10743	-
K10742	-
K10749	-
K01916	NadE
K01915	GlnA
K01918	PanC
K01919	GshA
K07771	BasR
K07773	ArcA
K07779	-
K04345	-
K04346	-
K01191	MngB
K06928	-
K04695	-
K04692	-
K04693	-
YAL047C	-
K05611	-
K02930	-
K02933	RplF
K02932	-
K02935	RplL
K02934	-
K02937	-
K02936	-
K02939	RplI
K02938	-
K00207	-
K00208	FabI
K04520	-
K01001	-
K04522	-
K04523	-
K04524	-
K01007	PpsA
K04528	-
K04529	-
K09585	-
K09584	-
K09586	-
K09581	-
K09580	-
K09583	-
K09582	-
K14442	-
K14443	-
K10799	-
K09631	-
K12404	-
K12848	-
K12849	-
K12844	-
K12845	-
K12846	-
K12847	-
K12840	-
K12841	-
K12842	-
K12843	-
K03514	-
K03517	NadA
K03510	-
K03511	-
K03512	-
K03513	-
K12181	-
K12180	-
K02209	-
K02208	-
K02207	-
K02206	-
K02202	-
K02201	-
K13464	-
K04982	-
K04986	-
K13710	-
Wtm1	-
K07189	-
K07188	-
K07187	-
K06587	-
SPCC613.04c	-
K06588	-
K07986	-
K07985	-
K12077	-
K08750	-
K08757	-
YGL028C	-
K08754	-
K08759	-
K10914	Crp
K11351	-
K11350	-
K11353	-
K11352	-
Q6YL44	-
K14328	-
K14323	-
K14322	-
K14321	-
K14320	-
K14327	-
K14326	-
K14325	-
K14324	-
b3203	Hpf
K04069	YbiY
K04069	PflC
K04069	PflA
K10000	ArtP
K10001	GltI
K15184	-
K15187	-
K15188	-
K15634	-
K15633	-
K13675	-
K13676	-
K15985	-
K08036	-
K08037	-
K08034	-
K08035	-
K08031	-
K02058	YphF
K02058	YtfQ
K03899	-
K13855	-
K03099	-
K03094	-
K03097	-
K02424	FliY
K03092	RpoN
K06115	-
K06114	-
K09633	-
K06112	-
K06111	-
K06110	-
Q562P8	-
Q562P9	-
K12183	-
K12182	-
K12185	-
K12184	-
K12186	-
Q562P0	-
K12188	-
K08549	-
K09613	-
K08547	-
K08544	-
K05717	-
K05863	-
K02907	RpmD
b0329	YahO
A8K3K1	-
YLR040C	-
K11984	-
K11986	-
K11987	-
K11981	-
K11982	-
K11988	-
K10583	-
K10582	-
K10581	-
K10580	-
K10587	-
K10586	-
K10585	-
K10589	-
K10588	-
K07573	-
K11188	-
K11187	-
K10761	-
K01938	-
K01939	PurA
K01934	-
K01935	YnfK
K01935	BioD
K01937	PyrG
K01930	-
K01933	PurM
K07798	CusB
K07796	CusC
B4DW52	-
K01165	-
K04404	-
K01246	Tag
K01247	AlkA
K01245	-
K01242	-
K01243	Mtn
K01240	-
K01241	Amn
K09039	-
K09034	-
K09037	-
K09030	-
K09033	-
K09032	-
K02919	RpmJ
K02919	YkgO
K02918	-
K02913	RpmG
K02912	-
K02911	RpmF
K02910	-
K02917	-
K08200	-
K02915	-
K02914	RpmH
K00228	HemF
K00226	PyrD
K00224	-
K00222	-
K01068	-
K01069	GloB
K01790	RfbC
K04543	-
K01792	YeaD
K04541	-
K15849	-
K01067	-
K01796	-
K14462	-
K14568	-
SPBC2G505	-
K02269	-
K02268	-
K02261	-
K02260	-
K02263	-
K02262	-
K02265	-
K02264	-
K02267	-
K02266	-
K03797	Prc
F6QUT6	-
K03798	FtsH
K13119	-
K13118	-
K13448	-
K13447	-
K13114	-
K13117	-
K13116	-
K13111	-
K13110	-
K13113	-
K13112	-
K03136	-
K03137	-
K03134	-
K03135	-
K03132	-
K03133	-
K03130	-
K03131	-
K03138	-
K03139	-
K06568	-
K06569	-
K06566	-
K06564	-
K06560	-
K07969	-
K07968	-
K07967	-
K07966	-
K07962	-
K10973	AllR
YDR201W	-
K10976	-
K11373	-
K11375	-
K11374	-
P61158	-
K10396	-
K10397	-
K10394	-
K10395	-
K10392	-
K10393	-
K10390	-
K10391	-
YJL159W	-
K04047	Dps
K04044	HscA
K04043	DnaK
K04042	GlmU
K08367	-
K10028	-
K15618	-
K15613	-
K15614	-
K15615	-
K15617	-
K13617	-
K13619	-
K05799	PdhR
K01477	-
K01476	-
K09260	-
K09262	-
K09267	-
K09268	-
K08010	-
K08013	-
K02078	AcpP
K08015	-
K08018	-
K02071	MetN
K02073	NlpA
K02073	MetQ
F8W057	-
K04445	-
K14704	-
K09651	-
K06170	-
K09653	-
K09652	-
K09654	-
K06637	-
K09659	-
K06178	RluB
Q96LK1	-
K10993	-
K11968	-
K11969	-
K11967	-
K11964	-
K06797	-
K10569	-
K10568	-
K10567	-
K02837	PrfC
K10563	MutM
K05286	-
K12700	RihC
K11138	-
K05633	-
K05632	-
YGR282C	-
K05631	-
K05630	-
K05637	-
K10703	-
K10705	-
K10704	-
K10706	-
K05635	-
K05634	-
K08656	-
K08657	-
K08655	-
K08653	-
K08658	-
K10843	-
K00029	MaeB
K00028	-
K00799	Gst
K00799	YfcG
K00798	BtuR
K00025	-
K00024	Mdh
K00027	MaeA
K00026	-
K00021	-
K00020	-
K00791	MiaA
K00022	-
K09013	SufC
SPAC4F8.13c	-
K01260	-
K01262	PepP
K01265	Map
K01267	-
K08220	-
K08229	-
K08228	-
K00249	-
K04542	-
K00240	SdhB
K00242	SdhD
K00245	FrdB
K00244	FrdA
K01793	-
K15867	-
YKL042W	-
YNL066W	-
P63267	-
K02798	MtlA
K02798	CmtB
K02793	ManX
K02795	ManY
K02796	ManZ
K01044	-
K01045	-
K01046	-
K01047	-
K04569	-
K02535	LpxC
K02537	-
K02536	LpxD
K02533	TrmJ
K02533	YjtD
K02539	-
K05218	-
K13137	-
K13136	-
K13135	-
K13134	-
K13133	-
K13132	-
K13131	-
K13130	-
K13139	-
K13138	-
K13421	-
AT1G22400	-
K03110	FtsY
K03111	Ssb
K03113	YciH
K03115	-
K03116	TatA
K03117	TatB
K08825	-
K08824	-
K08827	-
K08821	-
K08820	-
K08823	-
K08822	-
K06098	-
K06099	-
K06092	-
K06093	-
K12559	-
K06096	-
K06097	-
K06094	-
K06547	-
K08796	-
K08794	-
K08793	-
K08791	-
K16072	-
K08799	-
K08798	-
K09840	-
K10956	-
K10950	-
K10951	-
K11394	-
K11393	-
K00490	-
K07947	-
YLR110C	-
K07944	-
K07943	-
K07942	-
K07941	-
K07940	-
K07949	-
YLR390W-A	-
SPCC4B3.15	-
B7Z6I1	-
K10048	-
K04799	-
K04798	-
K04797	-
K04794	-
K13634	CysB
K02041	PhnC
K05012	-
K05776	ModF
K05770	-
K05771	-
K08023	-
R4GMT0	-
K01456	-
K01455	-
YGL093W	-
K09208	-
K09201	-
K09206	-
K09204	-
K12476	-
K14817	-
K08073	-
K08071	-
K05516	CbpA
K08077	-
K08074	-
K13090	-
K13091	-
K13092	-
K13093	-
K13094	-
K13095	-
K13096	-
K13098	-
K13099	-
Q53GH2	-
K12948	-
K12947	-
K12946	-
K14721	-
K13898	-
K13899	-
K00109	-
Q562T8	-
Q562T9	-
K11976	-
Q562T4	-
Q562T5	-
Q562T6	-
Q562T7	-
Q562T0	-
Q562T3	-
YDR106W	-
K04802	-
SPBC19G7.05c	-
K11492	-
K11493	-
K11490	-
K11491	-
K11496	-
K11497	-
K11494	-
K07200	-
K07201	-
K11498	-
K07203	-
K07204	-
K07205	-
K07206	-
K07207	-
K06240	-
K11254	-
K16204	-
K05102	-
K08670	-
K08675	-
K08678	-
K10543	XylF
K10542	MglA
K10540	MglB
K10549	AlsB
K13115	-
K00006	-
K00005	GldA
K13444	-
K00003	-
K00002	-
K00001	-
K13443	-
K01186	-
K00009	MtlD
K00008	-
K10727	-
K10728	-
K08248	-
K00262	GdhA
SPBC170905	-
K00266	GltD
K00265	GltB
YAL063C	-
K01202	-
K01203	-
K01201	-
K01206	-
K01207	NagZ
K01204	-
K01205	-
Q562Q3	-
K01209	-
K09644	-
K05183	-
K09645	-
K00915	-
K00914	-
K00917	GatZ
K00917	KbaZ
K00911	-
K00910	-
K00913	-
K00919	IspE
YNL225C	-
K02519	InfB
K02518	InfA
K05236	-
K02513	-
K13403	-
K13150	-
K13152	-
K13155	-
K13154	-
K13157	-
K13156	-
K13159	-
K13158	-
K08806	-
K08805	-
K08804	-
K08803	-
K08802	-
K08801	-
K08809	-
K03178	-
K03172	-
K03173	-
K03171	-
K03177	TruB
K03174	-
K03175	-
K06522	-
K06523	-
K06520	-
K06521	-
K06526	-
K06525	-
K06528	-
K06529	-
K12579	-
K12574	-
K12571	-
K12572	-
K12573	Rnr
K16059	-
K16055	-
K16054	-
K11001	-
K08292	-
K02983	-
Q562X9	-
K07921	-
K07920	-
K07923	-
K07922	-
K07925	-
K07924	-
K04008	-
K04003	-
K04002	-
K04007	-
K04006	-
K04004	-
K10064	-
K10063	-
K15129	-
YKL163W	-
P37802	-
K01137	-
K09192	-
K09193	-
K09194	-
K05758	-
K05759	-
K08588	-
K05750	-
K08583	-
K05752	-
K05753	-
K05754	-
K05755	-
K05756	-
K05757	-
YPL255W	-
K01439	DapE
K01438	ArgE
K09220	-
K09222	-
K01431	-
K01433	PurU
K01432	-
K09228	-
K09229	-
K01437	-
K01436	-
K08054	-
K08055	-
K08056	-
K08057	-
K05531	-
K08052	-
K05533	-
K08058	-
K08059	-
K14528	-
K14299	-
K14298	-
K14297	-
K14524	-
K14295	-
K14526	-
K14521	-
K14292	-
K14523	-
K14290	-
K12968	-
K06780	-
K05401	-
K06781	-
K11453	-
K02927	-
K02166	-
K10570	-
K02160	AccB
K02161	-
K03341	-
K05703	-
K03345	-
K03347	-
K05874	Tsr
K03349	-
K03348	-
K08557	-
K05876	Trg
K05705	-
K05872	-
K12297	RlmL
K11926	Crl
K13180	-
K13181	-
K13216	-
K13217	-
YBR067C	-
K13212	-
K13213	-
K13210	-
K13211	-
K13218	-
K13219	-
K12035	-
K12741	-
K12036	-
K12031	-
K12033	-
K12749	-
K07263	PqqL
K03761	KgtP
Q9BYX7	-
K08617	-
K10521	-
K10523	-
K10522	-
K10524	-
YKR037C	-
YLR212C	-
K11214	-
K11216	LsrK
K11217	-
K11218	-
K11219	-
K00060	Tdh
K00064	-
K00067	RfbD
K00069	-
K10293	-
K10292	-
K10291	-
K10290	-
K10297	-
K10295	-
K09059	-
K09053	-
K09054	-
K08269	-
K08267	-
K08266	-
K00289	-
K00288	-
K00285	DadA
K00287	FolA
K00286	ProC
K00281	GcvP
K00280	-
K14191	-
K01880	-
K01881	ProS
K01883	CysS
K01228	-
K01885	GltX
K01886	GlnS
K01887	ArgS
K01889	PheS
K01227	-
K01223	BglA
K01223	BglB
K01223	AscB
K14990	-
K14550	-
K00939	Adk
K00938	-
K00937	Ppk
K00933	-
K00931	ProB
K00930	ArgB
K13989	-
K01089	HisB
K15821	-
K01080	-
K01081	-
K01082	-
K01085	Agp
K01087	OtsB
K02577	-
K02576	-
K13179	-
K13178	-
K13173	-
K13172	-
K13171	-
K13170	-
K13177	-
K13176	-
K13175	-
K13174	-
K02437	GcvH
K03155	-
K08865	-
K08864	-
K08867	-
K08866	-
K08869	-
K08868	-
K03158	-
K03159	-
K03628	Rho
K06508	-
K06509	-
K06058	-
K06059	-
K06505	-
K06052	-
K06053	-
K06502	-
K06503	-
K09888	ZapA
K09880	-
K09881	-
K11883	-
K07909	-
K07908	-
K07903	-
K07902	-
K07901	-
K07900	-
K07907	-
K07906	-
K07905	-
K07904	-
K10886	-
K10884	-
K10885	-
K10882	-
K10880	-
K10881	-
K10888	-
K10889	-
K06711	-
Q53H79	-
A0AUL6	-
K10398	-
K12487	-
K10088	-
K10089	-
K10086	-
K10087	-
K10084	-
K10085	-
K10082	-
K10083	-
K10080	-
K03013	-
K05732	-
K05730	-
K05731	-
K05881	DhaM
K05734	-
K05735	-
Q6FI97	-
K05738	-
K00546	-
K00547	MmuM
K00545	-
K00542	-
K00540	YbbO
K00540	HycE
K00540	YdfG
K00540	YghA
K00540	HycH
K00540	YohF
K00541	-
K00548	MetH
K00549	MetE
K04425	-
K04424	-
K01147	Rnb
K01410	-
K04421	-
K04420	-
K01415	-
K01414	PrlC
K01419	HslV
K04429	-
K04428	-
K00788	ThiE
K14506	-
K14505	-
K14503	-
K05089	-
K14501	-
K14500	-
K05085	-
K05086	-
K05087	-
K14509	-
K14508	-
K12900	-
YOL030W	-
Egd2	-
Q562X4	-
K02140	-
K02144	-
K02145	-
K02146	-
K02147	-
K02148	-
K02149	-
YHR129C	-
K03368	-
K03363	-
K03362	-
K03817	RimL
YOR383C	-
K03364	-
K07869	-
K11454	-
B3KWQ3	-
K16330	-
K11451	-
K13236	-
K13237	-
K13238	-
K13239	-
K12017	-
K12014	-
K12010	-
K07248	AldA
K07249	-
K10452	-
K02822	UlaB
YER070W	-
K08637	-
K06265	-
YML085C	-
K06267	-
K06266	-
K06262	-
K10503	-
K10501	-
K10500	-
K06269	-
K06268	-
K11278	-
K11279	-
K11273	-
K11271	-
K11276	-
K11277	-
K11274	-
K11275	-
K00048	FucO
K00738	-
K00734	-
K00737	-
K00736	-
K00731	-
K00046	IdnO
K00733	-
K00044	-
K04559	-
K01070	FrmB
K01070	YeiG
K01074	-
YKR042W	-
K04557	-
K11853	-
K11851	-
K11857	-
K04638	-
K04639	-
K11854	-
K04630	-
K04632	-
K11587	-
K04634	-
K04635	-
K04636	-
K04637	-
K14977	-
K14970	-
K00951	RelA
K00953	-
K00957	CysD
K00956	CysN
K15376	-
K15374	-
K15371	-
B2RB53	-
Tma19	-
K02777	Crr
K02775	SgcC
K02775	GatC
K02774	SgcB
K02774	GatB
K02773	GatA
K02773	SgcA
K02778	PtsG
b1739	OsmE
K01602	-
K01609	-
K02805	RffA
K02806	PtsN
K05277	-
K05275	-
K02802	NagE
K02558	Mpl
K08849	-
K03603	FadR
K03604	PurR
K03608	MinE
K03609	MinD
K08840	-
K08846	-
K08845	-
K06070	-
K06071	-
K06072	-
K06075	SlyA
E7EVS6	-
Q7Z7J6	-
K12467	-
K12464	-
K12462	-
K12460	-
K12461	-
K12469	-
K07657	PhoB
K07659	OmpR
K07380	-
K07385	-
K07387	YggG
K07387	YcaL
K10319	-
K10317	-
K10313	-
K10310	-
K00384	TrxB
K00387	-
K00380	CysJ
K00381	CysI
K00382	Lpd
K00383	Gor
K10270	-
K01389	-
SPBC530.07c	-
K05718	-
K05719	-
K05868	-
K05869	-
K05866	-
K05867	-
K05864	-
K05865	-
K05862	-
K08543	-
K00560	ThyA
K00564	RsmC
K00565	-
K00566	MnmA
K00567	Ogt
K00568	UbiG
K00569	-
Q53G99	-
K15787	-
K04409	-
K04408	-
K04407	-
K04406	-
K04405	-
K01164	-
K04403	-
K04401	-
K04400	-
K14561	-
K14560	-
K14563	-
K14562	-
K14565	-
K14564	-
K14567	-
K14566	-
K14569	-
K08091	-
Ssz1	-
Q562N8	-
Q562N2	-
Q562N3	-
Q562N0	-
Q562N1	-
Q562N6	-
Q562N4	-
K02128	-
K02129	-
K02126	-
K02127	-
K02125	-
K03831	Mog
K03839	FldA
K13783	-
K13784	-
K13038	Dfp
K13788	Pta
K13789	-
K12259	-
K12257	-
K12251	-
K04722	-
K13250	-
K13251	-
K13254	-
O96019	-
K12076	-
K01537	-
YGR180C	-
K06724	-
K06725	-
K06726	RbsD
K11789	-
B3KW67	-
K11247	-
K11787	-
K01540	-
K06249	-
K06246	-
K06244	-
K06243	-
K06712	-
K16206	-
K11255	-
K11256	-
K11257	-
K11251	-
K11252	-
K11253	-
K00717	-
K00710	-
K00719	-
K01542	-
K10782	-
YER018C	-
K10127	-
K10129	-
K06171	-
K04650	-
K09650	-
K04659	-
K06173	TruA
K06172	-
K00973	RfbA
K00973	RffH
K00972	-
YML124C	-
K00977	-
K00976	-
K00975	GlgC
K00974	Cca
I3L1U9	-
K00979	KdsB
Q562V5	-
K14957	-
K06179	RluC
K10429	-
K10140	-
K01596	-
K01597	-
K01594	-
K01595	Ppc
K01592	-
K01593	-
K01590	-
K01591	PyrF
K10147	-
K01598	-
K01599	HemE
K09365	-
K09364	-
K02603	-
Q8TDY3	-
K08370	-
K03990	-
K03994	-
K03997	-
K01620	LtaE
K01623	FbaB
K01624	FbaA
K01625	Eda
K01626	AroH
K01626	AroF
K01626	AroG
K01627	KdsA
K05291	-
K05290	-
K05293	-
K05292	-
K03669	OpgH
K03662	-
K03661	-
K03667	HslU
K06013	-
K11459	-
K10420	-
b4037	MalM
K02605	-
K08285	-
K02620	-
K10421	-
K02604	-
K08281	PncA
K02995	-
K08282	-
K12446	-
K12448	-
K07633	-
K07632	-
YOR247W	-
K11069	PotD
K11065	Tpx
K05700	-
K08838	-
K10331	-
K03122	-
K08832	-
K03128	-
YCR089W	-
K05906	-
K05901	-
K05704	-
K00364	GuaC
K00365	-
NotMapped	NotMapped
