K12893	-
K12892	-
K12891	-
K12890	-
K11501	-
K11765	-
K13948	-
K11503	-
K13941	-
K13946	-
K06778	-
K06772	-
K06770	-
K06776	-
K06774	-
K04959	-
K04958	-
K05668	-
K10498	-
K10490	-
K10494	-
K10497	-
K10496	-
K11544	-
K11545	-
K11546	-
K11547	-
K11540	-
K11542	-
K11543	-
K07420	-
K07422	-
K07423	-
K11548	-
K11549	-
K11818	-
K07427	-
K10143	-
K10634	-
K10141	-
K10636	-
K10631	-
K10630	-
K10633	-
K10632	-
K10148	-
K10638	-
K13737	-
K01866	b1637
K01867	b3384
K01868	b1719
K01869	b0642
K15044	-
K15047	-
K15046	-
K15516	-
K15043	-
K15042	-
K06149	b3495
K06145	b3438
K06140	b0610
K06142	b0178
K04764	b1712
K04761	b3961
K09306	-
K09305	-
K09304	-
K09308	-
K05145	-
K05149	-
K04442	-
K14649	-
K14398	-
K14399	-
K14396	-
K14397	-
K01689	b2779
K01686	b4322
K01687	b3771
K01687	b4297
K01687	b0269
K01682	b0118
K01681	b0771
K01681	b1276
K14025	-
K14026	-
K14027	-
K14020	-
K02888	b3186
K14022	-
K02885	-
K02884	b2606
K02887	b1716
K02886	b3317
K02881	b3304
K02880	-
K02883	-
K02882	-
I3L3I0	-
K02085	-
K02084	-
K02087	-
K02089	-
K02088	-
K10485	-
K03938	-
K03939	-
K03936	-
K03937	-
K03934	-
K03935	-
K12394	-
K12395	-
K12396	-
K12397	-
K12390	-
K12391	-
K12392	-
K12393	-
K05665	-
K12398	-
K12399	-
K06471	-
K02338	b3701
K02335	-
K02333	-
K02332	-
K02331	-
K02330	-
SPAC3C714c	-
K03688	b3835
K03680	-
K03681	-
K03685	b2567
K03686	b0015
K03687	b2614
K12171	-
K12172	-
K12173	-
K12174	-
K12175	-
K12176	-
K12177	-
K12178	-
K12179	-
K05646	-
K07305	b1778
K07304	b4219
K05647	-
K02962	-
K02963	b4202
K02960	-
YHR211W	-
YJL042W	-
I3L4N8	-
K10325	-
K09687	b0127
K09680	-
K11157	-
K11155	-
K11153	-
K11152	-
K11151	-
K00658	b0727
K00659	-
K00656	b3114
K00656	b3951
K00656	b0823
K00656	b0903
