Numerator	Denominator	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein
Environmental Information Processing	Genetic Information Processing	0.2181	0.211	0.0836	0.07938
-Signal Transduction	Genetic Information Processing	0.08251	0.07596	0.04044	0.042
-Signaling Molecules and Interaction	Genetic Information Processing	0.1356	0.1351	0.04316	0.03738
Cellular Processes	Genetic Information Processing	0.269	0.2589	0.2796	0.2594
-Hemoglobin	Genetic Information Processing	0	0	0	0
-Vesicular Transport	Genetic Information Processing	0.09812	0.1133	0.06664	0.07391
-Cytoskeleton	Genetic Information Processing	0.1381	0.1187	0.1705	0.1441
-Cell Motility	Genetic Information Processing	0	0	0	0
-Cell Growth and Death	Genetic Information Processing	0.01115	0.008762	0.01959	0.01758
-Cell Communication	Genetic Information Processing	0.02168	0.01814	0.02287	0.02387
Metabolism	Genetic Information Processing	0.3142	0.3303	0.5168	0.5638
-Membrane Transport	Genetic Information Processing	0.004964	0.003925	0.0004967	0.0007588
-Central Carbon Metabolism	Genetic Information Processing	0.1169	0.1339	0.285	0.3288
-Energy Metabolism	Genetic Information Processing	0.03153	0.03098	0.07991	0.07349
-Biosynthesis	Genetic Information Processing	0.082	0.07823	0.1041	0.1118
-Other Enzymes	Genetic Information Processing	0.07888	0.08329	0.04727	0.04899
Organismal Systems	Genetic Information Processing	0.04157	0.05169	0.03472	0.03169
-Immune System	Genetic Information Processing	0.02872	0.03951	0.01551	0.01857
-Endocrine System	Genetic Information Processing	0.003131	0.003256	0.009186	0.00353
-Circulatory System	Genetic Information Processing	0.0002291	0.000149	0.002745	0.002366
-Digestive System	Genetic Information Processing	0.001338	0.001395	0.0002464	0.0002084
-Excretory System	Genetic Information Processing	0.004973	0.004876	0.0055	0.005393
-Nervous System	Genetic Information Processing	0.001428	0.001201	0.0004653	0.0005696
-Sensory System	Genetic Information Processing	0	0	0	0
-Development	Genetic Information Processing	0.001754	0.001302	0.001062	0.001046
-Environmental Adaptation	Genetic Information Processing	0	0	0	0
Human Diseases	Genetic Information Processing	0.01243	0.01246	0.01225	0.01286
-Cancers	Genetic Information Processing	0.005072	0.00421	0.002525	0.002572
-Immune System Diseases	Genetic Information Processing	0.000788	0.0005953	0.003679	0.003027
-Neurodegenerative Diseases	Genetic Information Processing	0.002444	0.002999	0.002549	0.003541
-Cardiovascular Diseases	Genetic Information Processing	0.000384	0.0003595	0.0003528	0.0003066
-Infectious Diseases	Genetic Information Processing	0.003741	0.004298	0.003145	0.003408
Not Mapped	Genetic Information Processing	0.5246	0.5616	0.4026	0.392
-Not Mapped	Genetic Information Processing	0.5246	0.5616	0.4026	0.392
TOTAL	-Transcription	16.49	17.13	17.97	18.17
MAPPED	-Transcription	12.86	13.17	14.86	15.13
Genetic Information Processing	-Transcription	6.929	7.063	7.712	7.768
-Transcription	-Transcription	1	1	1	1
-Translation	-Transcription	2.046	2.512	2.099	2.081
-Folding, Sorting and Degradation	-Transcription	2.581	2.366	3.493	3.517
-DNA Maintenance	-Transcription	1.301	1.185	1.119	1.169
Environmental Information Processing	-Transcription	1.511	1.49	0.6447	0.6166
-Signal Transduction	-Transcription	0.5717	0.5365	0.3118	0.3262
-Signaling Molecules and Interaction	-Transcription	0.9394	0.9539	0.3329	0.2903
Cellular Processes	-Transcription	1.864	1.829	2.157	2.015
-Hemoglobin	-Transcription	0	0	0	0
-Vesicular Transport	-Transcription	0.6798	0.8004	0.514	0.5741
-Cytoskeleton	-Transcription	0.9568	0.8381	1.315	1.119
-Cell Motility	-Transcription	0	0	0	0
-Cell Growth and Death	-Transcription	0.07725	0.06189	0.1511	0.1366
-Cell Communication	-Transcription	0.1502	0.1282	0.1763	0.1854
Metabolism	-Transcription	2.177	2.333	3.986	4.38
-Membrane Transport	-Transcription	0.03439	0.02772	0.00383	0.005894
-Central Carbon Metabolism	-Transcription	0.8098	0.9456	2.198	2.554
-Energy Metabolism	-Transcription	0.2184	0.2188	0.6163	0.5709
-Biosynthesis	-Transcription	0.5681	0.5525	0.8029	0.8683
-Other Enzymes	-Transcription	0.5465	0.5883	0.3645	0.3806
Organismal Systems	-Transcription	0.288	0.365	0.2677	0.2461
-Immune System	-Transcription	0.199	0.279	0.1196	0.1443
-Endocrine System	-Transcription	0.0217	0.023	0.07085	0.02742
-Circulatory System	-Transcription	0.001587	0.001052	0.02117	0.01838
-Digestive System	-Transcription	0.009273	0.009852	0.001901	0.001619
-Excretory System	-Transcription	0.03445	0.03444	0.04242	0.04189
-Nervous System	-Transcription	0.009894	0.008482	0.003588	0.004425
-Sensory System	-Transcription	0	0	0	0
-Development	-Transcription	0.01215	0.009194	0.008194	0.008125
-Environmental Adaptation	-Transcription	0	0	0	0
Human Diseases	-Transcription	0.08611	0.08802	0.09448	0.09985
-Cancers	-Transcription	0.03514	0.02974	0.01947	0.01998
-Immune System Diseases	-Transcription	0.00546	0.004205	0.02837	0.02351
-Neurodegenerative Diseases	-Transcription	0.01693	0.02118	0.01966	0.02751
-Cardiovascular Diseases	-Transcription	0.00266	0.002539	0.002721	0.002382
-Infectious Diseases	-Transcription	0.02592	0.03036	0.02426	0.02647
Not Mapped	-Transcription	3.634	3.966	3.105	3.045
-Not Mapped	-Transcription	3.634	3.966	3.105	3.045
TOTAL	-Translation	8.058	6.822	8.557	8.73
MAPPED	-Translation	6.282	5.243	7.079	7.267
Genetic Information Processing	-Translation	3.386	2.812	3.673	3.732
-Transcription	-Translation	0.4887	0.3981	0.4763	0.4805
-Translation	-Translation	1	1	1	1
-Folding, Sorting and Degradation	-Translation	1.261	0.9419	1.664	1.69
-DNA Maintenance	-Translation	0.6358	0.4719	0.5331	0.5619
Environmental Information Processing	-Translation	0.7385	0.5934	0.3071	0.2963
-Signal Transduction	-Translation	0.2794	0.2136	0.1485	0.1568
-Signaling Molecules and Interaction	-Translation	0.4591	0.3798	0.1586	0.1395
Cellular Processes	-Translation	0.9109	0.728	1.027	0.9682
-Hemoglobin	-Translation	0	0	0	0
-Vesicular Transport	-Translation	0.3322	0.3187	0.2448	0.2758
-Cytoskeleton	-Translation	0.4676	0.3337	0.6264	0.5376
-Cell Motility	-Translation	0	0	0	0
-Cell Growth and Death	-Translation	0.03775	0.02464	0.07196	0.06563
-Cell Communication	-Translation	0.07341	0.05102	0.084	0.08907
Metabolism	-Translation	1.064	0.9288	1.898	2.104
-Membrane Transport	-Translation	0.01681	0.01104	0.001824	0.002832
-Central Carbon Metabolism	-Translation	0.3957	0.3765	1.047	1.227
-Energy Metabolism	-Translation	0.1068	0.08712	0.2935	0.2743
-Biosynthesis	-Translation	0.2776	0.22	0.3824	0.4172
-Other Enzymes	-Translation	0.2671	0.2342	0.1736	0.1828
Organismal Systems	-Translation	0.1408	0.1453	0.1275	0.1183
-Immune System	-Translation	0.09724	0.1111	0.05697	0.06932
-Endocrine System	-Translation	0.0106	0.009156	0.03374	0.01318
-Circulatory System	-Translation	0.0007756	0.000419	0.01008	0.008829
-Digestive System	-Translation	0.004532	0.003922	0.0009052	0.0007779
-Excretory System	-Translation	0.01684	0.01371	0.0202	0.02013
-Nervous System	-Translation	0.004835	0.003377	0.001709	0.002126
-Sensory System	-Translation	0	0	0	0
-Development	-Translation	0.005939	0.00366	0.003903	0.003904
-Environmental Adaptation	-Translation	0	0	0	0
Human Diseases	-Translation	0.04208	0.03504	0.045	0.04798
-Cancers	-Translation	0.01717	0.01184	0.009274	0.0096
-Immune System Diseases	-Translation	0.002668	0.001674	0.01351	0.0113
-Neurodegenerative Diseases	-Translation	0.008274	0.008434	0.009365	0.01322
-Cardiovascular Diseases	-Translation	0.0013	0.001011	0.001296	0.001144
-Infectious Diseases	-Translation	0.01267	0.01209	0.01155	0.01272
Not Mapped	-Translation	1.776	1.579	1.479	1.463
-Not Mapped	-Translation	1.776	1.579	1.479	1.463
TOTAL	-Folding, Sorting and Degradation	6.388	7.242	5.143	5.166
MAPPED	-Folding, Sorting and Degradation	4.98	5.566	4.254	4.301
Genetic Information Processing	-Folding, Sorting and Degradation	2.684	2.985	2.208	2.209
-Transcription	-Folding, Sorting and Degradation	0.3874	0.4227	0.2863	0.2843
-Translation	-Folding, Sorting and Degradation	0.7927	1.062	0.601	0.5918
-Folding, Sorting and Degradation	-Folding, Sorting and Degradation	1	1	1	1
-DNA Maintenance	-Folding, Sorting and Degradation	0.504	0.501	0.3204	0.3325
Environmental Information Processing	-Folding, Sorting and Degradation	0.5854	0.63	0.1846	0.1753
-Signal Transduction	-Folding, Sorting and Degradation	0.2215	0.2268	0.08927	0.09276
-Signaling Molecules and Interaction	-Folding, Sorting and Degradation	0.3639	0.4032	0.09529	0.08256
Cellular Processes	-Folding, Sorting and Degradation	0.7221	0.7729	0.6174	0.5729
-Hemoglobin	-Folding, Sorting and Degradation	0	0	0	0
-Vesicular Transport	-Folding, Sorting and Degradation	0.2634	0.3383	0.1471	0.1632
-Cytoskeleton	-Folding, Sorting and Degradation	0.3706	0.3542	0.3765	0.3182
-Cell Motility	-Folding, Sorting and Degradation	0	0	0	0
-Cell Growth and Death	-Folding, Sorting and Degradation	0.02992	0.02616	0.04325	0.03884
-Cell Communication	-Folding, Sorting and Degradation	0.05819	0.05417	0.05048	0.05271
Metabolism	-Folding, Sorting and Degradation	0.8435	0.9861	1.141	1.245
-Membrane Transport	-Folding, Sorting and Degradation	0.01332	0.01172	0.001097	0.001676
-Central Carbon Metabolism	-Folding, Sorting and Degradation	0.3137	0.3997	0.6293	0.7262
-Energy Metabolism	-Folding, Sorting and Degradation	0.08462	0.0925	0.1764	0.1623
-Biosynthesis	-Folding, Sorting and Degradation	0.2201	0.2335	0.2298	0.2469
-Other Enzymes	-Folding, Sorting and Degradation	0.2117	0.2487	0.1043	0.1082
Organismal Systems	-Folding, Sorting and Degradation	0.1116	0.1543	0.07664	0.06999
-Immune System	-Folding, Sorting and Degradation	0.07708	0.1179	0.03424	0.04102
-Endocrine System	-Folding, Sorting and Degradation	0.008405	0.009721	0.02028	0.007797
-Circulatory System	-Folding, Sorting and Degradation	0.0006149	0.0004448	0.00606	0.005225
-Digestive System	-Folding, Sorting and Degradation	0.003592	0.004164	0.0005441	0.0004603
-Excretory System	-Folding, Sorting and Degradation	0.01335	0.01456	0.01214	0.01191
-Nervous System	-Folding, Sorting and Degradation	0.003833	0.003585	0.001027	0.001258
-Sensory System	-Folding, Sorting and Degradation	0	0	0	0
-Development	-Folding, Sorting and Degradation	0.004708	0.003886	0.002346	0.00231
-Environmental Adaptation	-Folding, Sorting and Degradation	0	0	0	0
Human Diseases	-Folding, Sorting and Degradation	0.03336	0.0372	0.02705	0.02839
-Cancers	-Folding, Sorting and Degradation	0.01361	0.01257	0.005574	0.005681
-Immune System Diseases	-Folding, Sorting and Degradation	0.002115	0.001777	0.008122	0.006684
-Neurodegenerative Diseases	-Folding, Sorting and Degradation	0.006559	0.008954	0.005628	0.007822
-Cardiovascular Diseases	-Folding, Sorting and Degradation	0.001031	0.001073	0.0007788	0.0006772
-Infectious Diseases	-Folding, Sorting and Degradation	0.01004	0.01283	0.006944	0.007528
Not Mapped	-Folding, Sorting and Degradation	1.408	1.677	0.8887	0.8658
-Not Mapped	-Folding, Sorting and Degradation	1.408	1.677	0.8887	0.8658
TOTAL	-DNA Maintenance	12.68	14.46	16.05	15.54
MAPPED	-DNA Maintenance	9.881	11.11	13.28	12.93
Genetic Information Processing	-DNA Maintenance	5.326	5.959	6.89	6.642
-Transcription	-DNA Maintenance	0.7687	0.8436	0.8934	0.8551
-Translation	-DNA Maintenance	1.573	2.119	1.876	1.78
-Folding, Sorting and Degradation	-DNA Maintenance	1.984	1.996	3.121	3.007
-DNA Maintenance	-DNA Maintenance	1	1	1	1
Environmental Information Processing	-DNA Maintenance	1.162	1.257	0.576	0.5272
-Signal Transduction	-DNA Maintenance	0.4394	0.4526	0.2786	0.279
-Signaling Molecules and Interaction	-DNA Maintenance	0.7221	0.8048	0.2974	0.2483
Cellular Processes	-DNA Maintenance	1.433	1.543	1.927	1.723
-Hemoglobin	-DNA Maintenance	0	0	0	0
-Vesicular Transport	-DNA Maintenance	0.5226	0.6753	0.4592	0.4909
-Cytoskeleton	-DNA Maintenance	0.7354	0.707	1.175	0.9568
-Cell Motility	-DNA Maintenance	0	0	0	0
-Cell Growth and Death	-DNA Maintenance	0.05938	0.05221	0.135	0.1168
-Cell Communication	-DNA Maintenance	0.1155	0.1081	0.1575	0.1585
Metabolism	-DNA Maintenance	1.674	1.968	3.561	3.745
-Membrane Transport	-DNA Maintenance	0.02644	0.02339	0.003422	0.00504
-Central Carbon Metabolism	-DNA Maintenance	0.6225	0.7977	1.964	2.184
-Energy Metabolism	-DNA Maintenance	0.1679	0.1846	0.5506	0.4882
-Biosynthesis	-DNA Maintenance	0.4367	0.4661	0.7173	0.7425
-Other Enzymes	-DNA Maintenance	0.4201	0.4963	0.3257	0.3254
Organismal Systems	-DNA Maintenance	0.2214	0.308	0.2392	0.2105
-Immune System	-DNA Maintenance	0.153	0.2354	0.1069	0.1234
-Endocrine System	-DNA Maintenance	0.01668	0.0194	0.06329	0.02345
-Circulatory System	-DNA Maintenance	0.00122	0.0008878	0.01891	0.01571
-Digestive System	-DNA Maintenance	0.007128	0.008311	0.001698	0.001384
-Excretory System	-DNA Maintenance	0.02648	0.02905	0.03789	0.03582
-Nervous System	-DNA Maintenance	0.007605	0.007156	0.003206	0.003783
-Sensory System	-DNA Maintenance	0	0	0	0
-Development	-DNA Maintenance	0.009342	0.007756	0.00732	0.006948
-Environmental Adaptation	-DNA Maintenance	0	0	0	0
Human Diseases	-DNA Maintenance	0.06619	0.07426	0.08441	0.08539
-Cancers	-DNA Maintenance	0.02701	0.02509	0.0174	0.01708
-Immune System Diseases	-DNA Maintenance	0.004197	0.003547	0.02535	0.0201
-Neurodegenerative Diseases	-DNA Maintenance	0.01301	0.01787	0.01757	0.02352
-Cardiovascular Diseases	-DNA Maintenance	0.002045	0.002142	0.002431	0.002037
-Infectious Diseases	-DNA Maintenance	0.01992	0.02561	0.02167	0.02264
Not Mapped	-DNA Maintenance	2.794	3.346	2.774	2.604
-Not Mapped	-DNA Maintenance	2.794	3.346	2.774	2.604
TOTAL	Environmental Information Processing	10.91	11.5	27.87	29.47
MAPPED	Environmental Information Processing	8.507	8.835	23.05	24.53
Genetic Information Processing	Environmental Information Processing	4.585	4.739	11.96	12.6
-Transcription	Environmental Information Processing	0.6618	0.671	1.551	1.622
-Translation	Environmental Information Processing	1.354	1.685	3.256	3.375
-Folding, Sorting and Degradation	Environmental Information Processing	1.708	1.587	5.418	5.704
-DNA Maintenance	Environmental Information Processing	0.8609	0.7953	1.736	1.897
Environmental Information Processing	Environmental Information Processing	1	1	1	1
-Signal Transduction	Environmental Information Processing	0.3783	0.36	0.4837	0.5291
-Signaling Molecules and Interaction	Environmental Information Processing	0.6217	0.64	0.5163	0.4709
Cellular Processes	Environmental Information Processing	1.234	1.227	3.345	3.268
-Hemoglobin	Environmental Information Processing	0	0	0	0
-Vesicular Transport	Environmental Information Processing	0.4499	0.5371	0.7972	0.9311
-Cytoskeleton	Environmental Information Processing	0.6332	0.5623	2.04	1.815
-Cell Motility	Environmental Information Processing	0	0	0	0
-Cell Growth and Death	Environmental Information Processing	0.05112	0.04152	0.2343	0.2215
-Cell Communication	Environmental Information Processing	0.09941	0.08599	0.2735	0.3007
Metabolism	Environmental Information Processing	1.441	1.565	6.182	7.103
-Membrane Transport	Environmental Information Processing	0.02276	0.0186	0.005941	0.009559
-Central Carbon Metabolism	Environmental Information Processing	0.5359	0.6344	3.41	4.142
-Energy Metabolism	Environmental Information Processing	0.1446	0.1468	0.9559	0.9259
-Biosynthesis	Environmental Information Processing	0.376	0.3707	1.245	1.408
-Other Enzymes	Environmental Information Processing	0.3617	0.3947	0.5654	0.6172
Organismal Systems	Environmental Information Processing	0.1906	0.2449	0.4153	0.3992
-Immune System	Environmental Information Processing	0.1317	0.1872	0.1855	0.234
-Endocrine System	Environmental Information Processing	0.01436	0.01543	0.1099	0.04447
-Circulatory System	Environmental Information Processing	0.00105	0.0007061	0.03284	0.0298
-Digestive System	Environmental Information Processing	0.006137	0.00661	0.002948	0.002626
-Excretory System	Environmental Information Processing	0.0228	0.02311	0.06579	0.06794
-Nervous System	Environmental Information Processing	0.006548	0.005691	0.005565	0.007176
-Sensory System	Environmental Information Processing	0	0	0	0
-Development	Environmental Information Processing	0.008042	0.006169	0.01271	0.01318
-Environmental Adaptation	Environmental Information Processing	0	0	0	0
Human Diseases	Environmental Information Processing	0.05699	0.05906	0.1465	0.1619
-Cancers	Environmental Information Processing	0.02326	0.01995	0.0302	0.0324
-Immune System Diseases	Environmental Information Processing	0.003613	0.002821	0.04401	0.03813
-Neurodegenerative Diseases	Environmental Information Processing	0.0112	0.01421	0.0305	0.04461
-Cardiovascular Diseases	Environmental Information Processing	0.001761	0.001703	0.00422	0.003863
-Infectious Diseases	Environmental Information Processing	0.01715	0.02037	0.03762	0.04294
Not Mapped	Environmental Information Processing	2.405	2.661	4.815	4.938
-Not Mapped	Environmental Information Processing	2.405	2.661	4.815	4.938
TOTAL	-Signal Transduction	28.84	31.94	57.61	55.69
MAPPED	-Signal Transduction	22.49	24.54	47.66	46.36
Genetic Information Processing	-Signal Transduction	12.12	13.17	24.73	23.81
-Transcription	-Signal Transduction	1.749	1.864	3.207	3.065
-Translation	-Signal Transduction	3.579	4.682	6.732	6.379
-Folding, Sorting and Degradation	-Signal Transduction	4.515	4.41	11.2	10.78
-DNA Maintenance	-Signal Transduction	2.276	2.209	3.589	3.585
Environmental Information Processing	-Signal Transduction	2.643	2.778	2.067	1.89
-Signal Transduction	-Signal Transduction	1	1	1	1
-Signaling Molecules and Interaction	-Signal Transduction	1.643	1.778	1.067	0.89
Cellular Processes	-Signal Transduction	3.261	3.408	6.916	6.177
-Hemoglobin	-Signal Transduction	0	0	0	0
-Vesicular Transport	-Signal Transduction	1.189	1.492	1.648	1.76
-Cytoskeleton	-Signal Transduction	1.674	1.562	4.217	3.43
-Cell Motility	-Signal Transduction	0	0	0	0
-Cell Growth and Death	-Signal Transduction	0.1351	0.1154	0.4845	0.4187
-Cell Communication	-Signal Transduction	0.2628	0.2389	0.5655	0.5682
Metabolism	-Signal Transduction	3.809	4.349	12.78	13.42
-Membrane Transport	-Signal Transduction	0.06016	0.05167	0.01228	0.01807
-Central Carbon Metabolism	-Signal Transduction	1.416	1.763	7.049	7.829
-Energy Metabolism	-Signal Transduction	0.3821	0.4079	1.976	1.75
-Biosynthesis	-Signal Transduction	0.9938	1.03	2.575	2.661
-Other Enzymes	-Signal Transduction	0.956	1.097	1.169	1.166
Organismal Systems	-Signal Transduction	0.5038	0.6804	0.8585	0.7545
-Immune System	-Signal Transduction	0.3481	0.5201	0.3836	0.4422
-Endocrine System	-Signal Transduction	0.03795	0.04287	0.2272	0.08405
-Circulatory System	-Signal Transduction	0.002776	0.001962	0.06789	0.05633
-Digestive System	-Signal Transduction	0.01622	0.01836	0.006094	0.004962
-Excretory System	-Signal Transduction	0.06027	0.06419	0.136	0.1284
-Nervous System	-Signal Transduction	0.01731	0.01581	0.01151	0.01356
-Sensory System	-Signal Transduction	0	0	0	0
-Development	-Signal Transduction	0.02126	0.01714	0.02627	0.02491
-Environmental Adaptation	-Signal Transduction	0	0	0	0
Human Diseases	-Signal Transduction	0.1506	0.1641	0.303	0.3061
-Cancers	-Signal Transduction	0.06147	0.05543	0.06244	0.06124
-Immune System Diseases	-Signal Transduction	0.00955	0.007838	0.09098	0.07206
-Neurodegenerative Diseases	-Signal Transduction	0.02962	0.03949	0.06305	0.08432
-Cardiovascular Diseases	-Signal Transduction	0.004654	0.004732	0.008724	0.0073
-Infectious Diseases	-Signal Transduction	0.04534	0.05658	0.07778	0.08115
Not Mapped	-Signal Transduction	6.358	7.393	9.955	9.333
-Not Mapped	-Signal Transduction	6.358	7.393	9.955	9.333
TOTAL	-Signaling Molecules and Interaction	17.55	17.96	53.97	62.58
MAPPED	-Signaling Molecules and Interaction	13.68	13.8	44.64	52.09
Genetic Information Processing	-Signaling Molecules and Interaction	7.375	7.404	23.17	26.75
-Transcription	-Signaling Molecules and Interaction	1.064	1.048	3.004	3.444
-Translation	-Signaling Molecules and Interaction	2.178	2.633	6.307	7.168
-Folding, Sorting and Degradation	-Signaling Molecules and Interaction	2.748	2.48	10.49	12.11
-DNA Maintenance	-Signaling Molecules and Interaction	1.385	1.243	3.362	4.028
Environmental Information Processing	-Signaling Molecules and Interaction	1.609	1.562	1.937	2.124
-Signal Transduction	-Signaling Molecules and Interaction	0.6085	0.5624	0.9368	1.124
-Signaling Molecules and Interaction	-Signaling Molecules and Interaction	1	1	1	1
Cellular Processes	-Signaling Molecules and Interaction	1.984	1.917	6.478	6.94
-Hemoglobin	-Signaling Molecules and Interaction	0	0	0	0
-Vesicular Transport	-Signaling Molecules and Interaction	0.7237	0.8391	1.544	1.977
-Cytoskeleton	-Signaling Molecules and Interaction	1.018	0.8786	3.951	3.854
-Cell Motility	-Signaling Molecules and Interaction	0	0	0	0
-Cell Growth and Death	-Signaling Molecules and Interaction	0.08223	0.06488	0.4539	0.4704
-Cell Communication	-Signaling Molecules and Interaction	0.1599	0.1343	0.5298	0.6385
Metabolism	-Signaling Molecules and Interaction	2.318	2.446	11.97	15.08
-Membrane Transport	-Signaling Molecules and Interaction	0.03661	0.02906	0.01151	0.0203
-Central Carbon Metabolism	-Signaling Molecules and Interaction	0.862	0.9912	6.604	8.797
-Energy Metabolism	-Signaling Molecules and Interaction	0.2325	0.2294	1.851	1.966
