KO number	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein
K02963	NaN	NaN	NaN	NaN
K02961	NaN	NaN	NaN	NaN
K02863	NaN	NaN	NaN	NaN
K02867	8036.98	3922.38	13883432	28096699
K02864	NaN	NaN	NaN	NaN
K02945	NaN	NaN	NaN	NaN
K02967	NaN	NaN	NaN	NaN
K02982	NaN	NaN	NaN	NaN
K02986	NaN	NaN	NaN	NaN
K02994	NaN	NaN	NaN	NaN
K02952	NaN	NaN	NaN	NaN
K02965	NaN	NaN	NaN	NaN
K02968	NaN	NaN	NaN	NaN
K02981	NaN	NaN	NaN	NaN
K02985	157619.52	220819.93	5.6078269e+09	8.0867999e+09
K02984	NaN	NaN	NaN	NaN
K02987	70225.471	87946.411	1.9333071e+09	2.9726666e+09
K02989	59317.284	76865.16	2.2232828e+09	2.9446529e+09
K02993	2177.0292	33925.944	1.0874963e+09	1.2719545e+09
K02995	1346.4672	184138.03	7.3756775e+08	4.2076794e+08
K02997	2184.343	54413.508	2.0711281e+09	1.9890102e+09
K02947	604.752	460.19632	60533665	80090658
K02949	NaN	NaN	NaN	NaN
K02951	NaN	NaN	NaN	NaN
K02953	35732.187	43316.162	1.5674754e+09	6.3005623e+08
K02958	NaN	NaN	NaN	NaN
K02957	NaN	NaN	NaN	NaN
K02960	97880.4	96241.232	9.8817199e+08	9.4600913e+08
K02962	NaN	NaN	NaN	NaN
K02964	NaN	NaN	NaN	NaN
K02966	NaN	NaN	NaN	NaN
K02969	1626.8656	29612.112	1.1744135e+09	5.8098342e+08
K02971	1119.9523	16058.641	1.7501719e+09	2.6223492e+09
K02973	66184.118	67841.917	2.6405658e+08	2.285695e+08
K02974	88357.704	249676.35	3.8458571e+09	5.0635837e+09
K02975	NaN	NaN	NaN	NaN
K02976	NaN	NaN	NaN	NaN
K02978	6730.0055	4890.3617	39274539	34632014
K02977	8253.8664	10529.251	1.833019e+08	1.8804959e+08
K02979	NaN	NaN	NaN	NaN
K02980	NaN	NaN	NaN	NaN
K02983	NaN	NaN	NaN	NaN
K02998	6400.674	60552.29	1.2358808e+09	1.3166531e+09
K02931	NaN	NaN	NaN	NaN
K02933	NaN	NaN	NaN	NaN
K02871	2240.8242	1890.7516	1.4417226e+08	1.3863216e+08
K02881	NaN	NaN	NaN	NaN
K02890	NaN	NaN	NaN	NaN
K02897	NaN	NaN	NaN	NaN
K02904	NaN	NaN	NaN	NaN
K02909	NaN	NaN	NaN	NaN
K02919	NaN	NaN	NaN	NaN
K02925	3751.1079	311162.35	4.1374704e+09	3.6631005e+09
K02930	NaN	NaN	NaN	NaN
K02932	64371.186	87478.083	5.2756752e+09	5.9449151e+09
K02934	3452.1984	5060.9664	1.2049485e+09	1.0510737e+09
K02937	117.10585	111.34307	4.4964927e+09	4.6945544e+09
K02936	NaN	NaN	NaN	NaN
K02938	NaN	NaN	NaN	NaN
K02940	NaN	NaN	NaN	NaN
K02866	28804.97	137728.83	2.6604178e+09	3.0195003e+09
K02865	11991.116	24217.634	4.5230543e+09	4.6718789e+09
K02868	203635.56	217516	2.1262104e+09	1.3340321e+09
K02870	532.7454	39178.26	3.7513296e+08	5.9581596e+08
K02873	61971.966	142086.77	9.7206263e+08	2.5546833e+09
K02872	1130.2715	1471.3359	5.4701442e+08	3.8150939e+08
K02875	3879.81	2343.528	1.9715577e+09	2.0002805e+09
K02877	47316.78	27397.404	6.818568e+08	7.7843132e+08
K02880	NaN	NaN	NaN	NaN
K02883	54235.932	59750.16	6.6899014e+08	6.2578477e+08
K02882	NaN	NaN	NaN	NaN
K02885	NaN	NaN	NaN	NaN
K02889	946.0928	879.6256	2.2422741e+09	2.8412347e+09
K02891	56848.408	57267.158	4.5094829e+08	8.2934355e+08
K02894	180030.2	202944	3.5724352e+09	3.7209999e+09
K02893	880.1198	83973.482	1.638773e+09	2.7652201e+09
K02896	NaN	NaN	NaN	NaN
K02898	4358.0071	1590.2776	5.0954363e+08	7.6257641e+08
K02901	NaN	NaN	NaN	NaN
K02900	2528.7428	3818.252	3.8062963e+08	4.4011316e+08
K02903	NaN	NaN	NaN	NaN
K02905	4555.0925	3342.0863	7.0838545e+08	4.5848902e+08
K02908	47654.62	50862.89	1.1962092e+09	1.7997702e+09
K02910	1173.8298	48281.22	1.2567902e+09	1.719777e+09
K02912	1074.7332	1441.3426	1.7614823e+09	2.6684204e+09
K02915	310.93101	272.88963	5.227792e+08	3.4435208e+08
K02918	10069.235	8395.0944	2.8375615e+08	5.4863925e+08
K02917	NaN	NaN	NaN	NaN
K02920	NaN	NaN	NaN	NaN
K02922	71678.053	97702.28	55303504	91289736
K02921	10593.892	12868.408	1.3257149e+08	2.0213149e+08
K02923	NaN	NaN	NaN	NaN
K02924	NaN	NaN	NaN	NaN
K02927	NaN	NaN	NaN	NaN
K02929	NaN	NaN	NaN	NaN
K02941	177951.75	209323.66	1.7485571e+09	1.6128556e+09
K02942	48666.828	72886.356	1.1528692e+08	85659307
K02943	NaN	NaN	NaN	NaN
K02358	34459.395	42908.45	2.4810004e+09	3.2837837e+09
K03236	NaN	NaN	NaN	NaN
K03113	NaN	NaN	NaN	NaN
K03237	8107.092	7085.0115	1.472291e+09	1.1433974e+09
K03238	15524.826	2536.2945	1.0263598e+09	1.0600213e+09
K03242	9614.0264	33274.49	1.5530584e+09	1.4899998e+09
K03239	5787.5275	8102.874	1.9941019e+08	8.5335441e+08
K03754	3737.5533	2870.5447	1.2226043e+08	92425148
K03241	4535.3228	4625.768	2.0102381e+08	2.2772055e+08
K03680	5120.4762	4425.9677	1.9871362e+08	3.9398372e+08
K03240	8799.4445	8753.3005	2.1139052e+08	2.3846136e+08
K03262	28736.537	20161.577	7.2805873e+08	7.2056343e+08
K03263	722.84706	496.76248	1.5352506e+08	1.0663575e+08
K03243	89597.044	80874.166	2.2508596e+09	1.960513e+09
K03264	5380.298	5094.5055	7.7022745e+08	7.2280814e+08
K03254	123270.67	59262.371	5.2466114e+09	5.1350041e+09
K03253	50178.019	43263.67	1.9854757e+09	1.7398102e+09
K03252	NaN	NaN	NaN	NaN
K03251	66430.204	53157.26	1.110383e+09	1.7213906e+09
K03250	95011.95	86665.975	2.4045976e+09	2.3695378e+09
K03249	41222.436	14591.291	3.2780593e+09	2.9482534e+09
K03248	39425.92	27856.576	4.9245171e+08	3.3270448e+08
K03247	35733.28	48129.664	7.0185477e+08	7.3727579e+08
K03246	39472.55	32424.893	8.9915556e+08	8.3777015e+08
K03245	2877.3192	3056.9646	1.5201339e+08	2.2869386e+08
K03258	717.56608	693.62832	6.643053e+08	8.8734782e+08
K03260	185080.57	143542.07	3.9725911e+09	4.1856599e+09
K02519	12900.978	12080.486	28914956	74850720
K03231	566.40276	427.68772	2.0671575e+10	1.7852081e+10
K03232	63326.035	61347.298	6.0482684e+09	6.0763653e+09
K03233	NaN	NaN	NaN	NaN
K03234	895789.58	650745.62	1.9104458e+10	1.7373263e+10
K02357	3526.0225	3307.2325	1.7558448e+08	3.4341652e+08
K02355	19788.612	14246.809	6.5488088e+08	5.018472e+08
K03265	7810.3262	4249.9255	1.104275e+09	1.0051497e+09
K03267	14855.497	13890.494	4.8032454e+08	4.6311535e+08
K02838	1270.1419	1452.7245	3.0742454e+08	1.6353889e+08
K01870	89856.767	57674.256	4.475265e+09	4.8266518e+09
K02434	NaN	NaN	NaN	NaN
K02435	NaN	NaN	NaN	NaN
K02433	NaN	NaN	NaN	NaN
K01885	3441.1174	4885.6034	25497454	66466131
K14163	99582.588	63182.549	4.4301155e+09	4.77332e+09
K09698	NaN	NaN	NaN	NaN
K01886	64827.605	63663.667	2.4854809e+09	3.0119799e+09
K01872	65484.847	61239.482	2.4340448e+09	3.5888379e+09
K01876	40014.092	42941.382	3.0150775e+09	4.5175631e+09
K01893	24398.045	21384.914	2.1045889e+09	2.6481031e+09
K01880	54435.183	49838.16	1.2595128e+09	2.2902984e+09
K01868	35083.681	39179.021	2.1987617e+09	2.7037037e+09
K01875	36811.902	28629.912	9.0866413e+08	1.4563124e+09
K03341	NaN	NaN	NaN	NaN
K01883	27366.855	18669.822	7.207231e+08	7.9230332e+08
K01874	26650.622	29609.66	1.9365253e+09	2.3787799e+09
K00604	NaN	NaN	NaN	NaN
K01873	41097.241	16444.109	3.1542445e+09	2.3427834e+09
K01869	35799.587	28775.617	2.273655e+09	2.5408181e+09
K04567	50043.286	41882.953	2.0661609e+09	2.2811406e+09
K01887	37696.024	26662.578	2.6853598e+09	2.3654609e+09
K01881	NaN	NaN	NaN	NaN
K01892	15463.524	14238.866	8.3765889e+08	1.0416195e+09
K01889	12009.526	16694.556	1.733878e+09	2.7475503e+09
K01890	14257.923	11332.831	1.246241e+09	1.3788276e+09
K01866	25188.658	27392.556	1.9230343e+09	3.0325386e+09
K01867	59323.577	39081.871	1.0543104e+10	3.5577981e+09
K13126	102704.6	100793.68	8.3701154e+08	7.1122808e+08
K15516	NaN	NaN	NaN	NaN
K12172	113624.72	45526.104	4.4293037e+08	4.7311832e+08
K03259	5981.2242	4789.6692	3.9473778e+08	3.7983798e+08
K03257	1206.291	684.48853	8.04555e+08	8.773979e+08
K01164	4755.2205	8536.6886	1.0513442e+09	3.8130474e+08
K14522	NaN	NaN	NaN	NaN
K03538	NaN	NaN	NaN	NaN
K03537	NaN	NaN	NaN	NaN
K14524	NaN	NaN	NaN	NaN
K14526	NaN	NaN	NaN	NaN
K14528	NaN	NaN	NaN	NaN
K03539	3564.2528	3203.6376	72353197	1.1105918e+08
K14530	NaN	NaN	NaN	NaN
K00784	13781.149	20599.779	1.745737e+08	3.6783659e+08
K00974	5808.3088	3655.2088	4.1561669e+08	3.7258722e+08
K07936	18164.96	28673.213	9.5122243e+08	1.3107817e+09
K14288	16160.734	14124.757	5.4385296e+08	8.1469203e+08
K14289	17349.76	12494.51	3.7966191e+08	6.1243556e+08
K14290	68960.512	50054.042	4.7894842e+09	4.5315078e+09
K14291	5988.7606	7090.9756	18896303	65382637
K05019	2940.1035	6712.7406	3.175485e+08	75299782
K02516	9381.2901	6718.3116	6.6616613e+08	1.0516055e+09
K14292	NaN	NaN	NaN	NaN
K14293	79345.802	49645.898	4.9131439e+09	6.1090232e+09
K13151	NaN	NaN	NaN	NaN
K07562	NaN	NaN	NaN	NaN
K14294	4288.386	6197.3976	3.6910053e+08	2.0653907e+08
K09291	68872.707	44680.549	1.8205044e+09	2.1004004e+09
K14295	3937.8971	3968.4622	3.7841842e+08	5.8485511e+08
K14296	39227.987	40231.284	7.9814355e+08	1.0610745e+09
K14297	41687.249	20178.875	8.7920874e+08	9.3817448e+08
K14298	6358.4811	6033.0035	3.1454446e+08	3.7299173e+08
K14004	8353.002	5956.4526	3.482372e+08	2.8627422e+08
K14299	6129.684	7010.316	96061856	1.2613734e+08
K14300	25353.739	12923.733	3.6254309e+08	5.6165107e+08
K14301	11858.87	13472.625	3.5600318e+08	4.7391766e+08
K14302	5286.5464	6698.1264	1.5839168e+08	1.1978149e+08
K14303	14303.867	6607.1365	7.5754348e+08	7.5167914e+08
K14304	8572.0176	10693.784	5.1317828e+08	5.4923233e+08
K14305	3853.618	4300.004	2.1321855e+08	1.6573462e+08
K14306	NaN	NaN	NaN	NaN
K14307	9849.5966	6566.9568	3.7654694e+08	3.7921158e+08
K14308	8033.2122	7372.0335	5.6495923e+08	9.1737153e+08
K14309	19521.602	12533.239	1.3921464e+09	1.0747448e+09
K14310	31969.674	37385.576	1.1973432e+09	1.3175565e+09
K14311	26612.259	19396.585	3.4009688e+08	4.2378371e+08
K14312	16690.192	8221.6863	1.1921088e+09	1.6160582e+09
K14313	1640.2397	2126.2307	1.5655308e+08	2.0147835e+08
K14314	38835.97	74789.735	1.2087589e+09	2.3204445e+09
K14315	8457.8238	10663.556	6423820.7	16157090
K14316	NaN	NaN	NaN	NaN
K14317	18534.183	14361.602	1.0584322e+09	1.3372018e+09
K14318	18235.565	23176.035	2.6035834e+08	3.6826094e+08
K14319	10236.928	10846.527	2.9546789e+08	5.7616239e+08
K10577	14489.172	16287.478	4.9086519e+08	9.3461376e+08
K12160	10629.623	11302.774	46113912	56905588
K14320	6662.5104	7025.5458	2.1544737e+08	2.7560787e+08
K14321	NaN	NaN	NaN	NaN
K13129	NaN	NaN	NaN	NaN
K13130	8395.7181	9518.2195	1.6373968e+08	1.3922802e+08
K13131	3692.0968	2746.5815	1.6976064e+08	6.3105175e+08
K13132	15917.187	13076.139	2.2752114e+08	1.8389772e+08
K13133	17067.092	11900.804	3.7492193e+08	6.0711983e+08
K13137	21074.872	11892.316	7.0084479e+08	6.3698877e+08
K14322	1012.2132	786.78624	63962139	73808645
K07205	NaN	NaN	NaN	NaN
K14323	NaN	NaN	NaN	NaN
K14324	4051.9143	4467.906	1.417541e+08	2.056475e+08
K13114	21537.676	21995.481	3.1943223e+08	3.9911842e+08
K14325	NaN	NaN	NaN	NaN
K13174	3635.1172	2537.9802	82283039	57529328
K13175	2715.383	5772.789	89157335	1.2991594e+08
K13176	11180.995	14609.419	63646613	63713235
K13171	14318.362	7224.1348	67121967	1.4314512e+08
K14284	8532.8531	7262.108	1.7076484e+08	1.757556e+08
K14285	NaN	NaN	NaN	NaN
K14543	NaN	NaN	NaN	NaN
K14326	42274.163	24137.568	1.2090065e+09	1.4768946e+09
K14327	17528.16	21474.667	1.9567675e+08	3.889322e+08
K14328	8439.4107	6699.1617	8.0432507e+08	1.0403674e+08
