Numerator	Denominator	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein
TOTAL	-Folding, Sorting and Degradation	10.2	11.82	7.285	7.392
MAPPED	-Folding, Sorting and Degradation	7.954	9.083	6.026	6.153
Genetic Information Processing	-Folding, Sorting and Degradation	3.17	3.69	2.405	2.393
-Transcription	-Folding, Sorting and Degradation	0.4162	0.485	0.3072	0.2903
-Translation	-Folding, Sorting and Degradation	1.072	1.546	0.7009	0.7022
-Folding, Sorting and Degradation	-Folding, Sorting and Degradation	1	1	1	1
-DNA Maintenance	-Folding, Sorting and Degradation	0.6724	0.6938	0.3751	0.4004
-RNA Family	-Folding, Sorting and Degradation	0	0	0	0
Environmental Information Processing	-Folding, Sorting and Degradation	0.4993	0.5258	0.1469	0.1486
-Signal Transduction	-Folding, Sorting and Degradation	0.1407	0.1423	0.05334	0.06066
-Signaling Molecules and Interaction	-Folding, Sorting and Degradation	0.4233	0.4422	0.1041	0.09248
Cellular Processes	-Folding, Sorting and Degradation	1.097	1.12	0.7453	0.6945
-Cell structure	-Folding, Sorting and Degradation	0	0	0	0
-Crystallins	-Folding, Sorting and Degradation	0	0	0	0
-Stress Response	-Folding, Sorting and Degradation	0	0	0	0
-Vesicular Transport	-Folding, Sorting and Degradation	0.3725	0.47	0.1534	0.1684
-Cytoskeleton	-Folding, Sorting and Degradation	0.5048	0.4833	0.4148	0.3588
-Cell Motility	-Folding, Sorting and Degradation	0	0	0	0
-Cell Growth and Death	-Folding, Sorting and Degradation	0.1195	0.1141	0.1017	0.1076
-Cell Communication	-Folding, Sorting and Degradation	0.1307	0.123	0.1283	0.1332
Metabolism	-Folding, Sorting and Degradation	2.128	2.403	1.964	2.193
-Membrane Transport	-Folding, Sorting and Degradation	0.04961	0.04908	0.01907	0.01435
-Central Carbon Metabolism	-Folding, Sorting and Degradation	0.3055	0.4409	0.5347	0.6211
-Energy Metabolism	-Folding, Sorting and Degradation	0.08592	0.08895	0.1515	0.1789
-Biosynthesis	-Folding, Sorting and Degradation	0.4968	0.5939	0.4448	0.4602
-Other Enzymes	-Folding, Sorting and Degradation	1.27	1.298	0.9181	0.995
Organismal Systems	-Folding, Sorting and Degradation	0.6636	0.7985	0.3336	0.3302
