Numerator	Denominator	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein
-Endocrine System	MAPPED	0.00789	0.006737	0.01737	0.007768
-Circulatory System	MAPPED	0.001556	0.001187	0.003742	0.003298
-Digestive System	MAPPED	0.004132	0.003012	0.001216	0.0008589
-Excretory System	MAPPED	0.008188	0.006818	0.007854	0.007814
-Nervous System	MAPPED	0.008963	0.007094	0.00603	0.006117
-Sensory System	MAPPED	0	0	0	0
-Development	MAPPED	0.003634	0.002761	0.001017	0.001149
-Environmental Adaptation	MAPPED	0.0007307	0.0005283	0.0004891	0.000425
Human Diseases	MAPPED	0.09984	0.09374	0.09203	0.0944
-Cancers	MAPPED	0.01262	0.009898	0.007542	0.008607
-Immune System Diseases	MAPPED	0.002687	0.002418	0.003461	0.003344
-Neurodegenerative Diseases	MAPPED	0.02634	0.02425	0.04355	0.04115
-Cardiovascular Diseases	MAPPED	0.002065	0.0009764	0.00453	0.002193
-Metabolic Diseases	MAPPED	0.0005131	0.0004743	2.029e-05	1.923e-05
-Infectious Diseases	MAPPED	0.04148	0.04768	0.02356	0.0254
Not Mapped	MAPPED	0.3842	0.3643	0.262	0.256
-Not Mapped	MAPPED	0.3842	0.3643	0.262	0.256
TOTAL	Genetic Information Processing	3.468	3.126	3.181	3.147
MAPPED	Genetic Information Processing	2.506	2.291	2.52	2.506
Genetic Information Processing	Genetic Information Processing	1	1	1	1
-Transcription	Genetic Information Processing	0.1153	0.1015	0.1161	0.1088
-Translation	Genetic Information Processing	0.4648	0.5677	0.3507	0.3564
-Folding, Sorting and Degradation	Genetic Information Processing	0.3004	0.2311	0.3986	0.3952
-DNA Maintenance	Genetic Information Processing	0.1163	0.09604	0.1266	0.1291
-RNA Family	Genetic Information Processing	0	0	0	0
Environmental Information Processing	Genetic Information Processing	0.2218	0.168	0.07445	0.0715
-Signal Transduction	Genetic Information Processing	0.03005	0.02585	0.01715	0.01939
-Signaling Molecules and Interaction	Genetic Information Processing	0.1929	0.1431	0.05755	0.05179
Cellular Processes	Genetic Information Processing	0.2742	0.233	0.2608	0.2312
-Hemoglobin	Genetic Information Processing	0	0	0	0
-Vesicular Transport	Genetic Information Processing	0.1026	0.1005	0.05678	0.06862
-Cytoskeleton	Genetic Information Processing	0.133	0.103	0.1567	0.1221
-Cell Motility	Genetic Information Processing	0	0	0	0
-Cell Growth and Death	Genetic Information Processing	0.03227	0.02183	0.04338	0.04244
-Cell Communication	Genetic Information Processing	0.01544	0.01231	0.01402	0.01466
Metabolism	Genetic Information Processing	0.5787	0.4744	0.7483	0.7965
-Membrane Transport	Genetic Information Processing	0.01257	0.009964	0.006952	0.00617
-Central Carbon Metabolism	Genetic Information Processing	0.06475	0.0479	0.1449	0.1643
-Energy Metabolism	Genetic Information Processing	0.03115	0.02637	0.04601	0.06152
-Biosynthesis	Genetic Information Processing	0.1223	0.09806	0.1369	0.1394
-Other Enzymes	Genetic Information Processing	0.307	0.2436	0.376	0.3922
Organismal Systems	Genetic Information Processing	0.2132	0.1861	0.1529	0.1246
-Immune System	Genetic Information Processing	0.1215	0.1221	0.0488	0.04451
-Endocrine System	Genetic Information Processing	0.01973	0.01544	0.04476	0.02052
-Circulatory System	Genetic Information Processing	0.003964	0.002748	0.009487	0.008419
-Digestive System	Genetic Information Processing	0.01052	0.006933	0.003207	0.002278
-Excretory System	Genetic Information Processing	0.02085	0.01576	0.02055	0.02028
-Nervous System	Genetic Information Processing	0.02277	0.01608	0.01588	0.01622
-Sensory System	Genetic Information Processing	0	0	0	0
-Development	Genetic Information Processing	0.009105	0.006356	0.002493	0.002775
-Environmental Adaptation	Genetic Information Processing	0.001788	0.001192	0.001233	0.00108
Human Diseases	Genetic Information Processing	0.2545	0.217	0.236	0.24
-Cancers	Genetic Information Processing	0.03134	0.02234	0.01845	0.02086
-Immune System Diseases	Genetic Information Processing	0.006731	0.005599	0.009037	0.008225
-Neurodegenerative Diseases	Genetic Information Processing	0.0671	0.05613	0.1098	0.1031
-Cardiovascular Diseases	Genetic Information Processing	0.005245	0.002259	0.0117	0.005523
-Metabolic Diseases	Genetic Information Processing	0.001278	0.001081	4.851e-05	4.556e-05
-Infectious Diseases	Genetic Information Processing	0.1037	0.1076	0.06086	0.064
Not Mapped	Genetic Information Processing	0.9627	0.8348	0.6604	0.6415
-Not Mapped	Genetic Information Processing	0.9627	0.8348	0.6604	0.6415
TOTAL	-Transcription	30.06	30.5	26.3	28.46
MAPPED	-Transcription	21.72	22.36	20.84	22.66
Genetic Information Processing	-Transcription	8.594	9.68	8.124	8.986
-Transcription	-Transcription	1	1	1	1
-Translation	-Transcription	3.995	5.512	2.905	3.293
-Folding, Sorting and Degradation	-Transcription	2.582	2.281	3.179	3.457
-DNA Maintenance	-Transcription	0.9955	0.9388	0.9915	1.101
-RNA Family	-Transcription	0	0	0	0
Environmental Information Processing	-Transcription	1.993	1.782	0.6572	0.6749
-Signal Transduction	-Transcription	0.2605	0.2538	0.145	0.1837
-Signaling Molecules and Interaction	-Transcription	1.684	1.449	0.5122	0.4874
Cellular Processes	-Transcription	2.31	2.218	2.103	2.078
-Hemoglobin	-Transcription	0	0	0	0
-Vesicular Transport	-Transcription	0.862	0.9702	0.4827	0.5963
-Cytoskeleton	-Transcription	1.138	1.015	1.295	1.069
-Cell Motility	-Transcription	0	0	0	0
-Cell Growth and Death	-Transcription	0.272	0.2113	0.3724	0.3789
-Cell Communication	-Transcription	0.1377	0.1322	0.1153	0.1438
Metabolism	-Transcription	5.001	4.793	6.632	7.828
-Membrane Transport	-Transcription	0.1164	0.1074	0.05822	0.05684
-Central Carbon Metabolism	-Transcription	0.5595	0.4684	1.221	1.515
-Energy Metabolism	-Transcription	0.2685	0.2553	0.3717	0.539
-Biosynthesis	-Transcription	1.064	1.005	1.234	1.338
-Other Enzymes	-Transcription	2.608	2.471	3.203	3.703
Organismal Systems	-Transcription	1.824	1.881	1.458	1.249
-Immune System	-Transcription	1.095	1.178	0.4424	0.4459
-Endocrine System	-Transcription	0.173	0.1504	0.3575	0.1733
-Circulatory System	-Transcription	0.03595	0.02854	0.0874	0.07963
-Digestive System	-Transcription	0.08602	0.07214	0.02778	0.02108
-Excretory System	-Transcription	0.1704	0.1524	0.1589	0.1743
-Nervous System	-Transcription	0.1833	0.1544	0.1485	0.1491
-Sensory System	-Transcription	0	0	0	0
-Development	-Transcription	0.07586	0.06268	0.02163	0.02446
-Environmental Adaptation	-Transcription	0.01464	0.01145	0.01027	0.00963
Human Diseases	-Transcription	2.188	2.253	1.873	2.01
-Cancers	-Transcription	0.2761	0.216	0.1904	0.195
-Immune System Diseases	-Transcription	0.05835	0.05636	0.06988	0.07178
-Neurodegenerative Diseases	-Transcription	0.6086	0.5829	0.8567	0.8835
-Cardiovascular Diseases	-Transcription	0.04291	0.02265	0.1042	0.0543
-Metabolic Diseases	-Transcription	0.0117	0.01147	0.0005355	0.0005329
-Infectious Diseases	-Transcription	0.9204	1.033	0.5677	0.6064
Not Mapped	-Transcription	8.344	8.145	5.46	5.801
-Not Mapped	-Transcription	8.344	8.145	5.46	5.801
TOTAL	-Translation	7.457	5.501	9.013	8.704
MAPPED	-Translation	5.387	4.032	7.142	6.929
Genetic Information Processing	-Translation	2.151	1.754	2.826	2.754
-Transcription	-Translation	0.2481	0.178	0.3323	0.302
-Translation	-Translation	1	1	1	1
-Folding, Sorting and Degradation	-Translation	0.6463	0.4055	1.137	1.109
-DNA Maintenance	-Translation	0.2515	0.1685	0.3527	0.3622
-RNA Family	-Translation	0	0	0	0
Environmental Information Processing	-Translation	0.4769	0.295	0.2072	0.199
-Signal Transduction	-Translation	0.06463	0.04589	0.0482	0.05578
-Signaling Molecules and Interaction	-Translation	0.4089	0.248	0.1641	0.1452
Cellular Processes	-Translation	0.5865	0.4059	0.7258	0.6276
-Hemoglobin	-Translation	0	0	0	0
-Vesicular Transport	-Translation	0.2179	0.1771	0.1547	0.1811
-Cytoskeleton	-Translation	0.2862	0.1806	0.4565	0.3476
-Cell Motility	-Translation	0	0	0	0
-Cell Growth and Death	-Translation	0.06871	0.03846	0.1175	0.1108
-Cell Communication	-Translation	0.03321	0.02168	0.04158	0.04234
Metabolism	-Translation	1.245	0.8422	2.176	2.243
-Membrane Transport	-Translation	0.02717	0.01755	0.02042	0.01782
-Central Carbon Metabolism	-Translation	0.1387	0.08444	0.3935	0.458
-Energy Metabolism	-Translation	0.06666	0.04646	0.13	0.1694
-Biosynthesis	-Translation	0.2617	0.172	0.3967	0.4015
-Other Enzymes	-Translation	0.6713	0.4322	1.072	1.1
Organismal Systems	-Translation	0.4663	0.3301	0.4129	0.3245
-Immune System	-Translation	0.262	0.2142	0.1414	0.1252
-Endocrine System	-Translation	0.0427	0.02737	0.1238	0.05432
-Circulatory System	-Translation	0.008173	0.004686	0.02611	0.02258
-Digestive System	-Translation	0.02251	0.01209	0.008687	0.00593
-Excretory System	-Translation	0.04461	0.02765	0.05655	0.05464
-Nervous System	-Translation	0.04798	0.02852	0.04302	0.04224
-Sensory System	-Translation	0	0	0	0
-Development	-Translation	0.01982	0.0112	0.007409	0.008019
-Environmental Adaptation	-Translation	0.003909	0.002115	0.003537	0.002967
Human Diseases	-Translation	0.5351	0.37	0.6731	0.6733
-Cancers	-Translation	0.06773	0.03962	0.05419	0.06009
-Immune System Diseases	-Translation	0.01448	0.009823	0.02487	0.02307
-Neurodegenerative Diseases	-Translation	0.1383	0.09571	0.3103	0.284
-Cardiovascular Diseases	-Translation	0.01105	0.003915	0.03269	0.01531
-Metabolic Diseases	-Translation	0.002762	0.001904	0.0001439	0.0001317
-Infectious Diseases	-Translation	0.2245	0.1909	0.1694	0.178
Not Mapped	-Translation	2.07	1.469	1.871	1.774
-Not Mapped	-Translation	2.07	1.469	1.871	1.774
TOTAL	-Folding, Sorting and Degradation	11.43	13.39	7.811	7.672
MAPPED	-Folding, Sorting and Degradation	8.259	9.811	6.189	6.109
Genetic Information Processing	-Folding, Sorting and Degradation	3.315	4.305	2.455	2.438
-Transcription	-Folding, Sorting and Degradation	0.3738	0.4325	0.3005	0.2845
-Translation	-Folding, Sorting and Degradation	1.534	2.444	0.8686	0.8853
-Folding, Sorting and Degradation	-Folding, Sorting and Degradation	1	1	1	1
-DNA Maintenance	-Folding, Sorting and Degradation	0.3738	0.4017	0.3103	0.328
-RNA Family	-Folding, Sorting and Degradation	0	0	0	0
Environmental Information Processing	-Folding, Sorting and Degradation	0.7572	0.7168	0.1819	0.1704
-Signal Transduction	-Folding, Sorting and Degradation	0.09739	0.1098	0.0421	0.04724
-Signaling Molecules and Interaction	-Folding, Sorting and Degradation	0.6435	0.6099	0.1368	0.1243
Cellular Processes	-Folding, Sorting and Degradation	0.9061	1	0.6082	0.5455
-Hemoglobin	-Folding, Sorting and Degradation	0	0	0	0
-Vesicular Transport	-Folding, Sorting and Degradation	0.3271	0.4196	0.1362	0.1615
-Cytoskeleton	-Folding, Sorting and Degradation	0.4399	0.4338	0.3655	0.2824
-Cell Motility	-Folding, Sorting and Degradation	0	0	0	0
-Cell Growth and Death	-Folding, Sorting and Degradation	0.1046	0.09264	0.1039	0.1012
-Cell Communication	-Folding, Sorting and Degradation	0.05139	0.05299	0.03299	0.03392
Metabolism	-Folding, Sorting and Degradation	1.867	2.093	1.814	1.963
-Membrane Transport	-Folding, Sorting and Degradation	0.04168	0.0429	0.01639	0.01428
-Central Carbon Metabolism	-Folding, Sorting and Degradation	0.2227	0.2057	0.3357	0.3802
-Energy Metabolism	-Folding, Sorting and Degradation	0.1082	0.1119	0.1129	0.15
-Biosynthesis	-Folding, Sorting and Degradation	0.418	0.4257	0.353	0.3419
-Other Enzymes	-Folding, Sorting and Degradation	1.003	1.02	0.9433	0.9924
Organismal Systems	-Folding, Sorting and Degradation	0.6928	0.8175	0.3956	0.3239
-Immune System	-Folding, Sorting and Degradation	0.408	0.5423	0.1229	0.1191
-Endocrine System	-Folding, Sorting and Degradation	0.06341	0.0632	0.1091	0.05488
-Circulatory System	-Folding, Sorting and Degradation	0.01337	0.01211	0.02502	0.02252
-Digestive System	-Folding, Sorting and Degradation	0.03654	0.03101	0.008585	0.00619
-Excretory System	-Folding, Sorting and Degradation	0.06851	0.07002	0.05026	0.04715
-Nervous System	-Folding, Sorting and Degradation	0.07602	0.06678	0.04251	0.04386
-Sensory System	-Folding, Sorting and Degradation	0	0	0	0
-Development	-Folding, Sorting and Degradation	0.02904	0.0266	0.005986	0.006499
-Environmental Adaptation	-Folding, Sorting and Degradation	0.005742	0.004952	0.003181	0.002847
Human Diseases	-Folding, Sorting and Degradation	0.8386	0.9563	0.5922	0.6324
-Cancers	-Folding, Sorting and Degradation	0.1077	0.09921	0.0435	0.04972
-Immune System Diseases	-Folding, Sorting and Degradation	0.02277	0.02422	0.02142	0.02052
-Neurodegenerative Diseases	-Folding, Sorting and Degradation	0.2264	0.2474	0.2695	0.2514
-Cardiovascular Diseases	-Folding, Sorting and Degradation	0.01833	0.01039	0.02963	0.01435
-Metabolic Diseases	-Folding, Sorting and Degradation	0.0041	0.004431	0.0001142	0.0001086
-Infectious Diseases	-Folding, Sorting and Degradation	0.3334	0.4515	0.1527	0.1576
Not Mapped	-Folding, Sorting and Degradation	3.173	3.575	1.622	1.564
-Not Mapped	-Folding, Sorting and Degradation	3.173	3.575	1.622	1.564
TOTAL	-DNA Maintenance	29.81	32.54	25.76	23.94
MAPPED	-DNA Maintenance	21.53	23.85	20.41	19.06
Genetic Information Processing	-DNA Maintenance	8.532	10.29	7.803	7.68
-Transcription	-DNA Maintenance	0.9989	1.042	0.9796	0.8213
-Translation	-DNA Maintenance	3.973	5.909	2.835	2.758
-Folding, Sorting and Degradation	-DNA Maintenance	2.537	2.373	3.082	2.994
-DNA Maintenance	-DNA Maintenance	1	1	1	1
-RNA Family	-DNA Maintenance	0	0	0	0
Environmental Information Processing	-DNA Maintenance	1.869	1.75	0.5258	0.4839
-Signal Transduction	-DNA Maintenance	0.2703	0.2634	0.1317	0.1502
-Signaling Molecules and Interaction	-DNA Maintenance	1.626	1.49	0.4133	0.3755
Cellular Processes	-DNA Maintenance	2.227	2.264	1.95	1.751
-Hemoglobin	-DNA Maintenance	0	0	0	0
-Vesicular Transport	-DNA Maintenance	0.8883	1.022	0.4458	0.5312
-Cytoskeleton	-DNA Maintenance	1.065	1.008	1.197	0.9407
-Cell Motility	-DNA Maintenance	0	0	0	0
-Cell Growth and Death	-DNA Maintenance	0.2732	0.231	0.293	0.2758
-Cell Communication	-DNA Maintenance	0.1304	0.1227	0.1135	0.1165
Metabolism	-DNA Maintenance	4.775	4.835	5.912	6.193
-Membrane Transport	-DNA Maintenance	0.09854	0.09284	0.04876	0.04731
-Central Carbon Metabolism	-DNA Maintenance	0.5457	0.501	1.001	1.263
-Energy Metabolism	-DNA Maintenance	0.2731	0.2825	0.4154	0.5156
-Biosynthesis	-DNA Maintenance	1.045	1.047	1.107	1.091
-Other Enzymes	-DNA Maintenance	2.811	2.667	3.04	3.038
Organismal Systems	-DNA Maintenance	1.821	1.925	1.297	1.023
-Immune System	-DNA Maintenance	1.077	1.229	0.3637	0.3455
-Endocrine System	-DNA Maintenance	0.1631	0.1481	0.3493	0.1573
-Circulatory System	-DNA Maintenance	0.03658	0.0304	0.07932	0.0654
-Digestive System	-DNA Maintenance	0.08592	0.07136	0.02211	0.01636
-Excretory System	-DNA Maintenance	0.1703	0.1554	0.1603	0.1585
-Nervous System	-DNA Maintenance	0.185	0.1692	0.1278	0.1167
-Sensory System	-DNA Maintenance	0	0	0	0
-Development	-DNA Maintenance	0.07797	0.06648	0.01975	0.01909
-Environmental Adaptation	-DNA Maintenance	0.01596	0.01305	0.01037	0.00894
Human Diseases	-DNA Maintenance	2.15	2.4	1.871	1.859
-Cancers	-DNA Maintenance	0.2809	0.2265	0.1432	0.1602
-Immune System Diseases	-DNA Maintenance	0.06055	0.05746	0.07051	0.06125
-Neurodegenerative Diseases	-DNA Maintenance	0.6192	0.621	0.9913	0.9379
-Cardiovascular Diseases	-DNA Maintenance	0.04558	0.02352	0.09246	0.04614
-Metabolic Diseases	-DNA Maintenance	0.01002	0.01007	0.000322	0.0002961
-Infectious Diseases	-DNA Maintenance	0.8919	1.071	0.4808	0.484
Not Mapped	-DNA Maintenance	8.273	8.69	5.349	4.879
-Not Mapped	-DNA Maintenance	8.273	8.69	5.349	4.879
TOTAL	-RNA Family	Inf	Inf	Inf	Inf
MAPPED	-RNA Family	Inf	Inf	Inf	Inf
Genetic Information Processing	-RNA Family	Inf	Inf	Inf	Inf
-Transcription	-RNA Family	Inf	Inf	Inf	Inf
-Translation	-RNA Family	Inf	Inf	Inf	Inf
-Folding, Sorting and Degradation	-RNA Family	Inf	Inf	Inf	Inf
-DNA Maintenance	-RNA Family	Inf	Inf	Inf	Inf
-RNA Family	-RNA Family	NaN	NaN	NaN	NaN
Environmental Information Processing	-RNA Family	Inf	Inf	Inf	Inf
-Signal Transduction	-RNA Family	Inf	Inf	Inf	Inf
-Signaling Molecules and Interaction	-RNA Family	Inf	Inf	Inf	Inf
Cellular Processes	-RNA Family	Inf	Inf	Inf	Inf
-Hemoglobin	-RNA Family	NaN	NaN	NaN	NaN
-Vesicular Transport	-RNA Family	Inf	Inf	Inf	Inf
-Cytoskeleton	-RNA Family	Inf	Inf	Inf	Inf
-Cell Motility	-RNA Family	NaN	NaN	NaN	NaN
-Cell Growth and Death	-RNA Family	Inf	Inf	Inf	Inf
-Cell Communication	-RNA Family	Inf	Inf	Inf	Inf
Metabolism	-RNA Family	Inf	Inf	Inf	Inf
-Membrane Transport	-RNA Family	Inf	Inf	Inf	Inf
-Central Carbon Metabolism	-RNA Family	Inf	Inf	Inf	Inf
-Energy Metabolism	-RNA Family	Inf	Inf	Inf	Inf
-Biosynthesis	-RNA Family	Inf	Inf	Inf	Inf
-Other Enzymes	-RNA Family	Inf	Inf	Inf	Inf
Organismal Systems	-RNA Family	Inf	Inf	Inf	Inf
-Immune System	-RNA Family	Inf	Inf	Inf	Inf
-Endocrine System	-RNA Family	Inf	Inf	Inf	Inf
-Circulatory System	-RNA Family	Inf	Inf	Inf	Inf
-Digestive System	-RNA Family	Inf	Inf	Inf	Inf
-Excretory System	-RNA Family	Inf	Inf	Inf	Inf
-Nervous System	-RNA Family	Inf	Inf	Inf	Inf
-Sensory System	-RNA Family	NaN	NaN	NaN	NaN
-Development	-RNA Family	Inf	Inf	Inf	Inf
-Environmental Adaptation	-RNA Family	Inf	Inf	Inf	Inf
Human Diseases	-RNA Family	Inf	Inf	Inf	Inf
-Cancers	-RNA Family	Inf	Inf	Inf	Inf
-Immune System Diseases	-RNA Family	Inf	Inf	Inf	Inf
-Neurodegenerative Diseases	-RNA Family	Inf	Inf	Inf	Inf
-Cardiovascular Diseases	-RNA Family	Inf	Inf	Inf	Inf
-Metabolic Diseases	-RNA Family	Inf	Inf	Inf	Inf
-Infectious Diseases	-RNA Family	Inf	Inf	Inf	Inf
Not Mapped	-RNA Family	Inf	Inf	Inf	Inf
-Not Mapped	-RNA Family	Inf	Inf	Inf	Inf
TOTAL	Environmental Information Processing	15.56	18.12	40.2	42.05
MAPPED	Environmental Information Processing	11.24	13.28	31.85	33.48
Genetic Information Processing	Environmental Information Processing	4.496	5.797	13.06	13.85
-Transcription	Environmental Information Processing	0.4972	0.5596	1.516	1.477
-Translation	Environmental Information Processing	2.077	3.289	4.579	4.879
-Folding, Sorting and Degradation	Environmental Information Processing	1.303	1.387	5.24	5.462
-DNA Maintenance	Environmental Information Processing	0.5228	0.5612	1.7	1.847
-RNA Family	Environmental Information Processing	0	0	0	0
Environmental Information Processing	Environmental Information Processing	1	1	1	1
-Signal Transduction	Environmental Information Processing	0.1264	0.133	0.2374	0.2722
-Signaling Molecules and Interaction	Environmental Information Processing	0.8544	0.8522	0.7553	0.7172
Cellular Processes	Environmental Information Processing	1.202	1.371	3.275	3.153
-Hemoglobin	Environmental Information Processing	0	0	0	0
-Vesicular Transport	Environmental Information Processing	0.4183	0.5635	0.7014	0.8411
-Cytoskeleton	Environmental Information Processing	0.5869	0.5999	2.044	1.69
-Cell Motility	Environmental Information Processing	0	0	0	0
-Cell Growth and Death	Environmental Information Processing	0.1358	0.1186	0.5666	0.5614
-Cell Communication	Environmental Information Processing	0.06518	0.06443	0.1813	0.2071
Metabolism	Environmental Information Processing	2.611	2.92	9.793	11.15
-Membrane Transport	Environmental Information Processing	0.05432	0.0595	0.08827	0.08291
-Central Carbon Metabolism	Environmental Information Processing	0.3116	0.2936	1.835	2.142
-Energy Metabolism	Environmental Information Processing	0.1407	0.1433	0.5635	0.7637
-Biosynthesis	Environmental Information Processing	0.5759	0.5945	1.968	2.03
-Other Enzymes	Environmental Information Processing	1.295	1.386	5.331	6.251
Organismal Systems	Environmental Information Processing	0.9334	1.134	1.957	1.693
-Immune System	Environmental Information Processing	0.5443	0.7398	0.6876	0.6766
-Endocrine System	Environmental Information Processing	0.08736	0.08444	0.595	0.279
-Circulatory System	Environmental Information Processing	0.0188	0.01994	0.1166	0.1093
-Digestive System	Environmental Information Processing	0.05305	0.04099	0.04441	0.03381
-Excretory System	Environmental Information Processing	0.07265	0.06716	0.2226	0.2347
-Nervous System	Environmental Information Processing	0.09705	0.08534	0.2199	0.2408
-Sensory System	Environmental Information Processing	0	0	0	0
-Development	Environmental Information Processing	0.04157	0.0331	0.03845	0.03748
-Environmental Adaptation	Environmental Information Processing	0.008541	0.009953	0.01558	0.01423
Human Diseases	Environmental Information Processing	0.9498	1.128	3.63	3.826
-Cancers	Environmental Information Processing	0.1597	0.1381	0.2624	0.2918
-Immune System Diseases	Environmental Information Processing	0.03007	0.03141	0.1161	0.1134
-Neurodegenerative Diseases	Environmental Information Processing	0.25	0.2881	1.287	1.239
-Cardiovascular Diseases	Environmental Information Processing	0.02594	0.01344	0.1735	0.08633
-Metabolic Diseases	Environmental Information Processing	0.00503	0.005233	0.0006276	0.0006373
-Infectious Diseases	Environmental Information Processing	0.4857	0.6556	0.8608	0.8941
Not Mapped	Environmental Information Processing	4.32	4.84	8.346	8.57
-Not Mapped	Environmental Information Processing	4.32	4.84	8.346	8.57
TOTAL	-Signal Transduction	105.9	116.8	178.9	151
MAPPED	-Signal Transduction	76.5	85.61	141.8	120.2
Genetic Information Processing	-Signal Transduction	30.03	37.84	56.01	48.98
-Transcription	-Signal Transduction	3.311	3.751	6.819	5.41
-Translation	-Signal Transduction	14.57	21.33	20.63	17.9
-Folding, Sorting and Degradation	-Signal Transduction	9.241	8.716	22.72	20.38
-DNA Maintenance	-Signal Transduction	3.454	3.6	6.947	6.03
-RNA Family	-Signal Transduction	0	0	0	0
Environmental Information Processing	-Signal Transduction	6.87	6.764	4.086	3.537
-Signal Transduction	-Signal Transduction	1	1	1	1
-Signaling Molecules and Interaction	-Signal Transduction	5.87	5.764	3.086	2.537
Cellular Processes	-Signal Transduction	7.893	9.113	14.31	10.29
-Hemoglobin	-Signal Transduction	0	0	0	0
