KO number	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein
K05290	NaN	NaN	NaN	NaN
K05291	15.7843	13.8047	426206.89	198327.86
K05292	17.4088	15.4601	558489.94	357693.29
K05293	NaN	NaN	NaN	NaN
K05294	NaN	NaN	NaN	NaN
K05310	NaN	NaN	NaN	NaN
K02535	NaN	NaN	NaN	NaN
K01627	NaN	NaN	NaN	NaN
K00979	NaN	NaN	NaN	NaN
K05362	NaN	NaN	NaN	NaN
K11693	NaN	NaN	NaN	NaN
K11694	NaN	NaN	NaN	NaN
K11695	NaN	NaN	NaN	NaN
K01191	18.5422	19.4501	66108.584	269156.25
K12312	NaN	NaN	NaN	NaN
K01227	NaN	NaN	NaN	NaN
K01206	18.0766	23.6008	81327.115	229179.58
K00799	261.69165	386.33122	12111775	19600140
K00432	NaN	NaN	NaN	NaN
K00763	NaN	NaN	NaN	NaN
K00877	NaN	NaN	NaN	NaN
K00878	NaN	NaN	NaN	NaN
K00949	NaN	NaN	NaN	NaN
K05307	NaN	NaN	NaN	NaN
K01497	NaN	NaN	NaN	NaN
K14652	NaN	NaN	NaN	NaN
K11752	NaN	NaN	NaN	NaN
K14654	NaN	NaN	NaN	NaN
K14655	NaN	NaN	NaN	NaN
K02858	NaN	NaN	NaN	NaN
K00794	NaN	NaN	NaN	NaN
K00793	NaN	NaN	NaN	NaN
K00861	NaN	NaN	NaN	NaN
K11753	NaN	NaN	NaN	NaN
K00953	NaN	NaN	NaN	NaN
K01078	23.3574	16.243	2132450.8	2583854.4
K14394	NaN	NaN	NaN	NaN
K14379	NaN	NaN	NaN	NaN
K14395	NaN	NaN	NaN	NaN
K14410	NaN	NaN	NaN	NaN
K00299	NaN	NaN	NaN	NaN
K05901	19.8104	25.9595	2150359.9	2484632.6
K00275	8.53149	9.87435	365658.99	751459.19
K00868	NaN	NaN	NaN	NaN
K13248	NaN	NaN	NaN	NaN
K05275	NaN	NaN	NaN	NaN
K06215	NaN	NaN	NaN	NaN
K08681	NaN	NaN	NaN	NaN
K00767	NaN	NaN	NaN	NaN
K00541	NaN	NaN	NaN	NaN
K06210	NaN	NaN	NaN	NaN
K01950	NaN	NaN	NaN	NaN
K03462	31.6106	19.438	3479789.1	7425289.3
K10524	NaN	NaN	NaN	NaN
K00323	21.7253	23.9965	1215875	1254103.4
K00858	NaN	NaN	NaN	NaN
K00606	NaN	NaN	NaN	NaN
K00077	NaN	NaN	NaN	NaN
K09680	9.62785	7.2167	90337.619	230332.45
K01922	37.5354	40.7481	1235325.3	1171002.4
K01598	NaN	NaN	NaN	NaN
K13038	NaN	NaN	NaN	NaN
K02318	17.8464	26.2257	401856.98	648358.82
K00954	NaN	NaN	NaN	NaN
K02201	NaN	NaN	NaN	NaN
K00859	NaN	NaN	NaN	NaN
K06133	12.4315	10.8885	728629.07	408546.54
K08069	NaN	NaN	NaN	NaN
K01942	NaN	NaN	NaN	NaN
K01435	NaN	NaN	NaN	NaN
K03644	NaN	NaN	NaN	NaN
K03801	NaN	NaN	NaN	NaN
K03800	NaN	NaN	NaN	NaN
K10105	NaN	NaN	NaN	NaN
K01495	NaN	NaN	NaN	NaN
K13939	NaN	NaN	NaN	NaN
K01633	NaN	NaN	NaN	NaN
K13941	NaN	NaN	NaN	NaN
K01930	NaN	NaN	NaN	NaN
K01737	NaN	NaN	NaN	NaN
K00072	7.286	4.76263	48526.167	176341.36
K00357	32.2845	16.6344	2037216.5	1175400.1
K01664	NaN	NaN	NaN	NaN
K13950	NaN	NaN	NaN	NaN
K00515	NaN	NaN	NaN	NaN
K11151	NaN	NaN	NaN	NaN
K11152	16.0606	15.1031	376038.57	727359.41
K11153	NaN	NaN	NaN	NaN
K11158	NaN	NaN	NaN	NaN
K07249	NaN	NaN	NaN	NaN
K07411	NaN	NaN	NaN	NaN
K09516	NaN	NaN	NaN	NaN
K01698	5.84018	8.91637	272042.93	378491.49
K01749	0.477155	0.351401	272248.49	352203.37
K01719	NaN	NaN	NaN	NaN
K00589	NaN	NaN	NaN	NaN
K02304	NaN	NaN	NaN	NaN
K01599	11.1415	14.3642	964944.01	931981.09
K00228	56.1291	44.43	1369338.8	2769866.8
K00231	4.73268	4.62147	288910.07	190229.25
K01772	15.4019	6.79758	256933.45	238798.8
K00798	5.26134	17.1636	209643.43	670874.55
K04035	NaN	NaN	NaN	NaN
K13606	NaN	NaN	NaN	NaN
K10960	NaN	NaN	NaN	NaN
K00510	47.0539	32.1829	2307150.5	1950100.9
K00214	86.1269	30.8131	6434319.5	3271386.5
K01764	NaN	NaN	NaN	NaN
