Numerator	Denominator	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein
-Cell Growth and Death	MAPPED	0.006774	0.01268	0.01758	0.005501	0.00954	0.01363	0.005814	0.01646	0.02161	0.005656	0.01605	0.0216
-Cell Communication	MAPPED	0.004187	0.006056	0.008691	0.003219	0.005401	0.007247	0.004177	0.00571	0.007694	0.004218	0.006065	0.007724
Metabolism	MAPPED	0.1965	0.2283	0.2373	0.1776	0.2079	0.2244	0.2546	0.2976	0.3278	0.2797	0.3179	0.3534
-Membrane Transport	MAPPED	0.002373	0.005047	0.006794	0.001841	0.004372	0.005945	0.001498	0.002842	0.004274	0.0009687	0.002552	0.004615
-Central Carbon Metabolism	MAPPED	0.01849	0.02542	0.03622	0.01587	0.02091	0.03028	0.02875	0.05509	0.06567	0.03553	0.06633	0.07964
-Energy Metabolism	MAPPED	0.007606	0.01224	0.01863	0.006825	0.01152	0.01681	0.009254	0.01825	0.04389	0.0119	0.02455	0.04486
-Biosynthesis	MAPPED	0.04391	0.04804	0.06773	0.03872	0.04285	0.06606	0.04791	0.05563	0.07406	0.04706	0.05742	0.08442
-Other Enzymes	MAPPED	0.1069	0.1255	0.1449	0.09781	0.108	0.1413	0.1051	0.1466	0.2064	0.1137	0.1543	0.2124
Organismal Systems	MAPPED	0.07714	0.08651	0.09921	0.06944	0.08247	0.09607	0.05522	0.06068	0.07077	0.04226	0.04834	0.0596
-Immune System	MAPPED	0.04443	0.04879	0.06385	0.04799	0.05281	0.07029	0.01782	0.01955	0.024	0.01681	0.01803	0.02303
-Endocrine System	MAPPED	0.005182	0.00789	0.009096	0.004444	0.006737	0.007605	0.01547	0.01737	0.01939	0.006167	0.007768	0.01021
-Circulatory System	MAPPED	0.0007676	0.001556	0.004598	0.0004178	0.001187	0.004501	0.002311	0.003742	0.01036	0.002013	0.003298	0.009708
-Digestive System	MAPPED	0.002941	0.004132	0.006925	0.00155	0.003012	0.003996	0.0005622	0.001216	0.003399	0.0004936	0.0008589	0.003529
-Excretory System	MAPPED	0.002814	0.008188	0.009847	0.002585	0.006818	0.008569	0.001833	0.007854	0.009319	0.001986	0.007814	0.008853
-Nervous System	MAPPED	0.001629	0.008963	0.01035	0.001307	0.007094	0.007816	0.0007977	0.00603	0.01399	0.0008372	0.006117	0.01384
-Sensory System	MAPPED	0	0	0.0001384	0	0	0.0001152	0	0	0.000506	0	0	0.0001674
