Numerator	Denominator	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck
-Signal Transduction	TOTAL	0	0	0.000899	0.006527	0.007071	0.008021	0.0008889	0.001452	0.002151	0.0007293	0.001431	0.002198	0.002586	0.003181	0.004358	0.001539	0.002205	0.00321	0.00358	0.005376	0.007579	0.004266	0.006294	0.008719	0.003903	0.007049	0.01124	0.004637	0.008578	0.01246	0.00541	0.008759	0.01201	0.002768	0.01302	0.01591
-Signaling Molecules and Interaction	TOTAL	0.006342	0.006342	0.006342	1.91e-10	1.91e-10	8.811e-05	0.007686	0.007924	0.00977	0.006374	0.006515	0.007873	0.004262	0.004432	0.004753	0.003566	0.003719	0.003939	0.01492	0.01726	0.02061	0.01369	0.01552	0.01856	0.01771	0.02044	0.02503	0.02137	0.0243	0.0275	0.01301	0.01543	0.0188	0.03265	0.03372	0.03566
Cellular Processes	TOTAL	0.04287	0.04676	0.04766	0.004931	0.006258	0.01047	0.01194	0.0129	0.01425	0.01524	0.01646	0.01878	0.02736	0.03174	0.03443	0.02752	0.03118	0.03346	0.06314	0.08425	0.09402	0.05656	0.07263	0.08587	0.08472	0.0895	0.09667	0.09723	0.1016	0.11	0.1389	0.1532	0.164	0.1383	0.1569	0.1837
-Hemoglobin	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.004e-06	2.004e-06	4.17e-06	6.924e-06	6.924e-06	7.008e-06	0	0	0	1.445e-05	1.445e-05	3.769e-05
-Vesicular Transport	TOTAL	0	0	0	0	0	4.776e-11	0.001971	0.002761	0.003806	0.001573	0.002574	0.004802	0.002495	0.003568	0.006258	0.002563	0.003739	0.005521	0.01205	0.01713	0.02017	0.01252	0.021	0.02357	0.007827	0.01223	0.0156	0.009472	0.01384	0.01694	0.0091	0.01512	0.01974	0.004712	0.02361	0.02631
-Cytoskeleton	TOTAL	0.01873	0.02262	0.02262	0.00315	0.00315	0.00315	0.003327	0.003477	0.003666	0.006147	0.006717	0.007786	0.00181	0.002442	0.003209	0.001911	0.002557	0.003399	0.02778	0.04953	0.05546	0.02094	0.03856	0.04341	0.05697	0.06112	0.06565	0.06028	0.06617	0.07026	0.09789	0.1067	0.1174	0.09877	0.1195	0.142
-Cell Motility	TOTAL	0	0	0	2.388e-09	0.001327	0.005537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	TOTAL	0.02414	0.02414	0.02504	0.001645	0.001794	0.002334	0.00589	0.006568	0.007254	0.006605	0.006867	0.007205	0.02167	0.02594	0.02685	0.0216	0.02511	0.02601	0.0132	0.01513	0.01679	0.01272	0.01456	0.01629	0.01058	0.01177	0.01354	0.01333	0.01534	0.01689	0.01353	0.01548	0.01718	0.01243	0.01391	0.01628
-Cell Communication	TOTAL	0	0	0	0	0	0	0	4.41e-05	0.0003525	0	7.412e-05	0.0002121	0	5.386e-05	0.000686	0	4.851e-05	0.0007282	0.003411	0.00492	0.0068	0.003441	0.004928	0.006948	0.004255	0.00518	0.00628	0.005866	0.008238	0.01021	0.009046	0.01161	0.02334	0.002882	0.004412	0.005755
Metabolism	TOTAL	0.4464	0.4583	0.4657	0.4276	0.4331	0.4365	0.3751	0.3792	0.3834	0.4545	0.4606	0.4657	0.3632	0.3699	0.3774	0.3962	0.4042	0.4123	0.236	0.2517	0.2685	0.2586	0.2769	0.295	0.168	0.1751	0.1825	0.1651	0.1711	0.1776	0.2167	0.2244	0.2343	0.2278	0.2495	0.2699
-Membrane Transport	TOTAL	0.0306	0.03826	0.04144	0.05203	0.05749	0.06241	0.009278	0.009516	0.009805	0.003986	0.004329	0.004776	0.003874	0.006749	0.008624	0.003276	0.005168	0.007293	0.001219	0.002475	0.003918	0.001082	0.002195	0.003605	0.002082	0.002716	0.003875	0.001306	0.00192	0.002921	0.001092	0.001337	0.001569	0.0004175	0.0006883	0.001111
-Central Carbon Metabolism	TOTAL	0.1283	0.155	0.1824	0.06946	0.0807	0.08884	0.1155	0.1345	0.1533	0.1275	0.1598	0.1855	0.1199	0.1493	0.1704	0.0978	0.1266	0.1522	0.0713	0.08082	0.09332	0.08304	0.09318	0.1087	0.03454	0.04136	0.04899	0.0377	0.04396	0.05057	0.07597	0.08367	0.09229	0.08973	0.1111	0.1249
-Energy Metabolism	TOTAL	0.005835	0.03406	0.05546	0.01348	0.0222	0.03093	0.009834	0.01691	0.03994	0.01357	0.0233	0.05378	0.009311	0.01547	0.03695	0.01108	0.01872	0.03902	0.01027	0.01613	0.03238	0.0103	0.01749	0.03274	0.00895	0.0124	0.01816	0.007083	0.009789	0.0155	0.003483	0.008256	0.01551	0.002227	0.00651	0.0276
-Biosynthesis	TOTAL	0.06442	0.08089	0.0976	0.1263	0.1372	0.1501	0.07418	0.08807	0.1067	0.09987	0.1154	0.1354	0.07822	0.08755	0.09619	0.1076	0.1202	0.131	0.03536	0.04012	0.05041	0.03826	0.04266	0.05503	0.03361	0.03804	0.04734	0.03319	0.03901	0.04672	0.03948	0.04623	0.05402	0.02485	0.03767	0.04388
-Other Enzymes	TOTAL	0.1203	0.1449	0.1865	0.1213	0.1344	0.1487	0.1036	0.1239	0.1446	0.1203	0.15	0.1795	0.08502	0.1102	0.129	0.1034	0.1318	0.1543	0.08945	0.1057	0.1246	0.09751	0.1138	0.134	0.06753	0.07805	0.0887	0.06725	0.07476	0.0857	0.07071	0.08361	0.0967	0.06169	0.09134	0.1195
Organismal Systems	TOTAL	0	0	0	0	4.776e-11	3.438e-05	0.001228	0.00214	0.003298	0.001266	0.002956	0.004737	0.002077	0.003212	0.00445	0.002225	0.003365	0.004721	0.03907	0.04427	0.04918	0.03046	0.03511	0.04082	0.02153	0.02511	0.0294	0.02676	0.03062	0.03634	0.02041	0.0283	0.03705	0.02142	0.02891	0.04986
-Immune System	TOTAL	0	0	0	0	0	0	0.0003198	0.0008044	0.001534	0.0003427	0.001137	0.002236	0.0003148	0.001072	0.00176	0.0003917	0.001132	0.001886	0.01324	0.017	0.02177	0.01244	0.01623	0.02105	0.00539	0.007309	0.0118	0.005517	0.007854	0.01284	0.004789	0.009806	0.01762	0.00354	0.005387	0.02862
-Endocrine System	TOTAL	0	0	0	0	0	0	1.176e-06	3.769e-05	0.0003089	1.023e-06	4.383e-05	0.000355	0	6.322e-05	0.0008449	0	5.729e-05	0.0008683	0.0117	0.01263	0.01384	0.00423	0.005349	0.006796	0.002214	0.002686	0.004647	0.004533	0.005193	0.007343	0.0008253	0.00137	0.005331	0.006016	0.006307	0.009992
-Circulatory System	TOTAL	0	0	0	0	0	0	0	0	4.213e-05	0	0	4.312e-05	0	0	0.0008171	0	0	0.0008198	0.001722	0.001962	0.006193	0.0015	0.001737	0.005843	0.002481	0.003596	0.005013	0.003914	0.005279	0.006084	0.001402	0.001986	0.003599	0.000512	0.005323	0.005737
-Digestive System	TOTAL	0	0	0	0	0	3.438e-05	0	5.788e-05	0.0005326	0	4.312e-05	0.0002043	0	0.0001229	0.0006305	0	0.0001369	0.0006276	0.0003914	0.0009612	0.002708	0.0003643	0.0007662	0.002698	0.001706	0.00321	0.004481	0.001341	0.002441	0.004057	0.002711	0.003551	0.004839	0.001168	0.001378	0.002231
-Excretory System	TOTAL	0	0	0	0	0	4.776e-11	8.076e-05	0.0006521	0.001437	8.472e-05	0.001167	0.002646	6.488e-05	0.0009592	0.001892	8.136e-05	0.001048	0.001992	0.001824	0.005547	0.007572	0.001896	0.005375	0.007141	0.001591	0.002586	0.003964	0.002212	0.00356	0.006027	0.00159	0.00384	0.007174	0.000864	0.002985	0.005113
-Nervous System	TOTAL	0	0	0	0	0	4.776e-11	0	4.304e-05	0.0003549	0	4.052e-05	0.0003482	0	5.615e-05	0.0008682	0	5.005e-05	0.0008824	0.0006766	0.003533	0.006407	0.0008255	0.003078	0.006055	0.001114	0.002247	0.003317	0.001215	0.002369	0.004148	0.0006625	0.002159	0.003729	0.0007238	0.002801	0.004568
-Sensory System	TOTAL	0	0	0	0	0	0	0	0	0.0003776	0	0	0.0003482	0	0	0.0007466	0	0	0.000828	0	0	0.0004436	0	0	0.0002428	0	8.814e-05	0.001912	0	0.0001148	0.002584	8.293e-06	0.0001066	0.0004946	4.447e-13	7.994e-06	0.004011
-Development	TOTAL	0	0	0	0	0	0	0	0	0.0002339	0	0	0.001269	0	0	0.0001618	0	0	0.0001969	0.0005189	0.0009132	0.002375	0.0004659	0.0008775	0.002124	0.0005246	0.0006768	0.004845	0.0006596	0.0008882	0.005594	0.001497	0.001704	0.009444	0.0006804	0.0007819	0.02417
-Environmental Adaptation	TOTAL	0	0	0	0	0	0	0	0	0.0006185	0	0	0.0001712	0	0	0.0003648	0	0	0.000348	0	0.0001949	0.001704	0	0.0001581	0.001418	1.708e-06	0.0002485	0.001724	4.176e-06	0.0002988	0.001676	3.322e-05	0.0001117	0.002173	6.671e-06	9.795e-05	0.0007665
Human Diseases	TOTAL	0	0.03568	0.06084	0.0002617	0.003336	0.005996	0.007365	0.01007	0.01396	0.009675	0.01418	0.02074	0.01129	0.01868	0.02448	0.01335	0.02165	0.02793	0.04476	0.06409	0.08575	0.04285	0.06105	0.07877	0.05309	0.07387	0.0947	0.04656	0.06427	0.07745	0.04203	0.05984	0.07306	0.03232	0.04781	0.06894
-Cancers	TOTAL	0	0	0.002435	0	4.776e-11	4.585e-05	4.109e-05	0.0002622	0.000488	3.281e-05	0.0004566	0.000837	4.741e-05	0.0002389	0.0004128	3.67e-05	0.0002331	0.000474	0.003717	0.005646	0.008159	0.003426	0.005551	0.007501	0.003849	0.005353	0.006426	0.003615	0.00525	0.006368	0.003057	0.004337	0.005842	0.001821	0.002627	0.003239
-Immune System Diseases	TOTAL	0	0	0	0	4.776e-11	6.161e-05	0.0002321	0.0007363	0.001724	0.0002714	0.001501	0.00287	0.001941	0.008993	0.01491	0.002349	0.01052	0.01736	0.001781	0.002949	0.005495	0.001511	0.002715	0.00533	0.01235	0.03594	0.05174	0.00866	0.02467	0.03907	0.0008997	0.002993	0.005335	0.00184	0.01581	0.02543
-Neurodegenerative Diseases	TOTAL	0	0	0	0	0	0	0.002548	0.004782	0.007613	0.002193	0.004577	0.00749	0.002379	0.004162	0.00596	0.003706	0.00615	0.008087	0.01359	0.02455	0.03273	0.01361	0.02338	0.03045	0.01268	0.01636	0.02078	0.01035	0.01336	0.01659	0.01021	0.01688	0.0241	0.004692	0.007109	0.009122
-Cardiovascular Diseases	TOTAL	0	0	0	0	0	0	0	0	2.33e-05	0	0	7.412e-05	0	0	2.184e-05	0	0	2.695e-05	0.0003472	0.003719	0.005641	0.0002956	0.002009	0.00402	0.002123	0.003704	0.004655	0.001332	0.002637	0.004921	0.002633	0.006712	0.01899	0.0002413	0.001948	0.003327
-Metabolic Diseases	TOTAL	0	0	0.03568	0	0	0.002398	0	0	0.001518	0	0	0.003853	0	0	0	0	0	0	0	0	0.00307	0	0	0.005448	3.051e-06	1.178e-05	0.003193	4.877e-07	3.095e-06	0.003122	1.462e-17	3.99e-06	0.01543	0	4.447e-13	0.005871
-Infectious Diseases	TOTAL	0	0.0005067	0.03619	0.0001853	0.00273	0.005314	0.001748	0.003775	0.006107	0.002091	0.005928	0.01176	0.003441	0.005175	0.007426	0.003163	0.004833	0.00661	0.01347	0.02186	0.04229	0.01372	0.0242	0.04037	0.008357	0.01393	0.01925	0.01085	0.01529	0.02128	0.009919	0.01928	0.03219	0.00641	0.02257	0.03663
Not Mapped	TOTAL	0.1975	0.1975	0.1975	0.07465	0.07465	0.07465	0.151	0.151	0.151	0.1073	0.1073	0.1073	0.1717	0.1717	0.1717	0.174	0.174	0.174	0.2076	0.2076	0.2076	0.2038	0.2038	0.2038	0.1974	0.1974	0.1974	0.2058	0.2058	0.2058	0.2129	0.2129	0.2129	0.1053	0.1053	0.1053
-Not Mapped	TOTAL	0.1975	0.1975	0.1975	0.07465	0.07465	0.07465	0.151	0.151	0.151	0.1073	0.1073	0.1073	0.1717	0.1717	0.1717	0.174	0.174	0.174	0.2076	0.2076	0.2076	0.2038	0.2038	0.2038	0.1974	0.1974	0.1974	0.2058	0.2058	0.2058	0.2129	0.2129	0.2129	0.1053	0.1053	0.1053
TOTAL	MAPPED	1.246	1.246	1.246	1.081	1.081	1.081	1.178	1.178	1.178	1.12	1.12	1.12	1.207	1.207	1.207	1.211	1.211	1.211	1.262	1.262	1.262	1.256	1.256	1.256	1.246	1.246	1.246	1.259	1.259	1.259	1.27	1.27	1.27	1.118	1.118	1.118
MAPPED	MAPPED	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Genetic Information Processing	MAPPED	0.2938	0.3289	0.3679	0.5069	0.5127	0.5185	0.5052	0.512	0.5164	0.4297	0.4366	0.4442	0.4664	0.4793	0.493	0.4219	0.4357	0.4482	0.3961	0.4139	0.4288	0.3949	0.4136	0.4273	0.4821	0.5101	0.5374	0.4731	0.4923	0.5178	0.3605	0.3781	0.3941	0.3819	0.4067	0.4288
-Transcription	MAPPED	0.004114	0.007536	0.01466	0.04511	0.04714	0.05008	0.003158	0.004342	0.005426	0.001996	0.002809	0.003894	0.005488	0.007083	0.009737	0.004934	0.006331	0.008856	0.03856	0.04274	0.04984	0.0362	0.04114	0.04614	0.04344	0.04539	0.04879	0.03764	0.03944	0.04286	0.03703	0.03856	0.04096	0.03496	0.03672	0.04432
-Translation	MAPPED	0.1803	0.1821	0.1845	0.3917	0.393	0.3946	0.3924	0.395	0.3968	0.3029	0.3056	0.3088	0.3494	0.3535	0.3566	0.3163	0.3198	0.3224	0.1483	0.1506	0.1525	0.1501	0.1523	0.1542	0.2524	0.2584	0.2613	0.2377	0.2435	0.2462	0.1353	0.14	0.1458	0.1947	0.1968	0.1985
-Folding, Sorting and Degradation	MAPPED	0.0612	0.09391	0.1396	0.04571	0.04996	0.05459	0.09305	0.09812	0.103	0.1139	0.1214	0.1287	0.08853	0.1002	0.109	0.0782	0.08968	0.09817	0.1507	0.1669	0.1812	0.1493	0.1649	0.1795	0.109	0.1191	0.1274	0.1216	0.1304	0.1389	0.1264	0.1412	0.158	0.1071	0.1281	0.144
-DNA Maintenance	MAPPED	0.02574	0.03617	0.04837	0.0202	0.02227	0.02448	0.01253	0.01402	0.01505	0.005299	0.006327	0.00745	0.01216	0.01927	0.02828	0.01112	0.0196	0.03048	0.04531	0.05345	0.05873	0.04635	0.05358	0.05906	0.06343	0.08579	0.1133	0.06144	0.08143	0.1012	0.05156	0.05665	0.06259	0.03247	0.04548	0.05686
-RNA Family	MAPPED	0	0	0	4.645e-10	6.193e-10	7.741e-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	MAPPED	0.007903	0.007903	0.009023	0.007072	0.007659	0.008763	0.01044	0.0112	0.01339	0.008152	0.009098	0.01034	0.008634	0.009282	0.01057	0.006449	0.007138	0.008394	0.02517	0.02836	0.03347	0.02375	0.02738	0.03234	0.02982	0.03475	0.04195	0.03581	0.04063	0.04775	0.02555	0.03049	0.03689	0.04066	0.05137	0.05665
-Signal Transduction	MAPPED	0	0	0.00112	0.007054	0.007641	0.008668	0.001047	0.00171	0.002534	0.0008169	0.001603	0.002463	0.003121	0.00384	0.005261	0.001863	0.00267	0.003887	0.004518	0.006785	0.009565	0.005359	0.007905	0.01095	0.004863	0.008783	0.01401	0.005839	0.0108	0.01569	0.006874	0.01113	0.01525	0.003094	0.01455	0.01778
-Signaling Molecules and Interaction	MAPPED	0.007903	0.007903	0.007903	2.064e-10	2.064e-10	9.522e-05	0.009053	0.009334	0.01151	0.00714	0.007299	0.008819	0.005145	0.00535	0.005739	0.004318	0.004503	0.004769	0.01882	0.02178	0.02602	0.01719	0.01949	0.02332	0.02206	0.02547	0.03118	0.02691	0.03059	0.03462	0.01653	0.01961	0.02388	0.03649	0.03769	0.03985
Cellular Processes	MAPPED	0.05342	0.05827	0.05939	0.005329	0.006763	0.01131	0.01407	0.0152	0.01679	0.01707	0.01844	0.02104	0.03303	0.03832	0.04156	0.03332	0.03775	0.04051	0.07969	0.1063	0.1187	0.07104	0.09122	0.1079	0.1056	0.1115	0.1204	0.1224	0.128	0.1385	0.1764	0.1947	0.2084	0.1546	0.1754	0.2054
-Hemoglobin	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.496e-06	2.496e-06	5.195e-06	8.718e-06	8.718e-06	8.824e-06	0	0	0	1.615e-05	1.615e-05	4.213e-05
-Vesicular Transport	MAPPED	0	0	0	0	0	5.161e-11	0.002321	0.003253	0.004483	0.001762	0.002884	0.005379	0.003012	0.004308	0.007555	0.003103	0.004526	0.006684	0.01521	0.02161	0.02545	0.01573	0.02638	0.0296	0.009751	0.01524	0.01943	0.01193	0.01743	0.02133	0.01156	0.01921	0.02508	0.005267	0.02639	0.02941
-Cytoskeleton	MAPPED	0.02334	0.02819	0.02819	0.003404	0.003404	0.003404	0.003919	0.004095	0.004318	0.006886	0.007524	0.008722	0.002185	0.002948	0.003874	0.002314	0.003096	0.004115	0.03506	0.06251	0.06999	0.0263	0.04843	0.05452	0.07098	0.07615	0.08179	0.0759	0.08332	0.08846	0.1244	0.1356	0.1492	0.1104	0.1335	0.1587
-Cell Motility	MAPPED	0	0	0	2.58e-09	0.001434	0.005984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	MAPPED	0.03008	0.03008	0.0312	0.001777	0.001938	0.002522	0.006937	0.007736	0.008544	0.007399	0.007693	0.008072	0.02616	0.03132	0.03242	0.02615	0.0304	0.03149	0.01665	0.0191	0.02119	0.01598	0.01829	0.02046	0.01318	0.01466	0.01687	0.01678	0.01931	0.02127	0.01718	0.01967	0.02183	0.0139	0.01554	0.01819
-Cell Communication	MAPPED	0	0	0	0	0	0	0	5.194e-05	0.0004152	0	8.303e-05	0.0002376	0	6.502e-05	0.0008282	0	5.873e-05	0.0008815	0.004305	0.006209	0.008582	0.004322	0.00619	0.008726	0.005301	0.006454	0.007824	0.007386	0.01037	0.01285	0.01149	0.01475	0.02965	0.003221	0.004931	0.006432
Metabolism	MAPPED	0.5563	0.5711	0.5803	0.4621	0.468	0.4717	0.4418	0.4467	0.4516	0.5092	0.5159	0.5216	0.4385	0.4465	0.4556	0.4797	0.4893	0.4991	0.2978	0.3177	0.3388	0.3248	0.3477	0.3705	0.2093	0.2181	0.2274	0.2079	0.2154	0.2237	0.2753	0.2851	0.2977	0.2546	0.2788	0.3017
-Membrane Transport	MAPPED	0.03813	0.04768	0.05163	0.05623	0.06213	0.06744	0.01093	0.01121	0.01155	0.004465	0.00485	0.00535	0.004677	0.008148	0.01041	0.003967	0.006257	0.00883	0.001538	0.003123	0.004945	0.001359	0.002757	0.004527	0.002594	0.003384	0.004828	0.001645	0.002418	0.003678	0.001387	0.001698	0.001993	0.0004666	0.0007693	0.001242
-Central Carbon Metabolism	MAPPED	0.1599	0.1931	0.2273	0.07507	0.08721	0.09601	0.1361	0.1585	0.1806	0.1428	0.179	0.2077	0.1447	0.1802	0.2057	0.1184	0.1533	0.1842	0.08998	0.102	0.1178	0.1043	0.117	0.1366	0.04303	0.05153	0.06104	0.04747	0.05536	0.06368	0.09652	0.1063	0.1172	0.1003	0.1242	0.1396
-Energy Metabolism	MAPPED	0.007271	0.04245	0.06911	0.01457	0.02399	0.03343	0.01158	0.01992	0.04704	0.0152	0.0261	0.06025	0.01124	0.01868	0.04461	0.01341	0.02266	0.04724	0.01296	0.02036	0.04087	0.01294	0.02197	0.04112	0.01115	0.01545	0.02262	0.008918	0.01233	0.01952	0.004425	0.01049	0.0197	0.00249	0.007276	0.03085
-Biosynthesis	MAPPED	0.08027	0.1008	0.1216	0.1365	0.1482	0.1622	0.08738	0.1037	0.1256	0.1119	0.1293	0.1516	0.09443	0.1057	0.1161	0.1303	0.1455	0.1586	0.04462	0.05063	0.06362	0.04806	0.05358	0.06912	0.04187	0.04739	0.05898	0.04179	0.04912	0.05883	0.05016	0.05873	0.06863	0.02778	0.04211	0.04904
-Other Enzymes	MAPPED	0.1499	0.1806	0.2324	0.1311	0.1452	0.1607	0.122	0.1459	0.1704	0.1348	0.1681	0.2011	0.1026	0.133	0.1558	0.1251	0.1596	0.1868	0.1129	0.1334	0.1573	0.1225	0.143	0.1683	0.08413	0.09724	0.1105	0.08468	0.09414	0.1079	0.08983	0.1062	0.1229	0.06895	0.1021	0.1336
Organismal Systems	MAPPED	0	0	0	0	5.161e-11	3.716e-05	0.001446	0.00252	0.003885	0.001418	0.003312	0.005307	0.002508	0.003878	0.005372	0.002693	0.004074	0.005715	0.04931	0.05587	0.06207	0.03826	0.0441	0.05126	0.02682	0.03128	0.03663	0.03369	0.03855	0.04576	0.02593	0.03595	0.04707	0.02394	0.03231	0.05573
-Immune System	MAPPED	0	0	0	0	0	0	0.0003767	0.0009474	0.001807	0.0003839	0.001274	0.002505	0.0003801	0.001294	0.002124	0.0004742	0.00137	0.002283	0.01671	0.02145	0.02748	0.01562	0.02039	0.02644	0.006716	0.009106	0.0147	0.006947	0.009889	0.01617	0.006084	0.01246	0.02238	0.003956	0.006021	0.03199
-Endocrine System	MAPPED	0	0	0	0	0	0	1.385e-06	4.439e-05	0.0003638	1.146e-06	4.91e-05	0.0003977	0	7.632e-05	0.00102	0	6.935e-05	0.001051	0.01477	0.01594	0.01746	0.005312	0.006719	0.008536	0.002759	0.003346	0.005789	0.005707	0.006539	0.009246	0.001048	0.00174	0.006773	0.006724	0.00705	0.01117
-Circulatory System	MAPPED	0	0	0	0	0	0	0	0	4.962e-05	0	0	4.831e-05	0	0	0.0009864	0	0	0.0009925	0.002173	0.002476	0.007816	0.001885	0.002181	0.007339	0.003092	0.00448	0.006246	0.004928	0.006647	0.007661	0.001781	0.002522	0.004572	0.0005722	0.00595	0.006412
-Digestive System	MAPPED	0	0	0	0	0	3.716e-05	0	6.817e-05	0.0006273	0	4.831e-05	0.0002289	0	0.0001484	0.0007612	0	0.0001657	0.0007598	0.000494	0.001213	0.003417	0.0004576	0.0009624	0.003389	0.002125	0.004	0.005582	0.001689	0.003073	0.005109	0.003444	0.004511	0.006148	0.001305	0.00154	0.002493
-Excretory System	MAPPED	0	0	0	0	0	5.161e-11	9.512e-05	0.0007681	0.001692	9.491e-05	0.001307	0.002964	7.833e-05	0.001158	0.002285	9.85e-05	0.001268	0.002412	0.002302	0.007	0.009556	0.002381	0.006751	0.00897	0.001982	0.003221	0.004939	0.002786	0.004483	0.007589	0.00202	0.004879	0.009114	0.0009656	0.003336	0.005714
