Numerator	Denominator	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck
		10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%
-Membrane Transport	TOTAL	0.02492	0.04407	0.04791	0.058	0.06275	0.06689	0.008405	0.00877	0.009175	0.003705	0.004031	0.004466	0.007754	0.01184	0.01426	0.004696	0.007416	0.009956	0.001587	0.002447	0.003279	0.001461	0.001916	0.002519	0.002445	0.002992	0.003568	0.001507	0.00199	0.002509	0.001122	0.001387	0.001563	0.0003772	0.0006741	0.0008898
-Central Carbon Metabolism	TOTAL	0.1297	0.1554	0.1879	0.1068	0.1225	0.1355	0.1176	0.138	0.1586	0.1166	0.1442	0.1743	0.1259	0.1567	0.1873	0.1084	0.1415	0.1747	0.07272	0.0818	0.09445	0.08559	0.0944	0.1096	0.0402	0.04732	0.05425	0.0431	0.0489	0.05579	0.06162	0.06708	0.0728	0.1069	0.1256	0.1392
-Energy Metabolism	TOTAL	0.006358	0.03822	0.06045	0.01873	0.03012	0.04058	0.01224	0.02435	0.04682	0.0189	0.03583	0.05559	0.0121	0.02181	0.0465	0.01232	0.02174	0.04559	0.007456	0.01362	0.0342	0.00775	0.01473	0.0334	0.006948	0.01083	0.01788	0.005423	0.008389	0.01406	0.002928	0.005384	0.01208	0.001932	0.008722	0.02575
-Biosynthesis	TOTAL	0.06485	0.08492	0.1081	0.1658	0.1886	0.2128	0.1122	0.1304	0.152	0.1422	0.1722	0.2026	0.1102	0.123	0.136	0.1434	0.1599	0.1803	0.0393	0.0452	0.05416	0.04144	0.04916	0.05771	0.04344	0.05106	0.05898	0.0371	0.04486	0.05202	0.03986	0.05431	0.06342	0.02516	0.04429	0.05104
-Other Enzymes	TOTAL	0.1117	0.1436	0.186	0.146	0.1696	0.1971	0.1365	0.1589	0.1849	0.1478	0.1834	0.2254	0.1066	0.1375	0.1641	0.1286	0.1671	0.1955	0.0984	0.1108	0.1253	0.1061	0.1183	0.1363	0.07937	0.08863	0.1025	0.07668	0.08428	0.09355	0.06655	0.0783	0.09179	0.06526	0.08662	0.1084
Organismal Systems	TOTAL	0	0	0	0	2.626e-11	6e-05	0.001307	0.002746	0.005528	0.0009583	0.002429	0.005756	0.001546	0.00282	0.005034	0.001615	0.002869	0.005709	0.03301	0.03793	0.04402	0.03031	0.03569	0.04128	0.02281	0.02805	0.03467	0.02641	0.03128	0.03759	0.01865	0.02753	0.04352	0.01683	0.02468	0.03576
-Immune System	TOTAL	0	0	0	0	0	0	0.0002576	0.001008	0.001888	0.0002499	0.0009695	0.002064	0.000342	0.0008472	0.001443	0.0003467	0.0009003	0.001511	0.01412	0.01842	0.0225	0.01483	0.01898	0.02409	0.005737	0.008101	0.01202	0.005707	0.008138	0.01244	0.00471	0.008861	0.01433	0.003506	0.006436	0.01946
-Endocrine System	TOTAL	0	0	0	0	0	0	3.185e-06	7.165e-05	0.00023	2.47e-06	6.398e-05	0.000389	0	7.77e-05	0.0003896	0	5.56e-05	0.000457	0.005153	0.006799	0.008165	0.002721	0.004792	0.006526	0.002039	0.002707	0.009455	0.002718	0.00357	0.009258	0.0009115	0.001468	0.01929	0.002794	0.00313	0.005529
-Circulatory System	TOTAL	0	0	0	0	0	0	0	0	3.144e-05	0	0	3.61e-05	0	0	0.0006209	0	0	0.0006077	0.001202	0.001602	0.002183	0.001042	0.001378	0.001993	0.002323	0.003034	0.004482	0.004027	0.004881	0.005791	0.001401	0.00184	0.003042	0.0005464	0.003731	0.004027
-Digestive System	TOTAL	0	0	0	0	0	6e-05	0	0.0001052	0.000681	0	3.61e-05	0.0002189	0	0.0001894	0.00058	0	0.0002077	0.0005877	0.0004812	0.0009485	0.003578	0.0003848	0.0008309	0.003705	0.002219	0.004554	0.006996	0.001754	0.003476	0.005116	0.00265	0.003868	0.005164	0.001199	0.001521	0.002281
-Excretory System	TOTAL	0	0	0	0	0	2.626e-11	1.762e-05	0.0005462	0.003235	4.858e-05	0.0008703	0.004015	7.089e-05	0.0007898	0.00314	8.534e-05	0.0008162	0.003751	0.001856	0.004944	0.007889	0.001784	0.00416	0.006475	0.001529	0.003037	0.006727	0.002109	0.004266	0.008926	0.001132	0.00251	0.01465	0.001111	0.003386	0.007519
-Nervous System	TOTAL	0	0	0	0	0	2.626e-11	0	4.277e-05	0.0002083	0	4.482e-05	0.0001577	0	8.412e-05	0.0005853	0	9.934e-05	0.0006077	0.0009167	0.002677	0.004588	0.0008842	0.002689	0.004556	0.0009808	0.001764	0.002719	0.0009384	0.001765	0.002827	0.0005994	0.001341	0.002138	0.0006567	0.001829	0.002678
-Sensory System	TOTAL	0	0	0	0	0	0	0	0	0.0003787	0	0	0.0001082	0	0	0.0002664	0	0	0.0002882	0	0	0.0005894	0	0	0.0003392	0	0.0001681	0.0008026	0	0.0001944	0.001036	5.112e-06	8.438e-05	0.0001932	1.952e-13	7.873e-06	0.001686
-Development	TOTAL	0	0	0	0	0	0	0	0	0.0001883	0	0	0.0004185	0	0	0.000227	0	0	0.0002712	0.0006657	0.001197	0.002566	0.0006254	0.001205	0.002476	0.000715	0.000984	0.003274	0.0009583	0.001298	0.003823	0.001589	0.001863	0.004618	0.0008311	0.001048	0.01434
-Environmental Adaptation	TOTAL	0	0	0	0	0	0	0	0	0.001195	0	0	0.0002949	0	0	0.000314	0	0	0.0002918	0	0.0002188	0.003328	0	0.0002251	0.002739	2.213e-06	0.0002493	0.003234	6.526e-06	0.0002916	0.002918	2.056e-05	7.106e-05	0.003046	6.57e-06	0.0001003	0.00161
Human Diseases	TOTAL	0	0.0504	0.08934	0.0003463	0.005636	0.01152	0.007973	0.01225	0.01854	0.008229	0.01607	0.0232	0.007321	0.01235	0.01759	0.00911	0.01395	0.01877	0.05014	0.06777	0.07945	0.04798	0.06451	0.07517	0.04641	0.0576	0.06425	0.04101	0.05244	0.06396	0.03688	0.05902	0.09386	0.02999	0.03926	0.05609
-Cancers	TOTAL	0	0	0.002667	0	2.626e-11	7.112e-05	0.0001637	0.0006118	0.001085	0.0001115	0.0007697	0.002005	6.11e-05	0.0004319	0.0007281	8.379e-05	0.0003521	0.0006883	0.0044	0.00734	0.01098	0.004416	0.007129	0.01041	0.004355	0.006095	0.008486	0.004451	0.006204	0.008255	0.002871	0.00478	0.006791	0.002215	0.002931	0.004285
-Immune System Diseases	TOTAL	0	0	0	0	2.626e-11	7.232e-05	6.924e-05	0.0002749	0.001687	7.782e-05	0.0005645	0.001843	0.0006617	0.003126	0.004761	0.0007679	0.003462	0.005298	0.001844	0.002789	0.004201	0.001566	0.002473	0.003933	0.004981	0.01186	0.01767	0.003908	0.009549	0.01282	0.000562	0.0009896	0.001591	0.001308	0.006244	0.009773
-Neurodegenerative Diseases	TOTAL	0	0	0	0	0	0	0.002181	0.005727	0.01205	0.002114	0.005279	0.0101	0.001384	0.004637	0.008312	0.002732	0.006279	0.009997	0.01185	0.02507	0.03513	0.01107	0.023	0.0314	0.01098	0.01616	0.02164	0.009196	0.01299	0.01857	0.007383	0.01397	0.02217	0.004175	0.007919	0.01157
-Cardiovascular Diseases	TOTAL	0	0	0	0	0	0	0	0	0.0001065	0	0	0.000302	0	0	0.0001022	0	0	0.000123	0.000839	0.006177	0.01539	0.0009791	0.003403	0.01289	0.002419	0.006333	0.01017	0.00124	0.003955	0.01599	0.002832	0.007312	0.04998	0.0003284	0.003512	0.01102
-Metabolic Diseases	TOTAL	0	0	0.0504	0	0	0.004633	0	0	0.00206	0	0	0.004658	0	0	0	0	0	0	0	0	0.00428	0	0	0.007512	3.293e-06	1.929e-05	0.005016	4.97e-07	7.817e-06	0.004738	4.016e-18	1.765e-05	0.01558	0	1.952e-13	0.009465
