Numerator	Denominator	eco Valgepea 2013 11	eco Valgepea 2013 21	eco Valgepea 2013 31	eco Valgepea 2013 40	eco Valgepea 2013 48	eco Valgepea 2013 11	eco Valgepea 2013 21	eco Valgepea 2013 31	eco Valgepea 2013 40	eco Valgepea 2013 48	eco Valgepea 2013 11	eco Valgepea 2013 21	eco Valgepea 2013 31	eco Valgepea 2013 40	eco Valgepea 2013 48
		10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%
-Transcription	MAPPED	0.003908	0.004339	0.01072	0.004368	0.004838	0.01194	0.004546	0.005041	0.01261	0.004789	0.005287	0.0127	0.004798	0.005326	0.01351
-Translation	MAPPED	0.1536	0.1537	0.1554	0.1703	0.1703	0.1717	0.1945	0.1945	0.196	0.2121	0.2121	0.2136	0.2379	0.238	0.2397
-Folding, Sorting and Degradation	MAPPED	0.03028	0.03301	0.03517	0.02925	0.03176	0.03498	0.02841	0.03114	0.03437	0.02733	0.02986	0.03283	0.02653	0.0291	0.03227
-DNA Maintenance	MAPPED	0.01083	0.0115	0.01662	0.0111	0.01178	0.01764	0.01027	0.01092	0.01687	0.009294	0.01001	0.01567	0.009095	0.01001	0.01625
-RNA Family	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	MAPPED	0.01292	0.01292	0.01341	0.01356	0.01356	0.01381	0.01197	0.01197	0.01223	0.01067	0.01067	0.01093	0.009224	0.009224	0.009422
-Signal Transduction	MAPPED	0.01292	0.01292	0.01341	0.01356	0.01356	0.01359	0.01197	0.01197	0.01199	0.01067	0.01067	0.0107	0.009224	0.009224	0.009247
-Signaling Molecules and Interaction	MAPPED	0	0	0.000331	0	0	0.0002463	0	0	0.0002687	0	0	0.0002583	0	0	0.0001974
Cellular Processes	MAPPED	0.002461	0.01132	0.02575	0.002465	0.007691	0.01825	0.002313	0.008341	0.01784	0.00218	0.008581	0.01584	0.002553	0.007285	0.01163
-Hemoglobin	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	MAPPED	0.0003385	0.0003385	0.0003385	0.000162	0.000162	0.000162	0.0001309	0.0001309	0.0001309	0.0001113	0.0001113	0.0001113	0.00011	0.00011	0.00011
-Cytoskeleton	MAPPED	0	0.001146	0.002334	0	0.001164	0.002347	0	0.001027	0.002171	0	0.001087	0.002003	0	0.001195	0.001982
-Cell Motility	MAPPED	0	0.006137	0.02253	0	0.00337	0.01507	0	0.00406	0.01471	0	0.004417	0.01266	0	0.004348	0.009541
-Cell Growth and Death	MAPPED	1.328e-07	0.00171	0.002713	1.102e-07	0.001828	0.002995	8.341e-08	0.00194	0.003124	7.343e-08	0.001959	0.002966	6.675e-08	0.002188	0.003459
-Cell Communication	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metabolism	MAPPED	0.4061	0.4177	0.4244	0.4566	0.4708	0.477	0.4462	0.4604	0.4675	0.45	0.464	0.4688	0.4418	0.4543	0.4585
