KO number	eco WeiLi old	eco WeiLi complete	eco WeiLi minimal	eco WeiLi without methionine
K13917	NaN	NaN	NaN	NaN
K00565	NaN	NaN	NaN	NaN
K14396	NaN	NaN	NaN	NaN
K14397	NaN	NaN	NaN	NaN
K14398	NaN	NaN	NaN	NaN
K14376	NaN	NaN	NaN	NaN
K14399	NaN	NaN	NaN	NaN
K14400	NaN	NaN	NaN	NaN
K14401	NaN	NaN	NaN	NaN
K14402	NaN	NaN	NaN	NaN
K14403	NaN	NaN	NaN	NaN
K14404	NaN	NaN	NaN	NaN
K14405	NaN	NaN	NaN	NaN
K14406	NaN	NaN	NaN	NaN
K14407	NaN	NaN	NaN	NaN
K14408	NaN	NaN	NaN	NaN
K06100	NaN	NaN	NaN	NaN
K14411	NaN	NaN	NaN	NaN
K08873	NaN	NaN	NaN	NaN
K14409	NaN	NaN	NaN	NaN
K11125	NaN	NaN	NaN	NaN
K04382	NaN	NaN	NaN	NaN
K03456	NaN	NaN	NaN	NaN
K04354	NaN	NaN	NaN	NaN
K11583	NaN	NaN	NaN	NaN
K11584	NaN	NaN	NaN	NaN
K14416	NaN	NaN	NaN	NaN
K06965	NaN	NaN	NaN	NaN
K03115	NaN	NaN	NaN	NaN
K03097	NaN	NaN	NaN	NaN
K14544	NaN	NaN	NaN	NaN
K14545	NaN	NaN	NaN	NaN
K14546	NaN	NaN	NaN	NaN
K14547	NaN	NaN	NaN	NaN
K14548	NaN	NaN	NaN	NaN
K14549	NaN	NaN	NaN	NaN
K14550	NaN	NaN	NaN	NaN
K14551	NaN	NaN	NaN	NaN
K14552	NaN	NaN	NaN	NaN
K14553	NaN	NaN	NaN	NaN
K14554	NaN	NaN	NaN	NaN
K14555	NaN	NaN	NaN	NaN
K14556	NaN	NaN	NaN	NaN
K14557	NaN	NaN	NaN	NaN
K14558	NaN	NaN	NaN	NaN
K14559	NaN	NaN	NaN	NaN
K14560	NaN	NaN	NaN	NaN
K14561	NaN	NaN	NaN	NaN
K14562	NaN	NaN	NaN	NaN
K14563	NaN	NaN	NaN	NaN
K14564	NaN	NaN	NaN	NaN
K14565	NaN	NaN	NaN	NaN
K11131	NaN	NaN	NaN	NaN
K11129	NaN	NaN	NaN	NaN
K11128	NaN	NaN	NaN	NaN
K11130	NaN	NaN	NaN	NaN
K14566	NaN	NaN	NaN	NaN
K14567	NaN	NaN	NaN	NaN
K14568	NaN	NaN	NaN	NaN
K14569	NaN	NaN	NaN	NaN
K14521	NaN	NaN	NaN	NaN
K11108	NaN	NaN	NaN	NaN
K14570	NaN	NaN	NaN	NaN
K13288	NaN	NaN	NaN	NaN
K12618	NaN	NaN	NaN	NaN
K12619	NaN	NaN	NaN	NaN
K06943	NaN	NaN	NaN	NaN
