KO number	eco WeiLi old	eco WeiLi complete	eco WeiLi minimal	eco WeiLi without methionine
K04570	NaN	NaN	NaN	NaN
K04705	NaN	NaN	NaN	NaN
K05697	NaN	NaN	NaN	NaN
K05849	NaN	NaN	NaN	NaN
K05850	NaN	NaN	NaN	NaN
K04632	NaN	NaN	NaN	NaN
K04633	NaN	NaN	NaN	NaN
K05853	NaN	NaN	NaN	NaN
K05218	NaN	NaN	NaN	NaN
K05208	NaN	NaN	NaN	NaN
K04961	NaN	NaN	NaN	NaN
K04962	NaN	NaN	NaN	NaN
K04248	NaN	NaN	NaN	NaN
K04634	NaN	NaN	NaN	NaN
K04635	NaN	NaN	NaN	NaN
K05857	NaN	NaN	NaN	NaN
K04958	NaN	NaN	NaN	NaN
K04960	NaN	NaN	NaN	NaN
K01242	NaN	NaN	NaN	NaN
K05862	NaN	NaN	NaN	NaN
K15040	NaN	NaN	NaN	NaN
K15041	NaN	NaN	NaN	NaN
K05863	NaN	NaN	NaN	NaN
K05865	NaN	NaN	NaN	NaN
K12042	NaN	NaN	NaN	NaN
K02183	NaN	NaN	NaN	NaN
K00871	NaN	NaN	NaN	NaN
K07190	NaN	NaN	NaN	NaN
K00907	NaN	NaN	NaN	NaN
K05869	NaN	NaN	NaN	NaN
K13240	NaN	NaN	NaN	NaN
K13241	NaN	NaN	NaN	NaN
K13755	NaN	NaN	NaN	NaN
K05871	NaN	NaN	NaN	NaN
K00911	NaN	NaN	NaN	NaN
K00888	NaN	NaN	NaN	NaN
K13711	NaN	NaN	NaN	NaN
K00889	NaN	NaN	NaN	NaN
K00901	1366278	207522	81130	127246
K00913	NaN	NaN	NaN	NaN
K00914	NaN	NaN	NaN	NaN
K00915	NaN	NaN	NaN	NaN
K00920	NaN	NaN	NaN	NaN
K00921	NaN	NaN	NaN	NaN
K00923	NaN	NaN	NaN	NaN
K10572	NaN	NaN	NaN	NaN
K00981	3913970	209475	51870	82365
K00999	NaN	NaN	NaN	NaN
K01092	32985981	3126837	424797	471789
K01099	NaN	NaN	NaN	NaN
K01110	NaN	NaN	NaN	NaN
K01106	NaN	NaN	NaN	NaN
K01107	NaN	NaN	NaN	NaN
K01108	NaN	NaN	NaN	NaN
K01109	NaN	NaN	NaN	NaN
K01116	NaN	NaN	NaN	NaN
K03084	NaN	NaN	NaN	NaN
K06276	NaN	NaN	NaN	NaN
K07206	NaN	NaN	NaN	NaN
K07207	NaN	NaN	NaN	NaN
K07208	NaN	NaN	NaN	NaN
K08266	NaN	NaN	NaN	NaN
K07204	NaN	NaN	NaN	NaN
K08267	NaN	NaN	NaN	NaN
K08269	NaN	NaN	NaN	NaN
K08271	NaN	NaN	NaN	NaN
K08272	NaN	NaN	NaN	NaN
K07198	NaN	NaN	NaN	NaN
K13946	NaN	NaN	NaN	NaN
K14484	NaN	NaN	NaN	NaN
K14485	NaN	NaN	NaN	NaN
K14486	NaN	NaN	NaN	NaN
K14487	NaN	NaN	NaN	NaN
K14488	NaN	NaN	NaN	NaN
K14489	NaN	NaN	NaN	NaN
K14490	NaN	NaN	NaN	NaN
K14491	NaN	NaN	NaN	NaN
K14492	NaN	NaN	NaN	NaN
K14494	NaN	NaN	NaN	NaN
K14496	NaN	NaN	NaN	NaN
K14497	NaN	NaN	NaN	NaN
K14498	NaN	NaN	NaN	NaN
K14509	NaN	NaN	NaN	NaN
K14510	NaN	NaN	NaN	NaN
K14513	NaN	NaN	NaN	NaN
K14515	NaN	NaN	NaN	NaN
K14499	NaN	NaN	NaN	NaN
K14500	NaN	NaN	NaN	NaN
K14501	NaN	NaN	NaN	NaN
K14503	NaN	NaN	NaN	NaN
K14505	NaN	NaN	NaN	NaN
K14506	NaN	NaN	NaN	NaN
K13464	NaN	NaN	NaN	NaN
K14508	NaN	NaN	NaN	NaN
K04196	NaN	NaN	NaN	NaN
K04250	NaN	NaN	NaN	NaN
K04577	NaN	NaN	NaN	NaN
K04596	NaN	NaN	NaN	NaN
K04615	NaN	NaN	NaN	NaN
K04527	NaN	NaN	NaN	NaN
K05087	NaN	NaN	NaN	NaN
K05090	NaN	NaN	NaN	NaN
K05091	NaN	NaN	NaN	NaN
K05099	NaN	NaN	NaN	NaN
K05105	NaN	NaN	NaN	NaN
K05111	NaN	NaN	NaN	NaN
K02583	NaN	NaN	NaN	NaN
K04723	NaN	NaN	NaN	NaN
K05175	NaN	NaN	NaN	NaN
K05195	NaN	NaN	NaN	NaN
K05197	NaN	NaN	NaN	NaN
K05198	NaN	NaN	NaN	NaN
K05199	NaN	NaN	NaN	NaN
K04839	NaN	NaN	NaN	NaN
K05391	NaN	NaN	NaN	NaN
K05003	NaN	NaN	NaN	NaN
K05009	NaN	NaN	NaN	NaN
K05011	NaN	NaN	NaN	NaN
K05027	NaN	NaN	NaN	NaN
K05030	NaN	NaN	NaN	NaN
K05034	NaN	NaN	NaN	NaN
K09864	NaN	NaN	NaN	NaN
K06188	229383	14553	5775	924
K08771	NaN	NaN	NaN	NaN
K02440	123078	8430	2248	1686
K05224	NaN	NaN	NaN	NaN
K05236	NaN	NaN	NaN	NaN
K05254	NaN	NaN	NaN	NaN
K05259	NaN	NaN	NaN	NaN
K05770	NaN	NaN	NaN	NaN
K10029	NaN	NaN	NaN	NaN
K10034	NaN	NaN	NaN	NaN
K05407	NaN	NaN	NaN	NaN
K05451	NaN	NaN	NaN	NaN
K13769	NaN	NaN	NaN	NaN
K05463	NaN	NaN	NaN	NaN
K05465	NaN	NaN	NaN	NaN
K06236	NaN	NaN	NaN	NaN
K06237	NaN	NaN	NaN	NaN
K06238	NaN	NaN	NaN	NaN
K05637	NaN	NaN	NaN	NaN
K06240	NaN	NaN	NaN	NaN
K06241	NaN	NaN	NaN	NaN
K05636	NaN	NaN	NaN	NaN
K06243	NaN	NaN	NaN	NaN
K05635	NaN	NaN	NaN	NaN
K06246	NaN	NaN	NaN	NaN
K05717	NaN	NaN	NaN	NaN
K06252	NaN	NaN	NaN	NaN
K06254	NaN	NaN	NaN	NaN
K06255	NaN	NaN	NaN	NaN
K06480	NaN	NaN	NaN	NaN
K06481	NaN	NaN	NaN	NaN
K06476	NaN	NaN	NaN	NaN
K06482	NaN	NaN	NaN	NaN
K06483	NaN	NaN	NaN	NaN
K06485	NaN	NaN	NaN	NaN
K06583	NaN	NaN	NaN	NaN
K06584	NaN	NaN	NaN	NaN
K06487	NaN	NaN	NaN	NaN
K05719	NaN	NaN	NaN	NaN
K06493	NaN	NaN	NaN	NaN
K06525	NaN	NaN	NaN	NaN
K06588	NaN	NaN	NaN	NaN
K06258	NaN	NaN	NaN	NaN
K06259	NaN	NaN	NaN	NaN
K06261	NaN	NaN	NaN	NaN
K06265	NaN	NaN	NaN	NaN
K06266	NaN	NaN	NaN	NaN
K06449	NaN	NaN	NaN	NaN
K06752	NaN	NaN	NaN	NaN
K06454	NaN	NaN	NaN	NaN
K06751	NaN	NaN	NaN	NaN
K06458	NaN	NaN	NaN	NaN
K06547	NaN	NaN	NaN	NaN
K05718	NaN	NaN	NaN	NaN
K06464	NaN	NaN	NaN	NaN
K06490	NaN	NaN	NaN	NaN
K06523	NaN	NaN	NaN	NaN
K06467	NaN	NaN	NaN	NaN
K06478	NaN	NaN	NaN	NaN
K06477	NaN	NaN	NaN	NaN
K06087	NaN	NaN	NaN	NaN
K06088	NaN	NaN	NaN	NaN
K06089	NaN	NaN	NaN	NaN
K06787	NaN	NaN	NaN	NaN
K06533	NaN	NaN	NaN	NaN
K06471	NaN	NaN	NaN	NaN
K06520	NaN	NaN	NaN	NaN
K06527	NaN	NaN	NaN	NaN
K06474	NaN	NaN	NaN	NaN
K06816	NaN	NaN	NaN	NaN
K06081	NaN	NaN	NaN	NaN
K06736	NaN	NaN	NaN	NaN
K06491	NaN	NaN	NaN	NaN
K06550	NaN	NaN	NaN	NaN
K06775	NaN	NaN	NaN	NaN
K05695	NaN	NaN	NaN	NaN
K07377	NaN	NaN	NaN	NaN
K07378	NaN	NaN	NaN	NaN
K06780	NaN	NaN	NaN	NaN
K06756	NaN	NaN	NaN	NaN
K06759	NaN	NaN	NaN	NaN
K05693	NaN	NaN	NaN	NaN
K06760	NaN	NaN	NaN	NaN
K06757	NaN	NaN	NaN	NaN
K07379	NaN	NaN	NaN	NaN
K07380	NaN	NaN	NaN	NaN
K06770	NaN	NaN	NaN	NaN
K05689	NaN	NaN	NaN	NaN
K06793	NaN	NaN	NaN	NaN
K06766	NaN	NaN	NaN	NaN
K06479	NaN	NaN	NaN	NaN
K06594	NaN	NaN	NaN	NaN
K06753	NaN	NaN	NaN	NaN
K06754	NaN	NaN	NaN	NaN
K06514	NaN	NaN	NaN	NaN
K06823	NaN	NaN	NaN	NaN
K06788	NaN	NaN	NaN	NaN
K05625	NaN	NaN	NaN	NaN
K03917	NaN	NaN	NaN	NaN
K03903	NaN	NaN	NaN	NaN
K03904	NaN	NaN	NaN	NaN
K03905	NaN	NaN	NaN	NaN
K03990	NaN	NaN	NaN	NaN
K06724	NaN	NaN	NaN	NaN
K06521	NaN	NaN	NaN	NaN
K06820	NaN	NaN	NaN	NaN
K06821	NaN	NaN	NaN	NaN
K06452	NaN	NaN	NaN	NaN
K06466	NaN	NaN	NaN	NaN
K04012	NaN	NaN	NaN	NaN
K01510	NaN	NaN	NaN	NaN
K06497	NaN	NaN	NaN	NaN
K06503	NaN	NaN	NaN	NaN
K06504	NaN	NaN	NaN	NaN
K01081	NaN	NaN	NaN	NaN
K06505	NaN	NaN	NaN	NaN
K06508	NaN	NaN	NaN	NaN
K06509	NaN	NaN	NaN	NaN
K04550	NaN	NaN	NaN	NaN
K06519	NaN	NaN	NaN	NaN
K06528	NaN	NaN	NaN	NaN
K06532	NaN	NaN	NaN	NaN
K05698	NaN	NaN	NaN	NaN
K06551	NaN	NaN	NaN	NaN
K01513	NaN	NaN	NaN	NaN
K06558	NaN	NaN	NaN	NaN
K06560	NaN	NaN	NaN	NaN
K06562	NaN	NaN	NaN	NaN
K06563	NaN	NaN	NaN	NaN
K06564	NaN	NaN	NaN	NaN
K06573	NaN	NaN	NaN	NaN
K05658	NaN	NaN	NaN	NaN
K05401	NaN	NaN	NaN	NaN
K01540	NaN	NaN	NaN	NaN
K05681	NaN	NaN	NaN	NaN
K07361	NaN	NaN	NaN	NaN
K07985	NaN	NaN	NaN	NaN
K07990	NaN	NaN	NaN	NaN
K07360	NaN	NaN	NaN	NaN
K04630	NaN	NaN	NaN	NaN
K04534	NaN	NaN	NaN	NaN
K04535	NaN	NaN	NaN	NaN
K04639	NaN	NaN	NaN	NaN
K04536	NaN	NaN	NaN	NaN
K04537	NaN	NaN	NaN	NaN
K07825	NaN	NaN	NaN	NaN
K04538	NaN	NaN	NaN	NaN
K04539	NaN	NaN	NaN	NaN
K07826	NaN	NaN	NaN	NaN
K04542	NaN	NaN	NaN	NaN
K04543	NaN	NaN	NaN	NaN
K04545	NaN	NaN	NaN	NaN
K04546	NaN	NaN	NaN	NaN
K04547	NaN	NaN	NaN	NaN
K04548	NaN	NaN	NaN	NaN
K04549	NaN	NaN	NaN	NaN
K07834	NaN	NaN	NaN	NaN
K07835	NaN	NaN	NaN	NaN
K07863	NaN	NaN	NaN	NaN
K07874	NaN	NaN	NaN	NaN
K07875	NaN	NaN	NaN	NaN
K07879	NaN	NaN	NaN	NaN
K07882	NaN	NaN	NaN	NaN
K06108	NaN	NaN	NaN	NaN
K07884	NaN	NaN	NaN	NaN
K07886	NaN	NaN	NaN	NaN
K07887	NaN	NaN	NaN	NaN
K07888	NaN	NaN	NaN	NaN
K07889	NaN	NaN	NaN	NaN
K07891	NaN	NaN	NaN	NaN
K07897	NaN	NaN	NaN	NaN
K07899	NaN	NaN	NaN	NaN
K07900	NaN	NaN	NaN	NaN
K07901	NaN	NaN	NaN	NaN
K06109	NaN	NaN	NaN	NaN
K07904	NaN	NaN	NaN	NaN
K07937	NaN	NaN	NaN	NaN
K07941	NaN	NaN	NaN	NaN
K10062	NaN	NaN	NaN	NaN
K10063	NaN	NaN	NaN	NaN
K03991	NaN	NaN	NaN	NaN
K10067	NaN	NaN	NaN	NaN
K10068	NaN	NaN	NaN	NaN
K11038	NaN	NaN	NaN	NaN
K11068	116727	11607	8760	9417
K11139	28800	1200	3300	8.9
K01114	NaN	NaN	NaN	NaN
K01186	NaN	NaN	NaN	NaN
K01197	NaN	NaN	NaN	NaN
eco_b3510	841750	249900	6651750	223650
K01528	NaN	NaN	NaN	NaN
K01115	NaN	NaN	NaN	NaN
K04644	NaN	NaN	NaN	NaN
K04645	NaN	NaN	NaN	NaN
K04646	NaN	NaN	NaN	NaN
K11824	NaN	NaN	NaN	NaN
K11825	NaN	NaN	NaN	NaN
K11826	NaN	NaN	NaN	NaN
K11827	NaN	NaN	NaN	NaN
K12469	NaN	NaN	NaN	NaN
K12470	NaN	NaN	NaN	NaN
K11247	NaN	NaN	NaN	NaN
K11248	NaN	NaN	NaN	NaN
K12471	NaN	NaN	NaN	NaN
K12472	NaN	NaN	NaN	NaN
K12473	NaN	NaN	NaN	NaN
K12474	NaN	NaN	NaN	NaN
K12475	NaN	NaN	NaN	NaN
K00909	NaN	NaN	NaN	NaN
K00910	NaN	NaN	NaN	NaN
K06278	NaN	NaN	NaN	NaN
K12958	NaN	NaN	NaN	NaN
K12182	NaN	NaN	NaN	NaN
K12183	NaN	NaN	NaN	NaN
K12186	NaN	NaN	NaN	NaN
K12184	NaN	NaN	NaN	NaN
K12185	NaN	NaN	NaN	NaN
K12188	NaN	NaN	NaN	NaN
K12190	NaN	NaN	NaN	NaN
K12189	NaN	NaN	NaN	NaN
K12195	NaN	NaN	NaN	NaN
K12194	NaN	NaN	NaN	NaN
K12193	NaN	NaN	NaN	NaN
K12191	NaN	NaN	NaN	NaN
K12192	NaN	NaN	NaN	NaN
K15053	NaN	NaN	NaN	NaN
K12196	NaN	NaN	NaN	NaN
K12199	NaN	NaN	NaN	NaN
K12197	NaN	NaN	NaN	NaN
K12198	NaN	NaN	NaN	NaN
K12200	NaN	NaN	NaN	NaN
K12476	NaN	NaN	NaN	NaN
K12477	NaN	NaN	NaN	NaN
K12478	NaN	NaN	NaN	NaN
K12479	NaN	NaN	NaN	NaN
K12480	NaN	NaN	NaN	NaN
K12481	NaN	NaN	NaN	NaN
K12482	NaN	NaN	NaN	NaN
K12483	NaN	NaN	NaN	NaN
K12484	NaN	NaN	NaN	NaN
K12485	NaN	NaN	NaN	NaN
K06093	NaN	NaN	NaN	NaN
K06069	NaN	NaN	NaN	NaN
K12486	NaN	NaN	NaN	NaN
K05737	NaN	NaN	NaN	NaN
K12487	NaN	NaN	NaN	NaN
K12488	NaN	NaN	NaN	NaN
K12489	NaN	NaN	NaN	NaN
K12490	NaN	NaN	NaN	NaN
K12491	NaN	NaN	NaN	NaN
K12492	NaN	NaN	NaN	NaN
K12493	NaN	NaN	NaN	NaN
K12494	NaN	NaN	NaN	NaN
K12495	NaN	NaN	NaN	NaN
K13882	NaN	NaN	NaN	NaN
K02145	NaN	NaN	NaN	NaN
K02147	NaN	NaN	NaN	NaN
K02148	NaN	NaN	NaN	NaN
K02149	NaN	NaN	NaN	NaN
K02150	NaN	NaN	NaN	NaN
K02151	NaN	NaN	NaN	NaN
K02152	NaN	NaN	NaN	NaN
K02154	NaN	NaN	NaN	NaN
K02146	NaN	NaN	NaN	NaN
K02144	NaN	NaN	NaN	NaN
K02155	NaN	NaN	NaN	NaN
K03661	NaN	NaN	NaN	NaN
K03662	NaN	NaN	NaN	NaN
K07374	NaN	NaN	NaN	NaN
K07375	NaN	NaN	NaN	NaN
K05653	NaN	NaN	NaN	NaN
K13885	NaN	NaN	NaN	NaN
K08008	NaN	NaN	NaN	NaN
K08010	NaN	NaN	NaN	NaN
K08012	NaN	NaN	NaN	NaN
K01189	NaN	NaN	NaN	NaN
K12309	NaN	NaN	NaN	NaN
K12316	NaN	NaN	NaN	NaN
K01201	NaN	NaN	NaN	NaN
K01204	NaN	NaN	NaN	NaN
K01205	NaN	NaN	NaN	NaN
K01202	NaN	NaN	NaN	NaN
K01195	177885	5427	3015	8.9
K01192	NaN	NaN	NaN	NaN
K12311	NaN	NaN	NaN	NaN
K01134	NaN	NaN	NaN	NaN
K01135	NaN	NaN	NaN	NaN
K01132	NaN	NaN	NaN	NaN
K01137	NaN	NaN	NaN	NaN
K01136	NaN	NaN	NaN	NaN
K01565	NaN	NaN	NaN	NaN
K01052	NaN	NaN	NaN	NaN
K06129	NaN	NaN	NaN	NaN
K12350	NaN	NaN	NaN	NaN
K01444	NaN	NaN	NaN	NaN
K12382	NaN	NaN	NaN	NaN
K12383	NaN	NaN	NaN	NaN
K01074	NaN	NaN	NaN	NaN
K12384	NaN	NaN	NaN	NaN
K13443	NaN	NaN	NaN	NaN
K12386	NaN	NaN	NaN	NaN
K12387	NaN	NaN	NaN	NaN
K05656	NaN	NaN	NaN	NaN
K12388	NaN	NaN	NaN	NaN
K12307	NaN	NaN	NaN	NaN
K10532	NaN	NaN	NaN	NaN
K13444	NaN	NaN	NaN	NaN
K12391	NaN	NaN	NaN	NaN
K12392	NaN	NaN	NaN	NaN
K12393	NaN	NaN	NaN	NaN
K12394	NaN	NaN	NaN	NaN
K12396	NaN	NaN	NaN	NaN
K12397	NaN	NaN	NaN	NaN
K12398	NaN	NaN	NaN	NaN
K12399	NaN	NaN	NaN	NaN
K12403	NaN	NaN	NaN	NaN
K12404	NaN	NaN	NaN	NaN
K13335	NaN	NaN	NaN	NaN
K13336	NaN	NaN	NaN	NaN
K13337	NaN	NaN	NaN	NaN
K05677	NaN	NaN	NaN	NaN
K13338	NaN	NaN	NaN	NaN
K13342	NaN	NaN	NaN	NaN
K13343	NaN	NaN	NaN	NaN
K13345	NaN	NaN	NaN	NaN
K13346	NaN	NaN	NaN	NaN
K06664	NaN	NaN	NaN	NaN
K13347	NaN	NaN	NaN	NaN
K13348	NaN	NaN	NaN	NaN
K13349	NaN	NaN	NaN	NaN
K13350	NaN	NaN	NaN	NaN
K13352	NaN	NaN	NaN	NaN
K13353	NaN	NaN	NaN	NaN
K13354	NaN	NaN	NaN	NaN
K12261	NaN	NaN	NaN	NaN
K01796	NaN	NaN	NaN	NaN
K00477	NaN	NaN	NaN	NaN
K00232	NaN	NaN	NaN	NaN
K10214	NaN	NaN	NaN	NaN
K12405	NaN	NaN	NaN	NaN
K08764	NaN	NaN	NaN	NaN
K00659	NaN	NaN	NaN	NaN
K07514	NaN	NaN	NaN	NaN
K07513	NaN	NaN	NaN	NaN
K13237	NaN	NaN	NaN	NaN
K12663	NaN	NaN	NaN	NaN
K05675	NaN	NaN	NaN	NaN
K05676	NaN	NaN	NaN	NaN
K05678	NaN	NaN	NaN	NaN
K08746	NaN	NaN	NaN	NaN
K07753	NaN	NaN	NaN	NaN
K13239	NaN	NaN	NaN	NaN
K13355	NaN	NaN	NaN	NaN
K11992	NaN	NaN	NaN	NaN
K00624	NaN	NaN	NaN	NaN
K05940	NaN	NaN	NaN	NaN
K01578	NaN	NaN	NaN	NaN
K00649	NaN	NaN	NaN	NaN
K00803	NaN	NaN	NaN	NaN
K13356	NaN	NaN	NaN	NaN
K00869	NaN	NaN	NaN	NaN
K00273	NaN	NaN	NaN	NaN
K00272	NaN	NaN	NaN	NaN
K00308	NaN	NaN	NaN	NaN
K00306	NaN	NaN	NaN	NaN
K01640	NaN	NaN	NaN	NaN
K11517	NaN	NaN	NaN	NaN
K11187	NaN	NaN	NaN	NaN
K04565	49651	4844	83559	2076
K13279	NaN	NaN	NaN	NaN
K08726	NaN	NaN	NaN	NaN
K13299	NaN	NaN	NaN	NaN
K00106	NaN	NaN	NaN	NaN
K11147	NaN	NaN	NaN	NaN
K08329	NaN	NaN	NaN	NaN
K08331	NaN	NaN	NaN	NaN
K08333	NaN	NaN	NaN	NaN
K08334	NaN	NaN	NaN	NaN
K05720	NaN	NaN	NaN	NaN
K05726	NaN	NaN	NaN	NaN
K13708	NaN	NaN	NaN	NaN
K05729	NaN	NaN	NaN	NaN
K05730	NaN	NaN	NaN	NaN
K12330	NaN	NaN	NaN	NaN
K07532	NaN	NaN	NaN	NaN
K05732	NaN	NaN	NaN	NaN
K13710	NaN	NaN	NaN	NaN
K06269	NaN	NaN	NaN	NaN
K06270	NaN	NaN	NaN	NaN
K10351	NaN	NaN	NaN	NaN
K12754	NaN	NaN	NaN	NaN
K12755	NaN	NaN	NaN	NaN
K12756	NaN	NaN	NaN	NaN
K12757	NaN	NaN	NaN	NaN
K12758	NaN	NaN	NaN	NaN
K05740	NaN	NaN	NaN	NaN
K05742	NaN	NaN	NaN	NaN
K05743	NaN	NaN	NaN	NaN
K05744	NaN	NaN	NaN	NaN
K05627	NaN	NaN	NaN	NaN
K05746	NaN	NaN	NaN	NaN
K05747	NaN	NaN	NaN	NaN
K05748	NaN	NaN	NaN	NaN
K05749	NaN	NaN	NaN	NaN
K05750	NaN	NaN	NaN	NaN
K05751	NaN	NaN	NaN	NaN
K05753	NaN	NaN	NaN	NaN
K05754	NaN	NaN	NaN	NaN
K05755	NaN	NaN	NaN	NaN
K05756	NaN	NaN	NaN	NaN
K05757	NaN	NaN	NaN	NaN
K05758	NaN	NaN	NaN	NaN
K05759	NaN	NaN	NaN	NaN
K08007	NaN	NaN	NaN	NaN
K05762	NaN	NaN	NaN	NaN
K05763	NaN	NaN	NaN	NaN
K05765	NaN	NaN	NaN	NaN
K05700	NaN	NaN	NaN	NaN
K05767	NaN	NaN	NaN	NaN
K05768	NaN	NaN	NaN	NaN
K05699	NaN	NaN	NaN	NaN
K03531	47534130	2585250	1277305	2026070
K03609	12922200	1446660	659880	897480
K03610	2271885	197967	84084	132825
eco_b2516	5773950	458150	201600	234150
K03569	57102667	3922488	830371	1932790
K03608	1477696	316536	173360	235840
K12313	NaN	NaN	NaN	NaN
K10352	NaN	NaN	NaN	NaN
K12749	NaN	NaN	NaN	NaN
K12750	NaN	NaN	NaN	NaN
K12751	NaN	NaN	NaN	NaN
K10366	NaN	NaN	NaN	NaN
K12044	NaN	NaN	NaN	NaN
K12045	NaN	NaN	NaN	NaN
K10373	NaN	NaN	NaN	NaN
K10374	NaN	NaN	NaN	NaN
K09290	NaN	NaN	NaN	NaN
K10375	NaN	NaN	NaN	NaN
K07610	NaN	NaN	NaN	NaN
K07607	NaN	NaN	NaN	NaN
K07606	NaN	NaN	NaN	NaN
K04572	NaN	NaN	NaN	NaN
K04573	NaN	NaN	NaN	NaN
K04574	NaN	NaN	NaN	NaN
K12641	NaN	NaN	NaN	NaN
K10380	NaN	NaN	NaN	NaN
K10381	NaN	NaN	NaN	NaN
K10396	NaN	NaN	NaN	NaN
K10407	NaN	NaN	NaN	NaN
K10418	NaN	NaN	NaN	NaN
K10424	NaN	NaN	NaN	NaN
K10426	NaN	NaN	NaN	NaN
K10427	NaN	NaN	NaN	NaN
K10428	NaN	NaN	NaN	NaN
K10439	6573568	507344	230880	296888
K03414	94802	8774	7918	4922
K02410	89370	5627	662	8.9
K02416	162658	10688	2338	8.9
K02417	67678	6850	1644	548
K02557	5544	616	308	8.9
K02406	1273000	50250	105190	6030
K02411	41952	2508	456	8.9
K02412	60324	1828	457	8.9
K02418	6776	242	121	8.9
K02419	28910	1470	245	8.9
K02420	2314	178	89	8.9
K02421	12528	522	522	8.9
K02400	191684	4844	1384	8.9
K02401	45076	764	382	8.9
K03516	7670	780	260	8.9
K02409	233496	8280	552	8.9
K02394	128115	4745	2920	8.9
K02386	70518	6570	1971	8.9
K02393	44080	3016	1624	8.9
K02387	63066	10764	2898	1104
K02388	68340	11122	2278	8.9
K02389	195195	18480	5313	8.9
K02391	150098	11044	2761	8.9
K02392	267280	20800	8060	8.9
K02395	33804	1878	939	8.9
K02390	812426	55338	18045	2005
K02408	60008	6968	1456	624
K02396	313431	8205	6017	1094
K02397	182592	12363	12363	3487
K02407	47000	1410	2820	8.9
K02414	61125	2250	1875	8.9
K02415	41888	9240	1232	8.9
K02398	46851	13192	14647	8245
K02399	63756	7176	5244	1242
K02413	8085	735	147	8.9
K02422	19992	2720	2992	408
K02423	12221	605	605	8.9
K02425	30378	2745	3111	8.9
K02669	80196	3912	3260	8.9
K07345	26073720	2625496	874736	224112
K07347	830366	14926	9130	8.9
K07348	35728	2816	2464	8.9
K07349	43602	3549	2704	1014
K07350	148773	8787	7575	8.9
K07351	83635	9030	3655	8.9
K07352	28700	2450	3850	8.9
K07353	4200	8.9	8.9	8.9
K07354	39900	8.9	8.9	8.9
K07355	27300	2100	1400	8.9
K07356	14000	1050	8.9	8.9
K09892	41493900	11968950	2728950	6331500
K02089	NaN	NaN	NaN	NaN
K02091	NaN	NaN	NaN	NaN
K06622	NaN	NaN	NaN	NaN
K06624	NaN	NaN	NaN	NaN
K06630	NaN	NaN	NaN	NaN
K06644	NaN	NaN	NaN	NaN
K06685	NaN	NaN	NaN	NaN
K02219	NaN	NaN	NaN	NaN
K08139	NaN	NaN	NaN	NaN
K01768	NaN	NaN	NaN	NaN
K08836	NaN	NaN	NaN	NaN
K02373	NaN	NaN	NaN	NaN
K03171	NaN	NaN	NaN	NaN
K08738	NaN	NaN	NaN	NaN
K02084	NaN	NaN	NaN	NaN
K02310	NaN	NaN	NaN	NaN
K04727	NaN	NaN	NaN	NaN
K01173	NaN	NaN	NaN	NaN
K02861	NaN	NaN	NaN	NaN
K04729	NaN	NaN	NaN	NaN
K04733	NaN	NaN	NaN	NaN
K04739	NaN	NaN	NaN	NaN
K10134	NaN	NaN	NaN	NaN
K10139	NaN	NaN	NaN	NaN
K13709	NaN	NaN	NaN	NaN
K06271	NaN	NaN	NaN	NaN
K06272	NaN	NaN	NaN	NaN
K06273	NaN	NaN	NaN	NaN
K06274	NaN	NaN	NaN	NaN
K06275	NaN	NaN	NaN	NaN
K06082	NaN	NaN	NaN	NaN
K06083	NaN	NaN	NaN	NaN
K05702	NaN	NaN	NaN	NaN
K06086	NaN	NaN	NaN	NaN
K05701	NaN	NaN	NaN	NaN
K05690	NaN	NaN	NaN	NaN
K05691	NaN	NaN	NaN	NaN
K05696	NaN	NaN	NaN	NaN
K05705	NaN	NaN	NaN	NaN
K06091	NaN	NaN	NaN	NaN
K06092	NaN	NaN	NaN	NaN
K06094	NaN	NaN	NaN	NaN
K06068	NaN	NaN	NaN	NaN
K06095	NaN	NaN	NaN	NaN
K06096	NaN	NaN	NaN	NaN
K06097	NaN	NaN	NaN	NaN
K06098	NaN	NaN	NaN	NaN
K06102	NaN	NaN	NaN	NaN
K06103	NaN	NaN	NaN	NaN
K06106	NaN	NaN	NaN	NaN
K06107	NaN	NaN	NaN	NaN
K06110	NaN	NaN	NaN	NaN
K06111	NaN	NaN	NaN	NaN
K05631	NaN	NaN	NaN	NaN
K05629	NaN	NaN	NaN	NaN
K06112	NaN	NaN	NaN	NaN
K07372	NaN	NaN	NaN	NaN
K12318	NaN	NaN	NaN	NaN
K12319	NaN	NaN	NaN	NaN
K07376	NaN	NaN	NaN	NaN
K10108	3942576	258192	270072	84348
K09475	1.107734e+09	61490288	19901304	50245632
K09476	6.3295725e+08	33370500	26924250	23752500
eco_b0957	1.1491424e+09	72666300	24288600	37368800
K12368	25332250	1316100	2856365	1342850
K10540	1438224	95948	148736	27224
K02424	4694102	330372	1920254	7118160
K05641	NaN	NaN	NaN	NaN
K05643	NaN	NaN	NaN	NaN
K05649	NaN	NaN	NaN	NaN
K05650	NaN	NaN	NaN	NaN
K05655	NaN	NaN	NaN	NaN
K05657	NaN	NaN	NaN	NaN
K05659	NaN	NaN	NaN	NaN
K05662	NaN	NaN	NaN	NaN
K05664	NaN	NaN	NaN	NaN
K11085	14228736	607608	140844	218250
K06147	1095040	44250	11800	6490
K05665	NaN	NaN	NaN	NaN
