KO number	eco Li complete	eco Li minimal	eco Li without methionine
K03106	4211	754	2338
K03110	2069	519	1246
K03116	6336	2926	4795
K03117	1068	293	472
K03118	1148	189	393
K03425	3465	1286	1614
K03100	1315	338	670
K03101	1182	353	308
sce_YDR233C	NaN	NaN	NaN
sce_YLR301w	NaN	NaN	NaN
sce_YDL204W	NaN	NaN	NaN
mmu_108124	NaN	NaN	NaN
K01011	1073	614	522
K03635	897	483	517
K03639	268	184	313
K03636	1029	554	482
K03637	1266	551	860
K03831	2026	353	1353
K03154	3	560	0.1
K03148	5	713	3
K11540	NaN	NaN	NaN
K01358	6334	3256	6694
K01338	5477	1485	4688
K02654	179	10	50
K02464	2	1	0.1
K01355	40237	24644	32467
K03605	134	30	80
K08315	191	91	49
K01951	21887	3901	11295
K09473	84	607	117
K13694	3931	2535	2789
K13695	495	371	358
K00764	1339	2061	318
K00820	7232	2254	3766
K01953	1811	1344	1444
K05520	4	283	0.1
K03152	1096	540	550
K18015	5	11	0.1
K16291	5543	2427	1771
K01256	3051	1248	2291
K01414	3082	908	2334
K01284	1114	980	774
K08641	0.1	19	0.1
K01407	227	140	229
K07263	48	30	24
K07751	2611	1370	2431
K01258	244	341	222
K01270	7408	1694	4411
K02083	9	6	0.1
K12940	9	12	8
K12941	5	9	0.1
K01271	2511	1223	1937
K01262	1224	870	1138
K08326	0.1	1	0.1
K09612	99	34	102
K01305	1637	225	918
K18530	10	5	1
K03799	4504	824	1860
K07387	1146	483	542
K11749	392	135	233
K07261	625	273	491
K04775	103	92	79
K04772	528	482	492
K04691	406	133	144
K01354	86	142	50
K07258	4912	2062	2782
K07262	1005	242	536
K07259	441	133	232
K04770	700	131	312
K01356	2752	645	1905
K03503	72	27	39
K03797	1482	718	1003
K04773	547	170	256
K04774	1334	538	613
K05995	236	81	102
K01297	380	179	201
K01419	6354	1016	4213
K13051	74	257	809
K00681	27	360	6
K08303	4485	826	1713
K03592	2444	615	1353
K03568	1635	438	1080
K08300	2729	1061	2125
eco_b4255	10698	3435	8770
K13126	NaN	NaN	NaN
K03654	155	63	87
K02345	1204	903	364
K02342	988	516	642
K02337	328	79	152
K02343	327	84	135
K02341	218	77	105
K02340	140	82	70
K02344	338	118	152
K02339	266	167	243
K02338	1764	529	764
K02314	694	210	364
K02316	356	98	181
K03469	804	175	313
K03470	604	131	233
K02335	2028	541	1514
K01972	2008	294	1420
K00558	298	162	169
K04764	11148	5115	4580
K05788	15238	12357	9391
K02313	840	290	343
K02315	505	135	233
K10748	234	85	124
K06223	340	128	215
K03645	4435	866	2105
K10763	188	99	135
K02469	5219	1407	2680
K02470	5582	1276	2406
K02621	1554	320	891
K02622	2414	381	1342
K03168	2792	677	2134
K03169	419	100	200
spo_SPAC3C7.14c	NaN	NaN	NaN
K03746	86090	28848	38867
K11685	28631	7682	6284
K05804	1593	673	1260
K12961	479	239	260
K04047	2131	13008	2446
K03632	1215	356	878
K03804	995	263	806
K03633	633	204	426
K03590	984	575	1013
K05589	487	140	173
K09812	967	320	649
K03587	349	144	226
K03466	508	213	376
K03586	416	201	423
K03591	871	269	405
K03589	336	147	172
K03588	293	117	169
K09811	838	244	436
K03528	2128	501	874
