KO number	eco Li complete	eco Li minimal	eco Li without methionine
K05710	13	14	4
K05711	7	11	0.1
K05712	0.1	3	0.1
K05713	1	3	0.1
K05714	15	26	0.1
K02554	6	10	0.1
K01666	15	18	5
K01667	18	16	5
K01626	6661	8678	6814
K01735	770	444	516
K03785	572	463	386
K00014	1144	224	614
K05887	12	8	0.1
K00891	13019	2845	4746
K00800	1248	1636	1018
K01736	1258	819	1031
K01657	121	1153	319
K13497	74	719	186
K13498	113	840	276
K14187	610	561	446
K14170	1783	862	1224
K14261	1203	361	418
K14287	105	278	5802
K00652	818	122	923
K00833	1958	259	1874
K01845	4631	1124	3236
K02805	969	289	602
K01918	3635	1425	2192
K03119	7	19	23
K06193	5011	1188	1655
K03823	272	345	929
K06164	1	1	0.1
K06166	0.1	1	0.1
K06165	3	1	0.1
K05780	1	3	0.1
K06162	0.1	1	0.1
K06163	0.1	1	0.1
K06167	27	33	6
K11717	63	122	33
K12527	0.1	0.1	0.1
K12528	11	8	0.1
K12529	11	8	5
K01776	989	159	424
K01775	1330	212	1013
K01921	4916	592	4413
K01919	1300	502	1197
K00799	712	1598	653
K00383	3255	1055	1664
K01460	1111	558	830
K02567	165	57	30
K02568	168	56	30
K00362	17	17	0.1
K00363	23	17	0.1
K03385	6	4	0.1
K05601	4	1	0.1
K01725	96	62	49
K04091	11	20	13
K00299	2	12	19
K00390	29	1579	5175
K00380	34	2057	9860
K00381	43	2569	11068
K02439	934	330	604
K00790	4855	887	2445
K00075	909	228	552
K01924	1242	377	899
K01925	885	394	872
K01928	1147	398	1007
K01929	911	346	603
K02563	518	168	289
K03814	47	22	27
K05367	18	11	2
K05365	521	139	259
K05366	554	116	135
K00748	398	126	221
K07264	4	14	0.1
K02527	593	144	193
K12981	279	65	130
K02841	403	113	151
K02843	772	184	371
K02849	454	95	170
K03277	322	99	113
K03275	236	75	124
K03276	461	97	246
K02844	374	95	178
K02840	261	71	109
K12986	219	76	106
K02851	1448	232	708
K13683	0.1	2	0.1
K13684	0.1	1	0.1
K02852	590	121	332
K12582	324	75	174
K02853	135	26	29
K16703	6	5	0.1
K00677	2545	754	768
K02535	5806	2844	3773
K02536	4225	982	2637
K03269	214	68	123
K00912	264	57	100
K01627	6456	2596	3707
K03270	997	313	714
K00979	3374	899	1321
K02517	938	168	446
K02560	787	315	459
K03271	4159	1650	2281
K03272	2803	646	1508
K03273	1350	530	1216
K03274	8651	2094	4625
K02850	427	113	203
K02848	272	77	139
K12973	16	6	0.1
K12974	27	6	26
K08280	1018	367	608
K13014	7	39	0.1
K06153	2358	368	987
K01000	885	210	286
K05515	324	76	148
K01255	2548	1308	2563
sce_YDR071C	NaN	NaN	NaN
K00795	950	294	641
K02523	2699	593	1113
K00806	830	318	400
K02548	935	160	310
K03179	1121	276	645
K01662	752	308	422
K00099	773	122	373
K00991	485	123	314
K00919	513	223	225
K01770	1249	445	877
K03526	1678	675	1168
K03527	1585	409	727
K01823	110	96	57
K00517	4	3	0.1
K02363	32	33	9
K01252	59	62	6
K02364	24	24	4
K00973	4288	1487	3737
K01710	6158	1415	4221
K01790	1965	752	1537
K00067	2876	821	2267
K02552	165	67	70
K02361	44	60	12
K00216	36	33	2
K03147	15	2352	5
K00941	31	754	10
K03150	11	848	0.1
K03149	15	1502	9
K00878	39	978	19
K00788	6	1199	0.1
K00946	492	153	231
K07251	35	29	25
K01497	2328	563	1161
K11752	617	278	428
K02858	3124	916	3439
K00794	10923	2677	4935
K00793	2279	1072	1773
K11753	720	233	435
K03788	274	62	166
K05368	2512	759	993
K00275	1180	672	609
K00868	2126	910	1184
K03472	645	266	521
K03473	1893	733	1400
K00097	275	136	170
K03517	4511	1359	3709
K00767	1072	465	591
K00763	2424	1038	1310
K00969	318	100	181
K03743	795	404	567
K08281	1341	391	648
K00858	218	173	160
K00322	845	492	699
K00324	1896	6116	2023
K00325	1164	2712	473
K00606	7878	2859	5421
K00867	1020	327	450
K00954	1201	323	531
K00859	283	133	141
K00997	372	142	99
K06133	474	125	199
K08682	190	126	133
K02169	551	123	636
K02170	661	158	445
K01935	2404	705	3059
K01012	4948	898	7837
K03644	11920	1101	5699
K03801	980	271	436
K03800	488	182	325
K01495	4658	9024	8104
K01633	1008	161	507
K00950	269	172	233
K00796	1139	345	720
K11754	1458	342	745
K01664	380	80	194
K01665	363	124	183
K02619	82	75	153
K02492	231	115	98
K01749	1131	322	1056
K01719	136	96	172
K02496	1016	543	707
K02302	429	132	215
K01599	2118	621	1078
K00228	221	85	112
K02495	1183	404	508
K00230	863	329	632
K01772	476	124	254
K00798	257	130	184
K02231	102	52	118
K02233	382	149	357
K00768	186	109	203
K02226	45	24	49
K04032	2	1	0.1
K03181	359	139	199
K03182	1216	295	922
K03186	268	124	206
K18800	556	210	326
K00568	2047	882	1544
K03185	295	132	244
K03183	3618	1229	2767
K03184	777	329	495
K02551	166	44	62
K08680	49	14	7
K02549	593	147	275
K01911	192	38	75
K01661	3887	1235	1934
mtu_Rv2145c	NaN	NaN	NaN
K01066	35	17	9
spo_SPCC576.03c	NaN	NaN	NaN
mpn_MPN263	NaN	NaN	NaN
K06866	7560	2863	8064
eco_b1004	286	5479	221
K03522	20	6	0.1
K01070	1788	1116	599
eco_b4243	NaN	NaN	NaN
K03781	26	1967	15
K03782	2814	1908	1550
K01673	8162	5072	5447
K01118	1521	1111	909
K04564	83714	35565	41622
K04565	28	483	12
K03426	593	318	471
K04063	431	4306	515
K03386	92449	37153	76357
mpn_MPN428	NaN	NaN	NaN
mtu_Rv3224	NaN	NaN	NaN
K01897	682	114	243
K00046	50	19	24
K00076	864	1152	979
K00098	8	9	1
K06221	72	600	57
K06222	607	236	299
K08322	20	24	9
K13574	914	2062	2579
K15736	0.1	24	0.1
K08317	113	304	3734
K08319	18	6	6
K00219	9	21	0.1
K08297	47	18	23
K10679	6231	2448	4543
K02846	1014	800	784
K00313	6	6	0.1
K03387	5698	1554	4883
K00344	217	643	225
K07304	482	801	446
K07305	3069	2643	1897
K07147	23	85	6
K00428	9	4	0.1
K03564	9932	5115	5213
K11065	47473	16961	30998
K06281	274	47	121
K06282	192	22	105
K07336	20	28	3
K05916	984	289	697
K07229	456	307	235
K02217	6077	2719	3876
K00528	674	495	688
K12265	2	3	0.1
K00537	5580	2310	2487
K04068	25	13	5
K04069	2	2	0.1
K00540	NaN	NaN	NaN
K10678	1916	646	1110
K10680	514	220	267
K11933	18	16	0.1
K12136	0.1	0.1	0.1
K12137	0.1	0.1	0.1
K12138	0.1	0.1	0.1
K12139	0.1	0.1	0.1
K12140	0.1	1	0.1
K12141	0.1	1	0.1
K12142	4	4	0.1
K12144	2	6	0.1
K12145	3	4	0.1
K12957	101	317	49
K13979	154	2250	88
K03427	2090	450	1135
K07319	6	2	0.1
K00573	556	167	259
K00574	1049	1715	503
K00598	40	291	34
K16868	1103	768	870
K11941	257	44	60
K00633	17	24	3
K00661	336	147	121
K00675	53	60	24
K16704	143	39	122
K03818	0.1	1	0.1
K03819	0.1	1	0.1
K03820	442	128	222
K03824	1192	402	606
K03825	167	113	243
K03826	41	18	4
K03827	152	34	81
K03828	1096	319	689
K03829	25	217	18
K03830	80	23	15
K09994	79	125	26
K03669	1234	304	519
K11936	4	3	0.1
K09001	217	151	214
K18478	10	9	0.1
K10710	5	3	0.1
K11216	5	12	0.1
K00982	212	153	180
K13069	201	239	107
K07141	30	25	0.1
K03752	115	94	117
K02362	3	4	0.1
K16692	71	24	12
K07154	134	62	101
K00906	9	71	6
K07588	0.1	0.1	0.1
K07749	16	21	13
K18702	9	6	0.1
K08298	29	11	6
K03750	1323	496	704
K13292	1509	279	523
K01061	224	1063	125
K07107	790	244	566
K07313	8	13	8
K07314	15	6	4
K07757	486	363	322
K08722	616	252	538
K08296	1246	599	846
K13243	3	20	0.1
K13244	242	483	83
K14051	36	89	29
K01138	30	37	3
K01150	163	7	70
K01153	404	186	338
K01154	552	158	212
K03424	1749	399	759
K07451	100	47	80
K07452	334	123	207
K07171	364	170	383
K07447	517	130	176
K11750	791	327	439
K01185	14	3	0.1
K15524	18	12	4
K01811	17	8	5
K04844	1	2	0.1
K08309	270	204	195
K01250	516	175	199
K12700	612	85	270
K01417	341	379	569
K04087	4009	923	1575
K04088	3846	1048	2306
K14744	12	5	0.1
K11066	141	82	54
K12410	827	572	666
K09022	18265	12503	7542
K10708	66	12	18
K18446	1003	370	918
K08320	381	107	166
K03207	0.1	2	0.1
K08310	288	72	123
K11938	48	35	53
K12152	380	138	219
K12944	196	68	135
K12945	326	215	198
K01531	286	63	247
K01534	342	16	18
K17686	117	922	164
K03578	602	197	382
K03579	134	39	60
K11931	1	2	0.1
K01671	13	15	3
K08313	103	86	107
K08314	28	15	19
K08321	20	37	7
K17758	96	173	77
K08299	15	11	3
K01751	4	1	0.1
K01766	307	72	185
K17948	53	128	29
K02431	558	723	392
K03534	9	5	0.1
K14587	29	15	18
K06041	751	470	549
K18479	15	21	5
K01821	323	924	220
K02082	11	3	5
K07589	4838	2140	2779
K02182	35	8	14
K02558	2560	500	1227
K06048	12	122	0.1
K01974	32	11	18
spo_SPBC21B10.08c	NaN	NaN	NaN
mmu_16126	NaN	NaN	NaN
K14216	NaN	NaN	NaN
mmu_11657	NaN	NaN	NaN
mmu_19293	NaN	NaN	NaN
mmu_15135	NaN	NaN	NaN
K13823	NaN	NaN	NaN
K13822	NaN	NaN	NaN
mmu_15132	NaN	NaN	NaN
mmu_15126	NaN	NaN	NaN
mmu_17189	NaN	NaN	NaN
mmu_17196	NaN	NaN	NaN
NotMapped	1218181	593391	770361
