Numerator	Denominator	eco Li complete	eco Li minimal	eco Li without methionine	eco Li complete	eco Li minimal	eco Li without methionine	eco Li complete	eco Li minimal	eco Li without methionine
-Translation	MAPPED	0.3765	0.3788	0.3803	0.183	0.1843	0.1853	0.2927	0.2945	0.2957
-Folding, Sorting and Degradation	MAPPED	0.04467	0.05693	0.0672	0.03718	0.04587	0.05414	0.04552	0.0601	0.0756
-DNA Maintenance	MAPPED	0.01626	0.01894	0.02585	0.01521	0.0172	0.02131	0.01283	0.0149	0.02083
-RNA Family	MAPPED	0	0	0	0	0	0	0	0	0
Environmental Information Processing	MAPPED	0.01435	0.01514	0.01603	0.009574	0.01041	0.01128	0.01133	0.01188	0.01243
-Signal Transduction	MAPPED	0.002909	0.003701	0.00459	0.003785	0.004475	0.005494	0.002649	0.003202	0.00375
-Signaling Molecules and Interaction	MAPPED	0.01144	0.01144	0.01145	0.005789	0.005789	0.005938	0.008676	0.008676	0.008678
Cellular Processes	MAPPED	0.1202	0.1206	0.1216	0.1697	0.1701	0.1711	0.1004	0.1007	0.1012
-Cell structure	MAPPED	0.1146	0.1146	0.1146	0.1604	0.1604	0.1604	0.09558	0.09558	0.09558
-Crystallins	MAPPED	0	0	0	0	0	0	0	0	0
-Stress Response	MAPPED	6.515e-05	6.515e-05	6.515e-05	0.004783	0.004783	0.004783	8.856e-05	8.856e-05	8.856e-05
-Vesicular Transport	MAPPED	0	0	0	0	0	0	0	0	0
-Cytoskeleton	MAPPED	0.002327	0.002327	0.002327	0.00232	0.00232	0.00232	0.002162	0.002162	0.002162
-Cell Motility	MAPPED	0.0001092	0.0002371	0.0008056	0.0002003	0.0003574	0.0008438	1.908e-05	0.0001105	0.000146
-Cell Growth and Death	MAPPED	0.00312	0.003345	0.003922	0.001962	0.002242	0.002934	0.002507	0.002771	0.003367
-Cell Communication	MAPPED	0	0	0	0	0	0	0	0	0
Metabolism	MAPPED	0.3679	0.3777	0.3811	0.5252	0.5406	0.5431	0.4715	0.4821	0.4849
-Membrane Transport	MAPPED	0.0654	0.06683	0.0706	0.09567	0.09925	0.1013	0.08408	0.08561	0.08699
-Central Carbon Metabolism	MAPPED	0.06406	0.07158	0.07658	0.07663	0.08334	0.09571	0.05568	0.06411	0.06769
-Energy Metabolism	MAPPED	0.01874	0.02313	0.0247	0.0147	0.02246	0.02892	0.01592	0.02038	0.02353
-Biosynthesis	MAPPED	0.09571	0.103	0.1116	0.1437	0.17	0.1905	0.11	0.1945	0.201
-Other Enzymes	MAPPED	0.09902	0.1118	0.1188	0.13	0.1541	0.1795	0.09245	0.1166	0.2004
Organismal Systems	MAPPED	0	4.934e-05	9.006e-05	0	8.66e-05	0.0002841	0	3.419e-05	5.798e-05
-Immune System	MAPPED	0	0	0	0	0	0	0	0	0
-Endocrine System	MAPPED	0	0	4.934e-05	0	0	4.656e-05	0	0	3.419e-05
-Circulatory System	MAPPED	0	0	0	0	0	0	0	0	0
-Digestive System	MAPPED	0	0	4.18e-06	0	0	0.0001509	0	0	3.524e-09
-Excretory System	MAPPED	0	0	3.654e-05	0	0	8.66e-05	0	0	2.378e-05
-Nervous System	MAPPED	0	0	0	0	0	0	0	0	0
-Sensory System	MAPPED	0	0	0	0	0	0	0	0	0
-Development	MAPPED	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	MAPPED	0	0	4.934e-05	0	0	4.656e-05	0	0	3.419e-05
Human Diseases	MAPPED	0.002557	0.008738	0.02557	0.003753	0.008016	0.02532	0.00217	0.01323	0.03546
-Cancers	MAPPED	0	6.063e-05	6.063e-05	0	0.000144	0.000144	0	6.029e-05	6.029e-05
-Immune System Diseases	MAPPED	0	0	6.285e-05	0	0	6.345e-05	0	0	7.226e-05
-Neurodegenerative Diseases	MAPPED	0	1.263e-06	0.009136	0	6.008e-05	0.01412	0	8.221e-07	0.01041
-Cardiovascular Diseases	MAPPED	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	MAPPED	0	0	0.007453	0	0	0.004415	0	0	0.01256
-Infectious Diseases	MAPPED	0.0003812	0.002621	0.01565	0.002301	0.005028	0.01125	0.0005955	0.00226	0.02502
Not Mapped	MAPPED	0.1356	0.1356	0.1356	0.1732	0.1732	0.1732	0.1244	0.1244	0.1244
-Not Mapped	MAPPED	0.1356	0.1356	0.1356	0.1732	0.1732	0.1732	0.1244	0.1244	0.1244
TOTAL	Genetic Information Processing	2.35	2.382	2.439	4.262	4.389	4.47	2.789	2.891	2.981
MAPPED	Genetic Information Processing	2.069	2.097	2.148	3.633	3.741	3.81	2.48	2.571	2.652
Genetic Information Processing	Genetic Information Processing	1	1	1	1	1	1	1	1	1
-Transcription	Genetic Information Processing	0.02561	0.03625	0.0393	0.05504	0.06616	0.07806	0.03271	0.04007	0.04733
-Translation	Genetic Information Processing	0.7809	0.7896	0.8203	0.6684	0.6895	0.7095	0.7286	0.7532	0.7874
-Folding, Sorting and Degradation	Genetic Information Processing	0.09486	0.1199	0.1391	0.1405	0.1716	0.1967	0.1194	0.1545	0.188
-DNA Maintenance	Genetic Information Processing	0.03467	0.04128	0.05509	0.05687	0.06523	0.07978	0.03252	0.04012	0.05493
-RNA Family	Genetic Information Processing	0	0	0	0	0	0	0	0	0
Environmental Information Processing	Genetic Information Processing	0.02969	0.03142	0.03405	0.03606	0.03856	0.04262	0.0282	0.03085	0.03229
-Signal Transduction	Genetic Information Processing	0.00602	0.007663	0.009748	0.01473	0.01657	0.02075	0.006596	0.008233	0.009567
-Signaling Molecules and Interaction	Genetic Information Processing	0.02367	0.024	0.02458	0.02103	0.02181	0.02223	0.02152	0.02231	0.02301
Cellular Processes	Genetic Information Processing	0.249	0.2535	0.2617	0.6202	0.6357	0.6532	0.2492	0.2583	0.2689
-Cell structure	Genetic Information Processing	0.2371	0.2403	0.2461	0.5829	0.6001	0.6112	0.2371	0.2457	0.2534
-Crystallins	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Stress Response	Genetic Information Processing	0.0001348	0.0001366	0.00014	0.01738	0.01789	0.01822	0.0002197	0.0002277	0.0002348
-Vesicular Transport	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Cytoskeleton	Genetic Information Processing	0.004815	0.004881	0.005	0.008429	0.008679	0.00884	0.005362	0.005558	0.005732
-Cell Motility	Genetic Information Processing	0.0002299	0.0005035	0.001687	0.0007276	0.00135	0.003178	4.904e-05	0.0002842	0.000362
-Cell Growth and Death	Genetic Information Processing	0.006457	0.007096	0.008236	0.007193	0.008468	0.01086	0.006218	0.007214	0.008426
-Cell Communication	Genetic Information Processing	0	0	0	0	0	0	0	0	0
Metabolism	Genetic Information Processing	0.7757	0.7847	0.8192	1.961	2.01	2.064	1.193	1.243	1.284
-Membrane Transport	Genetic Information Processing	0.136	0.1402	0.1505	0.3541	0.3687	0.3859	0.2086	0.2188	0.2307
-Central Carbon Metabolism	Genetic Information Processing	0.1365	0.1513	0.1585	0.2845	0.3191	0.3478	0.1444	0.1594	0.176
-Energy Metabolism	Genetic Information Processing	0.03898	0.04809	0.05306	0.05498	0.08486	0.1089	0.03986	0.05133	0.06239
-Biosynthesis	Genetic Information Processing	0.1987	0.2141	0.2377	0.5321	0.6299	0.7174	0.2736	0.5006	0.5202
-Other Enzymes	Genetic Information Processing	0.2103	0.2313	0.2459	0.491	0.5721	0.6718	0.2421	0.2948	0.5054
Organismal Systems	Genetic Information Processing	0	0.0001021	0.0001919	0	0.000324	0.001063	0	8.514e-05	0.0001529
-Immune System	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Endocrine System	Genetic Information Processing	0	0	0.000106	0	0	0.0001774	0	0	9.066e-05
-Circulatory System	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Digestive System	Genetic Information Processing	0	0	8.802e-06	0	0	0.0005588	0	0	9.06e-09
-Excretory System	Genetic Information Processing	0	0	7.76e-05	0	0	0.0003242	0	0	6.228e-05
-Nervous System	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Sensory System	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Development	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	Genetic Information Processing	0	0	0.0001021	0	0	0.0001728	0	0	8.514e-05
Human Diseases	Genetic Information Processing	0.005291	0.0184	0.05448	0.01364	0.03019	0.0948	0.005396	0.03403	0.09349
-Cancers	Genetic Information Processing	0	0.0001255	0.0001324	0	0.0005281	0.0005608	0	0.0001499	0.0001636
-Immune System Diseases	Genetic Information Processing	0	0	0.0001314	0	0	0.0002355	0	0	0.0001799
-Neurodegenerative Diseases	Genetic Information Processing	0	2.613e-06	0.01947	0	0.0002202	0.05286	0	2.039e-06	0.02745
-Cardiovascular Diseases	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	Genetic Information Processing	0	0	0.0157	0	0	0.01653	0	0	0.03232
-Infectious Diseases	Genetic Information Processing	0.0007996	0.005422	0.03362	0.00852	0.01866	0.04379	0.001491	0.005629	0.06711
Not Mapped	Genetic Information Processing	0.2805	0.2844	0.2913	0.6291	0.6478	0.6598	0.3084	0.3197	0.3297
-Not Mapped	Genetic Information Processing	0.2805	0.2844	0.2913	0.6291	0.6478	0.6598	0.3084	0.3197	0.3297
