Rv2727c	miaA	K00791
Rv1018c	glmU	K04042
Rv3846	sodA	K04564
Rv2967c	pca	K01958
Rv3097c	lipY	K01046
Rv2453c	mobA	K03752
Rvnr01	rrs	K01977
Rv0501	galE2	K01784
Rv2710	sigB	K03087
Rv2711	ideR	K03709
Rv2783c	gpsI	K00962
Rv2713	sthA	K00322
Rv2200c	ctaC	K02275
Rv0236c	aftD	K16648
Rv2534c	efp	K02356
Rv0357c	purA	K01939
Rv3080c	pknK	K13419
Rv3886c	mycP2	K14743
Rv1349	irtB	K14699
Rv3308	pmmB	K01840
Rv3456c	rplQ	K02879
Rv0871	cspB	K03704
Rv3307	deoD	K03783
Rv3002c	ilvN	K01653
Rv3692	moxR2	K03924
Rv0509	hemA	K02492
Rv1695	ppnK	K00858
Rv1193	fadD36	K12429
Rv3441c	mrsA	K03431
Rv1058	fadD14	K00666
Rv0500	proC	K00286
Rv0217c	lipW	K01066
Rv3447c	eccC4	K03466
Rv1694	tlyA	K06442
Rv2737c	recA	K03553
Rv1696	recN	K03631
Rv0848	cysK2	K01738
Rv1758	cut1	K01066
Rv1235	lpqY	K02027
Rv2564	glnQ	K02003
Rv0723	rplO	K02876
Rv1699	pyrG	K01937
Rv2921c	ftsY	K03110
Rv0489	gpm1	K01834
Rv3229c	desA3	K00508
Rv1170	mshB	K15525
Rv2156c	murX	K01000
Rv0482	murB	K00075
Rv0642c	mmaA4	K00574
Rv2344c	dgt	K01129
Rv0486	mshA	K15521
Rv2056c	rpsN2	K02954
Rv1282c	oppC	K02034
Rv1032c	trcS	K07656
Rv3150	nuoF	K00335
Rv3153	nuoI	K00338
Rv3152	nuoH	K00337
Rv3155	nuoK	K00340
Rv3154	nuoJ	K00339
Rv3157	nuoM	K00342
Rv3156	nuoL	K00341
Rv3158	nuoN	K00343
Rv2068c	blaC	K17836
Rv0046c	ino1	K01858
Rvnt19	leuW	K14228
Rvnt18	argV	K14219
Rv3393	iunH	K01239
Rv3275c	purE	K01588
Rv1285	cysD	K00957
Rv1284	canA	K01673
Rv1908c	katG	K03782
Rv0808	purF	K00764
Rv0809	purM	K01933
Rv3420c	rimI	K03789
Rv2465c	rpiB	K01808
Rv2111c	pup	K13570
Rv0803	purL	K01952
Rv3025c	iscS	K04487
Rv0478	deoC	K01619
Rv1142c	echA10	K01692
Rv0631c	recC	K03583
Rv1570	bioD	K01935
Rv0570	nrdZ	K00525
Rv1330c	pncB1	K00763
Rv1306	atpF	K02109
Rv1307	atpH	K02109
Rv1304	atpB	K02108
Rv1305	atpE	K02110
Rv1302	rfe	K02851
Rv1300	hemK	K02493
Rv0391	metZ	K10764
Rv2833c	ugpB	K05813
Rv3199c	nudC	K03426
Rv1622c	cydB	K00426
Rv0253	nirD	K00363
Rv0252	nirB	K00362
Rv1308	atpA	K02111
Rv1309	atpG	K02115
Rv2276	cyp121	K17483
Rv0645c	mmaA1	K00574
Rv2839c	infB	K02519
Rv3659c	trbB	K02283
Rv0447c	ufaA1	K00574
Rv1781c	malQ	K00705
Rv3309c	upp	K00761
Rv2790c	ltp1	K00632
Rv1092c	coaA	K00867
Rv0652	rplL	K02935
Rv1832	gcvB	K00281
Rv0427c	xthA	K01142
Rv2914c	pknI	K08884
Rv1173	fbiC	K11779
Rv2192c	trpD	K00766
Rv0708	rplP	K02878
Rv3917c	parB	K03497
Rv2301	cut2	K08095
Rv0001	dnaA	K02313
Rv2849c	cobO	K00798
Rv2832c	ugpC	K05816
Rv1709	scpA	K05896
Rv3907c	pcnA	K00970
Rv0718	rpsH	K02994
Rv0896	gltA2	K01647
Rv0266c	oplA	K01469
Rv3086	adhD	K00121
Rv1379	pyrR	K02825
Rv0711	atsA	K01130
Rv0716	rplE	K02931
Rv0717	rpsN1	K02954
Rv0714	rplN	K02874
Rv0715	rplX	K02895
Rv0727c	fucA	K01628
Rv2289	cdh	K01521
Rv0512	hemB	K01698
Rv2588c	yajC	K03210
Rv3854c	ethA	K10215
Rv3356c	folD	K01491
Rv0319	pcp	K01304
Rv3455c	truA	K06173
Rv2457c	clpX	K03544
Rv3875	esxA	K14956
Rv2110c	prcB	K03433
Rv2131c	cysQ	K01082
Rv2552c	aroE	K00014
Rv3523	ltp3	K00626
Rv3285	accA3	K11263
Rv0437c	psd	K01613
Rv2831	echA16	K01692
Rv3280	accD5	K01966
Rv3283	sseA	K01011
