KO number	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat
K09236	11070.111	278597.79	129151.29	5202.214	464022.14	NaN	NaN	NaN	942.06642	NaN	3874.8155	NaN	6849.7232	15129.151	NaN	547.10332	6094.8339	NaN	NaN	1219.1882	656.17159	1326.845	NaN	34501.845	NaN	NaN	1619.4649	NaN
K09250	NaN	16964.607	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3241.8539	9109.5506	NaN	2720.5056	42801.685	NaN	NaN	15558.427	NaN	NaN	NaN
K09312	NaN	NaN	NaN	NaN	NaN	38585.209	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09313	1811.8812	NaN	NaN	NaN	NaN	1627.1947	NaN	2096.1716	9702.9703	NaN	330.69967	NaN	NaN	6562.3762	NaN	NaN	NaN	NaN	NaN	NaN	2786.9307	NaN	787.92079	NaN	163.78218	10627.063	2617.6238	460.0132
K09355	44926.977	34047.209	39081.163	40000	82975.116	50706.512	29069.767	37441.86	165581.4	3823.4884	3181.1628	4142.5581	6867.2093	19915.349	5653.0233	1980.6047	16464.419	6778.3953	531.95349	127209.3	18292.326	1709.0465	202.74186	81417.674	7532.093	14172.442	47441.86	985.16279
K09365	NaN	3779.4769	NaN	NaN	1012.6358	217.20322	NaN	NaN	6568.008	4465.996	4856.338	23138.833	8490.5433	100804.83	36418.511	36016.097	1662.0724	5631.1871	NaN	16839.235	6421.9316	8837.6258	2636.6197	3692.1529	5833.6016	19044.064	763.50101	1011.8712
K09377	4572589.3	4998119.3	7398539.8	1360213.1	22136903	12693815	1132621.1	29408384	616222.42	2430806.9	14033919	1832702.8	3143208.4	4768678.5	2201078.6	1292682	4424913.2	1529162.7	242479.75	6765362.6	2250109.4	691908.24	757900.52	27203683	4403986.2	1768875.7	4796756.5	2037612.2
K09378	425.20129	NaN	NaN	NaN	NaN	97.450349	NaN	NaN	2070.0483	227.58722	780.27375	NaN	278.66345	573.85937	NaN	6548.5776	153.88889	NaN	NaN	NaN	NaN	NaN	2232.4745	4240.4724	NaN	NaN	NaN	49.957059
K09380	1716.3944	NaN	96.805634	NaN	NaN	NaN	NaN	NaN	529.94366	NaN	NaN	8732.3944	17154.93	NaN	1438.0282	56338.028	159.77746	NaN	119.40845	210.07606	NaN	NaN	NaN	1280.1127	NaN	103.67606	NaN	NaN
K09404	8253.8248	1063.0459	802.26704	18636.996	23226.704	14464.534	NaN	17802.503	9352.573	805.02086	581.27955	30598.053	123.73296	3763.2823	1270.8623	4926.5647	12606.12	322.43394	NaN	NaN	4510.2921	475.41029	NaN	7455.911	NaN	6712.1001	2936.1613	1229.7636
K09409	1328.1418	5281.7021	702.04255	3972.6241	NaN	5554.4681	NaN	NaN	35406.125	NaN	NaN	2388.5106	373.58865	100.74894	NaN	NaN	NaN	NaN	NaN	NaN	591.04965	681.1773	1357.9007	28936.17	NaN	4615.3191	NaN	NaN
K09428	88.49183	NaN	NaN	2645.098	NaN	11996.569	NaN	NaN	NaN	558.34967	NaN	8839.0523	4755.0654	664.60784	1081.7647	NaN	7411.4379	NaN	NaN	NaN	NaN	NaN	NaN	99183.007	NaN	29084.967	NaN	NaN
K09429	24889.667	6006.6667	11338	15078	86666.667	46666.667	11252	NaN	55666.667	NaN	NaN	NaN	41000	NaN	NaN	13766	NaN	14314.667	NaN	24567	NaN	NaN	5707.3333	301666.67	NaN	37333.333	15464	21160.333
K09441	14859.912	3485.4626	14209.251	26872.247	153744.49	56607.93	1335.837	9928.6344	33480.176	25991.189	1290.837	83700.441	38986.784	44493.392	6181.2775	37004.405	19752.863	947.42291	809.88987	10591.63	15803.965	2167.3348	10878.855	66960.352	3750.2203	24008.811	3921.5859	5016.9604
K10154	1820.6638	NaN	NaN	457.04497	3306.8522	39186.296	272.31263	34689.507	NaN	5461.6702	NaN	490364.03	209635.97	NaN	1651.5418	45824.411	NaN	NaN	40685.225	195931.48	NaN	1590.3212	NaN	188865.1	NaN	17557.173	3819.7002	8927.409
K09454	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19620.627	3365.7963	18654.83	20001.044	3482.2454	NaN	NaN	NaN	NaN	796.63185	3602.8721	21773.89	4878.0679	8522.9765	NaN	NaN	3009.6606	12498.172	NaN	2404.4909
K09269	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10930.834	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09270	NaN	15722.119	NaN	NaN	NaN	3294.4773	NaN	11337.673	50295.858	NaN	NaN	NaN	6683.432	NaN	NaN	NaN	NaN	5274.8911	NaN	NaN	923.76726	NaN	8643.787	NaN	1307.4556	NaN	NaN	NaN
K04491	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09272	91101.695	12305.226	25423.729	58192.09	282485.88	133898.31	8655.6497	97881.356	612994.35	30225.989	13761.441	245762.71	398305.08	102259.89	14406.78	77966.102	115395.48	8044.774	2615.8192	75564.972	106638.42	5985.7345	27966.102	847457.63	4845.6215	290960.45	20056.497	21751.412
K09273	95947.712	34771.242	30588.235	69019.608	343790.85	65620.915	10355.817	121176.47	286274.51	49150.327	4757.5163	216993.46	287581.7	159477.12	24836.601	141176.47	76862.745	2197.6471	NaN	96209.15	33986.928	7281.4379	17124.183	291503.27	4166.5359	57777.778	27320.261	10894.641
K09275	17046.318	5232.8125	15218.746	6224.5134	79554.737	15244.714	350.98148	4634.2593	74129.541	5601.2963	1237.1111	44444.444	36666.667	37557.914	1657.6681	4578.1481	12676.18	910.7037	NaN	83628.405	7204.2327	2334.2593	2018.5185	82247.352	292.40741	19992.702	3846.2963	11330.015
K09276	875776.4	155279.5	115838.51	1173913	403726.71	2111801.2	400621.12	1304347.8	950310.56	112422.36	385093.17	2798136.6	3913043.5	1577639.8	409937.89	1372670.8	416149.07	39440.994	487577.64	96273.292	123913.04	2944099.4	689440.99	931677.02	397515.53	655279.5	1350931.7	190062.11
K09277	NaN	NaN	NaN	6330.8333	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
