Numerator	Denominator	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat
-Energy Metabolism	-Immune System	2.928	3.012	3.206	6.931	7.207	7.465	9.675	9.772	10.13	14.45	14.55	15.97	8.002	8.187	8.464	4.113	4.215	4.328	20	20.97	21.58	3.039	3.125	3.19	1.426	1.45	1.479	3.785	3.874	4.013	13.84	14.04	14.83	4.121	4.169	4.354	2.89	2.952	3.04	7.212	7.309	7.712	7.086	7.236	7.493	7.097	7.272	7.634	0.365	0.3781	0.3953	10.21	10.39	10.65	6.221	6.33	6.431	9.538	9.621	9.76	1.212	1.247	1.29	11.48	11.62	11.81	5.633	5.769	5.879	0.7828	0.8084	0.8196	5.084	5.155	5.281	1.162	1.177	1.214	0.743	0.7639	0.7834	1.634	1.663	1.716
-Biosynthesis	-Immune System	12.29	12.48	14.25	5.232	5.331	5.744	13.52	13.77	15.2	44.84	45.72	47.43	11.6	11.76	12.37	10.04	10.82	13.87	31.86	32.33	33.57	11.14	11.26	12.02	6.06	6.158	6.274	10.54	10.64	11.14	10.52	10.64	11.39	16.76	16.92	17.24	11.42	11.52	11.76	17.84	18.4	19.14	11.93	12.36	12.98	80.25	83.52	84.51	3.02	3.051	3.286	8.627	8.794	9.525	42.27	42.4	45.41	16	16.34	17.27	6.265	6.357	6.896	37.65	37.87	38.43	15.79	16.09	17.14	3.359	3.519	4.093	6.791	6.962	8.15	4.689	4.767	5.29	1.775	1.801	1.927	9.481	9.598	12.58
-Other Enzymes	-Immune System	3.328	4.364	5.766	1.432	2.108	2.871	4.653	5.988	6.603	6.581	7.825	8.662	3.186	3.81	4.455	2.455	3.467	5.922	3.201	3.908	5.387	2.492	3.975	5.191	2.485	2.929	3.599	1.69	2.169	2.544	1.657	2.255	2.49	3.451	4.1	4.469	2.631	2.931	3.108	3.463	3.917	4.687	2.279	2.906	3.52	8.849	11.87	14.21	0.7019	0.8795	1.058	2.555	3.714	4.996	2.683	4.023	5.879	4.601	5.438	6.968	1.704	2.263	2.556	10.66	24.53	33.39	3.283	5.301	6.219	1.11	1.718	2.025	1.931	3.336	4.651	1.45	1.962	2.457	0.7664	1.002	1.117	1.779	2.419	5.234
Organismal Systems	-Immune System	10.23	10.27	10.31	6.465	6.49	6.491	20.52	20.61	20.65	13.86	13.94	13.96	10.5	10.57	10.58	7.251	7.318	7.361	56.22	56.25	56.29	17.46	17.52	17.55	11.76	11.9	12.01	16.17	16.21	16.3	43.96	44.11	44.14	5.951	6.077	6.096	5.088	5.207	5.23	5.239	5.327	5.348	5.7	5.746	5.75	7.735	7.78	7.811	7.095	7.127	7.143	14.52	14.6	14.69	123.1	123.1	123.2	12.91	13.01	13.11	11.37	11.45	11.53	27.22	27.32	27.38	25.92	26.02	26.12	13.38	13.79	13.87	15.75	15.81	15.82	8.987	9.04	9.078	7.85	7.876	7.896	13.15	13.2	13.24
-Immune System	-Immune System	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-Endocrine System	-Immune System	2.201	2.208	2.209	0.5961	0.5988	0.5988	0.6652	0.6658	0.6659	5.001	5.004	5.008	0.5822	0.5826	0.5827	0.2695	0.271	0.2715	2.857	2.859	2.859	0.4552	0.4554	0.4558	0.4632	0.4695	0.4726	2.43	2.431	2.432	2.604	2.613	2.613	1.084	1.089	1.092	1.386	1.39	1.392	0.632	0.6333	0.634	0.5848	0.5851	0.5854	3.032	3.035	3.037	0.3006	0.3012	0.3014	1.026	1.03	1.032	2.223	2.223	2.223	0.6445	0.6496	0.651	0.8445	0.8508	0.852	1.338	1.341	1.342	0.7846	0.7878	0.789	0.2143	0.2213	0.2225	1.327	1.327	1.328	0.8724	0.877	0.8782	0.8199	0.8221	0.8224	2.923	2.936	2.936
-Circulatory System	-Immune System	6.69	6.712	6.715	2.735	2.748	2.748	13.58	13.59	13.59	7.54	7.545	7.551	6.653	6.658	6.659	4.956	4.983	4.986	51.91	51.93	51.93	14.36	14.36	14.38	9.821	9.955	9.982	11.71	11.71	11.72	40.13	40.26	40.27	2.373	2.379	2.384	1.789	1.794	1.796	2.939	2.945	2.949	3.758	3.759	3.761	3.314	3.316	3.318	5.598	5.609	5.61	7.451	7.483	7.494	119.3	119.3	119.3	6.613	6.665	6.67	9.319	9.388	9.399	9.8	9.816	9.822	17.98	18.05	18.05	11.81	12.2	12.2	13.13	13.13	13.14	6.699	6.734	6.737	5.892	5.908	5.908	9.028	9.067	9.067
-Digestive System	-Immune System	0.09979	0.101	0.1038	0.106	0.1064	0.1073	0.1058	0.1058	0.1153	0.04431	0.04437	0.0487	0.07161	0.07262	0.07321	0.06775	0.06845	0.07057	0.04397	0.04421	0.04661	1.178	1.18	1.18	0.05679	0.05828	0.06001	0.346	0.3462	0.3519	0.02738	0.02747	0.02772	1.07	1.075	1.084	0.5576	0.5604	0.5699	0.3599	0.3612	0.3734	0.2039	0.2053	0.2079	0.1657	0.1731	0.1966	0.0173	0.01751	0.01781	0.08001	0.08048	0.0809	0.1556	0.1556	0.159	0.2984	0.3028	0.3079	0.07338	0.07553	0.08666	13.47	13.49	13.52	0.1621	0.165	0.1686	0.06432	0.06643	0.06814	0.06143	0.06149	0.06601	0.0535	0.05415	0.05444	0.01489	0.01536	0.01586	0.04985	0.05078	0.05135
-Excretory System	-Immune System	0.05762	0.07966	0.07996	0.3315	0.333	0.333	0.1621	0.2486	0.2487	0.06764	0.1435	0.1441	0.1873	0.2517	0.2519	0.1212	0.1844	0.1855	0.04633	0.07788	0.07793	0.1114	0.1785	0.1787	0.0385	0.0962	0.09777	0.06802	0.1069	0.1069	0.05878	0.08105	0.08133	0.1234	0.2343	0.2349	0.07303	0.19	0.1907	0.1338	0.2215	0.2222	0.06943	0.1151	0.1151	0.08447	0.1266	0.1272	0.02897	0.06091	0.06105	0.5215	0.6068	0.6103	0.08347	0.1231	0.1231	0.1003	0.168	0.1694	0.01828	0.0753	0.07594	1.289	1.38	1.387	5.693	5.79	5.814	0.02346	0.06368	0.06577	0.03932	0.1051	0.1061	0.05784	0.09626	0.09681	0.03096	0.05564	0.0558	0.02877	0.0612	0.06147
-Nervous System	-Immune System	0.1399	0.1404	0.142	1.368	1.374	1.374	4.025	4.029	4.034	0.1366	0.1367	0.1376	1.101	1.102	1.104	0.1525	0.1535	0.1562	0.09894	0.09899	0.09899	0.2119	0.2122	0.2146	0.1888	0.1919	0.2001	0.1653	0.1654	0.1673	0.09705	0.09738	0.09747	0.1403	0.141	0.1433	0.1175	0.1179	0.1211	0.1263	0.1267	0.1279	0.06003	0.06007	0.06076	0.08828	0.08838	0.09259	0.05521	0.05533	0.05666	3.862	3.879	3.886	0.3357	0.3357	0.3358	2.974	2.998	3.007	0.08722	0.08796	0.09149	0.2741	0.2747	0.2758	0.2265	0.2274	0.232	0.2287	0.2362	0.2542	0.1638	0.1639	0.1651	0.2585	0.26	0.2735	0.0758	0.076	0.07716	0.06567	0.06596	0.06898
-Sensory System	-Immune System	0.00274	0.00275	0.002805	0.001588	0.001595	0.001595	0.01584	0.01585	0.01585	0.002237	0.002238	0.00224	0.01586	0.01587	0.01686	0.6285	0.6319	0.6324	0.006282	0.006285	0.0114	0.07483	0.07486	0.07493	0.0002646	0.0002682	0.0002689	0.2225	0.2227	0.3077	0.002528	0.002537	0.002537	0.1261	0.1265	0.1267	0.1282	0.1285	0.1286	0.0006719	0.0006732	0.000674	0.00125	0.00125	0.001251	0.003835	0.003836	0.003839	0.0006123	0.0006135	0.0006137	0.002178	0.002187	0.00219	0.0123	0.0123	0.01241	0.01393	0.01404	0.01405	0.0007167	0.000722	0.0007228	0.005783	0.005793	0.005797	0.0113	0.01134	0.01134	0.0006842	0.0007065	0.0007066	0.005997	0.005997	0.006001	0.01363	0.01371	0.01371	0.004477	0.004489	0.004489	0.001598	0.001605	0.001605
-Development	-Immune System	0.04373	0.04387	0.04389	0.3273	0.3288	0.3288	0.9576	0.9585	0.9586	0.07216	0.07221	0.07226	0.8893	0.89	0.89	0.05651	0.05682	0.05686	0.2605	0.2607	0.2607	0.06886	0.06889	0.06896	0.1869	0.1899	0.1903	0.2265	0.2266	0.2266	0.04403	0.04418	0.04418	0.03405	0.03414	0.03422	0.03664	0.03675	0.03678	0.04699	0.04708	0.04714	0.02301	0.02302	0.02303	0.04231	0.04233	0.04236	0.09483	0.09502	0.09504	0.5727	0.5751	0.576	0.03557	0.03557	0.03557	1.261	1.271	1.272	0.03007	0.03029	0.03033	0.0495	0.04958	0.04961	0.05809	0.05832	0.05832	0.04329	0.0447	0.04471	0.0193	0.0193	0.01932	0.03207	0.03224	0.03225	0.0121	0.01214	0.01214	0.05296	0.05319	0.05319
-Environmental Adaptation	-Immune System	0	0	0.03821	0	0	0	0	0	0.1117	0	0	0.01371	0	0	0.04463	0	0	0.01382	0	0	0.009004	0	0	0.01148	0	0	0.02154	0	0	0.01107	0	0	0.008388	0	0	0.01774	0	0	0.01068	0	0	0.006505	0	0	0.007689	0	0	0.01831	0	0	0.002773	0	0	0.04291	0	0	0.01349	0	0	0.1002	0	0	0.01316	0	0	0.03543	0	0	0.01821	0	0	0.01403	0	0	0.01625	0	0	0.02745	0	0	0.01005	0	0	0.01167
Human Diseases	-Immune System	0.7139	1.092	1.317	0.9804	1.237	1.475	1.651	2.154	2.451	0.9216	1.849	3.131	1.35	1.796	1.929	1.19	1.675	1.799	1.146	2.118	2.786	1.145	1.629	1.767	1.163	1.974	2.423	1.432	1.793	1.888	0.9771	1.524	2.319	1.112	1.621	1.99	1.027	1.486	1.703	0.7966	1.064	1.425	0.7363	1.098	1.231	1.46	2.312	2.742	0.3132	0.3788	0.4051	2.222	2.798	2.984	2.365	2.809	3.232	1.957	2.433	2.799	0.8639	1.255	1.505	4.553	6.782	7.398	1.606	2.949	3.518	0.5601	0.7348	0.9525	1.353	2.159	2.414	0.6036	1.142	1.433	0.5251	0.7262	0.8626	0.7123	0.8724	0.9166
-Cancers	-Immune System	0.1443	0.1448	0.335	0.1659	0.1666	0.426	0.1662	0.1664	0.5187	0.2697	0.27	1.686	0.2385	0.2387	0.5094	0.1903	0.1916	0.308	0.3243	0.3245	0.9296	0.3548	0.3553	0.4165	0.3121	0.3182	0.3526	0.3023	0.3028	0.4398	0.1158	0.1162	0.9038	0.2222	0.2254	0.3875	0.1677	0.1698	0.2456	0.1677	0.1683	0.5674	0.08662	0.08689	0.3443	0.1352	0.1363	0.4842	0.07488	0.07516	0.08679	0.2649	0.2664	0.5262	0.3848	0.3848	0.4862	0.1737	0.176	0.3586	0.2646	0.2669	0.3075	0.4844	0.4857	0.6749	0.3265	0.329	0.4376	0.1161	0.1211	0.1496	0.4878	0.4881	0.6144	0.1771	0.1789	0.2155	0.246	0.2469	0.2663	0.2777	0.2792	0.3251
-Immune System Diseases	-Immune System	0.02964	0.2694	0.465	0.01294	0.1276	0.1776	0.06799	0.2777	0.3476	0.05854	0.3634	0.4893	0.04929	0.2852	0.4128	0.07824	0.4698	0.6178	0.03739	0.4054	0.4994	0.08439	0.4755	0.6448	0.1663	0.8711	1.436	0.07381	0.3588	0.444	0.02562	0.0746	0.103	0.1333	0.6292	0.8613	0.1172	0.543	0.719	0.04811	0.2338	0.3172	0.03505	0.2342	0.3982	0.113	0.7413	1.009	0.0248	0.08436	0.1433	0.0806	0.4268	0.7047	0.03642	0.3102	0.6065	0.05209	0.2926	0.5056	0.02918	0.3674	0.6755	0.3882	2.137	3.412	0.09351	1.153	2.001	0.01815	0.2418	0.435	0.04185	0.6854	1.109	0.01552	0.36	0.6214	0.02329	0.1809	0.3321	0.007755	0.1518	0.2121
-Neurodegenerative Diseases	-Immune System	0.3317	0.3764	0.4681	0.6674	0.6703	0.7385	1.133	1.287	1.575	0.3241	0.3764	1.006	0.6911	0.7939	0.932	0.2064	0.2573	0.3517	0.5358	0.589	1.217	0.317	0.3646	0.4396	0.3132	0.3756	0.5155	0.5464	0.5804	0.7031	0.2766	0.3216	0.7995	0.2381	0.2833	0.4041	0.2018	0.2437	0.3531	0.3262	0.3586	0.506	0.3448	0.3705	0.5349	0.7435	0.8691	1.12	0.133	0.1428	0.1539	1.377	1.487	1.672	1.469	1.503	1.943	1.291	1.442	1.76	0.3385	0.3716	0.4238	1.429	1.504	2.06	0.4398	0.489	0.5838	0.1934	0.2074	0.249	0.4039	0.4297	0.5705	0.2201	0.2403	0.2878	0.1518	0.169	0.187	0.2424	0.2729	0.3483
-Cardiovascular Diseases	-Immune System	0.004465	0.00448	0.004482	0.0196	0.01968	0.01968	0.003202	0.003205	0.003205	0.004043	0.004046	0.004049	0.009793	0.009801	0.009801	0.2094	0.2105	0.2107	0.1013	0.1014	0.1014	0.1063	0.1063	0.1064	0.03581	0.0363	0.0364	0.2759	0.276	0.276	0.4383	0.4398	0.4398	0.1299	0.1303	0.1306	0.1918	0.1923	0.1925	0.005229	0.00524	0.005246	0.003811	0.003812	0.003814	0.08186	0.08189	0.08195	0.006956	0.006969	0.006971	0.003356	0.00337	0.003375	0.02539	0.02539	0.02539	0.007988	0.008051	0.008057	0.01019	0.01027	0.01028	0.03429	0.03435	0.03437	0.2241	0.225	0.225	0.004455	0.0046	0.004601	0.03585	0.03585	0.03588	0.04081	0.04103	0.04104	0.00608	0.006096	0.006096	0.01885	0.01893	0.01893
-Metabolic Diseases	-Immune System	0.004922	0.004938	0.00494	0.01994	0.02003	0.02003	0.03056	0.03059	0.03059	0.0001562	0.0001563	0.0001564	0.02584	0.02586	0.02587	0.004123	0.004146	0.004149	0.0002079	0.000208	0.000208	0.005728	0.005731	0.005736	0.002743	0.002781	0.002788	0.01493	0.01494	0.01494	0.003018	0.003029	0.003029	0.005008	0.005022	0.005033	0.002688	0.002696	0.002698	0.001977	0.001981	0.001983	0.001538	0.001539	0.00154	0.002124	0.002125	0.002126	0.0002219	0.0002224	0.0002224	0.02326	0.02336	0.02339	0.001045	0.001045	0.001045	0.02931	0.02954	0.02956	0.00249	0.002508	0.002511	0.2194	0.2197	0.2199	0.03141	0.03154	0.03154	0.0006782	0.0007004	0.0007005	0.003195	0.003195	0.003197	0.00278	0.002795	0.002796	0.0001402	0.0001406	0.0001406	0.001301	0.001306	0.001306
-Infectious Diseases	-Immune System	0.06134	0.08053	0.2257	0.06353	0.1155	0.2366	0.07802	0.1862	0.364	0.0845	0.1089	0.6077	0.08991	0.2223	0.2703	0.3526	0.3998	0.5287	0.05767	0.09021	0.6862	0.1538	0.2056	0.3371	0.1139	0.192	0.5729	0.0522	0.07893	0.1973	0.08687	0.09073	0.5649	0.2144	0.2486	0.3405	0.1884	0.2347	0.3388	0.06561	0.08387	0.2149	0.07264	0.08715	0.2377	0.1303	0.1685	0.383	0.02561	0.04982	0.06081	0.126	0.1911	0.3638	0.1781	0.2007	0.6177	0.1549	0.3132	0.4768	0.126	0.1482	0.3583	1.364	1.383	1.921	0.3427	0.354	0.6009	0.08134	0.128	0.346	0.2141	0.2202	0.3553	0.07704	0.1107	0.5257	0.05991	0.0676	0.2292	0.05463	0.06797	0.1421
Not Mapped	-Immune System	12.7	12.74	12.75	21.68	21.78	21.78	27.23	27.25	27.26	25.2	25.22	25.23	26.82	26.84	26.85	19.75	19.86	19.87	28.67	28.69	28.69	25.47	25.48	25.51	19.75	20.02	20.07	16.52	16.53	16.53	12.75	12.79	12.79	20.57	20.63	20.67	16.38	16.43	16.44	17.48	17.51	17.54	11.73	11.73	11.74	25.78	25.79	25.81	6.215	6.227	6.228	28	28.12	28.16	53.13	53.13	53.13	37.02	37.31	37.34	13.85	13.95	13.97	66.76	66.87	66.92	32.71	32.85	32.85	10.16	10.5	10.5	18.41	18.41	18.42	11.93	11.99	12	8.084	8.106	8.106	11.72	11.77	11.77
-Not Mapped	-Immune System	12.7	12.74	12.75	21.68	21.78	21.78	27.23	27.25	27.26	25.2	25.22	25.23	26.82	26.84	26.85	19.75	19.86	19.87	28.67	28.69	28.69	25.47	25.48	25.51	19.75	20.02	20.07	16.52	16.53	16.53	12.75	12.79	12.79	20.57	20.63	20.67	16.38	16.43	16.44	17.48	17.51	17.54	11.73	11.73	11.74	25.78	25.79	25.81	6.215	6.227	6.228	28	28.12	28.16	53.13	53.13	53.13	37.02	37.31	37.34	13.85	13.95	13.97	66.76	66.87	66.92	32.71	32.85	32.85	10.16	10.5	10.5	18.41	18.41	18.42	11.93	11.99	12	8.084	8.106	8.106	11.72	11.77	11.77
TOTAL	-Endocrine System	44.8	44.8	44.8	156.2	156.2	156.2	254.5	254.5	254.5	38.62	38.62	38.62	235.7	235.7	235.7	400.7	401.1	401.1	106.5	106.5	106.5	307.9	307.9	307.9	234.5	235.4	235.4	62	62.01	62.01	45.88	45.88	45.88	102.5	102.7	102.7	64.82	64.9	64.9	151.6	151.6	151.6	124.1	124.1	124.1	74.05	74.13	74.13	103.7	103.7	103.7	148.9	149	149	212.1	212.1	212.1	296.2	296.6	296.6	89.56	89.58	89.58	280.6	280.7	280.7	231.3	231.6	231.6	270.8	272.3	272.3	69.22	69.22	69.22	76.67	76.75	76.75	45.28	45.3	45.3	24.97	24.97	24.97
MAPPED	-Endocrine System	39.03	39.03	39.03	119.8	119.8	119.8	213.6	213.6	213.6	33.58	33.58	33.58	189.6	189.6	189.6	327.5	327.8	327.8	96.44	96.44	96.44	251.9	251.9	251.9	192	192.8	192.8	55.2	55.21	55.21	40.98	40.98	40.98	83.53	83.7	83.7	53.02	53.08	53.08	123.9	123.9	123.9	104	104.1	104.1	65.56	65.62	65.62	83.02	83.06	83.06	121.6	121.7	121.7	188.2	188.2	188.2	238.8	239.1	239.1	73.16	73.18	73.18	230.7	230.8	230.8	189.6	189.9	189.9	223.7	224.9	224.9	55.35	55.35	55.35	63.02	63.08	63.08	35.43	35.44	35.44	20.96	20.96	20.96
Genetic Information Processing	-Endocrine System	10.09	10.3	10.51	24.38	25.6	26.24	36.86	37.55	38.11	4.106	4.145	4.217	36.39	37.79	38.28	87.17	88.11	90.3	5.285	5.392	5.515	67.28	68.92	71.28	86.21	87.58	89.36	5.796	5.946	6.017	3.136	3.168	3.191	22.93	23.27	23.81	15.29	15.53	15.78	21.59	21.89	22.15	17.92	18.55	18.92	11.39	11.49	11.79	15.1	15.45	15.68	22.35	24.06	24.66	10.02	10.15	10.28	47.31	49.55	50.06	20.73	21.68	22.15	109.9	115.7	126.7	60.15	60.98	62.64	58.06	59.29	60.21	11.83	12.3	12.78	20.8	21.06	21.59	10.11	10.52	10.7	3.281	3.844	3.961
-Transcription	-Endocrine System	0.6064	0.6065	0.6145	1.973	1.975	1.993	1.815	1.815	1.843	0.1396	0.1397	0.1443	2.909	2.913	2.995	6.28	6.287	6.45	0.2	0.2001	0.2114	4.353	4.353	4.462	10.4	10.48	10.79	0.39	0.3901	0.4003	0.2367	0.2367	0.2382	1.255	1.258	1.286	0.8398	0.8409	0.8719	1.394	1.395	1.423	1.135	1.135	1.16	0.3885	0.3889	0.3999	1.043	1.044	1.107	1.857	1.859	1.87	0.3129	0.3135	0.3232	3.301	3.307	3.367	1.912	1.914	1.936	2.138	2.14	2.168	3.102	3.109	3.133	5.821	5.855	5.949	0.8933	0.8943	0.9052	2.597	2.601	2.648	1.34	1.341	1.353	0.1533	0.1534	0.1569
-Translation	-Endocrine System	1.993	2.001	2.067	5.129	5.15	5.405	8.058	8.086	8.245	1.216	1.221	1.231	8.374	8.458	8.606	24.46	24.63	25.08	1.558	1.569	1.571	20.43	20.54	20.85	26.03	26.51	26.97	1.5	1.511	1.56	0.7375	0.7391	0.7469	6.956	6.996	7.068	4.748	4.781	4.852	5.532	5.562	5.665	3.884	3.908	3.95	3.864	3.875	3.902	3.257	3.319	3.36	4.929	4.941	5.143	3.734	3.743	3.78	12.1	12.17	12.39	4.57	4.592	4.84	57.49	57.52	57.71	20.92	20.95	21.24	13.54	13.73	14.65	3.604	3.615	3.642	4.895	4.948	5.4	2.647	2.659	2.86	0.8393	0.8428	0.868
-Folding, Sorting and Degradation	-Endocrine System	7.032	7.244	7.434	15.35	17.03	17.33	25.62	25.94	26.74	2.597	2.623	2.695	23.02	24.35	24.96	52.51	53.36	54.47	3.181	3.246	3.331	39.9	41.39	44.1	40.32	41.67	43.05	3.452	3.587	3.666	1.995	2.029	2.058	13.61	13.88	14.19	8.871	8.96	9.05	13.55	13.76	14.02	12.01	12.63	12.84	6.775	6.852	7.02	9.83	10.12	10.65	14.08	15.77	16.26	5.172	5.289	5.495	29.5	31.77	32.25	12.7	13.89	14.4	46.97	52.38	63.68	33.02	34.68	35.3	33.69	34.28	35.37	6.401	6.921	7.349	10.78	11.08	11.7	5.056	5.408	5.702	2.079	2.659	2.77
-DNA Maintenance	-Endocrine System	0.3638	0.4344	0.5084	1.225	1.595	1.942	1.086	1.374	1.969	0.1288	0.1533	0.1945	1.445	1.866	2.151	3.103	3.862	4.775	0.3155	0.3493	0.4725	1.973	2.626	2.982	7.132	8.825	9.593	0.3324	0.4234	0.4775	0.1346	0.1478	0.1648	0.9565	1.166	1.622	0.7503	0.842	1.133	0.8881	1.118	1.237	0.6193	0.9449	1.014	0.2945	0.3752	0.5505	0.6302	0.89	0.9877	1.004	1.382	1.64	0.6217	0.8012	0.913	1.727	2.105	2.539	0.9178	1.307	1.578	2.103	2.676	3.651	1.907	3.063	3.388	3.577	4.797	5.927	0.5737	0.8452	1.075	1.892	2.211	2.716	0.6591	0.8717	1.077	0.1668	0.2033	0.2177
-RNA Family	-Endocrine System	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Endocrine System	2.494	2.505	2.524	7.34	7.436	7.546	10.94	11.09	11.33	1.046	1.055	1.064	12.14	12.28	12.44	20.64	20.83	20.95	3.275	3.288	3.299	15.61	15.72	15.78	9.638	9.79	9.994	1.829	1.868	1.892	1.706	1.715	1.729	5.372	5.417	5.501	3.595	3.63	3.693	5.952	6.015	6.111	3.662	3.718	3.757	1.415	1.43	1.462	5.35	5.46	5.495	6.609	6.697	6.806	4.123	4.146	4.154	18.25	18.37	18.59	4.879	4.947	4.968	5.804	5.875	5.901	7.837	7.898	7.996	13.83	14.25	14.43	2.892	2.914	2.956	3.482	3.529	3.566	1.803	1.826	1.848	1.008	1.019	1.024
-Signal Transduction	-Endocrine System	1.095	1.095	1.114	6.844	6.844	6.957	9.314	9.315	9.548	0.912	0.912	0.9203	10.02	10.02	10.19	14.56	14.57	14.75	3.137	3.137	3.155	13.09	13.09	13.2	8.132	8.166	8.451	1.604	1.605	1.619	1.577	1.577	1.594	3.308	3.316	3.356	2.317	2.321	2.349	5.036	5.037	5.087	3.11	3.111	3.155	1.095	1.095	1.137	3.954	3.956	4.045	5.886	5.888	5.989	3.649	3.649	3.664	15.42	15.44	15.66	3.81	3.811	3.87	4.129	4.131	4.185	6.727	6.737	6.797	11.25	11.31	11.69	2.175	2.175	2.195	2.848	2.851	2.904	1.405	1.405	1.426	0.8201	0.8202	0.8303
-Signaling Molecules and Interaction	-Endocrine System	1.399	1.399	1.411	0.4933	0.5848	0.5918	1.625	1.691	1.793	0.1341	0.1343	0.1493	2.12	2.189	2.273	6.086	6.094	6.332	0.1377	0.1429	0.1534	2.516	2.523	2.667	1.506	1.52	1.626	0.2213	0.2636	0.2797	0.129	0.1312	0.1387	2.064	2.068	2.174	1.278	1.283	1.369	0.9157	0.9209	1.056	0.5515	0.5541	0.6298	0.32	0.3206	0.3342	1.396	1.485	1.504	0.721	0.7926	0.8659	0.4734	0.4814	0.4991	2.817	2.827	2.935	1.066	1.075	1.14	1.675	1.676	1.744	1.11	1.112	1.235	2.582	2.783	2.964	0.7161	0.7192	0.7685	0.6339	0.6345	0.6786	0.3978	0.4004	0.4284	0.1881	0.1889	0.1997
Cellular Processes	-Endocrine System	3.812	3.816	3.855	34.34	34.35	34.37	49.53	49.57	49.96	2.805	2.843	2.942	47.08	47.11	47.31	60.18	60.26	60.58	33.85	33.85	34.07	62.51	62.54	62.69	25.64	25.76	25.9	25.96	25.97	26.02	3.713	3.716	3.895	11.68	11.73	11.83	8.753	8.777	8.852	14.73	14.79	14.99	10.72	10.76	11.01	4.045	4.078	4.161	16.21	16.24	16.31	35.42	35.44	35.59	71.91	71.92	72.11	51.48	51.56	51.98	11.54	11.55	11.57	13.8	13.83	14.22	24.49	24.52	24.62	35.7	35.95	36.26	9.337	9.348	9.45	10.24	10.27	10.28	5.562	5.565	5.583	2.337	2.341	2.363
-Crystallins	-Endocrine System	0.05718	0.05718	0.05718	0.3896	0.3896	0.3896	0.3337	0.3337	0.3337	0.01431	0.01431	0.01431	0.2196	0.2196	0.2196	0.2514	0.2516	0.2516	0.6132	0.6132	0.6132	0.1352	0.1352	0.1352	0.0839	0.08423	0.08423	17.28	17.29	17.29	1.026	1.026	1.026	0.08031	0.08047	0.08047	0.02363	0.02366	0.02366	0.06687	0.06688	0.06688	0.427	0.4272	0.4272	0.0263	0.02633	0.02633	0.2914	0.2915	0.2915	0.4013	0.4013	0.4013	0.572	0.572	0.572	0.2975	0.2979	0.2979	0.05007	0.05008	0.05008	0.1488	0.1489	0.1489	0.1212	0.1214	0.1214	0.08634	0.08681	0.08681	0.8011	0.8011	0.8011	0.04988	0.04993	0.04993	0.04296	0.04298	0.04298	0.03568	0.03568	0.03568
