Numerator	Denominator	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat
-Excretory System	TOTAL	0.0005845	0.00356	0.0009573	0.0003502	0.001365	0.001121	0.0001523	0.0007946	0.0003531	0.0004514	0.000492	0.001108	0.000812	0.001397	0.0009566	0.0003758	0.0009292	0.003412	0.000177	0.0005247	0.0002416	0.00343	0.03133	0.000402	0.0004281	0.0008638	0.0008336	0.0003941
-Nervous System	TOTAL	0.001419	0.01469	0.02377	0.0007071	0.008026	0.001411	0.0003252	0.001512	0.001731	0.001097	0.0008123	0.00126	0.001307	0.001319	0.0008272	0.0003927	0.00177	0.02527	0.0007118	0.01556	0.001153	0.0007296	0.001246	0.00392	0.001783	0.003861	0.002041	0.0008995
-Sensory System	TOTAL	2.834e-05	1.705e-05	9.354e-05	1.158e-05	0.0001227	0.005814	3.746e-05	0.0005339	2.427e-06	0.002041	2.116e-05	0.001133	0.001425	7.012e-06	1.722e-05	1.706e-05	1.964e-05	1.425e-05	2.63e-05	7.29e-05	9.472e-06	1.539e-05	6.215e-05	1.173e-05	6.528e-05	0.0002036	0.0001205	2.189e-05
-Development	TOTAL	0.0004436	0.003515	0.005656	0.0003737	0.00648	0.0005227	0.0008564	0.0004913	0.001714	0.001503	0.0003685	0.0003059	0.0004074	0.0004904	0.000317	0.0001882	0.003041	0.003747	7.541e-05	0.006596	0.0003974	0.0001318	0.0003196	0.0007419	0.0002101	0.0004789	0.0003259	0.0007255
-Environmental Adaptation	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human Diseases	TOTAL	0.01059	0.01299	0.01231	0.0118	0.01152	0.01289	0.006809	0.009044	0.01132	0.01037	0.01431	0.0135	0.0142	0.01074	0.01334	0.009637	0.009964	0.0163	0.006176	0.01263	0.01245	0.0152	0.01064	0.009959	0.01922	0.01187	0.01545	0.01046
-Cancers	TOTAL	0.003385	0.004554	0.003061	0.008717	0.003709	0.002829	0.003054	0.002968	0.003165	0.002914	0.007539	0.003445	0.002703	0.005902	0.004737	0.002147	0.002773	0.003421	0.001031	0.001855	0.004027	0.001791	0.002392	0.002462	0.006683	0.003188	0.007143	0.00443
-Immune System Diseases	TOTAL	0.002292	0.00137	0.0006	0.0008044	0.000604	0.00175	0.0004321	0.001459	0.002981	0.0009799	0.0004489	0.00328	0.003256	0.001265	0.001368	0.001694	0.001564	0.001367	0.0007055	0.001317	0.001199	0.003623	0.002021	0.001632	0.003863	0.00269	0.001925	0.0006486
-Neurodegenerative Diseases	TOTAL	0.003805	0.007197	0.007603	0.00256	0.005779	0.002358	0.001935	0.002599	0.003468	0.003849	0.002682	0.00253	0.002694	0.003723	0.005099	0.003857	0.004582	0.009689	0.003187	0.007486	0.004916	0.003996	0.00268	0.003556	0.004678	0.003595	0.004539	0.003722
-Cardiovascular Diseases	TOTAL	4.529e-05	0.0002104	1.891e-05	2.094e-05	7.136e-05	0.001937	0.0003331	0.0007582	0.0003284	0.001831	0.003668	0.001167	0.002132	5.458e-05	5.251e-05	0.0003642	0.0002231	2.196e-05	5.383e-05	4.179e-05	0.0001347	9.128e-05	0.001233	7.635e-05	0.0003903	0.0006095	0.0001637	0.0002582
-Metabolic Diseases	TOTAL	4.992e-05	0.0002141	0.0001805	8.086e-07	0.0001883	3.814e-05	6.835e-07	4.087e-05	2.516e-05	9.911e-05	2.526e-05	4.5e-05	2.988e-05	2.063e-05	2.12e-05	9.449e-06	7.117e-06	0.0001522	2.215e-06	0.0001533	3.291e-05	0.000584	0.0001728	1.162e-05	3.478e-05	4.152e-05	3.776e-06	1.782e-05
-Infectious Diseases	TOTAL	0.0006367	0.0007224	0.0004796	0.0004414	0.0006844	0.003268	0.0001899	0.001101	0.001102	0.0003515	0.0007261	0.001937	0.002123	0.0006893	0.001005	0.0005833	0.0008835	0.00086	0.0003773	0.0008491	0.001697	0.003629	0.001898	0.001647	0.002337	0.001229	0.00164	0.0007863
Not Mapped	TOTAL	0.1288	0.2329	0.1608	0.1305	0.1955	0.1827	0.09425	0.1817	0.1811	0.1097	0.1067	0.1848	0.1821	0.1824	0.1616	0.1147	0.1993	0.1832	0.1126	0.1937	0.1831	0.1777	0.18	0.1742	0.2004	0.1781	0.2177	0.1605
-Not Mapped	TOTAL	0.1288	0.2329	0.1608	0.1305	0.1955	0.1827	0.09425	0.1817	0.1811	0.1097	0.1067	0.1848	0.1821	0.1824	0.1616	0.1147	0.1993	0.1832	0.1126	0.1937	0.1831	0.1777	0.18	0.1742	0.2004	0.1781	0.2177	0.1605
