KO number	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat
K11368	32200000	64700000	17300000	47000000	2.04e+08	1.16e+08	4718300	97100000	43200000	9086700	8004200	2.08e+08	2.08e+08	85700000	46400000	1.47e+08	76800000	36500000	NaN	36700000	11700000	17300000	14000000	1.21e+08	21000000	14400000	11700000	4291700
K11373	13200000	464330	23200000	10500000	2.0999999e+08	18200000	1913800	30399999	2.21e+08	3729500.1	79195	36000000	34400001	24200000	1678100	26600000	14400000	2110700.1	574030	78099999	6373800	3086399.9	9686000	1.08e+08	340250	8737500	2537400	12800000
K11374	2790500	409090	1331200	NaN	24000000	NaN	NaN	2169700	78700000	1309100	NaN	4439200	NaN	8903800.2	NaN	NaN	NaN	472580	NaN	21600000	5833400	966879.97	NaN	NaN	NaN	10400000	868510.01	4144800
K11375	1144400	503859.98	4809000.2	4471600.2	39800000	6859199.8	NaN	3806800	30800000	98536	73985.998	11300000	23600000	10600000	686430.01	4555500.1	3993000	648160.01	NaN	27500000	1294300	819910	249090	8415499.9	260510	5635999.9	444010	1504800
K11404	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1045700	NaN	317800	427169.99	NaN	NaN	180040	99199.002	5280400.2	NaN	212810	547859.98	NaN	231570	NaN	NaN	159030
K11405	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2135800	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K11407	NaN	NaN	NaN	425800	912370	NaN	NaN	237780	8382400	1043100	NaN	NaN	12500000	2477300	NaN	NaN	1331300	371630	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K11412	26934140	3.26e+08	2.08e+09	76180500	2.7396016e+09	28738490	10300000	24759580	17600000	32700000	12800000	51100001	48699999	60733098	19300000	68582399	31800000	1.5e+08	9698600.1	9.7399998e+08	7721100	9779600	4523700.1	59100000	4560800.2	13001060	6377299.8	14800000
K11413	NaN	NaN	1148300	NaN	NaN	789409.99	2552400	NaN	NaN	NaN	1240800	NaN	NaN	NaN	3179499.9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K11414	1889300	NaN	634669.99	3286100	637490.01	2138000	968869.99	1056000	NaN	606230	794870	4206500	3634200.2	247850	443290	1443000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	222880	NaN	57928.001
K11415	6957700.1	5559800.1	20800000	38500000	72800000	10200000	9783999.9	3580500	3733200.1	9051100.1	27000000	30000000	7670100	34300000	10300000	68799999	5699399.9	3259500	2491100	49300001	5429600.1	8901100.1	12600000	12600000	2667700	4722399.9	3973700	3817600.1
K11423	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K11433	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K11426	3688750	4385420	4074400	73590702	7170690	4471600	5.850627e+08	1547930	11936270	61599968	1.5745116e+08	4917650	NaN	3501900	687920.02	2714900	12803600	656819.99	3.902097e+08	19266	388780	NaN	9472299.8	NaN	NaN	1234100	755340.01	1773690
K11436	8674900	3686600	18400000	2902700	28300000	5819500.1	3240900	8855500.2	13800000	1903800	127050	22000000	10200000	11500000	2984600	6692799.9	4762600	803829.98	NaN	5009400	NaN	102620	NaN	11100000	NaN	4141900	410160	2108600
K05931	12200000	3897900	19400000	5247500	1.16e+08	32000000	5582900	19300000	2.08e+08	4712600	1182500	57100000	1.11e+08	21500000	3239800	23800000	22500000	2526500	237210	96100000	13500000	1105900	1173900	74800003	723700.03	13700000	8164500	7571200.3
K11439	NaN	NaN	NaN	NaN	1.2e+08	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1553400	NaN	31200000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K14962	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K14966	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K14970	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K11449	37483100	NaN	1923930	15978099	14600000	18563800	14458790	35300000	39462600	17846500	8537010	13423300	56399999	47028690	12000000	64163901	4912900	2283900.1	4.33205e+08	25758331	7329299.9	11600000	19100000	35678701	4912900	10300000	6114879.9	798090
K11446	NaN	NaN	7169100	10366190	NaN	NaN	NaN	NaN	16743400	NaN	NaN	NaN	11389400	159990	4783600	NaN	NaN	516540	NaN	NaN	147190	NaN	NaN	NaN	NaN	NaN	100420	NaN
K11450	NaN	NaN	NaN	731420	15100000	1472100	NaN	1448400	26300000	NaN	NaN	22300000	16300000	1494700	160510	NaN	1115100	NaN	81402	2394400	2310900	136700	1152300	8210200	NaN	4952600	431870	193460
K11451	NaN	NaN	NaN	448460	NaN	NaN	NaN	NaN	5957400.1	1.15e+08	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K11453	NaN	12600000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2006900	NaN	12700000	NaN	223020	NaN	8713000.1	NaN	26500000	14700000	1287500
K11457	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5009500	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K11462	NaN	NaN	3738500	20500000	NaN	NaN	NaN	NaN	34500000	3664900	NaN	NaN	NaN	NaN	NaN	NaN	24400000	NaN	5656800.1	895509.99	NaN	NaN	5353800	21400000	NaN	2262200	736039.98	11400000
K06674	37201.001	NaN	NaN	NaN	NaN	17800000	NaN	2594000	2.16e+08	NaN	NaN	76200000	1.01e+08	56327	NaN	NaN	139390	NaN	86245	NaN	254680	NaN	NaN	1.12e+08	NaN	85100000	398600	NaN
K06675	NaN	NaN	NaN	NaN	25348	1435300	NaN	5053100	1.9800001e+08	92308	NaN	35000000	86200000	NaN	NaN	NaN	NaN	NaN	NaN	6238600	1112900	782960	1629200	NaN	1295200	3387400	810940	2000300
K06676	NaN	NaN	NaN	NaN	NaN	6287000	51552	4090200	74499997	NaN	116650	19000000	12800000	NaN	NaN	270660	1431600	NaN	NaN	NaN	NaN	NaN	NaN	6415700	NaN	8537900.2	NaN	NaN
K06677	NaN	NaN	NaN	NaN	75584.001	1685900.1	NaN	1667000	1.4300001e+08	NaN	NaN	47799999	73899999	NaN	NaN	102580	NaN	NaN	NaN	NaN	NaN	24221	NaN	37400000	NaN	10500000	49858	280609.99
K06678	NaN	NaN	NaN	NaN	NaN	334450	NaN	NaN	65700002	NaN	9596800.2	27000000	20700000	NaN	NaN	NaN	NaN	NaN	13500000	2.04e+08	11600000	11900000	17500000	28900000	23000000	2995000	7163600.2	2759800
K11490	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8434600.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2626400	NaN	NaN
K11491	NaN	NaN	NaN	NaN	NaN	NaN	NaN	406400	564800	NaN	NaN	1621500	1053900	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K11492	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11100000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	355680	NaN	NaN
K11493	8433299.8	2015400	4876900.2	8279999.8	45800001	37000000	NaN	16100000	23100000	3584200	4511700	1.36e+08	1.81e+08	41300000	5262100	34200000	5546800	471100.01	1147100	18700000	6356399.9	2676700	2772200	23900000	318030	9415100	4799999.9	950190.01
K11494	1523100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6272800.2	7235299.8	NaN	NaN	NaN	NaN	NaN	NaN	6996899.9	505960	NaN	NaN	NaN	NaN	925420	665870.02	550380.01
K11510	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2151900.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K11546	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3289099.9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1388100	NaN	NaN
K11549	NaN	NaN	NaN	NaN	NaN	684370.01	NaN	600959.99	9800699.9	NaN	55257	NaN	NaN	116300	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9938000	646400	1268800	98939	NaN
K11550	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5292800	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	288469.99	NaN	NaN
K11577	541500.01	NaN	2017300	17000000	NaN	NaN	NaN	340470.01	9971900	NaN	292030	190900	2523100	212220	NaN	2689900	885360.01	NaN	NaN	5521699.9	1747900	1651400	NaN	1539700	1457800	459390.01	NaN	5823299.9
K11578	2946800	NaN	2238600	6471800	39500000	13900000	NaN	NaN	18600000	696910	2849100	18000000	9893099.8	10500000	NaN	3638500	1940600	305000	469530	19600000	2994500	2817200	6996500	21300000	NaN	3545500	750810	2977900
K10393	3333900	5072500	1.55e+08	3828700	4.43e+08	13400000	251820	8629900.1	54500000	2361500	517440	53300000	46600000	5466700	1666800	2395900	9621699.7	22300000	1208700	1.47e+08	2988800	2265200	1928800	14500000	729709.97	3516500	597590	2121600
K11585	1.54e+08	38400000	14200000	16000000	1e+08	1.29e+08	NaN	81800000	1.64e+08	54800001	5230199.9	44800000	1.5e+08	46500000	5466400	28499999	4662900	5833000	8402800.1	21300001	41900001	17800000	26900001	4.85e+08	9605200	2.6499999e+08	93600001	40700000
K11586	1.77e+08	81399999	88600001	56000000	7.6099999e+08	1.62e+08	17900000	1.39e+08	3.6399999e+08	74900000	33000000	3.56e+08	2.76e+08	99500001	38400001	58100000	1.29e+08	14500000	996170	99200000	50400001	14100000	32500000	9.3e+08	13500000	4.2500001e+08	88600001	47300001
K11587	72300000	74400001	67600000	8243500	4.6000001e+08	90900000	1.26e+08	1.11e+08	6.19e+08	17700000	3811800	1.37e+08	1.39e+08	1.09e+08	43500000	13900000	43300000	10200000	5509900	1.93e+08	60500001	19500000	19000000	6.0100001e+08	6629899.9	2.6500001e+08	41600001	16300000
K11588	38400000	1.61e+08	25600000	15000000	1.21e+08	3872400	2879800	81699999	4305200	10100000	11500000	11000000	12900000	77600001	9507500	20700000	16000000	93600000	1864700	88300002	4681600	30500000	18800000	8084799.9	10600000	826840	12200000	6736799.9
K11590	1303500	1114300	NaN	1094500	8041400.2	8054399.9	NaN	NaN	NaN	710320	443240	33800000	NaN	1877900	NaN	949590.02	3044700	361830	69476	10900000	NaN	1251600	NaN	33400000	NaN	3190900	267470	793310.02
K11591	1378400	1584400	2761300	3129900	9538000	392790	NaN	NaN	91000001	3289400	NaN	7023100	20500000	11000000	1746500	470880	1512600	3280500	NaN	19700000	9918499.9	136630	488920	47500000	1494200	13800000	4537700	1177400
K10801	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K11593	3764500	296790	2912000	2590000	41600000	417590	17200000	19700000	8998800.1	5811400	166580	57200000	1.45e+08	9694799.8	1296300	16000000	6319700	1090500	NaN	4159200	NaN	NaN	2025100	29700000	NaN	3026200	388490	425120
K14281	1.11e+08	19500000	17900000	59000000	1.52e+08	2818500	NaN	9051700.1	1257900	8241799.7	5256700	1593800	2891400	22700000	12900000	7346800	53600000	10400000	1365400	63400000	14100000	2384800	431370	31700000	1539000	17700000	8765200.2	24300000
K14282	3624800.1	8976400	5288300	6503900	35600000	15200000	7975800	788150	4960399.9	11100000	9305499.9	10200000	38200000	39900001	7752300	3199900	10000000	1121400	1786300	13400000	2886500	2017900	16100001	27000001	861550.01	3800500	771520	659750
K06631	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K11647	1892200	8128800	611690.01	1211500	18500000	5703799.9	212750.01	6703300.1	22599999	755810.01	NaN	26300000	52500000	4461900	3747300	15100000	992770	739530	NaN	7624000	NaN	NaN	2265700	1926000.1	618729.99	NaN	7856300	1148700
K11648	6195290	541160	4781700	9335200	1139940	21963300	213190	11373340	67299998	5917040.1	2331800	28400000	46000000	17768170	677300.01	8629700.1	9701099.9	541339.99	NaN	20879400	5115699.8	1948200	5344700.1	3.203e+08	NaN	10700000	6222800	2559600
K11649	1.194e+08	58722600	46997600	40634800	8.5770001e+08	1.799e+08	9426300	1.007e+08	4.22e+08	65833200	9973490	3.124e+08	3.885e+08	1.623e+08	38044200	82712700	1.007282e+08	10828310	2036400	1.3e+09	66246100	1.9e+08	52800000	4.88e+08	22067200	2.107e+08	45907200	19675720
K11650	7628299.8	2968400	7688700	8940590.2	1.14251e+08	22006540	370950	22000000	91400000	2827800	1282600	88800001	88500002	57551500	11146980	27500000	13100000	1817900	1678700	23600000	25400000	9519100	41500000	1.1e+08	5612100.2	12600000	6330699.9	6383900.2
K11651	42300001	45400001	12300000	15800000	1.95e+08	37400000	2757900	32600000	1.38e+08	14000000	5775900.1	78699998	63300001	50999999	23500000	15400000	35700000	4817600.2	1765600	6330799.9	21200000	578159.99	2084200	2.17e+08	5823100.2	46400001	27700000	6307100
K11652	NaN	7936699.9	19400000	NaN	97400001	NaN	NaN	NaN	14200000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2017800	NaN	46300002	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K11653	3136100	920849.99	2138300	NaN	29499999	21600000	NaN	1781100	90399999	342450	NaN	21500000	1.71e+08	24600001	6739900	5284000.1	3314000.1	906859.99	NaN	22800000	848070.01	444030.01	NaN	33000000	527950.01	27800000	392980	4410200.1
K11757	NaN	NaN	NaN	NaN	NaN	721150	NaN	3258399.9	16400000	NaN	NaN	822950	1044300	581459.99	NaN	NaN	NaN	NaN	NaN	NaN	1700800	NaN	NaN	NaN	NaN	NaN	94633.001	NaN
K11765	NaN	562010.02	NaN	286540	831720.02	626130.02	4267399.8	1283200	10500000	543649.99	61297.001	NaN	3897499.9	NaN	NaN	339340	1500200	3102500	2169000	2677600	NaN	NaN	NaN	16500000	NaN	2389000	NaN	NaN
K11654	20800000	41581	1714400	2695500	14400000	13100000	762240	31000000	90100000	224460	141250	2.02e+08	1.88e+08	8289600	762669.99	22600000	5479400	280990	380750	5796399.9	4712500	1213400	4755500	14000000	932210	2365700	2093200	1464600
K11657	3216700	NaN	933089.99	NaN	19000000	1312100	NaN	5704100.2	29600000	NaN	NaN	2301900	NaN	1999100	NaN	1692500	2419900	114650	NaN	NaN	NaN	345510	NaN	15100000	6269300.1	4740800	NaN	NaN
K11658	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5028800	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K11659	1.01e+08	28300000	44999999	19400000	4.2599998e+08	2.14e+08	35800000	1.06e+08	35500000	31100000	62800002	3.63e+08	3.15e+08	83000001	17300000	1.29e+08	74700002	2167900	1261300	62200000	44700000	2296000	1897200	1.01e+08	456089.98	1.86e+08	9940200	11800000
K11660	23754600	330810	1577900	13757200	59400000	39443000	7.7700001e+08	12900000	94700000	2793900	564740	57300000	33600000	15303500	5797900	26800000	609420	174080	NaN	16100000	NaN	2418700	NaN	58900000	NaN	11400000	2322300	3684600
K11727	NaN	NaN	NaN	NaN	NaN	644210	NaN	NaN	250060	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K11662	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3475900	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4281700.1	NaN	NaN	NaN	NaN
K11672	245940	NaN	NaN	457250	2857800	1942000	NaN	NaN	965950.02	545590	NaN	5479400	NaN	776859.99	501420	2208900	1015500	NaN	NaN	2249800	NaN	NaN	NaN	16600000	NaN	1287300	NaN	NaN
K11673	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2023100	NaN	NaN	NaN	2007900	135770	NaN	NaN	186090	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	226130	NaN	NaN
K08871	2164900	166800	650890	5586700	511390	725840	218850	17600000	12000000	776500	13200000	7076000	6449300	3168000	1026500	20100000	1261500	NaN	NaN	NaN	3806600	NaN	617460	NaN	NaN	1436700	625060	NaN
K11721	3146800	1324200	3895100	3687400	57000000	2385400	1036300	23800000	65100000	1771400	NaN	72899998	2016300	11600000	2574900	6855400	6478400	640500	244460	1941300	6056000	5706100	980939.98	17600000	517090	8581100	542120	873039.97
K11722	658220	57554	NaN	415090	NaN	1126800	112560	332770	19000001	NaN	NaN	6013400	1926000	886540	283630	1019100	492200	NaN	254860	2317800	620290.01	NaN	NaN	11000000	NaN	1341600	1082100	NaN
K11723	227730	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5108300	NaN	NaN	NaN	NaN	NaN	137590	NaN	NaN	NaN	NaN	563470	1606900	136230	NaN	6314900.1	NaN	NaN	NaN	38699
K03531	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03610	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03609	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03608	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03569	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03593	5617900.1	4675900.1	6418800	46000001	14400000	8100500	2327200	1986100	1869900	793520	6762700.2	5053900.1	8689900.1	40300001	5456800	18700000	1904500	1415600	309090	5626000.1	1507400	335380.01	1451200	12600000	833990	1647900	1076300	5150300
K10771	48900002	806620	13100000	34299999	1.62e+08	91600000	1318800	33200000	2.73e+08	16700000	5570900	2.55e+08	2.33e+08	69099999	7935300	1.65e+08	9871400	2554500	1325800	2.49e+08	67400001	14300000	19700000	3.8000001e+08	4152999.9	27000000	57099999	52600000
K10776	166480	NaN	298860	4058500	NaN	865160	NaN	4824800	20200000	141980	4085200	22400000	19600000	1276600	NaN	3770000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	146740	NaN
K10802	1.69e+09	8.9399999e+08	9.5599999e+08	1.41e+09	6.42e+09	1.4e+09	4.46e+08	1.7e+09	1.93e+09	7.9e+08	2.47e+08	3.6199999e+09	3.9e+09	2.2700001e+09	5.8e+08	1.41e+09	1.2e+09	3.49e+08	2.1600001e+08	3.0500001e+09	7.07e+08	4.5599999e+08	8.04e+08	8.06e+09	2.93e+08	1.78e+09	1.39e+09	2.8300001e+08
K10803	1886300	7432099.7	20700000	1819700	43500000	7489000.2	NaN	13700000	27600000	148210	NaN	19900000	4343200	9587400.1	2631700	8248799.9	2324700	569430	1175600	5543200	4060200	1324400	5147800	NaN	860629.99	16400000	NaN	1639600
K02330	923280	813460	2035100	816690	8077899.9	5318099.9	NaN	2976100	18200000	1004300	NaN	5470999.9	3759400.1	2670200	1046300	2420400	NaN	638769.99	NaN	NaN	NaN	3652600.1	566609.99	NaN	366749.99	4518599.9	770200.01	369350
K10798	44371400	2839590	11146600	30420500	64700000	93900000	20983900	69479000	1.983707e+08	17175760	82893620	2.907e+08	2.291e+08	64642700	11705400	1.111e+08	43559000	1507350	4537800	1.905e+08	27425600	33333320	63500002	6.3639999e+08	11841600	67196901	51822539	4.2784411e+08
K10563	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K10773	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K10569	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01247	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01246	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03648	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K10800	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03575	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01151	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K10772	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K07462	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03512	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03868	20499999	74100000	24300000	14600001	1.11e+08	21800000	1300900	23800000	NaN	4231200	4457900	4913400	20100000	13300000	1393500	15600000	6414900	2451900	800900	31200000	1751400	10300000	1514200	NaN	NaN	10300000	12900000	3225500
K10609	30291200	7900140	85000000	49900000	7.66e+08	63600000	14696200	1.298e+08	1.558e+08	22890600	1663730	1.597e+08	1.441e+08	87900000	12191300	1.932e+08	71900000	7863500	2953900	1.619e+08	68400000	4714200	8531500	2.59e+08	304030	28300000	11343600	29023600
K10610	1.32e+08	47700000	2.47e+08	2.0300001e+08	7.77e+08	2.02e+08	46099999	1.2899999e+08	4.8099999e+08	1.9e+08	27100000	8.56e+08	6.56e+08	4.11e+08	74599999	3.83e+08	2.06e+08	19800000	10900000	7.32e+08	1.47e+08	35500000	64500000	1.37e+09	8701600.1	1.3e+08	35600000	92800000
K10840	17600000	1.15e+08	11000000	1205800	80500001	15500000	451980	15300000	4705700	4680600.1	9051000	12500000	8660200	29599999	13700000	9331000	32300000	45400000	59186	6516099.9	2642000	445339.99	5043800.1	7961600	1169300	3650200	996119.99	850710
K10848	NaN	NaN	NaN	NaN	4392000	NaN	NaN	NaN	NaN	NaN	8701100	NaN	1315500	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K10839	3.03e+08	4.72e+08	2.032e+08	85700000	1.444e+09	2.96e+08	75200001	2.029e+08	3.273e+08	98399999	2.303e+08	3.85e+08	3.67e+08	5.16e+08	3.36e+08	2.99e+08	1.039567e+08	1.558e+08	1.32e+08	8.3599999e+08	1.732e+08	2.679e+08	1.926e+08	1.387e+09	1.37e+08	2.87e+08	2.84e+08	1.103e+08
K03701	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03702	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03657	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
