Numerator	Denominator	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat
-Signal Transduction	TOTAL	0.02564	0.02564	0.02644	0.05174	0.05174	0.05174	0.04443	0.04444	0.04588	0.02719	0.0272	0.02735	0.04562	0.04562	0.04634	0.03262	0.03262	0.0329	0.03723	0.03723	0.0373	0.02697	0.02698	0.02717	0.03321	0.03322	0.03364	0.03147	0.03147	0.03161	0.04009	0.04009	0.04021	0.03509	0.03511	0.03545	0.03834	0.03836	0.03863	0.03256	0.03256	0.0327	0.0277	0.0277	0.02791	0.01833	0.01833	0.01852	0.03209	0.03209	0.03228	0.04781	0.04781	0.04835	0.0189	0.0189	0.01896	0.05896	0.05896	0.0601	0.02982	0.02982	0.03019	0.01491	0.01491	0.01508	0.02816	0.02816	0.02836	0.03501	0.03501	0.03546	0.02872	0.02872	0.02904	0.04436	0.04436	0.04518	0.02309	0.02309	0.02362	0.02626	0.02626	0.02659
-Signaling Molecules and Interaction	TOTAL	0.02993	0.02994	0.03029	0.002928	0.002944	0.003403	0.005837	0.0059	0.006736	0.004553	0.004557	0.005197	0.008784	0.008852	0.009663	0.01776	0.01777	0.01874	0.0018	0.001819	0.002	0.0126	0.01261	0.01345	0.007905	0.007942	0.008772	0.003612	0.003978	0.004474	0.003028	0.003034	0.003269	0.02344	0.02346	0.02508	0.02422	0.02426	0.02641	0.007434	0.007513	0.008895	0.005339	0.005355	0.006251	0.004489	0.004498	0.004814	0.01964	0.01964	0.02123	0.004275	0.004593	0.005422	0.004162	0.004171	0.004288	0.007663	0.007671	0.008263	0.01308	0.01318	0.01434	0.00771	0.007712	0.008025	0.004479	0.004487	0.005283	0.01218	0.0122	0.01319	0.01687	0.01688	0.01784	0.011	0.01101	0.01187	0.01108	0.01109	0.01205	0.01058	0.01059	0.01128
Cellular Processes	TOTAL	0.07133	0.07165	0.07507	0.1702	0.1703	0.1704	0.1411	0.1414	0.148	0.0574	0.05895	0.0681	0.149	0.1495	0.1538	0.1048	0.1057	0.1098	0.2047	0.2048	0.2124	0.1094	0.1096	0.1124	0.08587	0.08623	0.08898	0.4487	0.4487	0.4515	0.06583	0.06602	0.07672	0.08097	0.08176	0.08696	0.09452	0.09515	0.1014	0.07256	0.07404	0.08084	0.07865	0.07959	0.08767	0.0511	0.05153	0.05767	0.09456	0.09486	0.09728	0.1764	0.1767	0.181	0.3259	0.3259	0.329	0.1366	0.137	0.1432	0.09471	0.09494	0.09768	0.0365	0.03672	0.04102	0.08112	0.08154	0.08397	0.106	0.1064	0.1078	0.1072	0.1074	0.1128	0.1143	0.1147	0.1164	0.09584	0.09602	0.09848	0.07975	0.07998	0.08417
-Crystallins	TOTAL	0.002112	0.002112	0.002112	0.00427	0.00427	0.00427	0.002294	0.002294	0.002294	0.0005885	0.0005885	0.0005885	0.001714	0.001714	0.001714	0.001026	0.001026	0.001026	0.01215	0.01215	0.01215	0.000767	0.000767	0.000767	0.0005848	0.0005848	0.0005848	0.3631	0.3631	0.3631	0.02929	0.02929	0.02929	0.001271	0.001271	0.001271	0.0005934	0.0005934	0.0005934	0.0007417	0.0007417	0.0007417	0.006029	0.006029	0.006029	0.000612	0.000612	0.000612	0.004944	0.004944	0.004944	0.004542	0.004542	0.004542	0.00459	0.00459	0.00459	0.001742	0.001742	0.001742	0.0009419	0.0009419	0.0009419	0.0006921	0.0006921	0.0006921	0.0008286	0.0008286	0.0008286	0.0004694	0.0004694	0.0004694	0.01753	0.01753	0.01753	0.0009964	0.0009964	0.0009964	0.001357	0.001357	0.001357	0.00219	0.00219	0.00219
-Stress Response	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	TOTAL	0.02412	0.02443	0.02485	0.03481	0.03481	0.03499	0.0299	0.0301	0.03096	0.02349	0.02398	0.02491	0.03203	0.03247	0.03328	0.0211	0.02198	0.02297	0.008269	0.008432	0.008653	0.01594	0.01621	0.01704	0.01515	0.01534	0.01619	0.01231	0.01239	0.01279	0.009597	0.009775	0.01011	0.02335	0.0241	0.02558	0.02684	0.02742	0.02948	0.03546	0.03691	0.03858	0.03655	0.03745	0.03876	0.02802	0.02834	0.03052	0.02366	0.02394	0.02538	0.035	0.03509	0.03591	0.004866	0.004909	0.005046	0.03503	0.03534	0.03598	0.02846	0.02863	0.02996	0.009144	0.009338	0.009665	0.02037	0.02072	0.02155	0.02709	0.02752	0.02844	0.01946	0.01964	0.02064	0.02996	0.03016	0.0311	0.01955	0.0197	0.02073	0.032	0.03219	0.033
-Cytoskeleton	TOTAL	0.02196	0.02196	0.02198	0.07238	0.07239	0.07243	0.07758	0.07765	0.07767	0.0162	0.01621	0.01776	0.07313	0.07318	0.0732	0.05577	0.05577	0.05579	0.07704	0.07704	0.07704	0.04784	0.04785	0.04786	0.04925	0.04929	0.04935	0.04797	0.04797	0.04798	0.01365	0.01365	0.01365	0.03502	0.03503	0.03504	0.04573	0.04574	0.04577	0.02089	0.02089	0.0209	0.02202	0.02203	0.02203	0.0134	0.0134	0.01342	0.03655	0.03656	0.03659	0.0909	0.09094	0.09097	0.145	0.1451	0.1451	0.06815	0.06815	0.0682	0.0422	0.0422	0.04224	0.02086	0.02086	0.02087	0.03803	0.03803	0.03805	0.05433	0.05433	0.05454	0.05295	0.05296	0.05296	0.06096	0.06097	0.06111	0.05162	0.05162	0.05164	0.02838	0.02838	0.02841
-Cell Motility	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	TOTAL	0.01806	0.0181	0.02106	0.05442	0.05443	0.05443	0.02772	0.02773	0.0335	0.0113	0.01142	0.02058	0.03731	0.03732	0.04079	0.01767	0.01771	0.02073	0.004681	0.004694	0.01206	0.01946	0.01949	0.02143	0.01529	0.01539	0.01735	0.01182	0.01183	0.01422	0.005815	0.005824	0.01619	0.01405	0.01411	0.01779	0.01327	0.01331	0.01751	0.00998	0.01008	0.01515	0.01083	0.01086	0.01765	0.006245	0.006346	0.01033	0.01564	0.01565	0.01665	0.04205	0.04206	0.04569	0.001793	0.001807	0.00469	0.02759	0.02767	0.03328	0.01324	0.01327	0.01472	0.004413	0.004431	0.008406	0.008455	0.008481	0.01012	0.01074	0.01076	0.01146	0.01165	0.0117	0.01606	0.01679	0.01681	0.01775	0.01579	0.01581	0.01727	0.01178	0.01183	0.0152
-Cell Communication	TOTAL	0.005077	0.005077	0.005078	0.004323	0.004323	0.004324	0.003623	0.003623	0.003626	0.005814	0.005814	0.005815	0.004825	0.004825	0.004825	0.00927	0.00927	0.00927	0.1025	0.1025	0.1025	0.02533	0.02533	0.02534	0.005565	0.005565	0.005596	0.01345	0.01345	0.01347	0.007483	0.007483	0.007489	0.007277	0.007277	0.007277	0.008089	0.008089	0.008091	0.005481	0.005481	0.005488	0.003209	0.003209	0.003214	0.002808	0.002808	0.002809	0.01374	0.01374	0.01399	0.003874	0.003874	0.003884	0.1696	0.1696	0.1696	0.004054	0.004054	0.004054	0.009853	0.009853	0.009874	0.001391	0.001391	0.001391	0.01343	0.01343	0.01344	0.01314	0.01314	0.01352	0.005589	0.005589	0.00559	0.005627	0.005627	0.005628	0.007511	0.007511	0.007524	0.005395	0.005395	0.0054
Metabolism	TOTAL	0.3361	0.3443	0.3595	0.2781	0.2861	0.3059	0.3243	0.3312	0.3397	0.5284	0.5368	0.5377	0.3113	0.3189	0.3338	0.3263	0.333	0.3416	0.3625	0.3652	0.3672	0.2145	0.2295	0.2355	0.1493	0.1619	0.1826	0.2004	0.2026	0.2085	0.3139	0.3166	0.318	0.3394	0.3455	0.3522	0.2965	0.3015	0.3078	0.4712	0.4769	0.4805	0.4594	0.4656	0.4746	0.5445	0.5509	0.5566	0.1976	0.2083	0.2191	0.269	0.2818	0.3046	0.2196	0.2209	0.2236	0.3252	0.3308	0.3512	0.2101	0.2341	0.2485	0.1884	0.2258	0.2343	0.233	0.2504	0.2573	0.1547	0.1618	0.1745	0.2459	0.2598	0.2635	0.1836	0.1964	0.2162	0.1415	0.1631	0.1721	0.3026	0.3384	0.3483
-Membrane Transport	TOTAL	3.531e-05	0.004537	0.004551	3.249e-05	0.0003813	0.0003871	6.044e-05	0.003225	0.003288	0.0001332	0.003443	0.003461	1.478e-05	0.001687	0.001694	0.0001192	0.001801	0.001829	2.382e-05	0.002323	0.002337	4.374e-05	0.002449	0.002485	4.786e-05	0.007143	0.007202	8.814e-05	0.001581	0.001604	1.46e-05	0.0008888	0.0008913	0.0002448	0.001635	0.001854	0.0001809	0.001681	0.001833	9.497e-05	0.001627	0.001695	2.877e-05	0.001444	0.001457	0.0001324	0.003347	0.003417	1.258e-05	0.008075	0.008109	1.003e-05	0.0006906	0.000698	1.212e-05	0.0009133	0.0009149	4.573e-05	0.0009653	0.0009803	9.821e-05	0.02237	0.02247	3.437e-06	0.001031	0.001046	0.0001002	0.005698	0.00573	8.312e-05	0.003421	0.003444	3.575e-05	0.0013	0.001324	9.601e-05	0.009007	0.009009	7.399e-05	0.01552	0.01555	6.013e-05	0.03508	0.03509
-Central Carbon Metabolism	TOTAL	0.1351	0.1354	0.1361	0.08092	0.08133	0.08144	0.1219	0.1222	0.1226	0.1631	0.1635	0.1638	0.1121	0.1126	0.1129	0.1025	0.1036	0.1077	0.1117	0.1123	0.1125	0.05941	0.05975	0.06008	0.05859	0.05879	0.05932	0.0863	0.08649	0.08663	0.06571	0.06602	0.06649	0.1069	0.1079	0.109	0.1044	0.1056	0.1068	0.1289	0.1302	0.1358	0.1296	0.1308	0.1365	0.1292	0.132	0.1377	0.04613	0.04637	0.04677	0.0905	0.09069	0.09093	0.08909	0.08913	0.08922	0.1393	0.1398	0.1403	0.07357	0.0739	0.07448	0.03291	0.03344	0.03387	0.0822	0.08249	0.083	0.05942	0.05967	0.06018	0.05404	0.05456	0.05527	0.07117	0.07138	0.07178	0.04297	0.0431	0.04344	0.09407	0.09473	0.09539
-Energy Metabolism	TOTAL	0.04152	0.04553	0.0468	0.1037	0.1168	0.1185	0.08238	0.08554	0.087	0.144	0.1465	0.1517	0.08175	0.08886	0.09027	0.06128	0.06592	0.06668	0.1098	0.1266	0.128	0.03516	0.03844	0.03877	0.02138	0.02225	0.02247	0.03366	0.03623	0.03678	0.1552	0.1616	0.1651	0.06019	0.06273	0.06374	0.05118	0.05461	0.05521	0.1184	0.1232	0.1261	0.1318	0.1409	0.1431	0.05119	0.05534	0.05648	0.01616	0.01805	0.0184	0.09372	0.09904	0.1001	0.0235	0.02455	0.02468	0.07654	0.07761	0.07828	0.02667	0.02896	0.02933	0.04239	0.04386	0.04414	0.04739	0.05082	0.05121	0.01687	0.01753	0.01782	0.08181	0.085	0.0858	0.02713	0.02816	0.02851	0.0322	0.0347	0.03503	0.03713	0.03903	0.03945
-Biosynthesis	TOTAL	0.101	0.1246	0.1266	0.05938	0.06361	0.06454	0.07831	0.08878	0.09019	0.172	0.1843	0.1911	0.08396	0.08758	0.08975	0.09005	0.1268	0.1351	0.1056	0.1106	0.113	0.08739	0.09503	0.09606	0.04785	0.049	0.04995	0.06309	0.06635	0.06721	0.06723	0.0726	0.07456	0.1305	0.133	0.1356	0.1065	0.1083	0.11	0.166	0.1747	0.1787	0.141	0.1509	0.1517	0.2867	0.3035	0.3145	0.1043	0.1136	0.1147	0.05788	0.0631	0.06387	0.09242	0.1002	0.1005	0.08039	0.08474	0.08614	0.0775	0.08594	0.08751	0.07818	0.07956	0.0801	0.07597	0.08215	0.08326	0.05034	0.06202	0.06286	0.0675	0.08114	0.08244	0.05712	0.06713	0.06859	0.04275	0.04691	0.04782	0.09301	0.1464	0.1486
-Other Enzymes	TOTAL	0.02877	0.0506	0.0692	0.01429	0.03856	0.0547	0.0254	0.03966	0.04825	0.02797	0.03859	0.04865	0.01995	0.03656	0.04827	0.02214	0.03953	0.07641	0.01033	0.01646	0.03328	0.01901	0.03652	0.04638	0.01852	0.02586	0.04613	0.0104	0.0162	0.02007	0.01163	0.01751	0.02392	0.0299	0.04207	0.04813	0.0245	0.0322	0.04132	0.03668	0.04614	0.05494	0.03144	0.0493	0.06	0.04237	0.05978	0.07084	0.01868	0.02822	0.04012	0.01462	0.03729	0.05535	0.005372	0.008823	0.01551	0.02178	0.03206	0.04948	0.01967	0.03387	0.04301	0.02939	0.06767	0.07731	0.01565	0.03162	0.03998	0.01444	0.03075	0.04147	0.02386	0.04065	0.05272	0.01596	0.02993	0.04788	0.01599	0.02587	0.03438	0.02132	0.03251	0.08345
Organismal Systems	TOTAL	0.151	0.1511	0.1511	0.08507	0.08509	0.08509	0.1555	0.1555	0.1556	0.1144	0.1144	0.1145	0.09869	0.0987	0.09871	0.07371	0.07375	0.07379	0.2235	0.2235	0.2235	0.161	0.161	0.161	0.1186	0.1187	0.1188	0.1203	0.1208	0.1209	0.4119	0.4119	0.412	0.06892	0.06896	0.06902	0.07595	0.076	0.07606	0.064	0.06403	0.06411	0.09386	0.09387	0.0939	0.06494	0.06496	0.06499	0.2962	0.2963	0.2963	0.1178	0.1178	0.1178	0.2669	0.2669	0.2669	0.07719	0.07722	0.07726	0.1798	0.1799	0.18	0.07354	0.07355	0.07357	0.1739	0.1739	0.174	0.3065	0.3068	0.307	0.1919	0.1919	0.192	0.1731	0.1731	0.1732	0.2272	0.2273	0.2273	0.2429	0.243	0.243
-Immune System	TOTAL	0.007546	0.007566	0.00757	0.007654	0.007677	0.007677	0.004678	0.004678	0.004684	0.004254	0.004258	0.004262	0.006238	0.006239	0.006245	0.006816	0.006849	0.006856	0.002734	0.002736	0.002736	0.005533	0.005539	0.005547	0.005482	0.005565	0.005589	0.004139	0.00414	0.004142	0.005412	0.005425	0.005425	0.007376	0.007387	0.007399	0.008499	0.008522	0.00853	0.00687	0.006881	0.006888	0.008596	0.008598	0.008603	0.003839	0.003841	0.003846	0.02256	0.0226	0.02262	0.004421	0.00444	0.004449	0.001078	0.001078	0.001078	0.003422	0.003447	0.003452	0.009911	0.009974	0.009989	0.001817	0.00182	0.001821	0.004033	0.004045	0.004045	0.01157	0.01185	0.01185	0.006388	0.006392	0.006398	0.01214	0.01219	0.01219	0.02007	0.0201	0.0201	0.009835	0.009867	0.009867
-Endocrine System	TOTAL	0.05156	0.05156	0.05156	0.01424	0.01424	0.01424	0.009121	0.009121	0.009121	0.05669	0.05669	0.05669	0.01192	0.01192	0.01192	0.005353	0.005353	0.005355	0.02439	0.02439	0.02439	0.007371	0.007371	0.007371	0.008733	0.008733	0.008746	0.03654	0.03654	0.03654	0.03967	0.03967	0.03967	0.0239	0.0239	0.02391	0.03449	0.03449	0.03451	0.0118	0.0118	0.0118	0.01757	0.01757	0.01757	0.03846	0.03846	0.03846	0.01357	0.01357	0.01358	0.01717	0.01717	0.01717	0.01112	0.01112	0.01112	0.008995	0.008995	0.008998	0.02126	0.02126	0.02127	0.007793	0.007793	0.007793	0.009203	0.009203	0.009208	0.005481	0.005481	0.005494	0.03112	0.03112	0.03112	0.02844	0.02844	0.02845	0.03187	0.03187	0.03187	0.09176	0.09176	0.09176
-Circulatory System	TOTAL	0.08831	0.08831	0.08831	0.03974	0.03974	0.03974	0.1103	0.1103	0.1103	0.05184	0.05184	0.05184	0.06401	0.06401	0.06401	0.05554	0.05554	0.05554	0.1951	0.1951	0.1951	0.1356	0.1356	0.1356	0.1007	0.1007	0.1007	0.07463	0.07463	0.07463	0.3651	0.3651	0.3651	0.02433	0.02433	0.02433	0.02393	0.02393	0.02393	0.03849	0.03849	0.03849	0.06343	0.06343	0.06343	0.02103	0.02103	0.02103	0.2549	0.2549	0.2549	0.06234	0.06234	0.06234	0.2536	0.2536	0.2536	0.04039	0.04039	0.04039	0.1461	0.1461	0.1461	0.02989	0.02989	0.02989	0.1191	0.1191	0.1191	0.2821	0.2821	0.2821	0.151	0.151	0.151	0.1247	0.1247	0.1247	0.1711	0.1711	0.1711	0.1388	0.1388	0.1388
