Synpcc7942_0631	RplL	K02935
Synpcc7942_2559	RplI	K02939
Synpcc7942_0632	RplJ	K02864
Synpcc7942_0634	RplK	K02867
Synpcc7942_2206	RplM	K02871
Synpcc7942_2222	RplN	K02874
Synpcc7942_2215	RplO	K02876
Synpcc7942_2225	RplP	K02878
Synpcc7942_2208	RplQ	K02879
Synpcc7942_2217	RplR	K02881
Synpcc7942_2541	RplS	K02884
Synpcc7942_1277	RplT	K02887
Synpcc7942_1219	RplU	K02888
Synpcc7942_2227	RplV	K02890
Synpcc7942_2230	RplW	K02892
Synpcc7942_2221	RplX	K02895
Synpcc7942_1220	RpmA	K02899
Synpcc7942_0042	RpmB	K02902
Synpcc7942_2204	RpmE	K02909
Synpcc7942_0997	RpmF	K02911
Synpcc7942_1122	RpmG	K02913
Synpcc7942_1614	RpmH	K02914
Synpcc7942_1278	RpmI	K02916
Synpcc7942_2212	RpmJ	K02919
Synpcc7942_2530	RpsB	K02967
Synpcc7942_2226	RpsC	K02982
Synpcc7942_1487	RpsD	K02986
Synpcc7942_2216	RpsE	K02988
Synpcc7942_2219	RpsH	K02994
Synpcc7942_2205	RpsI	K02996
Synpcc7942_0887	RpsL	K02950
Synpcc7942_2211	RpsM	K02952
Synpcc7942_0446	RpsN	K02954
Synpcc7942_2299	RpsO	K02956
Synpcc7942_2223	RpsQ	K02961
Synpcc7942_2228	RpsS	K02965
Synpcc7942_0633	RplA	K02863
Synpcc7942_2229	RplB	K02886
Synpcc7942_2232	RplC	K02906
Synpcc7942_2220	RplE	K02931
Synpcc7942_2218	RplF	K02933
Synpcc7942_0632	RplJ	K02864
Synpcc7942_0634	RplK	K02867
Synpcc7942_2206	RplM	K02871
Synpcc7942_2222	RplN	K02874
Synpcc7942_2215	RplO	K02876
Synpcc7942_2217	RplR	K02881
Synpcc7942_2227	RplV	K02890
Synpcc7942_2230	RplW	K02892
Synpcc7942_2221	RplX	K02895
Synpcc7942_1100	DnaA	K02313
Synpcc7942_1292	DnaG	K02316
Synpcc7942_0879	RnhB	K03470
Synpcc7942_0277	LigA	K01972
Synpcc7942_2491	GyrB	K02470
Synpcc7942_1177	PsbE	K02707
Synpcc7942_1176	PsbF	K02708
Synpcc7942_0225	PsbH	K02709
Synpcc7942_1705	PsbI	K02710
Synpcc7942_0456	PsbK	K02712
Synpcc7942_0699	PsbM	K02714
Synpcc7942_0696	PsbT	K02718
