slr0603	DnaE	K02337
slr0965	DnaN	K02338
sll1360	DnaX	K02343
slr0446	DnaX	K02341
sll1258	Dcd	K01494
sll1108	SurE	K03787
sll1459	SurE	K03787
sll1035	Upp	K00761
sll0368	PyrR	K02825
slr1237	CodA	K01485
slr1164	NrdA	K00525
sll1635	ThyX	K03465
sll0402	AspC	K00812
sll0631	NadB	K00278
slr0585	ArgG	K01940
slr1133	ArgH	K01755
sll1823	PurA	K01939
sll0421	PurB	K01756
slr1705	AspA	K01437
slr1476	PyrB	K00609
sll1641	Gad	K01580
slr0370	GabD	K00135
sll1027	GltD	K00266
slr0710	GdhA	K00262
sll1561	PutA	K13821
slr0288	GlnN	K01915
slr1756	GlnA	K01915
sll0370	CarB	K01955
sll1498	CarA	K01956
sll0220	GlmS	K00820
sll0757	PurF	K00764
slr0657	LysC	K00928
slr0549	Asd	K00133
sll0455	ThrA	K00003
sll1760	ThrB	K00872
sll1172	ThrC	K01733
sll1688	ThrC	K01733
sll1931	GlyA	K00600
sll1908	SerA	K00058
slr0293	GcvP	K00281
sll0171	GcvT	K00605
slr1096	PhdD	K00382
slr2072	IlvA	K01754
slr0966	TrpA	K01695
slr0543	TrpB	K01696
slr1348	CysE	K00640
sll0712	CysM	K01738
slr1842	CysK	K01738
slr0212	MetH	K00548
sll0927	MetX	K00789
slr1938	MtnA	K08963
sll1234	AhcY	K01251
slr0657	LysC	K00928
slr0549	Asd	K00133
sll0455	ThrA	K00003
sll0402	AspC	K00812
slr0032	IlvE	K00826
slr1096	PhdD	K00382
slr0229	MmsB	K00020
slr1993	Thl	K00626
slr2072	IlvA	K01754
sll1470	LeuC	K01703
sll1444	LeuD	K01704
sll1981	IlvB	K01652
slr2088	IlvG	K01652
sll0065	IlvH	K01653
sll1363	IlvC	K00053
slr0452	IlvD	K01687
slr0032	IlvE	K00826
sll1564	LeuA	K01649
slr0186	LeuA	K01649
slr1517	LeuB	K00052
sll1074	LeuS	K01869
sll1362	IleS	K01870
slr0557	ValS	K01873
sll1721	PdhB	K00162
sll0455	ThrA	K00003
slr0657	LysC	K00928
slr0549	Asd	K00133
slr0550	DapA	K01714
sll1058	DapB	K00215
slr1665	DapF	K01778
sll0006	AspC	K10206
sll0504	LysA	K01586
slr1898	ArgB	K00930
sll0080	ArgC	K00145
slr0528	MurE	K01928
slr1351	MurF	K01929
slr1993	Thl	K00626
sll1683	Cad	K01582
slr1237	CodA	K01485
slr0662	SpeA	K01585
slr1312	SpeA	K01585
sll1077	SpeB	K01480
sll0873	NapC	K13747
sll0828	NylA	K01426
slr0661	ProC	K00286
sll1561	PutA	K13821
slr2035	ProB	K00931
sll0373	ProA	K00147
sll0461	ProA	K00147
sll0402	AspC	K00812
sll0107	Eda	K01625
sll0902	ArgF	K00611
slr0585	ArgG	K01940
slr1133	ArgH	K01755
sll1750	UreC	K01428
sll0420	UreB	K01429
slr1256	UreA	K01430
slr0288	GlnN	K01915
slr1756	GlnA	K01915
slr0710	GdhA	K00262
sll0573	ArcC	K00926
sll1883	ArgJ	K00620
slr1898	ArgB	K00930
sll0080	ArgC	K00145
slr1022	ArgD	K00818
slr1653	Ama	K01436
sll0900	HisG	K00765
slr1560	HisZ	K02502
slr0608	HisI	K11755
slr0652	HisA	K01814
slr0084	HisH	K02501
sll1893	HisF	K02500
slr0500	HisB	K01693
sll1958	HisC	K00817
slr0682	HisD	K00013
slr1848	HisD	K00013
slr1705	AspA	K01437
sll0829	RapQ	K00599
sll0402	AspC	K00812
sll1958	HisC	K00817
slr0090	Ppd	K00457
slr0370	GabD	K00135
sll0829	RapQ	K00599
sll0402	AspC	K00812
sll1958	HisC	K00817
slr0090	Ppd	K00457
sll1987	KatG	K03782
sll0828	NylA	K01426
slr1993	Thl	K00626
slr1884	TrpS	K01867
sll0828	NylA	K01426
sll1987	KatG	K03782
sll0934	CcmA	K03856
slr2130	AroB	K01735
sll1112	AroQ	K03786
slr1559	AroE	K00014
sll1669	AroK	K00891
slr0444	AroA	K00800
sll1747	AroC	K01736
slr0738	TrpE	K01657
slr1979	TrpE	K01657
slr0055	TrpG	K01658
slr1867	TrpD	K00766
sll0356	TrpF	K01817
slr0546	TrpC	K01609
slr0966	TrpA	K01695
slr0543	TrpB	K01696
sll0109	AroH	K06208
slr2081	TyrA	K00210
sll1662	PheA	K04518
sll0402	AspC	K00812
sll1958	HisC	K00817
sll0892	PanD	K01579
sll1641	Gad	K01580
sll1249	PanC	K13799
sll1641	Gad	K01580
slr1269	Ggt	K00681
slr2132	Pta	K13788
sll1299	AckA	K00925
slr1269	Ggt	K00681
sll1234	AhcY	K01251
sll0829	RapQ	K00599
sll0927	MetX	K00789
slr0649	MetG	K01874
sll0712	CysM	K01738
slr1842	CysK	K01738
slr0963	Sir	K00392
slr1165	Sat	K00958
slr0676	CysC	K00860
slr0077	NifS	K11717
sll0828	NylA	K01426
sll1538	Bgl	K05349
slr1269	Ggt	K00681
sll1931	GlyA	K00600
slr1746	MurI	K01776
sll2010	MurD	K01925
slr1423	MurC	K01924
slr0827	Alr	K01775
slr1874	Ddl	K01921
slr1269	Ggt	K00681
slr1238	GshB	K01920
sll2001	Lap	K01255
sll1343	Ape2	K01256
sll0067	Gst	K00799
sll1545	Gst1	K00799
slr1289	Icd	K00031
sll0329	Gnd	K00033
slr1843	Zwf	K00036
sll0379	LpxA	K00677
sll1508	LpxC	K02535
slr0776	LpxD	K02536
slr0015	LpxB	K00748
sll0083	GmhA	K03271
slr0017	MurZ	K00790
slr1424	MurB	K00075
slr1423	MurC	K01924
sll2010	MurD	K01925
slr0528	MurE	K01928
slr1874	Ddl	K01921
slr1351	MurF	K01929
sll0210	UppP	K06153
sll0657	MraY	K01000
slr1656	MurG	K02563
sll1833	FtsI	K03587
slr0646	DacB	K07259
slr0804	DacB	K07259
slr0323	Ams1	K01191
slr0118	ThiC	K03147
sll0704	NifS	K04487
slr0387	NifS	K04487
slr0077	NifS	K11717
slr0633	ThiG	K03149
sll0635	ThiE	K00788
sll1894	RibA	K01497
slr0066	RibG	K11752
sll1282	RibH	K00794
sll0300	RibC	K00793
slr1882	RibF	K11753
sll1440	PdxH	K00275
sll0660	PdxA	K00097
slr1779	PdxJ	K03474
sll1172	ThrC	K01733
sll1688	ThrC	K01733
sll0631	NadB	K00278
sll0622	NadA	K03517
slr0936	NadC	K00767
sll1916	NadD	K00969
slr1691	NadE	K01916
sll1108	SurE	K03787
sll1459	SurE	K03787
slr1239	PntA	K00324
slr1434	PntB	K00325
sll1415	PpnK	K00858
slr0400	PpnK	K00858
sll1981	IlvB	K01652
slr2088	IlvG	K01652
sll0065	IlvH	K01653
sll1363	IlvC	K00053
slr0452	IlvD	K01687
slr0526	PanB	K00606
sll1249	PanC	K13799
sll0250	Dfp	K13038
slr0847	CoaD	K00954
slr0032	IlvE	K00826
sll0892	PanD	K01579
slr0917	BioF	K00652
slr0523	BioD	K01935
slr1364	BioB	K01012
sll1655	BirA	K03524
sll0868	LipA	K03644
slr1598	LipA	K03644
slr0994	LipB	K03801
slr0426	FolE	K01495
slr1093	FolK	K00950
slr2026	FolP	K00796
sll1612	FolC	K11754
sll0753	FolD	K01491
sll1931	GlyA	K00600
slr0477	PurN	K11175
slr0861	PurT	K08289
slr0597	PurH	K00602
slr0070	Fmt	K00604
sll0171	GcvT	K00605
slr0212	MetH	K00548
sll1635	ThyX	K03465
sll0070	PurU	K01433
sll0179	GltX	K01885
slr1808	HemA	K02492
sll0017	HemL	K01845
sll1994	HemB	K01698
slr1887	HemC	K01749
sll0166	HemD	K13542
sll0378	CysG	K02303
slr0536	HemE	K01599
sll1185	HemF	K00228
sll1876	HemN	K02495
sll1917	HemN	K02495
slr0839	HemH	K01772
sll1899	CtaB	K02301
slr1879	CbiL	K03394
slr0969	CbiH	K13541
slr0239	CbiF	K05936
slr0252	CobK	K05895
slr1538	CbiD	K02188
sll0099	CbiE	K00595
slr1368	CbiT	K02191
sll0794	MerR	K06042
sll0916	CbiC	K06042
sll1501	CbiA	K02224
sll1890	CobN	K02230
slr1211	CobN	K02230
slr0502	CobW	K02234
slr0260	CobA	K00798
slr0618	CbiP	K02232
slr1925	CobD	K02227
slr0216	CobU	K02231
slr0636	CobS	K02233
slr1055	ChlH	K03403
slr1777	ChlD	K03404
slr1030	ChlI	K03405
slr0525	ChlM	K03428
slr0905	BchE	K04034
sll1874	At103	K04035
slr0506	Pcr	K00218
slr0749	ChlL	K04037
slr0750	ChlN	K04038
slr0772	ChlB	K04039
slr0056	ChlG	K04040
sll1184	Ho1	K00510
sll1875	Ho2	K00510
slr1784	BvdR	K00214
slr0926	UbiA	K03179
slr1099	UbiX	K03186
slr1300	UbiH	K03185
sll1653	UbiE	K03183
slr0817	EntC	K02552
sll0603	MenD	K02551
slr0492	MenE	K01911
sll1127	MenB	K01661
slr1518	MenA	K02548
slr0090	Ppd	K00457
slr1736	UbiA	K09833
slr0089	Erg6	K05928
slr0951	IspD	K00991
slr1542	IspF	K01770
slr2136	IspG	K03526
slr1993	Thl	K00626
slr0739	CrtE	K13789
slr0611	Sds	K05356
slr1255	Pys	K02291
slr1254	Pds	K02293
slr0940	CrtQ	K00514
slr0088	CrtO	K02292
sll1468	Bhy	K02294
sll1869	CbaB	K00517
slr0574	Cyp	K00517
sll1070	TktA	K00615
sll0728	AccA	K01962
slr0435	AccB	K02160
sll0053	AccC	K01961
sll0336	AccD	K01963
sll0207	RfbA	K00973
slr0809	RfbB	K01710
slr0836	RfbB	K01710
slr0985	RfbC	K01790
slr1933	RfbC	K01790
sll1395	RfbD	K00067
slr0817	EntC	K02552
slr0809	RfbB	K01710
slr0836	RfbB	K01710
slr0319	BlaOxa-3	K01467
slr0319	BlaOxa-3	K01467
sll0593	Glk	K00845
slr0329	XylR	K00845
sll0726	Pgm	K01835
sll1383	SuhB	K01092
sll0207	RfbA	K00973
slr0809	RfbB	K01710
slr0836	RfbB	K01710
slr0985	RfbC	K01790
slr1933	RfbC	K01790
sll1395	RfbD	K00067
sll0593	Glk	K00845
slr0329	XylR	K00845
slr2081	TyrA	K00210
sll0402	AspC	K00812
sll1958	HisC	K00817
slr1993	Thl	K00626
sll0828	NylA	K01426
sll1869	CbaB	K00517
slr0574	Cyp	K00517
sll1298	ClcD	K01061
sll1298	ClcD	K01061
slr1233	SdhA	K00239
sll0823	SdhB	K00240
sll1625	SdhB	K00240
sll1298	ClcD	K01061
sll0828	NylA	K01426
sll0784	MerR	K01502
sll1750	UreC	K01428
sll0420	UreB	K01429
slr1256	UreA	K01430
sll1869	CbaB	K00517
slr0574	Cyp	K00517
sll1869	CbaB	K00517
slr0574	Cyp	K00517
sll0829	RapQ	K00599
sll1818	RpoA	K03040
sll1787	RpoB	K03043
sll1789	RpoC2	K03046
slr1265	RpoC1	K03046
slr0653	RpoDi	K03086
sll0184	RpoD	K03087
sll0306	RpoD	K03087
sll1689	RpoD	K03087
sll2012	RpoD	K03087
sll0856	RpoE	K03088
slr1545	RpoE	K03088
slr1564	RpoF	K03090
slr1356	Rps1	K02945
slr1984	Rps1	K02945
sll1260	RpsB	K02967
sll1804	RpsC	K02982
slr0469	RpsD	K02986
sll1812	RpsE	K02988
sll1767	Rps6	K02990
sll1097	Rps7	K02992
sll1809	RpsH	K02994
sll1822	RpsI	K02996
sll1101	RpsJ	K02946
sll1817	Rps11	K02948
sll1096	RpsL	K02950
sll1816	RpsM	K02952
slr0628	RpsN	K02954
ssl1784	RpsO	K02956
ssr0482	RpsP	K02959
ssl3437	RpsQ	K02961
ssr1399	RpsR	K02963
ssl3432	RpsS	K02965
ssl2233	RpsT	K02968
ssl0601	RpsU	K02970
sll1744	RplA	K02863
sll1802	RplB	K02886
sll1799	RplC	K02906
sll1800	RplD	K02926
sll1808	RplE	K02931
sll1810	RplF	K02933
sll1746	RplL	K02935
sll1244	RplI	K02939
sll1745	RplJ	K02864
sll1743	RplK	K02867
sll1821	RplM	K02871
sll1806	RplN	K02874
sll1813	RplO	K02876
sll1805	RplP	K02878
sll1819	RplQ	K02879
sll1811	RplR	K02881
sll1740	RplS	K02884
sll0767	RplT	K02887
slr1678	RplU	K02888
sll1803	RplV	K02890
sll1801	RplW	K02892
sll1807	RplX	K02895
ssr2799	RpmA	K02899
ssr1604	RpmB	K02902
ssl3436	RpmC	K02904
ssl3445	RpmE	K02909
ssr1736	RpmF	K02911
ssr1398	RpmG	K02913
smr0011	RpmH	K02914
ssl1426	RpmI	K02916
sml0006	Rpl36	K02919
6803r03	Rrn16sa	K01977
6803r04	Rrn16sb	K01977
6803r02	Rrn23sa	K01980
6803r05	Rrn23sb	K01980
6803r01	Rrn5sa	K01985
6803r06	Rrn5sb	K01985
sll0179	GltX	K01885
slr0877	GatA	K02433
sll1435	GatB	K02434
sll0362	AlaS	K01872
slr1720	AspS	K01876
sll0495	AsnC	K01893
slr0638	GlyQ	K01878
slr0220	GlyS	K01879
sll0078	ThrS	K01868
slr1703	SerS	K01875
slr0958	CysS	K01883
slr0649	MetG	K01874
slr0070	Fmt	K00604
slr0557	ValS	K01873
sll1074	LeuS	K01869
sll1362	IleS	K01870
slr1550	LysS	K04567
sll0502	ArgS	K01887
sll1425	ProS	K01881
slr0357	HisS	K01892
sll0454	PheS	K01889
sll1553	PheT	K01890
slr1031	TyrS	K01866
