Numerator	Denominator	hsa Krizhanovsky 2013 Normal	hsa Krizhanovsky 2013 Senescent	hsa Krizhanovsky 2013 Normal a	hsa Krizhanovsky 2013 Senescent a
Not Mapped	MAPPED	0.205	0.2104	0.2092	0.2181
-Not Mapped	MAPPED	0.205	0.2104	0.2092	0.2181
TOTAL	Genetic Information Processing	5.422	4.671	5.996	4.416
MAPPED	Genetic Information Processing	4.499	3.859	4.958	3.625
Genetic Information Processing	Genetic Information Processing	1	1	1	1
-Transcription	Genetic Information Processing	0.06715	0.07339	0.06151	0.07317
-Translation	Genetic Information Processing	0.328	0.3495	0.325	0.3604
-Folding, Sorting and Degradation	Genetic Information Processing	0.5099	0.4882	0.5394	0.5078
-DNA Maintenance	Genetic Information Processing	0.3579	0.398	0.3081	0.4132
-RNA Family	Genetic Information Processing	0	0	0	0
Environmental Information Processing	Genetic Information Processing	0.1634	0.1703	0.1841	0.1779
-Signal Transduction	Genetic Information Processing	0.03961	0.02615	0.06187	0.02138
-Signaling Molecules and Interaction	Genetic Information Processing	0.1604	0.1672	0.1779	0.1739
Cellular Processes	Genetic Information Processing	2.038	1.478	2.402	1.307
-Crystallins	Genetic Information Processing	0	0	0	0
-Stress Response	Genetic Information Processing	0	0	0	0
-Vesicular Transport	Genetic Information Processing	0.06087	0.0496	0.07544	0.05085
-Cytoskeleton	Genetic Information Processing	1.836	1.295	2.165	1.135
-Cell Motility	Genetic Information Processing	0	0	0	0
-Cell Growth and Death	Genetic Information Processing	0.08355	0.07847	0.1008	0.07664
-Cell Communication	Genetic Information Processing	0.07876	0.08256	0.07327	0.07164
Metabolism	Genetic Information Processing	0.7025	0.6526	0.7261	0.5931
-Membrane Transport	Genetic Information Processing	0.001639	0.001507	0.001579	0.001332
-Central Carbon Metabolism	Genetic Information Processing	0.1619	0.1601	0.1766	0.1496
-Energy Metabolism	Genetic Information Processing	0.07497	0.06103	0.07862	0.05555
-Biosynthesis	Genetic Information Processing	0.08962	0.07897	0.09227	0.07056
-Other Enzymes	Genetic Information Processing	0.4174	0.3736	0.4716	0.3426
Organismal Systems	Genetic Information Processing	0.2124	0.1848	0.23	0.1837
-Immune System	Genetic Information Processing	0.06554	0.0563	0.07609	0.0542
-Endocrine System	Genetic Information Processing	0.04408	0.05199	0.03661	0.04645
-Circulatory System	Genetic Information Processing	0.07117	0.06191	0.06511	0.06478
-Digestive System	Genetic Information Processing	0.003335	0.003202	0.002504	0.002382
-Excretory System	Genetic Information Processing	0.01384	0.0111	0.01893	0.01055
-Nervous System	Genetic Information Processing	0.05878	0.05126	0.0733	0.04913
-Sensory System	Genetic Information Processing	0.0004189	0.0003592	0.0004638	0.0003127
-Development	Genetic Information Processing	0.04106	0.04212	0.03906	0.04391
-Environmental Adaptation	Genetic Information Processing	0.01579	0.01314	0.01765	0.01196
Human Diseases	Genetic Information Processing	0.7746	0.8587	0.6214	0.8967
-Cancers	Genetic Information Processing	0.07423	0.08181	0.06413	0.07368
-Immune System Diseases	Genetic Information Processing	0.08068	0.08696	0.05748	0.07848
-Neurodegenerative Diseases	Genetic Information Processing	0.1261	0.105	0.1551	0.08902
-Cardiovascular Diseases	Genetic Information Processing	0.1241	0.1271	0.09418	0.1303
-Metabolic Diseases	Genetic Information Processing	0.02728	0.03202	0.02225	0.02932
-Infectious Diseases	Genetic Information Processing	0.4989	0.5993	0.3931	0.6323
Not Mapped	Genetic Information Processing	0.9225	0.812	1.037	0.7907
-Not Mapped	Genetic Information Processing	0.9225	0.812	1.037	0.7907
TOTAL	-Transcription	85.46	67.12	105.4	63.92
MAPPED	-Transcription	70.92	55.46	87.17	52.48
Genetic Information Processing	-Transcription	23.71	22.9	25.45	23.6
-Transcription	-Transcription	1	1	1	1
-Translation	-Transcription	5.132	4.996	5.684	5.417
-Folding, Sorting and Degradation	-Transcription	9.617	8.379	11.46	8.494
-DNA Maintenance	-Transcription	8.583	8.923	7.877	9.578
-RNA Family	-Transcription	0	0	0	0
Environmental Information Processing	-Transcription	2.875	2.541	3.887	2.466
-Signal Transduction	-Transcription	0.9588	0.6049	1.59	0.5045
-Signaling Molecules and Interaction	-Transcription	2.389	2.278	2.885	2.376
Cellular Processes	-Transcription	30.35	20.14	39.06	17.86
-Crystallins	-Transcription	0	0	0	0
-Stress Response	-Transcription	0	0	0	0
-Vesicular Transport	-Transcription	1.012	0.7236	1.347	0.6861
-Cytoskeleton	-Transcription	27.34	17.65	35.21	15.51
-Cell Motility	-Transcription	0	0	0	0
-Cell Growth and Death	-Transcription	1.326	1.141	1.727	1.119
-Cell Communication	-Transcription	1.3	1.264	1.503	1.102
Metabolism	-Transcription	10.46	8.893	12.38	8.106
-Membrane Transport	-Transcription	0.03214	0.0277	0.0373	0.02126
-Central Carbon Metabolism	-Transcription	3.64	3.369	4.254	2.998
-Energy Metabolism	-Transcription	1.208	0.9073	1.453	0.8408
-Biosynthesis	-Transcription	1.834	1.327	2.247	1.208
-Other Enzymes	-Transcription	6.529	5.572	7.968	5.194
Organismal Systems	-Transcription	5.036	4.234	5.779	4.359
-Immune System	-Transcription	1.216	1.091	1.478	1.09
-Endocrine System	-Transcription	0.7293	0.7754	0.705	0.7042
-Circulatory System	-Transcription	1.567	1.335	1.459	1.457
-Digestive System	-Transcription	0.07909	0.07333	0.06292	0.05652
-Excretory System	-Transcription	0.3114	0.2171	0.4561	0.2144
-Nervous System	-Transcription	1.394	1.162	1.842	1.147
-Sensory System	-Transcription	0.009896	0.00794	0.01181	0.007222
-Development	-Transcription	0.6926	0.6323	0.7727	0.6657
-Environmental Adaptation	-Transcription	0.3823	0.3038	0.4537	0.2824
Human Diseases	-Transcription	12.82	12.77	12.03	13.57
-Cancers	-Transcription	1.033	1.022	1.04	0.9362
-Immune System Diseases	-Transcription	1.495	1.499	1.152	1.421
-Neurodegenerative Diseases	-Transcription	2.982	2.369	3.919	2.041
-Cardiovascular Diseases	-Transcription	1.941	1.87	1.691	1.929
-Metabolic Diseases	-Transcription	0.4783	0.4935	0.4537	0.4538
-Infectious Diseases	-Transcription	8.254	8.938	7.612	9.587
Not Mapped	-Transcription	14.54	11.67	18.24	11.45
-Not Mapped	-Transcription	14.54	11.67	18.24	11.45
TOTAL	-Translation	16.86	14.1	18.85	13.81
MAPPED	-Translation	13.99	11.65	15.59	11.34
Genetic Information Processing	-Translation	4.834	4.79	4.679	5.028
-Transcription	-Translation	0.2047	0.2156	0.1892	0.2212
-Translation	-Translation	1	1	1	1
