Numerator	Denominator	hsa Krizhanovsky 2013 Normal	hsa Krizhanovsky 2013 Senescent	hsa Krizhanovsky 2013 Normal a	hsa Krizhanovsky 2013 Senescent a	hsa Krizhanovsky 2013 Normal	hsa Krizhanovsky 2013 Senescent	hsa Krizhanovsky 2013 Normal a	hsa Krizhanovsky 2013 Senescent a	hsa Krizhanovsky 2013 Normal	hsa Krizhanovsky 2013 Senescent	hsa Krizhanovsky 2013 Normal a	hsa Krizhanovsky 2013 Senescent a
-Neurodegenerative Diseases	-Transcription	0.5545	1.284	2.539	0.4204	0.7132	1.991	0.8004	1.751	3.471	0.4514	0.6315	1.811
-Cardiovascular Diseases	-Transcription	1.263	2.145	2.552	1.225	2.055	2.501	1.469	2.095	2.637	1.261	1.826	2.291
-Metabolic Diseases	-Transcription	0	0	0.5657	0	0	0.5926	0	0	0.5584	0	0	0.5737
-Infectious Diseases	-Transcription	0.9129	1.37	7.044	0.7583	1.219	7.32	1.153	1.86	7.159	0.7808	1.218	8.466
Not Mapped	-Transcription	10.53	10.86	11.14	8.581	8.782	9.005	13.64	14.07	14.32	8.828	9.067	9.29
-Not Mapped	-Transcription	10.53	10.86	11.14	8.581	8.782	9.005	13.64	14.07	14.32	8.828	9.067	9.29
TOTAL	-Translation	23.12	23.85	24.2	19.61	20.12	20.53	25.52	27.07	27.46	17.55	18.35	19.52
MAPPED	-Translation	20.11	20.75	21.05	17.1	17.55	17.91	22.07	23.41	23.74	15.19	15.89	16.9
Genetic Information Processing	-Translation	3.686	4.316	6.159	3.466	4.077	6.023	3.929	4.588	6.249	3.364	4.026	6.277
-Transcription	-Translation	0.2735	0.2809	0.2901	0.2793	0.2911	0.2963	0.2445	0.2558	0.267	0.2546	0.2767	0.2838
-Translation	-Translation	1	1	1	1	1	1	1	1	1	1	1	1
-Folding, Sorting and Degradation	-Translation	2.109	2.569	3.007	1.912	2.417	2.687	2.295	2.761	3.365	1.796	2.35	2.73
-DNA Maintenance	-Translation	0.1963	0.3362	1.891	0.1676	0.3027	2.083	0.2243	0.367	1.67	0.1546	0.2914	2.263
-RNA Family	-Translation	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Translation	0.355	1.525	1.778	0.6085	1.743	2.26	0.6952	1.274	1.787	0.7932	1.482	2.228
-Signal Transduction	-Translation	0.01236	0.07569	0.1761	0.01031	0.06602	0.1237	0.01537	0.09043	0.2559	0.01224	0.0656	0.1068
