Numerator	Denominator	hsa Geiger 2012 HeLa	hsa Geiger 2012 Jurkat	hsa Geiger 2012 U2OS	hsa Geiger 2012 MCF7	hsa Geiger 2012 A549	hsa Geiger 2012 GAMG	hsa Geiger 2012 HEK293	hsa Geiger 2012 HepG2	hsa Geiger 2012 K562	hsa Geiger 2012 LnCap	hsa Geiger 2012 RKO	hsa Geiger 2012 HeLa	hsa Geiger 2012 Jurkat	hsa Geiger 2012 U2OS	hsa Geiger 2012 MCF7	hsa Geiger 2012 A549	hsa Geiger 2012 GAMG	hsa Geiger 2012 HEK293	hsa Geiger 2012 HepG2	hsa Geiger 2012 K562	hsa Geiger 2012 LnCap	hsa Geiger 2012 RKO	hsa Geiger 2012 HeLa	hsa Geiger 2012 Jurkat	hsa Geiger 2012 U2OS	hsa Geiger 2012 MCF7	hsa Geiger 2012 A549	hsa Geiger 2012 GAMG	hsa Geiger 2012 HEK293	hsa Geiger 2012 HepG2	hsa Geiger 2012 K562	hsa Geiger 2012 LnCap	hsa Geiger 2012 RKO
-Signaling Molecules and Interaction	TOTAL	0.01233	0.01587	0.02066	0.01096	0.014	0.01695	0.01389	0.01723	0.02107	0.01234	0.01534	0.01929	0.01302	0.01722	0.02245	0.02137	0.02543	0.02912	0.007723	0.01061	0.01398	0.01308	0.01856	0.02172	0.009681	0.01256	0.01576	0.01226	0.01613	0.01904	0.01016	0.01329	0.01687
Cellular Processes	TOTAL	0.1225	0.1313	0.1391	0.1247	0.1358	0.1422	0.1487	0.1685	0.1751	0.1081	0.1188	0.123	0.1502	0.1624	0.1689	0.1776	0.1995	0.2078	0.09307	0.1046	0.1086	0.09001	0.09749	0.1039	0.08507	0.09701	0.1005	0.07246	0.08299	0.09188	0.07886	0.08851	0.09061
-Hemoglobin	TOTAL	7.817e-07	7.817e-07	1.657e-06	2.087e-06	2.087e-06	3.088e-06	2.613e-06	2.613e-06	2.646e-06	3.821e-11	3.821e-11	1.477e-06	6.035e-07	6.035e-07	1.201e-06	3.822e-07	3.822e-07	6.165e-07	2.852e-11	2.852e-11	1.091e-06	1.618e-06	1.618e-06	1.649e-06	3.813e-05	3.813e-05	5.94e-05	3.467e-11	3.467e-11	1.82e-07	3.94e-06	3.94e-06	4.064e-06
-Vesicular Transport	TOTAL	0.009727	0.01252	0.01645	0.01512	0.0174	0.02121	0.01133	0.01467	0.01854	0.01048	0.01268	0.0165	0.0104	0.01288	0.01648	0.01749	0.02192	0.02601	0.01044	0.01469	0.01865	0.01533	0.0192	0.02322	0.008929	0.01222	0.01689	0.01283	0.01724	0.02071	0.009548	0.01305	0.01655
-Cytoskeleton	TOTAL	0.08776	0.09454	0.09642	0.08535	0.09381	0.09707	0.1078	0.1152	0.1246	0.07626	0.08184	0.08311	0.1085	0.1152	0.1186	0.1307	0.1396	0.1508	0.06032	0.0655	0.06662	0.05759	0.06136	0.0633	0.05523	0.05867	0.0607	0.0452	0.05024	0.05261	0.04997	0.05553	0.05649
-Cell Motility	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	TOTAL	0.007685	0.01307	0.0165	0.008779	0.01657	0.01898	0.007742	0.01476	0.01687	0.007213	0.01396	0.01704	0.006166	0.01261	0.01545	0.004629	0.0113	0.01379	0.008991	0.01641	0.01968	0.003292	0.0084	0.01032	0.008308	0.01557	0.0178	0.005131	0.009685	0.01457	0.005885	0.0113	0.01445
-Cell Communication	TOTAL	0.009725	0.01052	0.01409	0.006861	0.008046	0.01543	0.0145	0.01569	0.02741	0.007953	0.008384	0.01045	0.01753	0.0184	0.02378	0.0163	0.01839	0.03171	0.00641	0.007022	0.01108	0.008245	0.009313	0.01029	0.008204	0.009174	0.01159	0.004745	0.005353	0.0089	0.006962	0.007647	0.01034
Metabolism	TOTAL	0.1774	0.2	0.208	0.1917	0.2113	0.2152	0.1664	0.1879	0.1942	0.1862	0.2078	0.2184	0.2076	0.228	0.2334	0.1733	0.1994	0.2084	0.1869	0.2109	0.2139	0.2365	0.2578	0.2703	0.1852	0.2035	0.2088	0.2536	0.2681	0.2816	0.1999	0.2159	0.2248
-Membrane Transport	TOTAL	0.001963	0.002573	0.003265	0.0008196	0.001594	0.002304	0.0009558	0.001553	0.002304	0.001108	0.001787	0.002484	0.00127	0.002011	0.002546	0.001258	0.001964	0.002564	0.001048	0.001696	0.002447	0.001512	0.00233	0.00326	0.001336	0.002083	0.00276	0.001362	0.002355	0.00334	0.0006935	0.001512	0.002027
-Central Carbon Metabolism	TOTAL	0.02269	0.02532	0.03979	0.02744	0.03172	0.04579	0.02208	0.02688	0.03721	0.02321	0.03313	0.04028	0.02621	0.0376	0.04465	0.02697	0.03001	0.04323	0.02617	0.02945	0.03993	0.0289	0.03519	0.04179	0.02375	0.028	0.04	0.03334	0.04186	0.04833	0.02641	0.03323	0.0439
-Energy Metabolism	TOTAL	0.007819	0.009506	0.01524	0.009778	0.01137	0.01934	0.006941	0.01058	0.01582	0.007181	0.009566	0.01505	0.006335	0.0125	0.01532	0.009395	0.01183	0.01539	0.007841	0.009114	0.01633	0.007871	0.01068	0.01775	0.006043	0.009775	0.01744	0.01141	0.01612	0.02431	0.008293	0.009515	0.0185
-Biosynthesis	TOTAL	0.04021	0.04998	0.05943	0.04032	0.04925	0.05591	0.03715	0.04641	0.05254	0.0378	0.05115	0.05901	0.03592	0.05759	0.07002	0.038	0.04818	0.05651	0.03878	0.05163	0.0598	0.0623	0.0719	0.08309	0.04128	0.05123	0.05393	0.06291	0.07765	0.08495	0.04873	0.0559	0.0624
-Other Enzymes	TOTAL	0.09018	0.1014	0.1106	0.08875	0.1071	0.1225	0.08599	0.09129	0.1115	0.09106	0.1056	0.12	0.09673	0.1114	0.1301	0.08857	0.09656	0.1105	0.1011	0.1073	0.1202	0.1208	0.1277	0.1503	0.099	0.1023	0.1152	0.1087	0.1291	0.1422	0.0969	0.1081	0.1295
Organismal Systems	TOTAL	0.02864	0.04279	0.05353	0.03442	0.05043	0.05878	0.02915	0.0475	0.05645	0.02797	0.04594	0.06005	0.03101	0.04269	0.04924	0.0373	0.05465	0.06214	0.02535	0.0425	0.04953	0.03911	0.05598	0.06505	0.02361	0.04017	0.05874	0.02806	0.04195	0.04778	0.02478	0.04085	0.05229
-Immune System	TOTAL	0.005158	0.01232	0.02548	0.006919	0.01482	0.02965	0.004902	0.01208	0.02454	0.005076	0.01048	0.02822	0.004423	0.01065	0.02024	0.008098	0.01674	0.02197	0.004204	0.009739	0.02271	0.008072	0.01529	0.0284	0.004123	0.01119	0.03301	0.004506	0.01176	0.01911	0.004727	0.01231	0.02635
-Endocrine System	TOTAL	0.002575	0.009248	0.01074	0.003058	0.004563	0.006079	0.00284	0.009449	0.01079	0.002559	0.01404	0.01556	0.002549	0.00723	0.00919	0.00343	0.01238	0.01552	0.002939	0.008855	0.01055	0.005206	0.01565	0.01899	0.001958	0.008532	0.009032	0.003175	0.006145	0.009396	0.003336	0.006891	0.00965
-Circulatory System	TOTAL	0.00343	0.004107	0.004513	0.002626	0.003963	0.004909	0.004838	0.005478	0.005831	0.00174	0.002441	0.003364	0.004586	0.005076	0.006287	0.004872	0.005265	0.007075	0.00205	0.002985	0.003855	0.001616	0.002675	0.002982	0.00177	0.002837	0.003654	0.001383	0.003053	0.003778	0.002216	0.003562	0.004302
-Digestive System	TOTAL	0.003592	0.007152	0.008568	0.003069	0.00442	0.005101	0.004583	0.005553	0.007438	0.002928	0.007191	0.008561	0.004483	0.007708	0.01005	0.004239	0.005576	0.008556	0.003506	0.004762	0.006244	0.004988	0.007378	0.01136	0.00454	0.005966	0.006629	0.004191	0.005474	0.008089	0.002932	0.004419	0.006073
-Excretory System	TOTAL	0.00168	0.003063	0.005792	0.00246	0.005497	0.007196	0.002715	0.003861	0.00762	0.001454	0.003541	0.007352	0.00176	0.002891	0.00699	0.002167	0.00497	0.007281	0.001373	0.00366	0.00483	0.001681	0.006126	0.0096	0.001865	0.00279	0.00537	0.001433	0.004546	0.006991	0.001475	0.002381	0.00626
-Nervous System	TOTAL	0.001676	0.003385	0.006964	0.001596	0.004882	0.009418	0.001265	0.003074	0.008374	0.001508	0.002586	0.00701	0.001178	0.002385	0.007567	0.001672	0.00395	0.009006	0.001602	0.003196	0.007839	0.001161	0.00249	0.005512	0.001536	0.002886	0.007789	0.001531	0.002387	0.005957	0.001461	0.002945	0.006841
-Sensory System	TOTAL	4.554e-05	0.0004774	0.0006437	0.0001022	0.001053	0.001326	7.761e-05	0.0007062	0.0007614	4.811e-05	0.0004873	0.000618	6.517e-05	0.0006103	0.0007304	6.031e-05	0.0009195	0.001509	6.89e-05	0.0006556	0.000724	5.935e-05	0.0004747	0.0005334	3.559e-05	0.0003383	0.0003719	4.559e-05	0.0003375	0.0003823	4.359e-05	0.0004796	0.0005031
-Development	TOTAL	0.0007843	0.000942	0.001535	0.001443	0.001704	0.003638	0.001045	0.001282	0.001847	0.0005752	0.0008831	0.001617	0.001475	0.001727	0.002339	0.002055	0.002243	0.002965	0.000818	0.00102	0.001467	0.001288	0.00144	0.001892	0.0002392	0.0004892	0.0009936	0.0004718	0.0006535	0.00109	0.0007835	0.001162	0.001719
-Environmental Adaptation	TOTAL	6.658e-05	0.0004193	0.003535	6.233e-05	0.0006089	0.002352	9.659e-05	0.0004573	0.003271	0.0001108	0.00035	0.002264	5.791e-05	0.0003738	0.00284	6.971e-05	0.0002987	0.003637	5.974e-05	0.0005581	0.00299	4.195e-05	0.0004106	0.005291	9.534e-05	0.0005845	0.003268	6.55e-05	0.0001934	0.005025	8.107e-05	0.0005005	0.003484
Human Diseases	TOTAL	0.05057	0.07164	0.08234	0.06382	0.08263	0.09408	0.04757	0.07127	0.08078	0.05593	0.07332	0.08621	0.05194	0.06531	0.07924	0.05599	0.07309	0.0849	0.05038	0.06443	0.07603	0.05599	0.07455	0.08878	0.05396	0.06736	0.08718	0.06563	0.08419	0.09062	0.05933	0.07649	0.09011
-Cancers	TOTAL	0.004452	0.006569	0.02257	0.005715	0.007223	0.02427	0.005047	0.006663	0.02239	0.004526	0.005898	0.02665	0.004161	0.005397	0.01757	0.004165	0.005342	0.01608	0.005492	0.007175	0.02205	0.004595	0.005369	0.02288	0.006684	0.008502	0.0327	0.005756	0.008115	0.01975	0.003931	0.005498	0.02212
-Immune System Diseases	TOTAL	0.001361	0.01042	0.01657	0.002778	0.0172	0.02648	0.001455	0.007053	0.01324	0.001204	0.009775	0.0165	0.0009156	0.009182	0.01419	0.00126	0.007862	0.01229	0.002157	0.008081	0.01433	0.002179	0.01251	0.01663	0.003313	0.01036	0.01784	0.001843	0.01179	0.01691	0.002084	0.01602	0.0203
-Neurodegenerative Diseases	TOTAL	0.01943	0.02386	0.02776	0.01985	0.02396	0.02813	0.01638	0.01929	0.02403	0.01958	0.0249	0.02737	0.02033	0.02295	0.02622	0.02032	0.02269	0.02739	0.02019	0.02351	0.02626	0.02265	0.028	0.03167	0.01903	0.02298	0.02761	0.03031	0.03784	0.04137	0.02241	0.02629	0.0306
-Cardiovascular Diseases	TOTAL	0.0009482	0.005855	0.01139	0.0006104	0.00296	0.0114	0.0007688	0.00423	0.01638	0.0006137	0.004387	0.007634	0.001064	0.004816	0.01072	0.001753	0.007218	0.02125	0.00101	0.003908	0.007136	0.0004628	0.003267	0.005382	0.0004462	0.00301	0.005308	0.0006583	0.003738	0.007775	0.0006643	0.003773	0.00653
-Metabolic Diseases	TOTAL	2.398e-06	3.303e-05	0.006101	6.024e-07	3.191e-05	0.00604	1.747e-07	2.942e-05	0.008071	3.268e-07	4.012e-05	0.005519	1.073e-05	2.549e-05	0.009698	4.552e-06	2.932e-05	0.009065	5.023e-06	0.0002222	0.006122	7.383e-06	7.498e-05	0.009933	4.455e-07	7.869e-05	0.003664	6.935e-06	2.624e-05	0.009571	4.235e-06	2.951e-05	0.00831
-Infectious Diseases	TOTAL	0.009513	0.01436	0.0178	0.01331	0.01746	0.0226	0.01144	0.01515	0.02146	0.009732	0.01558	0.02207	0.01074	0.01456	0.02045	0.01474	0.01799	0.02366	0.009415	0.0119	0.01662	0.01062	0.01426	0.02437	0.01	0.01445	0.01739	0.01036	0.01315	0.02201	0.008388	0.01485	0.02091
Not Mapped	TOTAL	0.179	0.179	0.179	0.1668	0.1668	0.1668	0.1782	0.1782	0.1782	0.1778	0.1778	0.1778	0.1896	0.1896	0.1896	0.1771	0.1771	0.1771	0.1786	0.1786	0.1786	0.1741	0.1741	0.1741	0.1847	0.1847	0.1847	0.1951	0.1951	0.1951	0.1954	0.1954	0.1954
-Not Mapped	TOTAL	0.179	0.179	0.179	0.1668	0.1668	0.1668	0.1782	0.1782	0.1782	0.1778	0.1778	0.1778	0.1896	0.1896	0.1896	0.1771	0.1771	0.1771	0.1786	0.1786	0.1786	0.1741	0.1741	0.1741	0.1847	0.1847	0.1847	0.1951	0.1951	0.1951	0.1954	0.1954	0.1954
TOTAL	MAPPED	1.218	1.218	1.218	1.2	1.2	1.2	1.217	1.217	1.217	1.216	1.216	1.216	1.234	1.234	1.234	1.215	1.215	1.215	1.217	1.217	1.217	1.211	1.211	1.211	1.227	1.227	1.227	1.242	1.242	1.242	1.243	1.243	1.243
MAPPED	MAPPED	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Genetic Information Processing	MAPPED	0.4001	0.4275	0.4326	0.3722	0.4007	0.411	0.3749	0.4001	0.4065	0.4043	0.4262	0.4395	0.3284	0.3528	0.3565	0.2957	0.3217	0.3286	0.4488	0.469	0.4751	0.3506	0.3771	0.3881	0.4377	0.4647	0.4719	0.3546	0.3766	0.3888	0.4243	0.4464	0.4564
-Transcription	MAPPED	0.04732	0.05187	0.05515	0.04961	0.05321	0.05604	0.03857	0.04174	0.04486	0.04244	0.04573	0.04883	0.03929	0.04159	0.04469	0.02883	0.03071	0.03309	0.05218	0.05678	0.06116	0.02963	0.03267	0.03432	0.05054	0.05462	0.0576	0.04231	0.0442	0.04745	0.03975	0.04272	0.04545
-Translation	MAPPED	0.1765	0.179	0.1852	0.1272	0.1294	0.1353	0.1582	0.1614	0.165	0.1733	0.1769	0.1802	0.1466	0.1488	0.1513	0.1237	0.1257	0.1269	0.181	0.1844	0.1882	0.1445	0.1462	0.1506	0.1857	0.1908	0.194	0.1394	0.1435	0.1492	0.1872	0.1917	0.1971
-Folding, Sorting and Degradation	MAPPED	0.1139	0.1196	0.135	0.1041	0.1134	0.1254	0.1185	0.1234	0.1403	0.1213	0.1256	0.1389	0.09257	0.09734	0.1101	0.1022	0.1116	0.1238	0.1358	0.1416	0.1548	0.1264	0.1376	0.1534	0.1294	0.1393	0.1543	0.1042	0.1133	0.1308	0.1215	0.1283	0.1463
-DNA Maintenance	MAPPED	0.05864	0.06859	0.07457	0.08376	0.09973	0.1055	0.05607	0.06598	0.07179	0.05904	0.07331	0.07561	0.04735	0.05881	0.06226	0.03933	0.04934	0.05172	0.07014	0.08011	0.08723	0.04624	0.05631	0.06185	0.06769	0.07652	0.08335	0.05827	0.07137	0.07674	0.06633	0.0741	0.08409
-RNA Family	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	MAPPED	0.02325	0.028	0.03574	0.0237	0.02888	0.03327	0.02428	0.02988	0.03731	0.02526	0.03003	0.03676	0.02439	0.03046	0.03744	0.03621	0.04281	0.04914	0.01718	0.0215	0.02759	0.02322	0.02978	0.0362	0.02067	0.02562	0.03272	0.02411	0.03046	0.03747	0.02104	0.02714	0.03266
-Signal Transduction	MAPPED	0.006104	0.008905	0.01244	0.009843	0.01084	0.01462	0.006274	0.00938	0.01279	0.006852	0.01276	0.01553	0.005285	0.009534	0.01151	0.006831	0.01205	0.0152	0.006696	0.007777	0.01057	0.004841	0.00738	0.009902	0.008338	0.00981	0.01339	0.005084	0.01008	0.01381	0.00675	0.009388	0.01348
-Signaling Molecules and Interaction	MAPPED	0.01502	0.01934	0.02517	0.01315	0.0168	0.02034	0.0169	0.02096	0.02563	0.01501	0.01866	0.02346	0.01606	0.02125	0.0277	0.02597	0.0309	0.03539	0.009403	0.01292	0.01703	0.01584	0.02247	0.0263	0.01187	0.01541	0.01933	0.01523	0.02003	0.02365	0.01263	0.01651	0.02096
Cellular Processes	MAPPED	0.1492	0.1599	0.1694	0.1496	0.163	0.1706	0.1809	0.205	0.213	0.1315	0.1445	0.1496	0.1853	0.2004	0.2084	0.2158	0.2424	0.2526	0.1133	0.1273	0.1322	0.109	0.118	0.1258	0.1043	0.119	0.1233	0.09002	0.1031	0.1141	0.09801	0.11	0.1126
-Hemoglobin	MAPPED	9.522e-07	9.522e-07	2.018e-06	2.504e-06	2.504e-06	3.706e-06	3.18e-06	3.18e-06	3.219e-06	4.647e-11	4.647e-11	1.796e-06	7.447e-07	7.447e-07	1.482e-06	4.645e-07	4.645e-07	7.492e-07	3.472e-11	3.472e-11	1.329e-06	1.96e-06	1.96e-06	1.997e-06	4.677e-05	4.677e-05	7.286e-05	4.308e-11	4.308e-11	2.262e-07	4.897e-06	4.897e-06	5.051e-06
-Vesicular Transport	MAPPED	0.01185	0.01525	0.02003	0.01815	0.02088	0.02546	0.01378	0.01785	0.02256	0.01275	0.01543	0.02007	0.01283	0.01589	0.02033	0.02125	0.02664	0.03161	0.01271	0.01789	0.0227	0.01856	0.02324	0.02811	0.01095	0.01499	0.02071	0.01594	0.02142	0.02573	0.01187	0.01621	0.02057
-Cytoskeleton	MAPPED	0.1069	0.1152	0.1175	0.1024	0.1126	0.1165	0.1312	0.1401	0.1516	0.09275	0.09954	0.1011	0.1339	0.1421	0.1463	0.1588	0.1697	0.1833	0.07343	0.07974	0.08111	0.06973	0.0743	0.07664	0.06774	0.07196	0.07445	0.05615	0.06242	0.06537	0.0621	0.06902	0.07021
-Cell Motility	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	MAPPED	0.00936	0.01593	0.02009	0.01054	0.01989	0.02278	0.00942	0.01796	0.02053	0.008774	0.01698	0.02072	0.007609	0.01556	0.01907	0.005625	0.01373	0.01676	0.01095	0.01998	0.02396	0.003985	0.01017	0.01249	0.01019	0.01909	0.02183	0.006375	0.01203	0.0181	0.007314	0.01405	0.01796
-Cell Communication	MAPPED	0.01185	0.01282	0.01717	0.008234	0.009657	0.01852	0.01764	0.01909	0.03336	0.009674	0.0102	0.01271	0.02163	0.0227	0.02935	0.01981	0.02235	0.03853	0.007803	0.008548	0.01349	0.009983	0.01128	0.01246	0.01006	0.01125	0.01422	0.005895	0.00665	0.01106	0.008653	0.009503	0.01285
Metabolism	MAPPED	0.216	0.2436	0.2533	0.2301	0.2536	0.2583	0.2025	0.2286	0.2363	0.2265	0.2528	0.2657	0.2562	0.2814	0.288	0.2106	0.2423	0.2533	0.2275	0.2567	0.2604	0.2863	0.3122	0.3273	0.2271	0.2496	0.2561	0.3151	0.3331	0.3499	0.2484	0.2684	0.2794
-Membrane Transport	MAPPED	0.002392	0.003134	0.003977	0.0009836	0.001913	0.002765	0.001163	0.001889	0.002804	0.001348	0.002174	0.003022	0.001567	0.002481	0.003141	0.001528	0.002387	0.003116	0.001276	0.002065	0.002979	0.00183	0.002821	0.003947	0.001639	0.002555	0.003386	0.001693	0.002926	0.00415	0.0008619	0.001879	0.002519
-Central Carbon Metabolism	MAPPED	0.02764	0.03084	0.04847	0.03293	0.03808	0.05496	0.02686	0.03271	0.04528	0.02823	0.0403	0.04899	0.03234	0.04639	0.0551	0.03277	0.03647	0.05254	0.03186	0.03585	0.04861	0.03499	0.04261	0.0506	0.02913	0.03434	0.04907	0.04142	0.05201	0.06005	0.03282	0.0413	0.05456
-Energy Metabolism	MAPPED	0.009524	0.01158	0.01856	0.01174	0.01365	0.02321	0.008445	0.01288	0.01925	0.008735	0.01164	0.0183	0.007817	0.01542	0.0189	0.01142	0.01437	0.01871	0.009546	0.0111	0.01988	0.00953	0.01293	0.02149	0.007412	0.01199	0.02139	0.01417	0.02003	0.03021	0.01031	0.01183	0.02299
-Biosynthesis	MAPPED	0.04897	0.06087	0.07239	0.04839	0.05911	0.06711	0.0452	0.05647	0.06393	0.04598	0.06222	0.07178	0.04432	0.07106	0.0864	0.04618	0.05855	0.06868	0.04721	0.06286	0.07281	0.07543	0.08706	0.1006	0.05064	0.06284	0.06614	0.07816	0.09648	0.1055	0.06056	0.06948	0.07755
-Other Enzymes	MAPPED	0.1099	0.1235	0.1347	0.1065	0.1286	0.147	0.1046	0.1111	0.1357	0.1108	0.1285	0.1459	0.1194	0.1374	0.1605	0.1076	0.1173	0.1343	0.1231	0.1306	0.1463	0.1462	0.1546	0.182	0.1214	0.1255	0.1413	0.1351	0.1604	0.1767	0.1204	0.1343	0.161
Organismal Systems	MAPPED	0.03489	0.05212	0.0652	0.04132	0.06052	0.07055	0.03547	0.05779	0.06869	0.03402	0.05588	0.07304	0.03826	0.05268	0.06076	0.04533	0.06642	0.07552	0.03086	0.05174	0.0603	0.04735	0.06779	0.07876	0.02896	0.04927	0.07205	0.03486	0.05212	0.05936	0.0308	0.05077	0.06498
-Immune System	MAPPED	0.006283	0.01501	0.03103	0.008304	0.01779	0.03559	0.005964	0.0147	0.02986	0.006174	0.01275	0.03433	0.005458	0.01314	0.02498	0.009841	0.02034	0.02669	0.005118	0.01186	0.02765	0.009773	0.01851	0.03439	0.005057	0.01372	0.04049	0.005598	0.0146	0.02374	0.005875	0.0153	0.03275
-Endocrine System	MAPPED	0.003136	0.01126	0.01309	0.003671	0.005476	0.007296	0.003455	0.0115	0.01313	0.003113	0.01708	0.01892	0.003146	0.008921	0.01134	0.004168	0.01504	0.01886	0.003578	0.01078	0.01285	0.006303	0.01895	0.023	0.002401	0.01047	0.01108	0.003944	0.007635	0.01167	0.004146	0.008564	0.01199
-Circulatory System	MAPPED	0.004178	0.005003	0.005497	0.003152	0.004756	0.005892	0.005886	0.006666	0.007095	0.002117	0.002969	0.004092	0.005659	0.006264	0.007757	0.00592	0.006398	0.008597	0.002496	0.003635	0.004693	0.001957	0.003239	0.00361	0.002171	0.00348	0.004482	0.001718	0.003793	0.004694	0.002754	0.004427	0.005347
-Digestive System	MAPPED	0.004375	0.008712	0.01044	0.003683	0.005305	0.006123	0.005576	0.006756	0.009051	0.003561	0.008746	0.01041	0.005532	0.009511	0.0124	0.005151	0.006775	0.0104	0.004268	0.005797	0.007602	0.00604	0.008933	0.01376	0.005569	0.007317	0.008131	0.005208	0.006801	0.01005	0.003644	0.005492	0.007547
-Excretory System	MAPPED	0.002046	0.003731	0.007055	0.002953	0.006597	0.008636	0.003304	0.004698	0.009271	0.001769	0.004307	0.008942	0.002172	0.003567	0.008625	0.002633	0.00604	0.008848	0.001672	0.004456	0.005881	0.002035	0.007417	0.01162	0.002287	0.003423	0.006587	0.00178	0.005648	0.008685	0.001833	0.002959	0.00778
