Numerator	Denominator	hsa Geiger 2012 HeLa	hsa Geiger 2012 Jurkat	hsa Geiger 2012 U2OS	hsa Geiger 2012 MCF7	hsa Geiger 2012 A549	hsa Geiger 2012 GAMG	hsa Geiger 2012 HEK293	hsa Geiger 2012 HepG2	hsa Geiger 2012 K562	hsa Geiger 2012 LnCap	hsa Geiger 2012 RKO
-Cardiovascular Diseases	MAPPED	0.000556	0.0001286	0.0003862	0.0002539	0.0003997	0.001324	0.0003894	0.0001042	0.0003139	0.0003933	0.0001403
-Infectious Diseases	MAPPED	0.0005945	0.0007273	0.0007992	0.0009431	0.0007836	0.0006861	0.0008877	0.001167	0.001205	0.001148	0.0009581
Not Mapped	MAPPED	0.2459	0.2179	0.2592	0.249	0.272	0.2666	0.2456	0.238	0.2466	0.2709	0.2618
-Not Mapped	MAPPED	0.2459	0.2179	0.2592	0.249	0.272	0.2666	0.2456	0.238	0.2466	0.2709	0.2618
TOTAL	Genetic Information Processing	2.018	2.069	2.1	1.995	2.358	2.486	1.946	2.183	1.915	2.276	1.972
MAPPED	Genetic Information Processing	1.619	1.698	1.668	1.597	1.853	1.963	1.562	1.763	1.536	1.791	1.563
Genetic Information Processing	Genetic Information Processing	1	1	1	1	1	1	1	1	1	1	1
-Transcription	Genetic Information Processing	0.09811	0.1107	0.09186	0.08821	0.0928	0.07806	0.1044	0.07163	0.09993	0.09241	0.08247
-Translation	Genetic Information Processing	0.4269	0.3102	0.4165	0.4084	0.4325	0.386	0.4296	0.3819	0.4157	0.3723	0.4095
-Folding, Sorting and Degradation	Genetic Information Processing	0.2675	0.2617	0.3051	0.2937	0.2664	0.3427	0.2778	0.3451	0.2926	0.3047	0.2811
-DNA Maintenance	Genetic Information Processing	0.2075	0.3174	0.1866	0.2097	0.2083	0.1932	0.1882	0.2014	0.1917	0.2306	0.2269
Environmental Information Processing	Genetic Information Processing	0.0904	0.103	0.1005	0.08865	0.1101	0.1702	0.06538	0.09689	0.07397	0.1017	0.07358
-Signal Transduction	Genetic Information Processing	0.03845	0.05518	0.03929	0.03598	0.04598	0.05936	0.03597	0.04107	0.03698	0.05066	0.03304
-Signaling Molecules and Interaction	Genetic Information Processing	0.05195	0.04784	0.06118	0.05266	0.06412	0.1108	0.02941	0.05582	0.03699	0.051	0.04054
Cellular Processes	Genetic Information Processing	0.2135	0.2527	0.2509	0.1942	0.2826	0.3726	0.174	0.1995	0.1626	0.1788	0.1519
-Hemoglobin	Genetic Information Processing	8.412e-06	1.569e-05	1.472e-05	7.363e-06	7.317e-06	4.09e-06	5.248e-06	9.256e-06	0.0002807	1.023e-06	1.944e-05
-Vesicular Transport	Genetic Information Processing	0.03609	0.05021	0.04267	0.03456	0.04486	0.07435	0.04119	0.06423	0.03456	0.05695	0.03222
-Cytoskeleton	Genetic Information Processing	0.1466	0.1748	0.168	0.1327	0.1935	0.2505	0.1057	0.108	0.09951	0.09489	0.09401
-Cell Motility	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	Genetic Information Processing	0.02233	0.02276	0.02776	0.01955	0.02638	0.03017	0.02217	0.0193	0.02171	0.02166	0.01952
-Cell Communication	Genetic Information Processing	0.008414	0.004991	0.01246	0.007429	0.01782	0.01749	0.004917	0.00791	0.006548	0.005287	0.006124
Metabolism	Genetic Information Processing	0.2918	0.3044	0.2839	0.2957	0.4302	0.3807	0.2967	0.4307	0.2731	0.4898	0.3127
-Membrane Transport	Genetic Information Processing	0.00253	0.0009665	0.001347	0.0009803	0.001908	0.002778	0.0007957	0.00284	0.001704	0.001721	0.001202
-Central Carbon Metabolism	Genetic Information Processing	0.115	0.1287	0.1213	0.12	0.1769	0.1705	0.1139	0.1355	0.09935	0.167	0.1169
-Energy Metabolism	Genetic Information Processing	0.05127	0.04875	0.04133	0.05008	0.05975	0.05421	0.05398	0.07509	0.05283	0.1172	0.05577
-Biosynthesis	Genetic Information Processing	0.08825	0.0926	0.08718	0.09379	0.1538	0.1139	0.09259	0.155	0.08687	0.1534	0.1028
-Other Enzymes	Genetic Information Processing	0.03473	0.03334	0.03277	0.03092	0.03785	0.03924	0.03537	0.06221	0.03232	0.0505	0.03607
Organismal Systems	Genetic Information Processing	0.01492	0.0291	0.02301	0.01046	0.02247	0.02939	0.01638	0.02514	0.01236	0.008652	0.0153
-Immune System	Genetic Information Processing	0.002802	0.004315	0.002031	0.002328	0.002998	0.00796	0.001957	0.004131	0.001884	0.001489	0.002089
-Endocrine System	Genetic Information Processing	0.002827	0.00756	0.008045	0.002887	0.005305	0.006762	0.007216	0.01212	0.003075	0.003109	0.006691
-Circulatory System	Genetic Information Processing	0.004747	0.003828	0.00792	0.001959	0.008364	0.007218	0.002279	0.001691	0.002443	0.0007723	0.002199
-Digestive System	Genetic Information Processing	0.001602	0.0006809	0.001232	0.001166	0.002154	0.001406	0.002093	0.00428	0.002811	0.001081	0.0009972
-Excretory System	Genetic Information Processing	0.002	0.01114	0.002482	0.001477	0.001461	0.002823	0.00193	0.001302	0.001907	0.001714	0.002305
-Nervous System	Genetic Information Processing	3.28e-05	3.225e-05	5.89e-05	0.0001492	3.997e-05	4.913e-05	9.388e-05	3.475e-05	6.175e-05	3.512e-05	2.19e-05
-Sensory System	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0
-Development	Genetic Information Processing	0.0009049	0.001544	0.001243	0.0004923	0.002145	0.003175	0.0008054	0.001581	0.000176	0.0004516	0.0009951
-Environmental Adaptation	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0
Human Diseases	Genetic Information Processing	0.008757	0.009207	0.009441	0.007982	0.00812	0.009876	0.009729	0.01109	0.01383	0.01199	0.00934
-Cancers	Genetic Information Processing	0.00345	0.003777	0.003759	0.003398	0.00255	0.002789	0.002909	0.003731	0.003729	0.004012	0.002861
-Immune System Diseases	Genetic Information Processing	0.001012	0.001497	0.00178	0.001113	0.001054	0.001384	0.002389	0.002283	0.004127	0.002589	0.002301
-Neurodegenerative Diseases	Genetic Information Processing	0.002432	0.00248	0.001925	0.001559	0.002324	0.001758	0.002436	0.002832	0.003643	0.002625	0.002461
-Cardiovascular Diseases	Genetic Information Processing	0.0009004	0.0002184	0.0006441	0.0004054	0.0007408	0.002599	0.0006082	0.0001838	0.0004821	0.0007043	0.0002192
-Infectious Diseases	Genetic Information Processing	0.0009628	0.001235	0.001333	0.001506	0.001452	0.001347	0.001387	0.002058	0.00185	0.002056	0.001497
Not Mapped	Genetic Information Processing	0.3982	0.3701	0.4322	0.3976	0.5041	0.5233	0.3836	0.4197	0.3788	0.4851	0.4091
-Not Mapped	Genetic Information Processing	0.3982	0.3701	0.4322	0.3976	0.5041	0.5233	0.3836	0.4197	0.3788	0.4851	0.4091
TOTAL	-Transcription	20.56	18.68	22.86	22.61	25.4	31.85	18.64	30.48	19.16	24.63	23.91
MAPPED	-Transcription	16.51	15.34	18.16	18.11	19.97	25.14	14.97	24.62	15.37	19.38	18.95
Genetic Information Processing	-Transcription	10.19	9.032	10.89	11.34	10.78	12.81	9.581	13.96	10.01	10.82	12.13
-Transcription	-Transcription	1	1	1	1	1	1	1	1	1	1	1
-Translation	-Transcription	4.351	2.802	4.534	4.63	4.66	4.945	4.116	5.332	4.16	4.029	4.966
-Folding, Sorting and Degradation	-Transcription	2.727	2.364	3.322	3.329	2.87	4.39	2.662	4.817	2.928	3.297	3.409
-DNA Maintenance	-Transcription	2.115	2.867	2.031	2.377	2.245	2.475	1.803	2.812	1.919	2.495	2.751
Environmental Information Processing	-Transcription	0.9214	0.9305	1.094	1.005	1.186	2.18	0.6265	1.353	0.7402	1.1	0.8923
-Signal Transduction	-Transcription	0.3919	0.4984	0.4278	0.4079	0.4955	0.7604	0.3447	0.5734	0.37	0.5482	0.4007
-Signaling Molecules and Interaction	-Transcription	0.5295	0.4321	0.6661	0.597	0.6909	1.42	0.2818	0.7793	0.3702	0.5519	0.4916
Cellular Processes	-Transcription	2.176	2.283	2.731	2.202	3.045	4.772	1.667	2.785	1.627	1.935	1.842
-Hemoglobin	-Transcription	8.574e-05	0.0001417	0.0001602	8.347e-05	7.885e-05	5.239e-05	5.028e-05	0.0001292	0.002809	1.107e-05	0.0002357
-Vesicular Transport	-Transcription	0.3679	0.4536	0.4645	0.3918	0.4834	0.9524	0.3946	0.8967	0.3459	0.6164	0.3907
-Cytoskeleton	-Transcription	1.495	1.579	1.829	1.504	2.085	3.209	1.013	1.508	0.9958	1.027	1.14
-Cell Motility	-Transcription	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	-Transcription	0.2276	0.2055	0.3022	0.2216	0.2843	0.3865	0.2125	0.2695	0.2172	0.2344	0.2367
-Cell Communication	-Transcription	0.08576	0.04508	0.1357	0.08422	0.192	0.2241	0.04711	0.1104	0.06552	0.05722	0.07426
Metabolism	-Transcription	2.974	2.749	3.09	3.353	4.635	4.876	2.843	6.012	2.733	5.301	3.792
-Membrane Transport	-Transcription	0.02578	0.008729	0.01466	0.01111	0.02056	0.03559	0.007624	0.03965	0.01706	0.01862	0.01457
-Central Carbon Metabolism	-Transcription	1.172	1.163	1.32	1.36	1.906	2.185	1.092	1.892	0.9942	1.807	1.417
-Energy Metabolism	-Transcription	0.5226	0.4403	0.4499	0.5677	0.6438	0.6944	0.5172	1.048	0.5287	1.268	0.6763
-Biosynthesis	-Transcription	0.8995	0.8364	0.9491	1.063	1.657	1.459	0.8871	2.164	0.8693	1.66	1.247
-Other Enzymes	-Transcription	0.354	0.3011	0.3568	0.3505	0.4078	0.5027	0.3389	0.8685	0.3234	0.5465	0.4374
Organismal Systems	-Transcription	0.152	0.2628	0.2505	0.1186	0.2421	0.3765	0.1569	0.351	0.1237	0.09363	0.1855
-Immune System	-Transcription	0.02856	0.03897	0.02211	0.0264	0.03231	0.102	0.01876	0.05767	0.01886	0.01611	0.02533
-Endocrine System	-Transcription	0.02882	0.06828	0.08758	0.03273	0.05717	0.08662	0.06914	0.1693	0.03077	0.03365	0.08114
-Circulatory System	-Transcription	0.04839	0.03458	0.08622	0.02221	0.09013	0.09246	0.02184	0.0236	0.02445	0.008357	0.02667
-Digestive System	-Transcription	0.01633	0.00615	0.01341	0.01322	0.02321	0.01801	0.02005	0.05976	0.02813	0.0117	0.01209
-Excretory System	-Transcription	0.02039	0.1006	0.02702	0.01675	0.01574	0.03617	0.01849	0.01817	0.01909	0.01855	0.02795
-Nervous System	-Transcription	0.0003343	0.0002913	0.0006412	0.001692	0.0004307	0.0006293	0.0008995	0.0004852	0.0006179	0.00038	0.0002656
-Sensory System	-Transcription	0	0	0	0	0	0	0	0	0	0	0
-Development	-Transcription	0.009224	0.01394	0.01354	0.005581	0.02312	0.04067	0.007717	0.02208	0.001761	0.004887	0.01207
-Environmental Adaptation	-Transcription	0	0	0	0	0	0	0	0	0	0	0
Human Diseases	-Transcription	0.08926	0.08316	0.1028	0.09049	0.0875	0.1265	0.09321	0.1548	0.1384	0.1297	0.1133
-Cancers	-Transcription	0.03516	0.03411	0.04092	0.03852	0.02747	0.03573	0.02787	0.05208	0.03732	0.04342	0.03469
