KO number	hsa Geiger 2012 HeLa	hsa Geiger 2012 Jurkat	hsa Geiger 2012 U2OS	hsa Geiger 2012 MCF7	hsa Geiger 2012 A549	hsa Geiger 2012 GAMG	hsa Geiger 2012 HEK293	hsa Geiger 2012 HepG2	hsa Geiger 2012 K562	hsa Geiger 2012 LnCap	hsa Geiger 2012 RKO
K03002	1166037.2	249748.78	2314568.1	1291583.5	927942.58	877840.2	3576538.5	638001.49	543614.4	2840826.8	661671.76
K02999	1817364.9	608832.67	3978399	2611570	1292258.3	1710596.3	7703751.1	1248836.8	1586691.4	4139139	1488142.8
K03000	0.79902021	0.79902021	0.79902021	0.79902021	2767208.7	0.79902021	2800819.6	0.79902021	518638.58	0.79902021	0.79902021
K03005	4465197	850150.33	8333124.6	4354192.3	3806030.1	2916930	5648859.7	2054547.5	1517485.8	3934205.6	859505.06
K03142	0.79902021	0.79902021	0.79902021	30208.983	0.79902021	16390.02	0.79902021	0.79902021	0.79902021	0.79902021	15177.957
K14649	0.79902021	0.79902021	0.79902021	0.79902021	613111.53	0.79902021	0.79902021	0.79902021	221.26002	0.79902021	0.79902021
K14651	194311.07	408162.98	10331577	243434.82	315332.38	1135042.1	520656.15	166312.2	98519.494	1570356.8	199710.33
K14650	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03122	1161683.4	2225269.5	2916466.7	2892097.5	921911.27	2251807	6456741.1	1112120.8	668815.99	8287080.6	1211086.6
K03123	1312827.3	1381902.8	608342.44	2010744.6	1530398	1975764.4	943694.07	407186.55	16752.979	11112283	781151.31
K03124	4464627.1	2600033.4	25219197	28358889	1271251.1	2663968.1	9333345.7	1941034.1	1634004.9	2389250.6	2723347.7
K03120	364294.75	800600.24	4115886.9	2202754.4	954920.61	1281312.6	3097776.5	273973.57	535223.5	3271166.3	848464.57
K03125	26590.953	63847.192	202666.98	3372068.3	71085.979	159402.78	243274.39	45373.865	34026.754	352626.85	42511.424
K03128	142875.15	269675	921194.81	236804.77	79446.591	267593.14	1468601.3	225299.93	184663.68	168716.52	225121.03
K03132	3102525.8	2231754.5	2921025.3	5174841	5122098.5	6241674.5	2240986	1534252.7	1152213.1	3525562.7	891485.55
K03134	1216558.3	1595193.4	2541669	1855566.8	1907480.4	2492440.4	6846496.6	1102315.5	2208813	2408979.1	986284.37
K03130	415538.94	865742.7	1131279.2	541730.62	440515.77	928988.21	2799827	375130.01	418476.93	1076802.1	492640.87
K03129	376788.67	665435.43	1257801.4	490239.78	458784.65	1455661.6	1475958.9	487122.43	253279.16	805273.19	209212.77
K03126	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03131	769499.34	1324417.9	2968575.5	4285137.6	800737.06	1448080.3	5230968.5	466596.81	910971.73	1904261.3	887807.15
K14535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03133	4990773.3	2161849.6	14308129	17466918	3019771.5	5296035	11245538	1619953.3	3947018.1	4993070.2	2633640.6
K03135	58933.895	6980.9129	0.79902021	0.79902021	0.79902021	0.79902021	21803.015	14587.045	30586.979	0.79902021	53463.994
K03127	13700.966	356437.03	406874.5	0.79902021	0.79902021	0.79902021	324480.24	3354.8906	32278.195	46662.953	0.79902021
K03136	1562134.3	1742245.4	2982965	2069768.5	1506315.4	2146320	4192191.1	554343.96	1217240.6	3735258.7	1304205.7
K03137	2754832.3	2362434.2	4898924.5	3599256.4	1626393.3	1791331.6	3199463.5	1217726.7	1582000	7096962.3	2523621.4
K03138	3878398.8	3821946.1	5112693.6	5325336.5	3412903.7	4502255.9	10070739	2283363.1	2048107.5	8298481.1	2617284.5
K03139	7704396.5	4671064.7	10218682	9208748.6	5597132.8	9314936.1	9106782.6	4111462.4	2517244.3	12772475	5070556.8
K03141	274389.67	362516.48	1110993.8	1150158.6	373609.39	952718.61	1456614.1	232190.03	720351.88	645537.91	1186066.6
K03143	539639.36	430349.01	1275911.4	540555.68	384473.14	571584.21	1947618.1	342353.81	647740.5	831933.27	743852.05
K03144	541814.49	1046394.3	1522965.7	1731333.8	369925.16	1352485.5	2265460.6	568016.98	392467.78	1457580	1024404.4
K10843	577693.65	681299.18	1392169.9	1191353.5	394461.8	1221594.4	3790402.8	409757.49	1197831.6	1153589	1385472
K10844	1075204.8	1061475.7	10560762	1905934	6972693	6516658.5	3891534.8	6316302.1	1166639.4	3750972.5	1506830.6
K10845	469241.1	777365.45	1363698.4	353457.37	727048.63	263416.73	2651003.9	397420.17	1188655.3	190555.14	2405307.6
K02202	1375836.4	906077.4	7157903.6	4770198.3	2167729.6	1834343.1	2471772.4	961952.66	747671.2	1925996.4	1785105.6
K10842	1046957.6	1515945.4	3889598	3740700.6	1570306.2	1676832.8	3968306.2	442972.88	2179866.4	1206633.8	2072157.5
K06634	1746068.8	1184726.9	3594265.4	5681662.8	2221802.5	3802743.5	3053967	1374269.7	1380752.1	1993461.1	2039553.7
K03121	11813398	6164281	8300164.2	38671199	14323517	14965460	37049608	7409387	5544684	22596766	3968166.4
K04448	247589.4	238109.95	2285792.7	7366.6858	255070.1	750730.2	4165300.7	428531.39	264360.3	0.79902021	8589709.9
K09028	1040410.3	0.79902021	67798.45	1050417.4	602626.18	123500.21	80584.139	17154.982	50623.772	67096.04	199945.86
K04449	615267.25	435047.09	2181365.5	963377.69	1004589.6	747525.41	794846.73	99236.789	386088.56	577973.88	1387769.5
K04379	17238.062	0.79902021	0.79902021	0.79902021	0.79902021	0.79902021	0.79902021	0.79902021	0.79902021	0.79902021	0.79902021
K09029	195041.88	16958.019	0.79902021	37069.885	37129.03	20346.034	42458.959	17287.343	0.79902021	0.79902021	1724451
K04502	39640.009	47867.87	65232.803	0.79902021	0.79902021	497463.04	0.79902021	8004.3026	78096.74	0.79902021	4072696.9
K09030	1046553.2	61764.422	2603012.6	285176.28	1537090.6	1059302.2	89988.59	49031.03	13503.923	56987.006	114024.92
K09032	6545.1352	453748.43	22517.42	19552.589	102.63002	0.79902021	3349.7007	0.79902021	2573.4343	188678.92	68613.77
K09033	58528.026	168182.13	450337.7	103320	95199.799	272969.46	104300.03	0.79902021	2028.9956	59265.76	8483.9025
K09034	101599.94	321444.35	315717.53	873761.33	32018.016	143918.48	432385.39	7878.8924	0.79902021	281709.76	26715.435
K09035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09037	545716.34	1609798	2353532	768909.42	1271424.7	1115793.3	933989.88	652959.71	1022374.5	428001.46	1100915.5
K09039	110431.65	243420.38	162642.41	297691.12	747406.45	3269297.2	210170.4	37067.33	362168.71	136896.22	65960.873
K09040	0.79902021	0.79902021	0.79902021	0.79902021	0.79902021	4300.0866	0.79902021	0.79902021	0.79902021	0.79902021	0.79902021
K09042	10577.826	58094.866	55464.231	75263.538	0.79902021	92390.441	96663.307	365.92014	170541.16	0.79902021	55112.5
K04450	88699.311	13651.385	246996.32	76255.511	261737.86	231666.52	303431.57	146698.4	224138.1	104119.25	20613.25
K09045	1162809	1683101.5	4972319.4	1745141.7	3148194.9	1858200.6	1467247.6	1700201.7	553009.01	5638142.7	1077792.3
K09047	0.79902021	0.79902021	243059.5	0.79902021	0.79902021	0.79902021	0.79902021	0.79902021	0.79902021	0.79902021	0.79902021
K05870	4550130.2	2798101.6	10957884	9006596.7	3586458.8	6033723.2	6171472.9	2507503	1279835.2	13544096	937817.18
K09048	12940	0.79902021	0.79902021	229730.4	0.79902021	14204.003	0.79902021	0.79902021	3819.1874	257400.6	18519.58
K09049	0.79902021	0.79902021	62700.964	0.79902021	20173.028	46973.108	0.79902021	0.79902021	0.79902021	0.79902021	0.79902021
K09052	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09053	917747.13	71282.979	788188.49	322375.65	567575.75	79239.931	190279.24	46309.161	397677.1	1518094.3	350211.3
K09054	70958.113	10722.027	166039.18	60468.929	453850.19	4071.007	25931.17	6392.4133	17496.048	63011.032	9989.462
K10048	662893.84	127457.7	2097399.1	803344.64	1363148.8	454491	140149.36	159702.87	199209.92	960255.47	332838.62
K10050	948297.36	378043.96	43541.093	0.79902021	293460.35	1480260.7	0.79902021	0.79902021	48462.123	0.79902021	289087.79
K10051	58780.042	307253.89	145510.12	619554.3	0.79902021	497441.65	105052.83	29062.021	46460.917	353699.11	92481.002
K09059	65622.488	0.79902021	3472.8876	0.79902021	4759.0025	25487.008	15004.018	13631.78	9960.6902	1831.6958	1137.4993
K14431	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K14432	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09061	279679.78	338972.2	1052777.3	288866.11	683447.83	250873.12	2337137.5	268466.74	161173	670304.37	638910.43
K09063	346388.3	483903.46	1688674	727728.24	411846.01	265387.2	694637.14	58944.892	880124.91	392487.04	29166.429
K09068	17383.97	41127.051	0.79902021	55821.052	13054.956	19130.01	0.79902021	96986.747	369841.29	40501.003	0.79902021
K09073	221369.97	0.79902021	153559.69	100090.12	0.79902021	9289.9171	0.79902021	0.79902021	16951.608	17213.747	292350.59
K08040	6986.8188	0.79902021	0.79902021	35105.027	0.79902021	376139.95	0.79902021	23213.075	0.79902021	1656696.6	339459.52
K09091	0.79902021	0.79902021	0.79902021	0.79902021	0.79902021	0.79902021	109410.37	0.79902021	0.79902021	0.79902021	0.79902021
K03729	22091.006	0.79902021	35298.609	1255995.6	15421.976	130832.22	12893.016	0.79902021	18258.644	0.79902021	10174.004
K09093	127454.35	21021.966	465458.08	518049.62	247023.81	4457534.2	416348.83	168512.1	543.77009	320242.49	12161.713
K09095	9375.0077	10748.279	8761.4868	0.79902021	0.79902021	7556.9335	31147.095	14316.601	17444.682	4127.2926	38503.981
K09097	114904.34	67116.073	101860.92	306850.02	175563.58	135036.88	361476.7	188034.35	90840.56	456033.57	3782.8962
K02223	55778.643	3957.604	477212.26	137884.02	39352.686	206122.1	122185.44	21903.825	8210.8043	23861.028	4215.5869
K02296	58953.035	229240.12	126922.17	162444.9	57165.484	191061.4	280959.76	59957.736	903.6398	31621.032	0.79902021
K09099	0.79902021	0.79902021	16120.314	5738.6381	0.79902021	0.79902021	1156.9975	0.79902021	0.79902021	0.79902021	0.79902021
K04680	621814.04	292899.38	1403275.2	2559664	1107810.1	308997.86	213795.37	108398.7	180551.04	0.79902021	2113.8979
K09103	1079808.2	76197.184	1878951.2	151357.45	2044927.1	4366788.4	775684.11	63829.832	8689.7706	105209.88	168201.56
K09105	151412.76	27432.134	28052.454	23368.633	357784.82	159209.96	71588.999	90433.555	27344.063	60758.136	20867.932
K09455	526620.65	0.79902021	45873.984	137093.24	100542.84	358029.34	152588.12	183935.66	201929.36	67689.363	162382.15
K09106	623239.06	975956.62	570489.36	1083931.8	1629537	1692381.7	1772839.8	480409.25	18962.024	1515735.8	38961.574
K09107	2447.9077	11551.154	3199.3916	3986.2082	10661.67	14896.802	11506.967	1142.3983	5079.7924	4927.6027	0.79902021
K09108	389766.42	63583.316	195769.85	1074225.6	356885.4	42397.08	525393.54	34113.017	333793.13	330653.66	181261.31
K04377	254359.8	0.79902021	1749191.6	1099631.8	329675.63	131560.21	596152.15	65487.32	123025.22	1242332.1	1449907
K04453	801215.53	556162.47	872181.47	502076.71	528646.47	667620.52	2113108.6	272420.9	779961.32	1423318.2	576796.83
K09113	161218.75	126280.5	470481.69	209353.06	305976.48	358674.06	338924.8	128577.03	291826.14	1412571.3	182758.09
K09115	72498.489	23410.643	229423.78	116258.48	249035.59	63574.487	51438.325	976854.56	41704.994	234749.08	972.02998
K09168	862552.72	435354.29	470074.22	169042.6	235751.5	82806.947	572680.3	403449.9	69974.939	3247227.7	75433.627
K09169	471166.56	53707.157	1456712.4	157279.93	60457.56	412673.92	281315.61	25163.936	11943.923	832599.62	8935.2568
K09170	2737972.8	322022.17	5261004.8	2200188.6	1892104.3	2776302	1697858.2	125268.7	137405.08	7690092.5	576385.9
K09171	731489.49	243612.71	1002687.5	288899.87	227741.78	1696712.8	1223946.1	237043.1	40168.606	26369503	485212.26
K09173	654740.4	491410.96	1239155.4	2393798	475523.99	710013.15	1619923.6	218152.39	277839.75	765447.88	159589.91
K08061	166629.59	386408.19	129584.96	168963.18	54086.477	44523.363	381286.12	25461.286	44602.638	308969.98	58547.334
K09176	2122176.1	378978.49	76692.791	130230.32	568745.11	724748.52	1562809.3	212622.92	106383.87	433869	58626.011
K09177	646276.46	47929.335	329312.23	6553925.7	663334.06	461224.85	624143.47	61307.851	98835.245	972052.08	29700.264
K09178	436343.25	138629.4	821801.25	3320002.9	183087.03	611000.13	1341695.6	3618.5027	0.79902021	57640.546	1457.0958
K08528	21317.934	0.79902021	0.79902021	0.79902021	3248.1893	218329.87	2184704.5	41926.942	6081.4171	1589.8997	0.79902021
K08529	41516.005	0.79902021	0.79902021	200505.2	0.79902021	19154.025	23995.063	0.79902021	0.79902021	16471.821	0.79902021
K08530	57540.893	0.79902021	0.79902021	7898.7027	19355.018	23077.031	5811.1179	785.46	0.79902021	0.79902021	28824.94
K08535	53743.542	3314.0441	182757.99	7894.4657	93271.614	399934.55	35655.15	3322.9987	3359.6975	48253.936	18613.994
K08539	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K07292	50243.485	9485.6732	50263.546	62880.838	260218.64	306367.7	0.79902021	1754365.8	99523.865	87043.115	154827.64
K08037	0.79902021	0.79902021	0.79902021	0.79902021	612.00007	48113.029	0.79902021	0.79902021	0.79902021	0.79902021	16411.961
K08524	153270.09	190318.4	1340526.2	1046502.9	314946.73	259069.61	480637.66	149713.89	342242.29	253433.26	280136.7
K08525	578276.18	451682.06	1073944.8	1237744.3	425815.28	675763.36	1546100.1	72717.974	116795.08	840341.48	347189.56
K08543	43112.841	4246.0014	526764.97	6676.8874	3010.4565	33737.033	71350.041	6403.2117	1467614.2	0.79902021	15435.986
K08544	53789.7	545386.39	1107251.6	244756.27	71256.773	88813.391	275810.33	110490.2	75956.202	321729.86	152372.91
K08546	1136420	6322297.1	2914852.1	2539499.9	1057792.5	1099002.6	2846055.6	1837544.5	4387811.1	1104326.2	4028105.4
K08547	46842.546	89086.935	0.79902021	65975.16	73174.837	42632.026	127332.43	0.79902021	67865.936	34022.935	21648.058
K08548	427015.8	164830.18	666938.2	1607180.5	833008.05	874569.48	1631665.3	553525.96	443025.31	1377621.6	157006.68
K08549	595162.21	18022.502	234249.96	1289934.4	285206.76	254258.16	843103.15	123480.1	275810.85	490132.58	161313.44
K08552	213119.71	39084.013	148351.09	646064.16	223253.01	133414.74	843531.86	48869.945	148482.97	331883.36	112780.29
K08553	0.79902021	0.79902021	0.79902021	355078.87	83092.391	0.79902021	77229.216	1569.5462	2636.7042	0.79902021	0.79902021
K08554	0.79902021	0.79902021	0.79902021	0.79902021	0.79902021	0.79902021	21761.042	0.79902021	0.79902021	0.79902021	0.79902021
K05771	342286.39	73111.736	582921.86	281746.4	990525.87	996141.98	529811.09	195618.85	62365.246	321932.75	17743.946
K08556	19341.011	32125.917	0.79902021	29363.982	0.79902021	41555.579	36447.949	0.79902021	4314.5106	2529.9971	4177.2774
K08557	31960.804	23668.15	120961.11	89233.363	23697.985	43107.131	31657.068	55974.03	419938.44	1588583.5	14967.585
K08562	0.79902021	0.79902021	0.79902021	0.79902021	107745.56	0.79902021	0.79902021	0.79902021	2135.2955	0.79902021	3424.4106
K09182	285112.84	467635.9	208396.58	3157446.4	149787.3	433725.73	247219.84	17659.475	5836419.5	2280463.3	462152.88
K09183	0.79902021	47002.83	0.79902021	0.79902021	0.79902021	23392.039	348493.23	4094.0982	0.79902021	9598.0127	0.79902021
K09186	632092.87	248879.66	419549.07	453591.8	288863.63	447912.25	996479.78	577669.03	261522	627089.38	561397.78
K09187	29158.273	59277.752	143266.15	130912.15	103133.92	67972.069	279693.1	8038.2467	87497.709	129929.39	58227.714
K09188	20630.021	6692.9486	10639.167	42156.015	6504.0988	32453.822	59674.61	2152.3428	15197.003	12484.539	5375.3776
K09189	0.79902021	6271.3051	3059.4996	0.79902021	0.79902021	0.79902021	0.79902021	0.79902021	1822.2056	0.79902021	1113.3026
K07466	9286766.7	23442078	23844618	20240652	9739509.7	14850409	55809892	5303052.6	8186138.2	28908315	4947363.7
K10779	891104.19	652173.48	2391491.3	1072771.4	1065878.9	3214165.4	2221504.5	160351.05	207851.85	6625606.6	330097.97
K04684	991967.98	1052221.3	829342.48	1116233.5	590719.05	347896.98	1813766.8	208134.94	905676.87	477521.72	277639.04
K09192	0.79902021	0.79902021	0.79902021	0.79902021	30586.979	0.79902021	112800.19	0.79902021	0.79902021	0.79902021	0.79902021
K09193	389695.22	381142.82	2304938.4	397863.71	293916.67	33716.099	763898.19	0.79902021	499333.41	1070461.3	521304.79
K09194	0.79902021	36235.094	51459.955	0.79902021	22724.958	0.79902021	401625.51	0.79902021	71757.898	24259.968	11166.969
K09201	1897744.8	3555252.9	3969250.1	3697539.4	2207584.2	2053239.7	8300835.1	696895.82	1105177.8	3817393.4	953563.66
K09204	352406.99	0.79902021	0.79902021	47605.351	18790.033	118479.67	316089.63	0.79902021	0.79902021	9978.5882	0.79902021
K09205	0.79902021	0.79902021	25777.058	0.79902021	0.79902021	0.79902021	10203.03	0.79902021	319020.59	0.79902021	0.79902021
K09206	241392.86	0.79902021	246770.43	0.79902021	724238.24	0.79902021	0.79902021	0.79902021	0.79902021	0.79902021	0.79902021
K09208	8588.7949	71594.94	242119.66	1213638.6	4797561.5	42992.54	136930.18	0.79902021	282791.33	354069.55	5927.3542
K09216	118419.73	36046.46	1618759.4	175729.92	19088.948	4989.9858	91516.864	0.79902021	0.79902021	279469.67	216.23002
K04462	40193.733	126720.08	3068.1969	38156.933	4172.3885	216918.29	84224.872	120125.59	1904.0953	0.79902021	779.00312
K09220	96305.503	3447763.4	78849.29	161692.1	112954.85	12468.465	81440.313	87344.693	529105.78	31800.344	45004.784
K09222	5788.1995	22411.63	30767.267	38227.052	9321.6511	15281.884	10034.589	639.90651	28337.871	83912.902	19993.953
K06235	5275.4922	0.79902021	0.79902021	70212.803	24153.925	22405.832	426482.93	7683.6176	34703.896	247889.91	15497.952
K09228	2255499.3	1585423.2	3586188.1	6347694.3	6579240.1	4390659.9	3293778	1939902.9	2511288.6	7772457.6	989813.66
K09229	168504.46	237363.34	215606.67	276691.01	48084.187	26953065	542842.68	170731.45	138130.1	515246.39	56373.723
K09230	233741.58	505479.58	299234.1	707102.97	503180.61	662597.65	909637.21	177418.88	43792.467	615929.75	170695.82
K10489	106880.95	29620.319	399396.48	364020.11	55892.106	1567.0006	448254.34	0.79902021	89411.304	90912.768	29231.656
K10494	1959398.1	487556.98	2099740.7	4080533.1	2190977.4	2166164.1	2428752.1	382275.95	552730.63	3535141.5	749478.19
K06230	0.79902021	71260.748	112706.48	0.79902021	74632.695	3907.2979	25924.508	5627.1941	0.79902021	0.79902021	2647.4909
K09234	0.79902021	0.79902021	0.79902021	0.79902021	0.79902021	338210.05	0.79902021	0.79902021	24565.058	0.79902021	0.79902021
K09236	117037.42	26290.31	81283.843	18110.052	30691.944	7795.9338	136398.55	2234.8145	51002.841	5155.8122	7154.3949
K09239	28376.912	6131.4711	20992.807	2593.1695	4952.1474	7783.9916	16263.208	2968.5845	5804.1315	13850.673	11558.963
K11467	122142.05	246708.37	458395.81	111007.15	21150.001	402393.88	103565.87	105513.6	47087.058	463385.36	153112.36
K11485	420665.72	634311.83	702592.64	293720.78	197647.77	272583.03	2406744.7	93732.488	293014.59	347903.28	350066.93
K11486	119150.05	34251.054	0.79902021	476280.19	27083.981	11089.987	86290.254	0.79902021	1359900.8	0.79902021	100518.41
K12236	324150.28	204208.51	154996.75	103735.07	242834.48	100587.13	120092.97	4226.3055	79510.396	210296.69	56207.955
K09250	18067157	5613526	9898375.5	34486463	14172755	12067403	20143415	3262533.1	6186461.2	12980624	2277641.5
K09294	23456.01	0.79902021	61994.818	51202.974	3488.594	0.79902021	645621.07	0.79902021	3618.2089	151129.94	0.79902021
K09295	159828.86	680870.07	376238.02	125680.39	0.79902021	353774.3	2164590.7	0.79902021	356400.54	240176.45	50730.769
K09298	78043.469	38572.098	75569.968	163662.22	27249.082	0.79902021	274605.28	0.79902021	0.79902021	140998.32	0.79902021
K09299	58790.802	135680.23	118961.73	12326.47	107731.63	93232.412	176996.48	91089.088	138606.68	200168.58	367112.2
K09304	17427.041	159481.19	16826.996	5634.1021	4102.9902	16034.768	31098.038	1579.5163	199864.61	1154.098	2284.3819
K09305	236750.29	478659.41	487661.25	0.79902021	0.79902021	77932.014	16597311	77580.257	22415.778	1258757.6	164707.64
K09307	0.79902021	0.79902021	0.79902021	0.79902021	39124.915	0.79902021	0.79902021	0.79902021	0.79902021	0.79902021	0.79902021
K09308	4387.1116	1384.5006	0.79902021	26983.423	0.79902021	3753.6991	61509.857	12017.001	0.79902021	126704.19	0.79902021
K09313	903391.43	907815.85	1377610.7	3616467.8	910819.63	1573269	2275522.5	279942.19	1279208.8	2125228.2	494292.72
K09321	1512496.1	66412.169	0.79902021	19225.054	24297.786	66286.157	28421.006	49735.901	0.79902021	19307.985	20190.934
K08025	138451.76	315606.96	80787.129	1415001.1	251908.76	226950.49	830997.19	79925.606	29088.567	1400542.1	256273.51
K09451	0.79902021	17267.002	0.79902021	16201.952	0.79902021	7021.1907	208065.22	5440.5998	29164.991	23747.953	0.79902021
K09326	95868.014	99756.254	91814.857	19378.833	0.79902021	91345.534	87627.581	1353.3034	20626.051	6519.2939	13969.321
K09334	8118.6267	32269.237	6326.7988	21798.487	118309.75	176614.12	164984.23	32543.444	0.79902021	21045.002	13421.981
K08036	555061.08	79855.27	1449.199	0.79902021	171056.08	185659.55	8634.3747	172925.13	0.79902021	0.79902021	0.79902021
K08034	1039.2324	307.03004	17394.939	0.79902021	359630.79	0.79902021	6247.6157	477.85	170.18004	54775.002	0.79902021
K09341	0.79902021	34291.895	36384.087	6531.5062	0.79902021	12327.99	174935.22	0.79902021	0.79902021	11050.01	19372.471
K09344	0.79902021	0.79902021	0.79902021	0.79902021	0.79902021	0.79902021	15923.943	0.79902021	933.14987	2828.6932	0.79902021
K09348	0.79902021	0.79902021	0.79902021	0.79902021	0.79902021	0.79902021	0.79902021	0.79902021	0.79902021	92938.955	0.79902021
K09349	11340.998	14483.721	0.79902021	0.79902021	0.79902021	0.79902021	0.79902021	797.08955	17688.745	0.79902021	1835.5033
K09355	346582.39	265012	871289.72	558209.05	1225651.1	260658.7	3160335.2	39867.651	412998.41	316708.62	121423.56
K09356	300583.29	105232.55	169710.38	92961.022	65215.76	206481.71	416107.48	76871.099	160573.23	124666.85	98154.674
K04686	0.79902021	0.79902021	0.79902021	0.79902021	0.79902021	0.79902021	48087.023	952.06021	0.79902021	0.79902021	0.79902021
K08024	85109.939	0.79902021	76769.2	152249.71	351649.83	5592118.6	63672.818	107157.17	168636.08	0.79902021	0.79902021
K09364	942761.05	1128382.7	3821461.6	1150366	970143.67	709465.56	5378936	774126.37	1029908.8	2980157.7	819332.46
K09365	419006.37	92059.863	105644.02	3765212.9	63014.228	206778.96	2354416.7	74447.202	74299.444	250459.59	69873.574
K09370	53452.137	49155.914	0.79902021	0.79902021	1836.9033	228870.18	155723.28	0.79902021	25619.319	0.79902021	0.79902021
K09377	90365074	10875282	1.1530056e+08	69801310	96302814	95305323	21530529	4777563.7	625572.39	48142971	8978545
K09378	230470.33	58115.261	236996.19	875789.47	129374.75	173096.68	14407.035	32755.463	1167.6086	142403.56	20957.689
K09380	0.79902021	18819.501	70306.965	1359.9991	92044.883	277.28005	57305.543	253.69988	2695.9636	26257.116	214219.46
K09381	0.79902021	4823.4176	0.79902021	10643.979	0.79902021	10618.998	16676.533	1386.998	300.43019	14643.982	0.79902021
K08031	94124.34	29013.965	0.79902021	20281.968	89516.127	82669.068	697310.75	121539.74	14510.719	61157.587	5952.9617
K08035	0.79902021	0.79902021	0.79902021	0.79902021	289700.16	0.79902021	0.79902021	180350.01	0.79902021	0.79902021	0.79902021
