Numerator	Denominator	hsa Geiger 2012 HeLa	hsa Geiger 2012 Jurkat	hsa Geiger 2012 U2OS	hsa Geiger 2012 MCF7	hsa Geiger 2012 A549	hsa Geiger 2012 GAMG	hsa Geiger 2012 HEK293	hsa Geiger 2012 HepG2	hsa Geiger 2012 K562	hsa Geiger 2012 LnCap	hsa Geiger 2012 RKO
Organismal Systems	Genetic Information Processing	0.01919	0.02969	0.0261	0.01367	0.02735	0.03477	0.01864	0.02679	0.01697	0.01365	0.01843
-Immune System	Genetic Information Processing	0.002832	0.005931	0.00212	0.002843	0.003482	0.006877	0.002018	0.006524	0.001977	0.001809	0.002414
-Endocrine System	Genetic Information Processing	0.00187	0.004148	0.004161	0.001827	0.003264	0.003966	0.004537	0.006164	0.001871	0.003107	0.003918
-Circulatory System	Genetic Information Processing	0.004637	0.003576	0.008836	0.001753	0.008289	0.008215	0.002118	0.001714	0.002056	0.0008519	0.002115
-Digestive System	Genetic Information Processing	0.004849	0.004104	0.005987	0.003666	0.00586	0.006815	0.005803	0.007308	0.00763	0.003744	0.005194
-Excretory System	Genetic Information Processing	0.001258	0.006982	0.001556	0.001075	0.001112	0.00181	0.001163	0.0009256	0.001181	0.001282	0.001483
-Nervous System	Genetic Information Processing	0.002362	0.002091	0.001422	0.001573	0.001777	0.002139	0.001619	0.001477	0.001855	0.002048	0.001922
-Sensory System	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0
-Development	Genetic Information Processing	0.00129	0.002749	0.001909	0.000821	0.003463	0.004864	0.001287	0.002631	0.0002651	0.0007213	0.001304
-Environmental Adaptation	Genetic Information Processing	9.631e-05	0.0001124	0.0001144	0.0001152	0.000102	8.78e-05	9.117e-05	4.928e-05	0.0001354	8.733e-05	7.939e-05
Human Diseases	Genetic Information Processing	0.0127	0.01461	0.01411	0.01207	0.01442	0.01489	0.01527	0.01537	0.0191	0.0192	0.01378
-Cancers	Genetic Information Processing	0.005774	0.006623	0.006602	0.005584	0.006449	0.006045	0.006608	0.006059	0.006849	0.007474	0.004683
-Immune System Diseases	Genetic Information Processing	0.001325	0.001978	0.002192	0.001411	0.001421	0.001813	0.002877	0.002853	0.005103	0.003293	0.003007
-Neurodegenerative Diseases	Genetic Information Processing	0.002495	0.002708	0.002008	0.001715	0.002571	0.002	0.002401	0.002816	0.003589	0.002502	0.002667
-Cardiovascular Diseases	Genetic Information Processing	0.0009856	0.0002313	0.0006184	0.0005202	0.0007709	0.002179	0.0006293	0.000289	0.0004217	0.0009237	0.0002073
-Infectious Diseases	Genetic Information Processing	0.002118	0.003073	0.002687	0.002841	0.003205	0.002854	0.002751	0.003354	0.003133	0.00501	0.00322
Not Mapped	Genetic Information Processing	0.3931	0.3737	0.4103	0.3807	0.5092	0.4965	0.3604	0.4079	0.369	0.4681	0.4067
-Not Mapped	Genetic Information Processing	0.3931	0.3737	0.4103	0.3807	0.5092	0.4965	0.3604	0.4079	0.369	0.4681	0.4067
TOTAL	-Transcription	18.47	16.98	22.1	20.22	23.2	29.93	16.45	28.18	17.14	22.03	21.64
MAPPED	-Transcription	15.16	14.15	18.16	16.63	18.8	24.63	13.51	23.28	13.98	17.73	17.41
Genetic Information Processing	-Transcription	8.412	7.58	9.596	9.447	8.638	10.68	8.151	12.03	8.581	9.184	10.4
-Transcription	-Transcription	1	1	1	1	1	1	1	1	1	1	1
-Translation	-Transcription	3.027	2.113	3.311	3.256	3.073	3.431	2.767	3.879	2.974	2.971	3.763
-Folding, Sorting and Degradation	-Transcription	3.016	2.687	3.757	3.638	3.104	4.681	2.974	5.491	3.222	3.626	3.913
-DNA Maintenance	-Transcription	1.369	1.78	1.528	1.553	1.461	1.565	1.41	1.658	1.386	1.587	1.723
Environmental Information Processing	-Transcription	0.7649	0.8243	0.8967	0.8453	1.034	1.805	0.513	1.235	0.5934	0.973	0.7543
-Signal Transduction	-Transcription	0.3399	0.4607	0.3833	0.3829	0.4543	0.7227	0.2992	0.5687	0.3227	0.5281	0.4032
-Signaling Molecules and Interaction	-Transcription	0.4249	0.3636	0.5134	0.4624	0.5802	1.082	0.2137	0.6667	0.2707	0.4449	0.3511
Cellular Processes	-Transcription	2.674	2.567	4	2.577	4.089	6.631	1.81	3.249	1.788	2.194	2.129
-Hemoglobin	-Transcription	3.059e-05	5.243e-05	5.848e-05	2.986e-05	2.786e-05	1.845e-05	1.795e-05	4.647e-05	0.001018	4.011e-06	8.796e-05
-Vesicular Transport	-Transcription	0.3902	0.4887	0.5132	0.4428	0.5135	1.002	0.3672	0.9225	0.3639	0.6788	0.4509
-Cytoskeleton	-Transcription	1.959	1.832	2.957	1.826	2.968	4.866	1.202	1.909	1.146	1.247	1.366
-Cell Motility	-Transcription	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	-Transcription	0.1443	0.1385	0.1977	0.14	0.1807	0.2456	0.1351	0.1746	0.1379	0.149	0.1548
-Cell Communication	-Transcription	0.1802	0.1079	0.3319	0.1687	0.4268	0.5176	0.1055	0.2424	0.1385	0.1192	0.1566
Metabolism	-Transcription	3.043	2.84	3.286	3.514	4.682	4.987	2.757	6.256	2.705	5.081	3.798
-Membrane Transport	-Transcription	0.03392	0.01372	0.02013	0.01519	0.03876	0.04717	0.01058	0.05519	0.0232	0.03101	0.02051
-Central Carbon Metabolism	-Transcription	1.232	1.295	1.471	1.471	2.098	2.364	1.127	2.152	1.071	1.946	1.586
-Energy Metabolism	-Transcription	0.3646	0.3446	0.3275	0.4025	0.4194	0.4691	0.3459	0.7958	0.3507	0.8929	0.4832
-Biosynthesis	-Transcription	1.006	0.8072	1.035	1.226	1.659	1.513	0.8787	2.357	0.8756	1.63	1.234
-Other Enzymes	-Transcription	0.4061	0.3798	0.4329	0.3989	0.4667	0.5939	0.3948	0.8969	0.3837	0.581	0.4748
Organismal Systems	-Transcription	0.1615	0.2251	0.2505	0.1292	0.2362	0.3713	0.1519	0.3223	0.1456	0.1254	0.1917
-Immune System	-Transcription	0.02383	0.04496	0.02034	0.02685	0.03008	0.07342	0.01645	0.07848	0.01697	0.01662	0.02511
-Endocrine System	-Transcription	0.01573	0.03144	0.03993	0.01726	0.02819	0.04234	0.03698	0.07415	0.01606	0.02854	0.04075
-Circulatory System	-Transcription	0.039	0.0271	0.08479	0.01656	0.07159	0.0877	0.01726	0.02062	0.01764	0.007824	0.022
-Digestive System	-Transcription	0.04079	0.03111	0.05745	0.03463	0.05062	0.07276	0.0473	0.08791	0.06548	0.03438	0.05401
-Excretory System	-Transcription	0.01058	0.05292	0.01493	0.01016	0.009605	0.01932	0.00948	0.01113	0.01014	0.01177	0.01542
-Nervous System	-Transcription	0.01987	0.01585	0.01365	0.01486	0.01535	0.02283	0.0132	0.01777	0.01592	0.01881	0.01999
-Sensory System	-Transcription	0	0	0	0	0	0	0	0	0	0	0
-Development	-Transcription	0.01085	0.02084	0.01831	0.007756	0.02991	0.05193	0.01049	0.03165	0.002275	0.006624	0.01356
-Environmental Adaptation	-Transcription	0.0008102	0.0008523	0.001097	0.001089	0.0008812	0.0009374	0.0007432	0.0005927	0.001162	0.000802	0.0008255
Human Diseases	-Transcription	0.1068	0.1108	0.1354	0.114	0.1245	0.159	0.1244	0.1849	0.1639	0.1764	0.1433
-Cancers	-Transcription	0.04857	0.0502	0.06336	0.05275	0.0557	0.06454	0.05386	0.07289	0.05877	0.06864	0.04869
-Immune System Diseases	-Transcription	0.01114	0.015	0.02103	0.01333	0.01227	0.01936	0.02345	0.03432	0.04379	0.03024	0.03126
-Neurodegenerative Diseases	-Transcription	0.02099	0.02053	0.01927	0.0162	0.02221	0.02136	0.01957	0.03387	0.0308	0.02298	0.02773
-Cardiovascular Diseases	-Transcription	0.008291	0.001753	0.005934	0.004914	0.006659	0.02327	0.005129	0.003476	0.003619	0.008483	0.002156
-Infectious Diseases	-Transcription	0.01781	0.02329	0.02579	0.02684	0.02768	0.03047	0.02242	0.04035	0.02688	0.04601	0.03348
Not Mapped	-Transcription	3.307	2.832	3.938	3.596	4.398	5.3	2.937	4.906	3.166	4.299	4.229
-Not Mapped	-Transcription	3.307	2.832	3.938	3.596	4.398	5.3	2.937	4.906	3.166	4.299	4.229
TOTAL	-Translation	6.101	8.037	6.675	6.212	7.55	8.723	5.944	7.266	5.765	7.416	5.752
MAPPED	-Translation	5.009	6.697	5.486	5.107	6.119	7.178	4.882	6.001	4.7	5.969	4.628
Genetic Information Processing	-Translation	2.779	3.588	2.898	2.902	2.811	3.112	2.946	3.101	2.886	3.091	2.764
-Transcription	-Translation	0.3304	0.4734	0.302	0.3072	0.3254	0.2915	0.3615	0.2578	0.3363	0.3366	0.2658
-Translation	-Translation	1	1	1	1	1	1	1	1	1	1	1
-Folding, Sorting and Degradation	-Translation	0.9964	1.272	1.135	1.117	1.01	1.364	1.075	1.416	1.083	1.22	1.04
-DNA Maintenance	-Translation	0.4523	0.8428	0.4614	0.477	0.4753	0.456	0.5098	0.4276	0.4661	0.5342	0.458
Environmental Information Processing	-Translation	0.2527	0.3902	0.2708	0.2596	0.3366	0.5259	0.1854	0.3185	0.1995	0.3275	0.2005
-Signal Transduction	-Translation	0.1123	0.2181	0.1158	0.1176	0.1478	0.2106	0.1082	0.1466	0.1085	0.1778	0.1072
-Signaling Molecules and Interaction	-Translation	0.1404	0.1721	0.1551	0.142	0.1888	0.3153	0.07726	0.1719	0.09101	0.1498	0.09331
Cellular Processes	-Translation	0.8833	1.215	1.208	0.7916	1.331	1.933	0.6544	0.8375	0.6012	0.7385	0.5657
-Hemoglobin	-Translation	1.011e-05	2.482e-05	1.766e-05	9.173e-06	9.068e-06	5.378e-06	6.486e-06	1.198e-05	0.0003424	1.35e-06	2.338e-05
-Vesicular Transport	-Translation	0.1289	0.2313	0.155	0.136	0.1671	0.2921	0.1327	0.2378	0.1224	0.2285	0.1198
-Cytoskeleton	-Translation	0.6472	0.8673	0.8931	0.5607	0.9658	1.418	0.4346	0.4922	0.3855	0.4198	0.3631
-Cell Motility	-Translation	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	-Translation	0.04767	0.06555	0.05971	0.043	0.05879	0.07157	0.04885	0.04502	0.04639	0.05015	0.04115
-Cell Communication	-Translation	0.05955	0.0511	0.1002	0.05182	0.1389	0.1509	0.03813	0.06249	0.04659	0.04011	0.04162
Metabolism	-Translation	1.005	1.344	0.9923	1.079	1.524	1.453	0.9965	1.613	0.9095	1.71	1.009
-Membrane Transport	-Translation	0.01121	0.006494	0.006079	0.004667	0.01261	0.01375	0.003825	0.01423	0.007802	0.01044	0.00545
-Central Carbon Metabolism	-Translation	0.4072	0.6129	0.4441	0.4518	0.6826	0.689	0.4073	0.5548	0.3603	0.6548	0.4215
-Energy Metabolism	-Translation	0.1205	0.1631	0.09889	0.1236	0.1365	0.1367	0.125	0.2052	0.1179	0.3005	0.1284
-Biosynthesis	-Translation	0.3324	0.3821	0.3125	0.3766	0.54	0.4409	0.3176	0.6075	0.2944	0.5487	0.3279
-Other Enzymes	-Translation	0.1342	0.1798	0.1307	0.1225	0.1519	0.1731	0.1427	0.2312	0.129	0.1955	0.1262
Organismal Systems	-Translation	0.05334	0.1065	0.07565	0.03968	0.07687	0.1082	0.05491	0.08309	0.04898	0.0422	0.05094
-Immune System	-Translation	0.007871	0.02128	0.006143	0.008248	0.009787	0.0214	0.005947	0.02023	0.005705	0.005593	0.006673
-Endocrine System	-Translation	0.005195	0.01488	0.01206	0.005302	0.009174	0.01234	0.01337	0.01912	0.0054	0.009605	0.01083
-Circulatory System	-Translation	0.01289	0.01283	0.02561	0.005087	0.0233	0.02556	0.00624	0.005315	0.005933	0.002634	0.005847
-Digestive System	-Translation	0.01348	0.01472	0.01735	0.01064	0.01647	0.02121	0.0171	0.02266	0.02202	0.01157	0.01436
-Excretory System	-Translation	0.003496	0.02505	0.00451	0.00312	0.003126	0.005632	0.003427	0.00287	0.003409	0.003962	0.004098
-Nervous System	-Translation	0.006563	0.007503	0.004121	0.004564	0.004996	0.006655	0.004771	0.00458	0.005353	0.006332	0.005312
-Sensory System	-Translation	0	0	0	0	0	0	0	0	0	0	0
-Development	-Translation	0.003586	0.009863	0.005531	0.002382	0.009734	0.01514	0.003792	0.008159	0.0007649	0.00223	0.003603
-Environmental Adaptation	-Translation	0.0002677	0.0004034	0.0003314	0.0003344	0.0002868	0.0002732	0.0002686	0.0001528	0.0003908	0.0002699	0.0002194
Human Diseases	-Translation	0.03529	0.05243	0.04089	0.03503	0.04052	0.04634	0.04498	0.04767	0.0551	0.05936	0.03809
-Cancers	-Translation	0.01605	0.02376	0.01913	0.0162	0.01813	0.01881	0.01947	0.01879	0.01976	0.0231	0.01294
-Immune System Diseases	-Translation	0.003681	0.007098	0.006352	0.004095	0.003994	0.005642	0.008475	0.008848	0.01473	0.01018	0.008309
