KO number	hsa Geiger 2012 HeLa	hsa Geiger 2012 Jurkat	hsa Geiger 2012 U2OS	hsa Geiger 2012 MCF7	hsa Geiger 2012 A549	hsa Geiger 2012 GAMG	hsa Geiger 2012 HEK293	hsa Geiger 2012 HepG2	hsa Geiger 2012 K562	hsa Geiger 2012 LnCap	hsa Geiger 2012 RKO
K03129	3.6826005e+08	7.2199744e+08	1.293095e+09	5.3191016e+08	4.9778135e+08	1.5704794e+09	1.5989004e+09	5.2852784e+08	2.6001991e+08	8.7372141e+08	2.2687215e+08
K03126	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03131	5.0969368e+08	8.7493978e+08	1.9717734e+09	2.8815164e+09	5.3042272e+08	9.6356147e+08	3.4883252e+09	3.1260472e+08	5.9802015e+08	1.2707653e+09	5.8796149e+08
K14535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03133	1.3175642e+09	5.6885361e+08	3.7773459e+09	4.6100037e+09	7.9683019e+08	1.3981532e+09	2.9662814e+09	4.2758424e+08	1.0420108e+09	1.3039121e+09	6.9503987e+08
K03135	12435052	1472972.6	1857.6034	1857.6034	1857.6034	1857.6034	4600436.2	3077866.5	6453852.6	1857.6034	11280903
K03127	1698919.8	44198192	50452438	1857.6034	1857.6034	1857.6034	40235550	416006.43	4002496.2	5786206.2	1857.6034
K03136	6.8577696e+08	7.6484573e+08	1.3095216e+09	9.0862837e+08	6.6127246e+08	9.4223448e+08	1.8403719e+09	2.43357e+08	5.3436862e+08	1.6397786e+09	5.725463e+08
K03137	8.016562e+08	6.8746835e+08	1.425587e+09	1.0473836e+09	4.7328045e+08	5.212775e+08	9.3104388e+08	3.5435847e+08	4.60362e+08	2.065216e+09	7.3437383e+08
K03138	2.0051322e+09	1.9759461e+09	2.6432626e+09	2.753199e+09	1.7644712e+09	2.3276663e+09	5.2065721e+09	1.1804987e+09	1.0588716e+09	4.2903147e+09	1.3531361e+09
