KO number	Valgepea data mu 0 11	Valgepea data mu 0 21	Valgepea data mu 0 31	Valgepea data mu 0 40	Valgepea data mu 0 48
K15544	NaN	NaN	NaN	NaN	NaN
K14405	NaN	NaN	NaN	NaN	NaN
K08873	NaN	NaN	NaN	NaN	NaN
K03456	NaN	NaN	NaN	NaN	NaN
K04382	NaN	NaN	NaN	NaN	NaN
K04354	NaN	NaN	NaN	NaN	NaN
K11125	NaN	NaN	NaN	NaN	NaN
K03265	NaN	NaN	NaN	NaN	NaN
K15541	NaN	NaN	NaN	NaN	NaN
K15543	NaN	NaN	NaN	NaN	NaN
K08301	72	72	72	72	72
K03732	157875	187345	273229	309435	391530
K11927	72	72	72	72	72
K05592	10320	27090	72	72	72
K00970	72	72	72	72	72
K08311	72	72	72	72	72
K03563	197396	286578	336354	410408	430050
K18765	72	72	72	72	72
K06958	28000	31850	37450	33600	35350
K18502	72	72	72	72	72
K18503	72	72	72	72	72
K18504	72	72	72	72	72
K18505	72	72	72	72	72
K18506	72	72	72	72	72
K18507	72	72	72	72	72
K18508	72	72	72	72	72
K18509	72	72	72	72	72
K18511	72	72	72	72	72
K18512	72	72	72	72	72
K18513	72	72	72	72	72
K18515	72	72	72	72	72
K18516	72	72	72	72	72
K18518	72	72	72	72	72
K18519	72	72	72	72	72
K18520	72	72	72	72	72
K18521	72	72	72	72	72
K18522	72	72	72	72	72
K18523	72	72	72	72	72
K18525	72	72	72	72	72
K18526	72	72	72	72	72
K18527	72	72	72	72	72
K18528	72	72	72	72	72
K01164	NaN	NaN	NaN	NaN	NaN
K03097	NaN	NaN	NaN	NaN	NaN
K03264	NaN	NaN	NaN	NaN	NaN
K03537	NaN	NaN	NaN	NaN	NaN
K03538	NaN	NaN	NaN	NaN	NaN
K03539	NaN	NaN	NaN	NaN	NaN
K06943	NaN	NaN	NaN	NaN	NaN
K07178	NaN	NaN	NaN	NaN	NaN
K07179	NaN	NaN	NaN	NaN	NaN
K07562	NaN	NaN	NaN	NaN	NaN
K11108	NaN	NaN	NaN	NaN	NaN
K11128	NaN	NaN	NaN	NaN	NaN
K11129	NaN	NaN	NaN	NaN	NaN
K11883	NaN	NaN	NaN	NaN	NaN
K12619	NaN	NaN	NaN	NaN	NaN
K12845	NaN	NaN	NaN	NaN	NaN
K13288	166950	203000	226800	268450	341950
K14290	NaN	NaN	NaN	NaN	NaN
K14521	NaN	NaN	NaN	NaN	NaN
K14535	NaN	NaN	NaN	NaN	NaN
K14536	NaN	NaN	NaN	NaN	NaN
K14537	NaN	NaN	NaN	NaN	NaN
K14538	NaN	NaN	NaN	NaN	NaN
K14539	NaN	NaN	NaN	NaN	NaN
K14544	NaN	NaN	NaN	NaN	NaN
K14545	NaN	NaN	NaN	NaN	NaN
K14546	NaN	NaN	NaN	NaN	NaN
K14548	NaN	NaN	NaN	NaN	NaN
K14549	NaN	NaN	NaN	NaN	NaN
K14550	NaN	NaN	NaN	NaN	NaN
K14552	NaN	NaN	NaN	NaN	NaN
K14553	NaN	NaN	NaN	NaN	NaN
K14554	NaN	NaN	NaN	NaN	NaN
K14555	NaN	NaN	NaN	NaN	NaN
K14556	NaN	NaN	NaN	NaN	NaN
K14557	NaN	NaN	NaN	NaN	NaN
K14558	NaN	NaN	NaN	NaN	NaN
K14559	NaN	NaN	NaN	NaN	NaN
K14560	NaN	NaN	NaN	NaN	NaN
K14561	NaN	NaN	NaN	NaN	NaN
K14563	NaN	NaN	NaN	NaN	NaN
K14564	NaN	NaN	NaN	NaN	NaN
K14565	NaN	NaN	NaN	NaN	NaN
K14566	NaN	NaN	NaN	NaN	NaN
K14567	NaN	NaN	NaN	NaN	NaN
K14568	NaN	NaN	NaN	NaN	NaN
K14569	NaN	NaN	NaN	NaN	NaN
K14570	NaN	NaN	NaN	NaN	NaN
K14571	NaN	NaN	NaN	NaN	NaN
K14572	NaN	NaN	NaN	NaN	NaN
K14573	NaN	NaN	NaN	NaN	NaN
K14574	NaN	NaN	NaN	NaN	NaN
K11130	NaN	NaN	NaN	NaN	NaN
K14575	NaN	NaN	NaN	NaN	NaN
K14525	NaN	NaN	NaN	NaN	NaN
K11131	NaN	NaN	NaN	NaN	NaN
K12618	NaN	NaN	NaN	NaN	NaN
K14284	NaN	NaN	NaN	NaN	NaN
K03115	NaN	NaN	NaN	NaN	NaN
K14285	NaN	NaN	NaN	NaN	NaN
K07936	NaN	NaN	NaN	NaN	NaN
K14530	NaN	NaN	NaN	NaN	NaN
K14523	NaN	NaN	NaN	NaN	NaN
K14562	NaN	NaN	NaN	NaN	NaN
K14522	NaN	NaN	NaN	NaN	NaN
K14524	NaN	NaN	NaN	NaN	NaN
K14526	NaN	NaN	NaN	NaN	NaN
K14528	NaN	NaN	NaN	NaN	NaN
K14543	NaN	NaN	NaN	NaN	NaN
K14547	NaN	NaN	NaN	NaN	NaN
K14551	NaN	NaN	NaN	NaN	NaN
K03685	27346	38420	52432	57630	77518
K06183	49203	68145	97482	110187	150150
K02528	60900	74200	100800	111300	191800
K03500	26169	42042	36894	51051	65208
K00564	66199	77861	100499	114562	113876
K08316	72	72	72	72	72
K09761	72	72	72	72	72
K11392	72	72	72	72	72
K03501	72	72	72	72	72
K03438	51450	76650	69300	79800	101850
K07056	26250	32200	40250	45500	56700
K15984	72	72	72	72	72
K00563	72	72	72	72	72
K03218	72	72	72	72	72
K02427	72	72	72	72	72
K06970	72	72	72	72	72
K11391	72	72	72	72	72
K00783	72	72	72	72	72
K06969	15048	23760	33264	46332	47916
K07115	72	72	72	72	72
K12297	8424	10530	13338	16146	16146
K06968	12600	16450	22050	25200	28700
K06941	27650	41650	73150	71750	88900
K03215	72	72	72	72	72
K03212	72	72	72	72	72
K06178	26481	40158	57327	65475	74205
K06179	13398	19140	23925	26477	34771
K06180	58680	74328	84108	110514	129748
K06181	72	72	72	72	72
K06182	72	72	72	72	72
K03789	72	72	72	72	72
K03790	72	72	72	72	72
K05844	72	72	72	72	72
K03817	24344	22375	72	22196	17542
K02860	425600	567700	736400	834050	916300
K14441	72	72	72	72	72
K09136	72	72	72	72	72
K02687	28421	34574	48638	72	87021
K07320	125860	162440	192200	196540	244900
K05591	72	72	72	72	72
K05590	99456	117660	152292	156732	175380
K03595	16800	23450	34300	37450	41300
K06949	70000	80500	91700	88550	107450
K03977	154700	171500	235200	260050	277900
K03979	220150	242550	303100	360500	420350
K02834	299950	361550	499800	526400	702450
K09748	58100	102550	150500	180250	230650
K14761	199500	276150	351400	507500	677250
K09710	72	72	72	72	72
K07042	72	72	72	72	72
K07574	425950	541800	657650	792400	1029700
K14762	188300	240100	317100	393050	597100
K09889	250950	211750	292250	300650	355600
K05809	802550	1018850	739550	793100	813050
K02972	237690	267075	351315	368775	417330
K17677	72	72	72	72	72
K07277	124950	159600	205450	207200	250950
K17725	NaN	NaN	NaN	NaN	NaN
K11238	NaN	NaN	NaN	NaN	NaN
K03232	NaN	NaN	NaN	NaN	NaN
K02358	13729100	19446350	24972850	27707050	30618350
K03231	NaN	NaN	NaN	NaN	NaN
K03233	NaN	NaN	NaN	NaN	NaN
K11594	NaN	NaN	NaN	NaN	NaN
K01527	NaN	NaN	NaN	NaN	NaN
sce_YHR193C	NaN	NaN	NaN	NaN	NaN
K02519	974550	1376830	2106630	2541840	2800830
K02520	328176	413856	588960	702144	937296
eco_b0953	1213450	446950	272300	131250	72
K06158	72	72	72	72	72
K02835	72	72	72	72	72
K02838	559995	662855	848780	1002700	1311280
K02493	72	72	72	72	72
K01056	72	72	72	72	72
K02518	140040	195120	281808	348696	491760
K02356	467570	592844	945256	1137396	1359798
K03833	5250	7000	9100	10500	12600
K02836	72	72	72	72	72
K02837	168872	236588	362824	513304	628672
K09890	72	72	72	72	72
K15034	72	72	72	72	72
K13963	NaN	NaN	NaN	NaN	NaN
mpn_MPN294	NaN	NaN	NaN	NaN	NaN
K01417	72	72	72	72	72
K08372	NaN	NaN	NaN	NaN	NaN
K07386	NaN	NaN	NaN	NaN	NaN
K03799	72	72	72	72	72
K04773	72	72	72	72	72
K03696	NaN	NaN	NaN	NaN	NaN
K01362	NaN	NaN	NaN	NaN	NaN
K03283	NaN	NaN	NaN	NaN	NaN
K04043	3744422	4130412	5447882	6260056	7294254
K04077	4892544	5411500	6743688	6915212	5504112
K04079	626496	767520	1017120	1208688	1334112
K09553	NaN	NaN	NaN	NaN	NaN
spo_SPBC1709.05	NaN	NaN	NaN	NaN	NaN
mpn_MPN263	NaN	NaN	NaN	NaN	NaN
sce_YFL014W	NaN	NaN	NaN	NaN	NaN
sce_YKL117W	NaN	NaN	NaN	NaN	NaN
sce_YHR064C	NaN	NaN	NaN	NaN	NaN
K04078	1994360	2432652	2792980	3040304	3013148
K03687	403850	478119	610503	741114	890243
K03686	130096	168824	224472	225224	234624
mtu_Rv0251c	NaN	NaN	NaN	NaN	NaN
mtu_Rv2462c	NaN	NaN	NaN	NaN	NaN
eco_b3509	2388750	1301300	1410150	2150050	1914150
K03545	1615600	2198700	3400950	3979150	5367600
K06142	2046800	2584050	3043950	3407950	4420500
K07400	831600	1017800	1331750	1530200	1933050
K03704	2119030	2854278	3923994	4695586	5174553
K03694	485120	726922	1183996	1375012	1735820
K03695	1111873	1182651	1581806	1517612	1632832
K03544	245920	370152	634728	753024	981136
K03667	227259	253396	382752	466479	586089
K04044	57288	79464	123200	136136	184800
K04045	72	72	72	72	72
K04046	72	72	72	72	72
K05516	125154	128214	149634	165240	187884
K05801	72	72	72	72	72
K04082	39159	71649	97641	109953	144153
K04083	186984	188454	241962	263130	330162
K04080	72	72	72	72	72
K04081	72	72	72	72	72
K04762	72	72	72	72	72
K04771	655068	904866	914820	887328	1020522
K03798	261100	306600	523950	549150	593250
K07346	72	72	72	72	72
K03071	756090	1029975	1488930	1704070	1901695
K03767	233700	223630	404130	339720	564490
K03768	471828	672892	733244	879532	1210976
K03770	381899	510860	655396	669725	699629
K03772	358290	477900	652050	796770	953640
K03773	299112	415090	541368	653226	760346
K03774	100575	191167	272372	292040	316029
K03775	492940	635628	841820	1006656	1131312
K03769	101277	126666	177723	216039	260214
K03771	625736	697212	798648	847440	1040468
K03671	975456	1204848	1587024	1706256	2005344
K03672	9591	72	21545	20711	28356
K05838	321772	410380	594412	683304	789520
K03674	72	72	72	72	72
K03675	235640	292830	405060	475580	504390
K03676	192477	208247	238625	273236	290334
K07390	267375	316480	483460	613180	879405
K03673	297232	354432	533104	606112	810368
K03611	72	72	72	72	72
K03981	71508	79060	106200	115640	148680
K04084	72	72	72	72	72
K02199	72	72	72	72	72
K03805	10452	11524	18760	22780	28140
K03070	484738	609977	755939	812702	975783
K03100	13284	17820	23652	21060	19116
K03104	NaN	NaN	NaN	NaN	NaN
K03105	NaN	NaN	NaN	NaN	NaN
K03106	207021	255945	338391	395016	551301
K03107	NaN	NaN	NaN	NaN	NaN
K03108	NaN	NaN	NaN	NaN	NaN
K03109	NaN	NaN	NaN	NaN	NaN
K03116	23140	28836	43521	43343	44322
K07342	NaN	NaN	NaN	NaN	NaN
K09481	NaN	NaN	NaN	NaN	NaN
K09490	NaN	NaN	NaN	NaN	NaN
K09540	NaN	NaN	NaN	NaN	NaN
K09648	NaN	NaN	NaN	NaN	NaN
K10956	NaN	NaN	NaN	NaN	NaN
K12272	NaN	NaN	NaN	NaN	NaN
K12275	NaN	NaN	NaN	NaN	NaN
K12946	NaN	NaN	NaN	NaN	NaN
K12947	NaN	NaN	NaN	NaN	NaN
K12948	NaN	NaN	NaN	NaN	NaN
K13280	NaN	NaN	NaN	NaN	NaN
K13431	NaN	NaN	NaN	NaN	NaN
K03217	206048	287152	425796	460320	496488
K09647	NaN	NaN	NaN	NaN	NaN
K03110	284358	325692	401388	454176	529872
mpn_MPN331	NaN	NaN	NaN	NaN	NaN
K12257	NaN	NaN	NaN	NaN	NaN
K01983	72	72	72	72	72
K03076	149291	219285	284849	348641	321618
K03073	72	72	72	72	72
K03075	40480	53680	78760	92400	101750
K03072	78105	99630	140220	149445	158055
K03074	28424	10982	79781	14858	13889
K03210	236940	369490	472890	490930	366300
K13301	72	72	72	72	72
K03117	11799	29412	19494	22743	19836
K03118	72	72	72	72	72
K03425	72	72	72	72	72
K03101	72	72	72	72	72
K04523	NaN	NaN	NaN	NaN	NaN
K07953	NaN	NaN	NaN	NaN	NaN
K08054	NaN	NaN	NaN	NaN	NaN
K08057	NaN	NaN	NaN	NaN	NaN
K08288	NaN	NaN	NaN	NaN	NaN
K09486	NaN	NaN	NaN	NaN	NaN
K09487	NaN	NaN	NaN	NaN	NaN
K09503	NaN	NaN	NaN	NaN	NaN
K09518	NaN	NaN	NaN	NaN	NaN
K09523	NaN	NaN	NaN	NaN	NaN
K09562	NaN	NaN	NaN	NaN	NaN
K09580	NaN	NaN	NaN	NaN	NaN
K09584	NaN	NaN	NaN	NaN	NaN
K10084	NaN	NaN	NaN	NaN	NaN
K10085	NaN	NaN	NaN	NaN	NaN
K10088	NaN	NaN	NaN	NaN	NaN
K10636	NaN	NaN	NaN	NaN	NaN
K10661	NaN	NaN	NaN	NaN	NaN
K10666	NaN	NaN	NaN	NaN	NaN
K10950	NaN	NaN	NaN	NaN	NaN
K10976	NaN	NaN	NaN	NaN	NaN
K11863	NaN	NaN	NaN	NaN	NaN
K13249	NaN	NaN	NaN	NaN	NaN
K13250	NaN	NaN	NaN	NaN	NaN
K13525	NaN	NaN	NaN	NaN	NaN
K13719	NaN	NaN	NaN	NaN	NaN
K13989	NaN	NaN	NaN	NaN	NaN
K13993	NaN	NaN	NaN	NaN	NaN
K14001	NaN	NaN	NaN	NaN	NaN
K14003	NaN	NaN	NaN	NaN	NaN
K14005	NaN	NaN	NaN	NaN	NaN
K14006	NaN	NaN	NaN	NaN	NaN
K14007	NaN	NaN	NaN	NaN	NaN
K14009	NaN	NaN	NaN	NaN	NaN
K14012	NaN	NaN	NaN	NaN	NaN
K14015	NaN	NaN	NaN	NaN	NaN
K14016	NaN	NaN	NaN	NaN	NaN
K14018	NaN	NaN	NaN	NaN	NaN
K10082	NaN	NaN	NaN	NaN	NaN
K13251	NaN	NaN	NaN	NaN	NaN
K11519	NaN	NaN	NaN	NaN	NaN
K13984	NaN	NaN	NaN	NaN	NaN
K09517	NaN	NaN	NaN	NaN	NaN
K14026	NaN	NaN	NaN	NaN	NaN
K09521	NaN	NaN	NaN	NaN	NaN
K09556	NaN	NaN	NaN	NaN	NaN
K14008	NaN	NaN	NaN	NaN	NaN
K09555	NaN	NaN	NaN	NaN	NaN
K08056	NaN	NaN	NaN	NaN	NaN
K08852	NaN	NaN	NaN	NaN	NaN
K13999	NaN	NaN	NaN	NaN	NaN
K09586	NaN	NaN	NaN	NaN	NaN
K10081	NaN	NaN	NaN	NaN	NaN
K01408	NaN	NaN	NaN	NaN	NaN
K07874	NaN	NaN	NaN	NaN	NaN
K11718	NaN	NaN	NaN	NaN	NaN
K10080	NaN	NaN	NaN	NaN	NaN
K03853	NaN	NaN	NaN	NaN	NaN
K01367	NaN	NaN	NaN	NaN	NaN
K14000	NaN	NaN	NaN	NaN	NaN
K09530	NaN	NaN	NaN	NaN	NaN
K09525	NaN	NaN	NaN	NaN	NaN
K14011	NaN	NaN	NaN	NaN	NaN
K01456	NaN	NaN	NaN	NaN	NaN
K14020	NaN	NaN	NaN	NaN	NaN
K10086	NaN	NaN	NaN	NaN	NaN
K14027	NaN	NaN	NaN	NaN	NaN
K04571	NaN	NaN	NaN	NaN	NaN
K09507	NaN	NaN	NaN	NaN	NaN
K09508	NaN	NaN	NaN	NaN	NaN
K09582	NaN	NaN	NaN	NaN	NaN
K16195	NaN	NaN	NaN	NaN	NaN
K16196	NaN	NaN	NaN	NaN	NaN
K09502	NaN	NaN	NaN	NaN	NaN
K09485	NaN	NaN	NaN	NaN	NaN
K04741	NaN	NaN	NaN	NaN	NaN
K07901	NaN	NaN	NaN	NaN	NaN
K13996	NaN	NaN	NaN	NaN	NaN
K14002	NaN	NaN	NaN	NaN	NaN
K14022	NaN	NaN	NaN	NaN	NaN
sce_YDR233C	NaN	NaN	NaN	NaN	NaN
sce_YDL204W	NaN	NaN	NaN	NaN	NaN
sce_YLR301w	NaN	NaN	NaN	NaN	NaN
K08486	NaN	NaN	NaN	NaN	NaN
K08493	NaN	NaN	NaN	NaN	NaN
K08497	NaN	NaN	NaN	NaN	NaN
K08505	NaN	NaN	NaN	NaN	NaN
K08515	NaN	NaN	NaN	NaN	NaN
mmu_108124	NaN	NaN	NaN	NaN	NaN
K08510	NaN	NaN	NaN	NaN	NaN
K13505	NaN	NaN	NaN	NaN	NaN
K08516	NaN	NaN	NaN	NaN	NaN
K08491	NaN	NaN	NaN	NaN	NaN
K08512	NaN	NaN	NaN	NaN	NaN
K08495	NaN	NaN	NaN	NaN	NaN
K08488	NaN	NaN	NaN	NaN	NaN
K08513	NaN	NaN	NaN	NaN	NaN
K08498	NaN	NaN	NaN	NaN	NaN
K08517	NaN	NaN	NaN	NaN	NaN
K08504	NaN	NaN	NaN	NaN	NaN
K08501	NaN	NaN	NaN	NaN	NaN
K04560	NaN	NaN	NaN	NaN	NaN
K06027	NaN	NaN	NaN	NaN	NaN
K08508	NaN	NaN	NaN	NaN	NaN
K08509	NaN	NaN	NaN	NaN	NaN
K08496	NaN	NaN	NaN	NaN	NaN
K08502	NaN	NaN	NaN	NaN	NaN
K03357	NaN	NaN	NaN	NaN	NaN
K03363	NaN	NaN	NaN	NaN	NaN
K03364	NaN	NaN	NaN	NaN	NaN
K03869	NaN	NaN	NaN	NaN	NaN
K03872	NaN	NaN	NaN	NaN	NaN
K04506	NaN	NaN	NaN	NaN	NaN
K04706	NaN	NaN	NaN	NaN	NaN
K06689	NaN	NaN	NaN	NaN	NaN
K10144	NaN	NaN	NaN	NaN	NaN
K10579	NaN	NaN	NaN	NaN	NaN
K10580	NaN	NaN	NaN	NaN	NaN
K10581	NaN	NaN	NaN	NaN	NaN
K10588	NaN	NaN	NaN	NaN	NaN
K10590	NaN	NaN	NaN	NaN	NaN
K10592	NaN	NaN	NaN	NaN	NaN
K10597	NaN	NaN	NaN	NaN	NaN
K10598	NaN	NaN	NaN	NaN	NaN
K10601	NaN	NaN	NaN	NaN	NaN
K10684	NaN	NaN	NaN	NaN	NaN
K10688	NaN	NaN	NaN	NaN	NaN
K12456	NaN	NaN	NaN	NaN	NaN
K10589	NaN	NaN	NaN	NaN	NaN
K04554	NaN	NaN	NaN	NaN	NaN
K10582	NaN	NaN	NaN	NaN	NaN
K02207	NaN	NaN	NaN	NaN	NaN
K10686	NaN	NaN	NaN	NaN	NaN
K10596	NaN	NaN	NaN	NaN	NaN
K10615	NaN	NaN	NaN	NaN	NaN
K10575	NaN	NaN	NaN	NaN	NaN
K03875	NaN	NaN	NaN	NaN	NaN
K10583	NaN	NaN	NaN	NaN	NaN
K05632	NaN	NaN	NaN	NaN	NaN
K06688	NaN	NaN	NaN	NaN	NaN
K10456	NaN	NaN	NaN	NaN	NaN
K10593	NaN	NaN	NaN	NaN	NaN
K10594	NaN	NaN	NaN	NaN	NaN
K10054	NaN	NaN	NaN	NaN	NaN
K10685	NaN	NaN	NaN	NaN	NaN
K04552	NaN	NaN	NaN	NaN	NaN
K13305	NaN	NaN	NaN	NaN	NaN
K10576	NaN	NaN	NaN	NaN	NaN
K10587	NaN	NaN	NaN	NaN	NaN
K10613	NaN	NaN	NaN	NaN	NaN
K10264	NaN	NaN	NaN	NaN	NaN
K10586	NaN	NaN	NaN	NaN	NaN
K10591	NaN	NaN	NaN	NaN	NaN
K10585	NaN	NaN	NaN	NaN	NaN
K09561	NaN	NaN	NaN	NaN	NaN
K10099	NaN	NaN	NaN	NaN	NaN
K10698	NaN	NaN	NaN	NaN	NaN
K10699	NaN	NaN	NaN	NaN	NaN
K10578	NaN	NaN	NaN	NaN	NaN
K05630	NaN	NaN	NaN	NaN	NaN
K10595	NaN	NaN	NaN	NaN	NaN
K04649	NaN	NaN	NaN	NaN	NaN
K10607	NaN	NaN	NaN	NaN	NaN
K10604	NaN	NaN	NaN	NaN	NaN
K10612	NaN	NaN	NaN	NaN	NaN
K03178	NaN	NaN	NaN	NaN	NaN
K05611	NaN	NaN	NaN	NaN	NaN
K00566	37168	62928	66976	65504	92368
K12161	NaN	NaN	NaN	NaN	NaN
K14169	NaN	NaN	NaN	NaN	NaN
K14168	NaN	NaN	NaN	NaN	NaN
K11996	72	72	72	72	72
K03154	72	72	72	72	72
K03636	22761	27054	32886	41310	39123
K03637	32522	39123	59570	61180	64883
K03831	27495	30225	39780	36855	39780
K03148	67017	93121	170931	207828	230418
K02726	NaN	NaN	NaN	NaN	NaN
K02737	NaN	NaN	NaN	NaN	NaN
K03030	NaN	NaN	NaN	NaN	NaN
K03032	NaN	NaN	NaN	NaN	NaN
K03033	NaN	NaN	NaN	NaN	NaN
K03035	NaN	NaN	NaN	NaN	NaN
K03037	NaN	NaN	NaN	NaN	NaN
K03039	NaN	NaN	NaN	NaN	NaN
K03061	NaN	NaN	NaN	NaN	NaN
K03062	NaN	NaN	NaN	NaN	NaN
K03064	NaN	NaN	NaN	NaN	NaN
K03066	NaN	NaN	NaN	NaN	NaN
K06699	NaN	NaN	NaN	NaN	NaN
K06700	NaN	NaN	NaN	NaN	NaN
K10881	NaN	NaN	NaN	NaN	NaN
K11599	NaN	NaN	NaN	NaN	NaN
K02739	NaN	NaN	NaN	NaN	NaN
K02730	NaN	NaN	NaN	NaN	NaN
K02727	NaN	NaN	NaN	NaN	NaN
K02734	NaN	NaN	NaN	NaN	NaN
K02729	NaN	NaN	NaN	NaN	NaN
K02728	NaN	NaN	NaN	NaN	NaN
K03031	NaN	NaN	NaN	NaN	NaN
K02740	NaN	NaN	NaN	NaN	NaN
K03036	NaN	NaN	NaN	NaN	NaN
K03065	NaN	NaN	NaN	NaN	NaN
K06698	NaN	NaN	NaN	NaN	NaN
K03028	NaN	NaN	NaN	NaN	NaN
K02732	NaN	NaN	NaN	NaN	NaN
K11598	NaN	NaN	NaN	NaN	NaN
K06697	NaN	NaN	NaN	NaN	NaN
K06696	NaN	NaN	NaN	NaN	NaN
K03029	NaN	NaN	NaN	NaN	NaN
K03038	NaN	NaN	NaN	NaN	NaN
K02733	NaN	NaN	NaN	NaN	NaN
K03063	NaN	NaN	NaN	NaN	NaN
K02731	NaN	NaN	NaN	NaN	NaN
K02735	NaN	NaN	NaN	NaN	NaN
K02725	NaN	NaN	NaN	NaN	NaN
K02736	NaN	NaN	NaN	NaN	NaN
K01255	303812	425035	559336	614163	576438
mpn_MPN470	NaN	NaN	NaN	NaN	NaN
mpn_MPN186	NaN	NaN	NaN	NaN	NaN
K01274	NaN	NaN	NaN	NaN	NaN
K01269	NaN	NaN	NaN	NaN	NaN
mtu_Rv2535c	NaN	NaN	NaN	NaN	NaN
K01338	798896	957264	1390032	1638560	1818096
K01358	529506	743958	997119	963171	1346742
K02654	72	72	72	72	72
K02464	72	72	72	72	72
K01355	117924	153111	212707	278326	335069
K03605	72	72	72	72	72
K08315	72	72	72	72	72
K09473	72	72	72	72	72
K13694	72	72	72	72	72
K13695	72	72	72	72	72
K05520	150150	114800	113750	119000	130200
K03152	58212	74284	99764	118384	154448
K18015	72	72	72	72	72
K16291	512750	617400	916300	1085000	1595300
K01414	401880	401200	638520	754800	898960
K01284	353439	448098	554334	556377	625158
K01407	72	72	72	72	72
K07263	8750	72	72	72	72
K07751	583709	780983	1114897	1190903	1436001
K01258	172584	176256	226032	230928	172992
K01270	836140	1154785	1552000	1552485	1661610
K02083	72	72	72	72	72
K12940	72	72	72	72	72
K12941	72	72	72	72	72
K01265	162888	231528	341880	404976	582120
K01271	444329	592291	729178	781895	712344
K01262	337806	466578	593145	586971	523908
K08326	72	72	72	72	72
K09612	72	72	72	72	72
K01305	72	72	72	72	72
K18530	72	72	72	72	72
K07387	22680	30996	31248	23940	27216
K11749	72	72	72	72	72
K07261	72	72	72	72	72
K04775	72	72	72	72	72
K04772	411775	447720	576485	610610	535080
K04691	72	72	72	72	72
K01354	72	72	72	72	72
K07258	694126	757920	1025442	1096544	1298622
K07262	72	72	72	72	72
K07259	72	72	72	72	72
K04770	72	72	72	72	72
K01356	18180	19998	25250	26664	31714
K03503	72	72	72	72	72
K03797	293260	381920	508772	546282	639716
K04774	16054	21289	33853	39437	48511
K05995	70990	100760	92287	119538	58166
K01297	17632	22496	26144	23408	31616
K01419	94336	113344	219824	179168	225808
K13051	72	72	72	72	72
K00681	179447	160983	231954	253303	212913
K08303	26727	48924	70215	78369	97848
K03592	276750	321750	404100	484650	567450
K03568	100048	106782	146224	156806	230880
K01148	NaN	NaN	NaN	NaN	NaN
K03514	NaN	NaN	NaN	NaN	NaN
K03678	NaN	NaN	NaN	NaN	NaN
K03681	NaN	NaN	NaN	NaN	NaN
K07573	NaN	NaN	NaN	NaN	NaN
K10643	NaN	NaN	NaN	NaN	NaN
K12580	NaN	NaN	NaN	NaN	NaN
K12581	NaN	NaN	NaN	NaN	NaN
K12585	NaN	NaN	NaN	NaN	NaN
K12586	NaN	NaN	NaN	NaN	NaN
K12587	NaN	NaN	NaN	NaN	NaN
K12589	NaN	NaN	NaN	NaN	NaN
K12590	NaN	NaN	NaN	NaN	NaN
K12591	NaN	NaN	NaN	NaN	NaN
K12592	NaN	NaN	NaN	NaN	NaN
K12593	NaN	NaN	NaN	NaN	NaN
K12598	NaN	NaN	NaN	NaN	NaN
K12599	NaN	NaN	NaN	NaN	NaN
K12600	NaN	NaN	NaN	NaN	NaN
K12603	NaN	NaN	NaN	NaN	NaN
K12604	NaN	NaN	NaN	NaN	NaN
K12605	NaN	NaN	NaN	NaN	NaN
K12606	NaN	NaN	NaN	NaN	NaN
K12607	NaN	NaN	NaN	NaN	NaN
K12608	NaN	NaN	NaN	NaN	NaN
K12611	NaN	NaN	NaN	NaN	NaN
K12614	NaN	NaN	NaN	NaN	NaN
K12616	NaN	NaN	NaN	NaN	NaN
K12617	NaN	NaN	NaN	NaN	NaN
K12620	NaN	NaN	NaN	NaN	NaN
K12621	NaN	NaN	NaN	NaN	NaN
K12622	NaN	NaN	NaN	NaN	NaN
K12623	NaN	NaN	NaN	NaN	NaN
K12625	NaN	NaN	NaN	NaN	NaN
K12626	NaN	NaN	NaN	NaN	NaN
K12627	NaN	NaN	NaN	NaN	NaN
K13126	NaN	NaN	NaN	NaN	NaN
K14442	NaN	NaN	NaN	NaN	NaN
K12624	NaN	NaN	NaN	NaN	NaN
K12572	NaN	NaN	NaN	NaN	NaN
K14443	NaN	NaN	NaN	NaN	NaN
K01072	NaN	NaN	NaN	NaN	NaN
K12584	NaN	NaN	NaN	NaN	NaN
K12602	NaN	NaN	NaN	NaN	NaN
K12615	NaN	NaN	NaN	NaN	NaN
K03679	NaN	NaN	NaN	NaN	NaN
K12571	NaN	NaN	NaN	NaN	NaN
K12610	NaN	NaN	NaN	NaN	NaN
K12573	92682	103251	139023	169104	201624
K12574	NaN	NaN	NaN	NaN	NaN
eco_b4255	1664950	1830850	2082150	2417100	2656150
K08300	929436	891240	1253041	1445082	1776114
K03654	72	72	72	72	72
K03666	72	72	72	72	72
K02209	NaN	NaN	NaN	NaN	NaN
K02212	NaN	NaN	NaN	NaN	NaN
K02326	NaN	NaN	NaN	NaN	NaN
K02327	NaN	NaN	NaN	NaN	NaN
K02540	NaN	NaN	NaN	NaN	NaN
K02541	NaN	NaN	NaN	NaN	NaN
K02542	NaN	NaN	NaN	NaN	NaN
K02685	NaN	NaN	NaN	NaN	NaN
K04799	NaN	NaN	NaN	NaN	NaN
K07466	NaN	NaN	NaN	NaN	NaN
K10740	NaN	NaN	NaN	NaN	NaN
K10745	NaN	NaN	NaN	NaN	NaN
K10747	NaN	NaN	NaN	NaN	NaN
