KO number	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck
K09104	NaN	NaN	1.8305001e+13	34716.357	43494.516	29817.099	NaN	NaN	NaN	NaN	NaN	NaN
K09105	NaN	NaN	NaN	NaN	NaN	NaN	1.202599e+08	73949612	90904562	15765479	1.6231152e+10	1595300
K09455	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.7700246e+08	24129716	1.0777242e+10	NaN
K09106	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.9320411e+08	1.8727728e+08	1.2996807e+10	736980
K07197	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.7916126e+10	NaN
K09107	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2793062.7	3650505.8	NaN	NaN
K09108	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.3174105e+08	66170209	3.5114736e+09	0.0312
K04377	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.1166395e+08	7.6789511e+08	0.0312	NaN
K04453	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.2819448e+08	1.3954904e+08	6.9518509e+10	8144000
K09113	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	92825270	3.5632385e+08	1.4554717e+09	NaN
K09114	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.2937963e+08	NaN
K09115	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42194121	1.3352464e+08	7.2404152e+09	NaN
K09168	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.7785421e+08	2.6042112e+08	1.3494403e+10	NaN
K09169	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.6856494e+08	8.3032607e+08	NaN	NaN
K09170	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.3908902e+09	2.6725904e+09	3.871025e+11	5435600
K09171	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.6720772e+08	5.0334912e+08	NaN	NaN
K09173	NaN	NaN	NaN	NaN	NaN	NaN	42417822	26639677	6.4033683e+08	1.2023488e+09	1.212258e+11	0.0312
K08061	NaN	NaN	NaN	NaN	NaN	NaN	59222137	73674450	1.0264383e+08	79824335	1.9335547e+10	0.0312
K09175	NaN	NaN	NaN	30.007	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09176	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.3163531e+08	33668135	0.0312	NaN
K09177	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.9082441e+08	1.481905e+08	NaN	NaN
K09178	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.9722715e+08	3.7145416e+08	NaN	NaN
K05547	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.0466906e+09	NaN
K08362	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0312	NaN
K08528	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9699660	0.0312	NaN	NaN
K08529	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18848266	0.0312	0.0312	0.0312
K08530	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29058151	0.0312	NaN	NaN
K08531	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0312
K08536	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0312	NaN
K08535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24775773	84251433	5.433795e+09	497880
K08539	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0312	NaN
K07292	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25322716	25332827	NaN	NaN
K08037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0312	0.0312	NaN	NaN
K08524	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	79087366	6.9171152e+08	NaN	2311680
K08525	NaN	NaN	NaN	NaN	NaN	NaN	5711873.5	11950591	3.1053431e+08	5.7670836e+08	2.1256548e+10	NaN
K08543	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25997043	3.1763928e+08	2.5702903e+09	0.0312
K08544	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33080666	6.8095973e+08	2.5139425e+10	400980
K08546	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.659322e+08	1.1950894e+09	NaN	NaN
K08547	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19814397	0.0312	9.1753239e+08	NaN
K08548	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.7678454e+08	2.7611241e+08	NaN	1577340
K08549	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.4044553e+08	94636984	NaN	NaN
K08552	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	90149637	62752511	9.4891514e+08	NaN
K08553	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0312	0.0312	NaN	NaN
K08554	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0312	0.0312	NaN	NaN
K05771	NaN	NaN	NaN	NaN	NaN	NaN	85413345	1.5320132e+08	2.6629881e+08	4.5351321e+08	1.1980078e+11	832460
K08556	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18045163	0.0312	NaN	NaN
K08557	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29403940	1.1128422e+08	NaN	NaN
K04465	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.0836581e+08	NaN
K08558	NaN	NaN	NaN	NaN	NaN	NaN	8.6807262e+08	3.0397466e+08	NaN	NaN	NaN	NaN
K08559	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0312	NaN
K08562	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0312	0.0312	NaN	NaN
K09182	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.2670737e+08	92126756	NaN	NaN
K09183	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0312	0.0312	NaN	NaN
K09184	NaN	NaN	1.8575e+12	5571.426	23864.417	29467.38	NaN	NaN	NaN	NaN	NaN	NaN
K09186	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.8869765e+09	1.3648446e+09	5.8022609e+11	0.0312
K09187	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.6144936e+08	7.9326467e+08	1.77398e+11	0.0312
K09188	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.0131403e+08	52248949	9.8070563e+10	0.0312
K09189	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0312	5684550.3	0.0312	0.0312
K07466	NaN	NaN	1.5689565e+13	60832.539	96640.02	119330.74	1.1501865e+09	1.4070481e+09	5.7206483e+09	1.4688285e+10	2.5056057e+12	1.51536e+08
K10779	NaN	NaN	NaN	NaN	NaN	NaN	31545814	94022933	2.2206316e+09	5.9595963e+09	4.1124302e+12	0.0312
K04684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.7869486e+08	6.5103385e+08	5.7813559e+10	957700
K09192	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0312	0.0312	NaN	0.0312
K09193	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.0435197e+08	1.8001569e+09	1.4359442e+11	0.0312
K09194	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0312	40344605	4.6921756e+09	NaN
K09201	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.7593154e+08	1.5966302e+09	3.206248e+10	3324420
K09202	NaN	NaN	NaN	2171.667	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09204	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.8078479e+08	0.0312	6.1549714e+09	NaN
K09205	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0312	8893085	0.0312	NaN
K09206	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.1031654e+08	1.1277409e+08	9.2231489e+10	NaN
K09208	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2164376.3	61014154	0.0312	488880
K09209	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0312
K09216	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32565426	4.4515884e+08	NaN	NaN
K04462	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49438292	3773882.2	4.4262706e+10	NaN
K09220	NaN	NaN	NaN	NaN	NaN	NaN	1.1856396e+08	2.0018759e+08	53223765	40932908	0.0312	0.0312
K09222	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6349654.9	33751692	0.0312	0.0312
K06235	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2806561.9	0.0312	NaN	0.0312
K09228	NaN	NaN	NaN	NaN	NaN	NaN	1.1782803e+08	1.0208393e+08	1.4761653e+09	2.2600063e+09	3.5488075e+10	0.0312
K09229	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	86004274	1.175781e+08	2.1719451e+10	0.0312
K09230	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.7690218e+08	2.4815892e+08	1.414436e+10	0.0312
K10489	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	54936808	2.0528979e+08	0.0312	0.0312
K10494	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.1019021e+09	1.1854499e+09	1.4239842e+11	0.0312
K06230	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0312	1.7873322e+08	0.0312	0.0312
K09234	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0312	0.0312	NaN	NaN
K09235	NaN	NaN	1.38279e+11	594.6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09236	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.2634023e+08	87867834	4.3851021e+10	0.0312
K09238	NaN	NaN	1.69939e+11	5018.86	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
