Numerator	Denominator	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck
-Signal Transduction	TOTAL	0	0	0.000899	0.007071	0.007642	0.008128	0.001035	0.001311	0.001664	0.0004639	0.001054	0.001256	0.002687	0.002889	0.003937	0.001478	0.001799	0.002867	0.003372	0.00434	0.007715	0.004132	0.0052	0.008677	0.003564	0.005401	0.01105	0.00424	0.005721	0.01292	0.004566	0.006116	0.01113	0.002642	0.003586	0.01607
-Signaling Molecules and Interaction	TOTAL	0	0	0	1.91e-10	1.91e-10	8.811e-05	0.003104	0.003249	0.005083	0.00151	0.001646	0.003021	0.004183	0.004279	0.004628	0.003483	0.003589	0.003814	0.01431	0.01541	0.01952	0.01236	0.01379	0.01795	0.01616	0.01862	0.02303	0.01976	0.02226	0.02624	0.012	0.01391	0.01776	0.03129	0.03217	0.03541
Cellular Processes	TOTAL	0.04922	0.05011	0.05311	0.009004	0.009693	0.01048	0.01109	0.0131	0.01393	0.01451	0.01654	0.01773	0.02537	0.02837	0.02945	0.02549	0.02859	0.02966	0.06172	0.08135	0.09137	0.05415	0.06943	0.08216	0.08351	0.08899	0.09338	0.0955	0.101	0.1069	0.1407	0.1492	0.1554	0.1348	0.146	0.1798
-Hemoglobin	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.004e-06	2.004e-06	4.17e-06	6.924e-06	6.924e-06	7.008e-06	0	0	0	1.445e-05	1.445e-05	3.769e-05
-Vesicular Transport	TOTAL	0	0	0	0	0	0	0.001879	0.002786	0.00304	0.0014	0.002478	0.003876	0.002061	0.003367	0.004451	0.002195	0.003286	0.004503	0.01115	0.01539	0.01978	0.01153	0.01562	0.02307	0.008338	0.009791	0.01471	0.009839	0.01133	0.01623	0.007711	0.01317	0.01913	0.004875	0.005401	0.0254
-Cytoskeleton	TOTAL	0.01873	0.01873	0.02262	0.00315	0.00315	0.00315	0.00328	0.00339	0.003664	0.00597	0.006481	0.007743	0.001187	0.002303	0.002986	0.001317	0.002593	0.003168	0.0244	0.04763	0.05124	0.01762	0.03643	0.03994	0.05569	0.05994	0.06306	0.06007	0.06554	0.06793	0.09434	0.1021	0.1087	0.1012	0.1184	0.1372
-Cell Motility	TOTAL	0.006342	0.006342	0.006342	0.00421	0.00421	0.005537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	TOTAL	0.02414	0.02414	0.02504	0.001645	0.001781	0.002346	0.005346	0.006612	0.007075	0.00653	0.006829	0.006951	0.02139	0.02178	0.02243	0.02129	0.02172	0.02238	0.0126	0.01461	0.01621	0.01224	0.0144	0.01551	0.009621	0.01184	0.01299	0.01252	0.01573	0.01645	0.01295	0.01523	0.01639	0.01141	0.01437	0.01539
-Cell Communication	TOTAL	0	0	0	0	0	0	0	8.162e-05	0.0002969	0	9.743e-05	0.0003443	0	0.0001919	0.0008684	0	0.000203	0.0008698	0.003934	0.005262	0.006791	0.003771	0.005184	0.007087	0.004502	0.005376	0.006232	0.006243	0.008716	0.01024	0.01026	0.0124	0.02442	0.00277	0.004848	0.005689
Metabolism	TOTAL	0.4497	0.4576	0.4644	0.4204	0.429	0.4323	0.3726	0.3771	0.3796	0.4551	0.4605	0.4642	0.366	0.3708	0.378	0.3968	0.4065	0.4132	0.2326	0.2403	0.2497	0.2564	0.2629	0.2759	0.166	0.1708	0.1768	0.1629	0.169	0.1712	0.2124	0.2207	0.2242	0.226	0.2445	0.2553
-Membrane Transport	TOTAL	0.02762	0.03254	0.04041	0.04565	0.05273	0.05535	0.01538	0.01571	0.01591	0.01051	0.01077	0.01135	0.01062	0.01118	0.01144	0.008671	0.009247	0.00942	0.0009969	0.002065	0.003664	0.0009452	0.001567	0.002684	0.001609	0.002808	0.003901	0.0009319	0.001975	0.002529	0.0009277	0.001256	0.001528	0.0003957	0.0005914	0.0007551
-Central Carbon Metabolism	TOTAL	0.1144	0.1419	0.1807	0.06624	0.07778	0.08968	0.1092	0.127	0.1604	0.1118	0.156	0.1926	0.1041	0.1328	0.1721	0.08175	0.1132	0.1614	0.06281	0.07242	0.08939	0.07366	0.08729	0.1053	0.02949	0.03618	0.04323	0.03262	0.04036	0.04474	0.06856	0.07786	0.08355	0.08122	0.09524	0.1224
-Energy Metabolism	TOTAL	0.003547	0.03241	0.05724	0.01472	0.0191	0.03337	0.006048	0.01276	0.03322	0.01169	0.01938	0.04531	0.009059	0.01138	0.03243	0.01118	0.01439	0.03585	0.01029	0.01671	0.0251	0.01043	0.01842	0.02917	0.008488	0.01325	0.01716	0.006989	0.01042	0.0142	0.004211	0.007351	0.01269	0.001951	0.01346	0.03752
-Biosynthesis	TOTAL	0.06723	0.07244	0.09005	0.1155	0.1319	0.1438	0.06545	0.08581	0.09714	0.09005	0.1167	0.1244	0.07798	0.08282	0.09681	0.1041	0.1146	0.1314	0.03044	0.03629	0.05212	0.03492	0.03982	0.05684	0.03133	0.03863	0.0441	0.03046	0.03672	0.04317	0.03994	0.04411	0.05143	0.02176	0.03169	0.03993
-Other Enzymes	TOTAL	0.114	0.1511	0.1871	0.1234	0.137	0.1541	0.08635	0.1307	0.1369	0.1139	0.155	0.1806	0.08489	0.1014	0.1321	0.09938	0.1233	0.1584	0.08078	0.1001	0.1173	0.08694	0.1057	0.1273	0.07242	0.07684	0.08381	0.07151	0.07469	0.08036	0.07474	0.08392	0.09299	0.06608	0.08615	0.1089
Organismal Systems	TOTAL	0	0	0	0	4.776e-11	3.438e-05	0.001462	0.001993	0.002663	0.001119	0.002845	0.003446	0.001597	0.002862	0.004224	0.001799	0.002812	0.004291	0.03847	0.04157	0.05125	0.03067	0.0333	0.04202	0.01989	0.02594	0.02962	0.02633	0.03167	0.03499	0.02463	0.02906	0.03425	0.02029	0.03348	0.04849
-Immune System	TOTAL	0	0	0	0	0	0	0.000129	0.0007968	0.001638	0.0001148	0.001153	0.001758	0.0004743	0.0007769	0.001443	0.0004387	0.0009762	0.001578	0.01196	0.01441	0.02376	0.01198	0.01542	0.02325	0.003655	0.007171	0.009741	0.003656	0.00651	0.009389	0.002665	0.008625	0.01201	0.002638	0.004891	0.008798
-Endocrine System	TOTAL	0	0	0	0	0	0	7.746e-06	3.615e-05	0.0003019	3.631e-06	2.213e-05	0.0003482	0	5.615e-05	0.0007888	0	4.851e-05	0.0008609	0.01163	0.01271	0.01338	0.004195	0.005572	0.006217	0.001841	0.002951	0.004662	0.004445	0.005395	0.007634	0.0006815	0.001623	0.005343	0.006147	0.006417	0.01012
-Circulatory System	TOTAL	0	0	0	0	0	0	0	0	5.657e-05	0	0	4.544e-05	0	0	0.0008171	0	0	0.0008198	0.001731	0.001892	0.002433	0.001517	0.001628	0.002147	0.00241	0.002782	0.004841	0.003839	0.004259	0.006231	0.001368	0.001627	0.00306	0.0005101	0.0005627	0.005986
-Digestive System	TOTAL	0	0	0	0	0	3.438e-05	0	0.0002307	0.0003019	0	7.32e-05	0.0003482	0	0.0001229	0.0007466	0	0.0001369	0.000828	0.0003004	0.002161	0.003181	0.0002554	0.001613	0.003048	0.001537	0.003668	0.004953	0.001768	0.003087	0.004814	0.002127	0.003393	0.005459	0.00118	0.001636	0.005416
-Excretory System	TOTAL	0	0	0	0	0	0	0	0.0002149	0.001259	1.069e-06	0.0003366	0.001442	0	0.000589	0.001371	0	0.0005746	0.001309	0.001008	0.002379	0.007184	0.0008858	0.002227	0.006771	0.0004703	0.002372	0.003149	0.0006599	0.002811	0.005151	0.001161	0.00245	0.005561	0.000471	0.0007981	0.005467
-Nervous System	TOTAL	0	0	0	0	0	4.776e-11	0	4.213e-05	0.0003019	0	4.052e-05	0.0003482	0	0.0001549	0.0008171	0	0.0001948	0.000828	0.0002368	0.004985	0.005765	0.0003255	0.004686	0.00527	0.0006245	0.001996	0.004214	0.0009121	0.002136	0.005403	0.0008016	0.003066	0.003665	0.0004323	0.002789	0.006884
-Sensory System	TOTAL	0	0	0	0	0	0	0	3.336e-05	0.0003776	0	6.371e-06	4.312e-05	0	6.28e-05	9.878e-05	0	2.49e-05	0.0001463	0	0.0001627	0.0003088	0	0.0001867	0.0002991	1.683e-06	0.0005149	0.0006189	1.368e-05	0.0007705	0.0008789	1.462e-17	0.0001398	0.0003096	0	5.459e-06	1.905e-05
-Development	TOTAL	0	0	0	0	0	0	0	0	0.0002547	0	0	0.001296	0	0	0	0	0	0	0.0005608	0.001285	0.001628	0.0005099	0.0009435	0.001484	0.0004977	0.0008223	0.004875	0.0006405	0.0009246	0.005677	0.001513	0.001968	0.009467	0.0006751	0.001304	0.02424
-Environmental Adaptation	TOTAL	0	0	0	0	0	0	0	0	0.0002292	0	0	0.0001621	0	0	0.000156	0	0	0.0001571	0	0.0003876	0.001704	0	0.0003384	0.001418	1.486e-06	0.000255	0.001498	1.601e-06	0.0002986	0.001428	3.322e-05	0.0001132	0.002179	6.671e-06	9.939e-05	0.0006803
Human Diseases	TOTAL	0	0.02759	0.06084	0.002124	0.002557	0.00518	0.006864	0.01172	0.01395	0.006678	0.01635	0.02089	0.01301	0.01939	0.02714	0.01488	0.02181	0.03143	0.04883	0.06585	0.08943	0.04774	0.06109	0.08434	0.05563	0.07412	0.09928	0.05254	0.06354	0.08248	0.04821	0.06622	0.08207	0.02315	0.04937	0.06703
-Cancers	TOTAL	0	0	0.002435	0	0	4.585e-05	8.551e-06	0.0002558	0.0005334	4.79e-06	0.0004573	0.0009084	0	0.0003612	0.0004637	0	0.0002446	0.0005436	0.002698	0.00615	0.007329	0.003238	0.005361	0.007065	0.003335	0.005152	0.007354	0.003122	0.005109	0.007579	0.002299	0.003386	0.006878	0.001488	0.002874	0.003752
-Immune System Diseases	TOTAL	0	0	0	0	0	6.161e-05	0	0.0004434	0.0008766	5.251e-06	0.001222	0.001857	4.409e-05	0.008645	0.01542	9.368e-05	0.01017	0.01786	0.001579	0.002723	0.005607	0.001373	0.002559	0.005164	0.001949	0.02544	0.05196	0.00157	0.01914	0.03886	0.0003923	0.003038	0.004344	0.001062	0.01539	0.02301
-Neurodegenerative Diseases	TOTAL	0	0	0	0	0	0	0.00355	0.005992	0.008216	0.002527	0.006188	0.009003	0.00273	0.005224	0.006462	0.005154	0.006849	0.008534	0.01784	0.02895	0.03493	0.01828	0.02726	0.03262	0.01525	0.0188	0.02137	0.01247	0.01549	0.01777	0.01237	0.02326	0.02756	0.005399	0.006752	0.01129
-Cardiovascular Diseases	TOTAL	0	0	0	0	0	0	0	0	2.33e-05	0	0	7.412e-05	0	0	2.184e-05	0	0	2.695e-05	0.003433	0.003557	0.005456	0.001603	0.001694	0.003683	0.003093	0.003919	0.005288	0.002011	0.002741	0.005062	0.005639	0.00693	0.01934	0.001772	0.00198	0.003284
-Metabolic Diseases	TOTAL	0	0	0.03568	0	0	0.002398	0	0	0.001518	0	0	0.003853	0	0	0	0	0	0	0	0	0.00307	0	0	0.005448	2.981e-06	1.113e-05	0.003193	8.939e-09	5.339e-06	0.003121	0	3.99e-06	0.01542	0	7.605e-06	0.005871
-Infectious Diseases	TOTAL	0	0	0.06084	5.158e-05	0.002168	0.00518	0.001071	0.004187	0.005863	0.00137	0.005162	0.01338	0.002648	0.006151	0.007718	0.002076	0.005207	0.006896	0.008826	0.02674	0.04412	0.007927	0.02881	0.04159	0.007985	0.01447	0.01832	0.008635	0.01589	0.02282	0.01013	0.02243	0.03042	0.003456	0.01614	0.03752
Not Mapped	TOTAL	0.1975	0.1975	0.1975	0.07465	0.07465	0.07465	0.151	0.151	0.151	0.1073	0.1073	0.1073	0.1717	0.1717	0.1717	0.174	0.174	0.174	0.2076	0.2076	0.2076	0.2038	0.2038	0.2038	0.1974	0.1974	0.1974	0.2058	0.2058	0.2058	0.2129	0.2129	0.2129	0.1053	0.1053	0.1053
-Not Mapped	TOTAL	0.1975	0.1975	0.1975	0.07465	0.07465	0.07465	0.151	0.151	0.151	0.1073	0.1073	0.1073	0.1717	0.1717	0.1717	0.174	0.174	0.174	0.2076	0.2076	0.2076	0.2038	0.2038	0.2038	0.1974	0.1974	0.1974	0.2058	0.2058	0.2058	0.2129	0.2129	0.2129	0.1053	0.1053	0.1053
TOTAL	MAPPED	1.246	1.246	1.246	1.081	1.081	1.081	1.178	1.178	1.178	1.12	1.12	1.12	1.207	1.207	1.207	1.211	1.211	1.211	1.262	1.262	1.262	1.256	1.256	1.256	1.246	1.246	1.246	1.259	1.259	1.259	1.27	1.27	1.27	1.118	1.118	1.118
MAPPED	MAPPED	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Genetic Information Processing	MAPPED	0.283	0.3266	0.3637	0.5078	0.5141	0.5188	0.513	0.5182	0.5203	0.43	0.4419	0.4471	0.4684	0.4783	0.4847	0.4209	0.4336	0.4404	0.3988	0.4253	0.4317	0.3936	0.423	0.4366	0.4845	0.5032	0.5323	0.4756	0.4864	0.5154	0.3656	0.3811	0.3889	0.3827	0.4161	0.4298
-Transcription	MAPPED	0.004114	0.004114	0.01377	0.02448	0.0292	0.03035	0.002986	0.003681	0.00514	0.001859	0.002569	0.003704	0.005444	0.007367	0.008564	0.004898	0.006847	0.007882	0.03564	0.04818	0.05181	0.03383	0.04325	0.04798	0.04346	0.04585	0.0479	0.03734	0.04119	0.04181	0.0369	0.03796	0.04004	0.0361	0.03803	0.04423
-Translation	MAPPED	0.1799	0.1813	0.184	0.3911	0.3922	0.394	0.3969	0.4006	0.4032	0.3085	0.3114	0.3133	0.3488	0.3521	0.3571	0.3157	0.3187	0.3229	0.1488	0.151	0.1523	0.1506	0.1528	0.1546	0.2519	0.2583	0.2608	0.2384	0.2426	0.2446	0.134	0.1403	0.1447	0.195	0.1963	0.1978
-Folding, Sorting and Degradation	MAPPED	0.06151	0.09658	0.1362	0.06278	0.07071	0.07331	0.09414	0.09904	0.1015	0.1118	0.1218	0.1275	0.08996	0.09834	0.1068	0.07861	0.08558	0.09533	0.1502	0.1765	0.184	0.144	0.1754	0.1838	0.1097	0.1171	0.1286	0.1253	0.13	0.1397	0.1244	0.1455	0.1567	0.1143	0.1369	0.1451
-DNA Maintenance	MAPPED	0.0278	0.0354	0.04318	0.01952	0.02254	0.02445	0.0116	0.01387	0.01548	0.004596	0.00561	0.007331	0.01067	0.01518	0.02861	0.01052	0.01608	0.02995	0.0464	0.04987	0.06298	0.04746	0.05241	0.06111	0.05043	0.08816	0.1004	0.05216	0.08063	0.09507	0.05071	0.05458	0.06238	0.02925	0.0384	0.05343
-RNA Family	MAPPED	0	0	0	4.645e-10	5.161e-10	7.225e-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	MAPPED	0	0	0.00112	0.007641	0.008259	0.008811	0.004969	0.005372	0.007581	0.002323	0.002872	0.004719	0.008389	0.008655	0.01015	0.006134	0.006419	0.008122	0.02245	0.02668	0.03039	0.02072	0.02679	0.0292	0.0276	0.02977	0.03795	0.03336	0.03602	0.04464	0.02371	0.02569	0.0327	0.0396	0.04244	0.05392
-Signal Transduction	MAPPED	0	0	0.00112	0.007641	0.008259	0.008783	0.00122	0.001544	0.001961	0.0005197	0.001181	0.001407	0.003244	0.003488	0.004752	0.001789	0.002178	0.00347	0.004256	0.005477	0.009737	0.00519	0.006531	0.0109	0.00444	0.006729	0.01377	0.005339	0.007204	0.01627	0.0058	0.00777	0.01414	0.002953	0.004008	0.01796
-Signaling Molecules and Interaction	MAPPED	0	0	0	2.064e-10	2.064e-10	9.522e-05	0.003657	0.003827	0.005986	0.001691	0.001844	0.003384	0.00505	0.005166	0.005588	0.004216	0.004345	0.004617	0.01806	0.01945	0.02464	0.01553	0.01732	0.02255	0.02013	0.0232	0.02869	0.02488	0.02803	0.03304	0.01525	0.01768	0.02256	0.03497	0.03596	0.03958
Cellular Processes	MAPPED	0.06133	0.06245	0.06617	0.009731	0.01048	0.01133	0.01306	0.01543	0.01641	0.01626	0.01852	0.01986	0.03063	0.03425	0.03555	0.03086	0.03461	0.03591	0.0779	0.1027	0.1153	0.06801	0.0872	0.1032	0.104	0.1109	0.1163	0.1202	0.1271	0.1346	0.1787	0.1896	0.1974	0.1506	0.1631	0.2009
-Hemoglobin	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.496e-06	2.496e-06	5.195e-06	8.718e-06	8.718e-06	8.824e-06	0	0	0	1.615e-05	1.615e-05	4.213e-05
-Vesicular Transport	MAPPED	0	0	0	0	0	0	0.002213	0.003282	0.00358	0.001569	0.002776	0.004343	0.002489	0.004065	0.005374	0.002657	0.003978	0.005452	0.01407	0.01943	0.02496	0.01448	0.01962	0.02898	0.01039	0.0122	0.01833	0.01239	0.01427	0.02044	0.009797	0.01674	0.02431	0.005449	0.006037	0.02839
-Cytoskeleton	MAPPED	0.02334	0.02334	0.02819	0.003404	0.003404	0.003404	0.003863	0.003993	0.004315	0.006687	0.00726	0.008674	0.001433	0.002781	0.003605	0.001594	0.003139	0.003835	0.0308	0.06011	0.06467	0.02214	0.04575	0.05016	0.06938	0.07468	0.07856	0.07564	0.08253	0.08553	0.1199	0.1298	0.1381	0.1131	0.1323	0.1534
-Cell Motility	MAPPED	0.007903	0.007903	0.007903	0.004549	0.004549	0.005984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	MAPPED	0.03008	0.03008	0.0312	0.001777	0.001925	0.002536	0.006297	0.007788	0.008333	0.007315	0.00765	0.007786	0.02582	0.0263	0.02708	0.02578	0.0263	0.0271	0.0159	0.01844	0.02046	0.01538	0.01809	0.01949	0.01199	0.01476	0.01618	0.01577	0.01981	0.02071	0.01646	0.01935	0.02082	0.01275	0.01607	0.0172
-Cell Communication	MAPPED	0	0	0	0	0	0	0	9.614e-05	0.0003497	0	0.0001091	0.0003857	0	0.0002317	0.001048	0	0.0002458	0.001053	0.004965	0.006641	0.008571	0.004736	0.006511	0.008901	0.005608	0.006698	0.007765	0.007861	0.01097	0.01289	0.01303	0.01575	0.03102	0.003096	0.005418	0.006359
Metabolism	MAPPED	0.5604	0.5703	0.5786	0.4543	0.4636	0.4672	0.4389	0.4442	0.4472	0.5098	0.5158	0.52	0.4418	0.4476	0.4563	0.4804	0.4921	0.5002	0.2935	0.3032	0.3151	0.3221	0.3302	0.3466	0.2068	0.2128	0.2203	0.2052	0.2128	0.2155	0.2699	0.2804	0.2848	0.2526	0.2733	0.2854
-Membrane Transport	MAPPED	0.03442	0.04055	0.05035	0.04933	0.05698	0.05982	0.01812	0.01851	0.01873	0.01178	0.01207	0.01271	0.01282	0.0135	0.01381	0.0105	0.01119	0.0114	0.001258	0.002606	0.004624	0.001187	0.001968	0.003371	0.002005	0.003498	0.00486	0.001173	0.002487	0.003184	0.001179	0.001596	0.001941	0.0004423	0.000661	0.000844
-Central Carbon Metabolism	MAPPED	0.1426	0.1768	0.2251	0.07158	0.08406	0.09692	0.1286	0.1496	0.1889	0.1253	0.1748	0.2158	0.1257	0.1604	0.2077	0.09897	0.1371	0.1954	0.07927	0.09139	0.1128	0.09252	0.1096	0.1322	0.03675	0.04507	0.05385	0.04107	0.05082	0.05633	0.0871	0.09892	0.1062	0.09078	0.1064	0.1368
-Energy Metabolism	MAPPED	0.00442	0.04039	0.07133	0.0159	0.02064	0.03607	0.007123	0.01503	0.03912	0.01309	0.02171	0.05076	0.01094	0.01374	0.03915	0.01354	0.01742	0.0434	0.01299	0.02109	0.03167	0.0131	0.02313	0.03664	0.01058	0.01651	0.02138	0.0088	0.01313	0.01788	0.00535	0.009339	0.01612	0.00218	0.01505	0.04194
-Biosynthesis	MAPPED	0.08377	0.09027	0.1122	0.1248	0.1425	0.1554	0.0771	0.1011	0.1144	0.1009	0.1307	0.1394	0.09415	0.09999	0.1169	0.126	0.1387	0.1591	0.03841	0.04581	0.06577	0.04386	0.05002	0.07139	0.03904	0.04813	0.05495	0.03835	0.04623	0.05435	0.05074	0.05604	0.06534	0.02432	0.03542	0.04463
-Other Enzymes	MAPPED	0.142	0.1883	0.2331	0.1334	0.148	0.1665	0.1017	0.154	0.1613	0.1276	0.1737	0.2023	0.1025	0.1224	0.1594	0.1203	0.1493	0.1918	0.102	0.1264	0.148	0.1092	0.1328	0.1599	0.09022	0.09574	0.1044	0.09004	0.09405	0.1012	0.09496	0.1066	0.1181	0.07385	0.09628	0.1217
Organismal Systems	MAPPED	0	0	0	0	5.161e-11	3.716e-05	0.001722	0.002347	0.003136	0.001253	0.003187	0.00386	0.001928	0.003456	0.0051	0.002179	0.003405	0.005195	0.04855	0.05247	0.06468	0.03852	0.04182	0.05278	0.02478	0.03232	0.03691	0.03316	0.03988	0.04406	0.03129	0.03692	0.04352	0.02268	0.03742	0.0542
-Immune System	MAPPED	0	0	0	0	0	0	0.0001519	0.0009385	0.001929	0.0001286	0.001292	0.00197	0.0005727	0.0009379	0.001742	0.0005311	0.001182	0.00191	0.01509	0.01819	0.02999	0.01505	0.01937	0.02921	0.004554	0.008934	0.01214	0.004604	0.008197	0.01182	0.003386	0.01096	0.01526	0.002949	0.005466	0.009834
-Endocrine System	MAPPED	0	0	0	0	0	0	9.124e-06	4.258e-05	0.0003556	4.067e-06	2.479e-05	0.0003901	0	6.779e-05	0.0009523	0	5.873e-05	0.001042	0.01468	0.01604	0.01689	0.005269	0.006998	0.007808	0.002293	0.003677	0.005809	0.005597	0.006794	0.009612	0.0008659	0.002062	0.006788	0.00687	0.007173	0.01132
-Circulatory System	MAPPED	0	0	0	0	0	0	0	0	6.663e-05	0	0	5.09e-05	0	0	0.0009864	0	0	0.0009925	0.002184	0.002388	0.003071	0.001906	0.002045	0.002696	0.003002	0.003466	0.006032	0.004834	0.005363	0.007846	0.001738	0.002067	0.003887	0.0005701	0.0006289	0.006691
-Digestive System	MAPPED	0	0	0	0	0	3.716e-05	0	0.0002717	0.0003556	0	8.201e-05	0.0003901	0	0.0001484	0.0009013	0	0.0001657	0.001002	0.0003792	0.002728	0.004015	0.0003207	0.002026	0.003828	0.001915	0.00457	0.006171	0.002226	0.003887	0.006061	0.002702	0.00431	0.006936	0.001319	0.001828	0.006054
-Excretory System	MAPPED	0	0	0	0	0	0	0	0.0002532	0.001483	1.198e-06	0.0003771	0.001615	0	0.0007111	0.001655	0	0.0006957	0.001585	0.001272	0.003002	0.009066	0.001113	0.002797	0.008504	0.0005859	0.002955	0.003924	0.0008309	0.00354	0.006486	0.001475	0.003113	0.007065	0.0005264	0.000892	0.006111
