K03075	SecG:b3175
K03798	FtsH:b3178
K02427	RlmE:b3179
K02892	RplW:b3318
K02926	RplD:b3319
K02904	RpmC:b3312
K02878	RplP:b3313
K02874	RplN:b3310
K02961	RpsQ:b3311
K11191	MurP:b2429
K02886	RplB:b3317
K02982	RpsC:b3314
K02890	RplV:b3315
K03186	UbiX:b2311
K10013	ArgT:b2310
K00764	PurF:b2312
K11754	FolC:b2315
K01963	AccD:b2316
K00133	Usg:b2319
K06173	TruA:b2318
K03656	Rep:b3778
K01524	Gpp:b3779
K00826	IlvE:b3770
K01687	IlvD:b3771
K01754	IlvA:b3772
K02521	IlvY:b3773
K00053	IlvC:b3774
K03769	PpiC:b3775
K11202	FrwB:b3950
K00656	PflD:b3951
K07638	EnvZ:b3404
K07106	MurQ:b2428
K01610	Pck:b3403
K01595	Ppc:b3956
K04083	HslO:b3401
K00145	ArgC:b3958
K00930	ArgB:b3959
K03777	Dld:b2133
K05349	BglX:b2132
K07262	PbpG:b2134
K00540	YohF:b2137
K02046	CysU:b2424
K14219	ArgX:b3796
K14226	HisR:b3797
K02852	RffM:b3794
K02853	WzyE:b3793
K02805	RffA:b3791
K02221	YggT:b2952
K02669	YggR:b2950
K01424	AnsB:b2957
K02495	YggW:b2955
K01516	RdgB:b2954
K11991	TadA:b2559
K01952	PurL:b2557
K00626	AtoB:b2224
K07715	GlrR:b2554
K01034	AtoD:b2221
K05916	Hmp:b2552
K00600	GlyA:b2551
K01035	AtoA:b2222
K01043	WcaL:b2044
K02846	SolA:b1059
K01710	RfbB:b2041
K00067	RfbD:b2040
K00963	GalF:b2042
K08161	MdtG:b1053
K00971	CpsB:b2049
K01840	CpsG:b2048
K02517	LpxL:b1054
K01990	YbhF:b0794
K14228	LeuX:b4270
K12507	FadK:b1701
K12372	DppF:b3540
K07349	FimG:b4319
K07348	FimF:b4318
K07347	FimD:b4317
K07346	FimC:b4316
K07351	FimI:b4315
K07345	FimA:b4314
K06074	BtuD:b1709
K13695	NlpC:b1708
K13891	GsiD:b0832
K13889	GsiB:b0830
K13890	GsiC:b0831
K01972	LigB:b3647
K07258	DacC:b0839
K07313	PphA:b1838
K03797	Prc:b1830
K11392	RsmF:b1835
K03974	PspF:b1303
K00823	PuuE:b1302
K09471	PuuB:b1301
K09472	PuuC:b1300
K03973	PspC:b1306
K07400	NfuA:b3414
K00690	YcjM:b1309
K00005	GldA:b3945
K12957	YjgB:b4269
K00851	IdnK:b4268
K11720	LptG:b4262
K07091	LptF:b4261
K01255	PepA:b4260
K00098	IdnD:b4267
K00046	IdnO:b4266
K06146	IdnR:b4264
K00297	MetF:b3941
K02170	BioH:b3412
K02226	CobC:b0638
K00963	GalU:b1236
K02418	FliO:b1947
K02417	FliN:b1946
K02412	FliI:b1941
K01433	PurU:b1232
K02414	FliK:b1943
K02413	FliJ:b1942
K03801	LipB:b0630
K07258	DacA:b0632
K02420	FliQ:b1949
K02419	FliP:b1948
K00857	Tdk:b1238
K09823	Zur:b4046
K17723	PreA:b2147
K04043	DnaK:b0014
K03686	DnaJ:b0015
K00631	PlsB:b4041
K03179	UbiA:b4040
K03528	ZipA:b2412
K05539	DusA:b4049
K01972	LigA:b2411
K10804	TesA:b0494
K02068	YbbL:b0490
K02069	YbbM:b0491
K05838	YbbN:b0492
K00540	YbbO:b0493
K00117	Gcd:b0124
K00760	Hpt:b0125
K12297	RlmL:b0948
K09687	YadG:b0127
K01611	SpeD:b0120
K00797	SpeE:b0121
K06148	CydD:b0887
K07347	ElfC:b0940
K09686	YadH:b0128
K02821	YadI:b0129
K00226	PyrD:b0945
K03628	Rho:b3783
K01154	HsdS:b4348
K06148	CydC:b0886
K03466	FtsK:b0890
K15841	GlmY:b4441
K03427	HsdM:b4349
K02610	PaaB:b1389
K08306	MltC:b2963
K01875	SerS:b0893
K00164	SucA:b0726
