K12618	Kem1:YGL173C
K02731	Pre6:YOL038W
K08141	Mph3:YJR160C
K01923	Ade1:YAR015W
K00521	Fre5:YOR384W
K14649	Taf8:YML114C
K01514	Ppx1:YHR201C
K11092	Lea1:YPL213W
K10858	Pms1:YNL082W
K12596	Trf5:YNL299W
K03039	Rpn9:YDR427W
K03016	Rpb8:YOR224C
K01656	Trp3:YKL211C
K03085	Sic1:YLR079W
K02537	Mad2:YJL030W
K02981	Rps2:YGL123W
K00428	Ccp1:YKR066C
K01057	Sol4:YGR248W
K01251	Sah1:YER043C
K02871	MrpL23:YOR150W
sce_YDR055W	Pst1:YDR055W
K03232	Efb1:YAL003W
K11434	Hmt1:YBR034C
K01652	Ilv2:YMR108W
sce_YLR040C	YLR040C:YLR040C
K05544	Dus3:YLR401C
K13342	Pex5:YDR244W
K07977	Arf2:YDL137W
K03000	Rpa12:YJR063W
K02966	Rps19b:YNL302C
K09518	Hlj1:YMR161W
K00318	Put1:YLR142W
K03258	Tif3:YPR163C
K09238	Ace2:YLR131C
K03242	Gcd11:YER025W
K10258	Tsc13:YDL015C
K12815	Prp16:YKR086W
K11663	Vps71:YML041C
K01423	Icp55:YER078C
K12578	Lcd1:YDR499W
K13126	Pab1b:YER165W
K10885	Yku80:YMR106C
K08293	Smk1:YPR054W
K14222	Tc(Gca)g:tC_GCA_G
K14222	Tc(Gca)b:tC_GCA_B
sce_YDR233C	Rtn1:YDR233C
K03131	Taf6:YGL112C
K08330	Atg11:YPR049C
K01104	Mtm1:YGR257C
K01868	Ths1:YIL078W
K11338	Rvb2:YPL235W
K03358	Apc11:YDL008W
K11135	Pxr1:YGR280C
K01424	Asp3-1:YLR155C
K08139	Hxt13:YEL069C
K11226	Ste7:YDL159W
K02894	Rpl23a:YBL087C
K01127	YJL132W:YJL132W
K04354	Cdc55:YGL190C
K03842	Alg1:YBR110W
K06009	Mkc7:YDR144C
K11554	Ctf19:YPL018W
K04082	Jac1:YGL018C
K00968	Pct1:YGR202C
K11501	Ctf3:YLR381W
K08197	Arn2:YHL047C
K01529	Dbp8:YHR169W
K12668	Ost2:YOR103C
K12597	Air2:YDL175C
K02962	Rps17b:YDR447C
K00004	Bdh2:YAL061W
K11672	Arp5:YNL059C
K11213	Ste2:YFL026W
K02327	Pol3:YDL102W
K00134	Tdh2:YJR009C
K01953	Asn1:YPR145W
K12670	Wbp1:YEL002C
K11560	Dsn1:YIR010W
K05290	Gpi8:YDR331W
K02947	Rps10a:YOR293W
K00088	Imd4:YML056C
K04348	Cna1:YLR433C
K14219	Hsx1:tR_CCU_J
K06072	Lia1:YJR070C
K14219	Tr(Ucu)g1:tR_UCU_G1
K14219	Tr(Ucu)g3:tR_UCU_G3
K14219	Tr(Ucu)g2:tR_UCU_G2
K03036	Rpn6:YDL097C
K08851	Bud32:YGR262C
K01111	Dog2:YHR043C
K12589	Rrp42:YDL111C
K00134	Tdh1:YJL052W
K06668	Gin4:YDR507C
K11371	Ahc2:YCR082W
K00931	Pro1:YDR300C
K12591	Rrp6:YOR001W
K03231	Tef1:YPR080W
K01598	Cab3:YKL088W
K00599	Rmt2:YDR465C
K01529	Dbp9:YLR276C
K14543	Mtr2:YKL186C
K08660	Dug1:YFR044C
K00416	Qcr6:YFR033C
K08860	Gcn2:YDR283C
K09247	Hap1:YLR256W
K01090	Ptc4:YBR125C
K00162	Pdb1:YBR221C
K03283	Ssa1:YAL005C
K08507	Use1:YGL098W
K01689	Eno2:YHR174W
K03235	Hef3:YNL014W
K01783	Rpe1:YJL121C
K14237	Tv(Aac)o:tV_AAC_O
K03245	Hcr1:YLR192C
K00804	Bts1:YPL069C
K14237	Tv(Aac)j:tV_AAC_J
K14237	Tv(Aac)h:tV_AAC_H
K01918	Pan6:YIL145C
K10956	Sec61:YLR378C
K11121	Sir2:YDL042C
K09481	Sbh1:YER087C-B
K09248	Put3:YKL015W
K13338	Pex1:YKL197C
K13367	Fms1:YMR020W
K02139	Atp17:YDR377W
sce_YNL126W	Spc98:YNL126W
K05954	Ram1:YDL090C
K01106	Inp52:YNL106C
K08513	Snc2:YOR327C
K00693	Gsy1:YFR015C
K02947	Rps10b:YMR230W
K03259	Cdc33:YOL139C
K14229	Suf4:tG_UCC_G
K11770	Sfh1:YLR321C
K14224	Soe1:tE_UUC_G1
K14229	Suf6:tG_UCC_N
K14229	Suf1:tG_UCC_O
K05749	Kre28:YDR532C
K10969	Mnt3:YIL014W
K03029	Rpn10:YHR200W
K14559	MPP10:YJR002W
K12814	Prp2:YNR011C
K05530	Van1:YML115C
K01164	Pop1:YNL221C
