UniProt	Protein ibaq.chimp
P39656	2162346.99933792
O43598;H0Y8X4	1028819.34197727
P19971	9759934.58098128
P60520	775384.370210228
Q13451	721171.297743264
H7C5G1;F8WF34;C9JDY4;C9JE02;H7BXP8;C9J5J2;Q2TAA2;B4DMV3	1837997.22300864
Q9Y2Q5	1318447.13291763
Q96C86	2211100.88776224
P27695	1126675.66762315
F8WCU0;F8WE59;P31150;G5E9U5	1291215.51959568
I3L1N9;Q8N5K1;D6RCF4	1298829.31140635
F5H1S8;F5GX14;H0YG07;Q14165	1470294.11464647
Q86V81	961062.120436934
P39687;H0YN26;H7BZ09	2302307.3962828
P17812	1740191.95548256
D6RF01;D6RBC5;D6RIT9;D6RDK6;D6RC55;D6RG39;D6RBN5;D6RI08;D6R9T5;D6RDI5;Q9NX40;D6R918;D6RIV2;D6RF07;D6RA54;D6RDK1	1638975.99829679
Q15008	1650060.58300778
P22102	1080724.13314284
P78527	1556793.86745677
P50440	148976.846168468
H0YJ40;G3V4X6;G3V2S9;H0YJU7;H0YJW7;H0YJI1;Q9GZT3;H0YJ07	1193506.14247393
Q9UL25	1773275.87504089
Q9NZ08	1492814.38105941
Q15428	1791621.04303692
Q5STZ7;F5GYK6;Q5STZ8;Q8NE71;H0YGW7	1893752.22630747
O15305	4532831.48827616
J3KNC7;P00167	1133330.12777198
E9PGT1;H7C1D4;Q15631	1481590.9652061
Q8WWY3	2070990.3770587
O75489	1344979.37442353
O43678	1020853.64738985
P55010	1689231.4349374
Q9Y394	1110414.02460203
Q9BQE3	2680453.28276246
P21912	1152267.70938236
G3V5E2;G3V551;G3V2M8;H0YIZ7;H0YJS6;G3V4I1;G3V363;J3KNG4;H0YJY1;G3V3K9;B7Z5N7;Q8WVM8;B7Z738;G3V5F3	2580192.62555057
Q9Y6K5	419063.990220227
P26640	2320792.788268
P33121	1189468.48425849
Q99733	2067968.08654664
F5GX19;F5H3Y3;F5H479;F5H267;Q6IAA8;H0YFI1	1009833.62709628
Q15286	1462205.00727699
O14744	1045786.68161484
P21281	952306.663010567
O15347	1110353.91203585
E5RFX7;E5RFZ4;H0YBG2;E5RG77;O94903	913672.629897347
P16949	1957978.00963312
O15067	1149704.66942614
P30519	1538334.26386868
P13995	2447114.90721539
F5GZA8;F8WEQ3;Q6ZT62;Q9Y3L3	988102.43749611
P80217	645194.776516063
D6RCM8;E5RIJ3;B7Z713;J3KQT8;O95379	2429462.68268306
O43684	1998663.56961166
A6NKE1;O43617	1877173.3240952
Q9NVP1	958597.980752877
Q9GZS3	681718.254122771
E9PMN0;E9PMI1;E9PIK5;E9PMA9;P13489;E9PMJ3;E9PLZ3;E9PIM9;E9PR82;H0YCR7	1685350.02020055
O60841	1844966.94602824
Q9NP77	394155.240254564
O75643	1493085.11497323
P42574	587725.306751601
Q9UQE7	1813268.47123849
P62266	1846549.49308767
Q16795	990760.302975632
P09497	1208782.34425004
P32322	2748836.90604637
Q8WXF1	1212836.8535125
Q14696;B4DW84;H0YLI4	1614440.82687173
Q99436	1109167.11953753
O96000	780617.907115448
P67812	1753679.96738516
O94826	1082731.52516352
P30566	1428701.75831414
H0YKD5;H0YKT3;H0YKL5;H0YK58;H0YK43;H0YK42;Q13596;A6NKH4;J3KPH4	1077657.84938931
O43175	1208843.81819997
Q15437	1691473.77214954
P61011	1543219.68940372
C9JBU9;C9JQ41;H7C525;Q4VC31	1321926.72900531
P45880	1124781.96294069
H0Y8X7;H0Y8G2;Q9Y678;D6RG17	1597835.23595153
B0QYG7;B0QYG9;H0Y923;Q9UNF0;B0QYG8;F8WC50	491538.558830229
B1AKZ3;Q15121;B1AKZ5	1247202.72017766
P98179	1259891.82299976
F8WEE0;H0YI06;Q9Y295	926055.916905415
Q13242	1423671.61793798
F5H8D0;F5GWB4;F5H717;B4DN34;F5H1L2;F5H471;F5H1H7;Q96GC5;F5H702;F5H4A2;F5GZH8	557833.91784733
O94925	1122685.09605848
C9JMN4;C9JP35;Q92520	2385930.76381681
P07741	543493.283305562
Q3LXA3	1832832.10860061
E5RFS4;E5RHU5;E5RK61;E5RI16;E5RGI7;E5RJL8;E5RIR8;Q9NUQ9;E5RJE1;E5RH75;E5RK81;Q9NW21	1883426.6252155
Q9Y5K5	1564666.90192758
Q13151	1692139.41119125
O14979	1876566.90978348
Q9BX68	718158.143745929
O60701	634092.525214435
Q6YP21	1905776.09370843
Q9NZL9	1801318.95786785
K7EIT2;Q9Y5L4	1341736.22986021
Q13813	524026.455704642
Q5JY90	745691.032468014
Q15306	627807.878322253
P29144	1447179.55595761
P35754	2684706.71075167
P38159	1212828.998589
Q15366	1666492.27920038
P49915	1503861.49927324
P60468	4062360.06360973
Q14318	1098897.17592037
P16152	5171785.20560697
Q8TCS8	1005497.37992271
P55769	1053391.49141543
Q96B97	843397.186152415
O43747	1170988.07352302
P32455	1713114.03468298
O00264;B7Z1L3	1620187.88252839
P08243	1463416.77861039
P18085	1615208.87086908
H0Y8L1;Q7Z478	185549.404117207
K7EIN6;K7EQM4;K7ES31;K7EMQ9;Q9UBQ5;B7ZAM9;K7ERF1;K7EK53;B4DQ48	1076948.13611704
H3BN88;J3KNP2;Q12788	337915.160436927
P10620	205439.049005777
Q96M27	2615211.84815485
Q9NZZ3	1326981.06711577
P09936	286005.328795477
O75251	1087488.37323582
O94979	1563327.17028803
P23588	1078417.67637991
D6RE67;D6RA57;H0Y9X1;Q96EY4;D6RC31	564013.778463637
Q9NR45	1355181.7954413
O75306	1840942.79073476
Q92890	2228930.84123413
M0R072;B1AKT3;Q9Y3A6	1088397.30617292
Q15393	1022768.90138143
Q9Y5P6	2419872.82331359
E5RHH8;H0YC58;H0YC69;H0YB24;G3V119;E5RHJ4;E5RGU7;Q8N163;E5RFJ3	1020859.81399207
O60869	1405477.08590188
P40763	1689563.28514161
Q01844	1912823.86200093
P16435	770635.719314337
P26440	254804.927477
E9PIE4;F5H3Y2;Q9Y6C9	1469968.26846894
P40616	1038879.81661682
P11908	747253.708108734
Q14289	1147116.10635005
Q9BT78	1824158.61795764
F5GZW1;H0YFY6;F5H763;Q9BTE9;F5H6Y5;K4DIE0;F5H073;F5GWA2;F5H2F3;F8W6T3;F5H068;F5H4Y4;F5GWK2;F5H4J1;Q14980;F5H3L6;F5H1L0;F5H0Z7;F5H7R5	1118323.11737988
K7EKW4;K7ENV7;Q96AB3	192198.926802776
J3KRX4;Q96A33	1131698.76821699
H0YAL7;D6RBD7;D6RCQ0;O43324;H0YAH9	820460.491631531
O95347	1297202.0822946
P20340	2179385.85815842
Q12972	918475.817369329
P35241	1457243.62811595
Q9Y3E7	616065.473116462
Q9BXJ9	1252360.68605007
Q92556	1004500.28807323
P29218	927672.158814276
Q92879	754171.063957031
Q9ULA0	1615366.12519774
Q9Y376	1042230.50035659
O00422	926497.369384815
Q13162	1205062.14606778
H7C0U8;C9JUL9;Q9BXP5;F8WE54;H7C1K0;H7C3A1	1060352.01054004
G5E9V9;Q8WW12	1028433.93178581
Q9NR31	902254.552436541
E9PP31;G3V153;Q14444;E9PLA9	1673376.64839844
F5H2A7;P61758	1147531.8480288
P16930	1605675.08494953
Q13257	604693.909585828
H0YER7;Q9BZZ5;G3V1C3;E9PQK6;B4E283	1173265.86510329
Q8N1F7	1699812.48704948
F5GYL3;G3V529;Q9GZR7	561682.256893506
P06730	1327786.60198058
P30405	727015.63122677
Q92900	1070864.9301892
P53367;B4DS69	707469.679321987
H0YBJ8;H0YBE0;E5RJU9;H0YB56;Q86UE4	858470.520985452
C9JKQ5;H7BZC3;C9JBS3;C9JEJ8;C9JK79;C9J739;C9J5E5;C9JHS9;H7C3D0;H7C0A4;C9JES8;C9JMQ6;C9JHZ8;H7C2D1;C9JHS7;C9JZI8;C9JE93;C9JT62;C9JQ82;C9JIZ1;Q00341;H0Y394;C9JHN6;C9JB08	1897786.30585921
O00425	1294880.83083554
P45973	660460.077418174
P51659	1046322.55601804
Q7L014	1293099.67995093
G3V475;G3V4L8;G3V5Q0;G3V5P0;B7Z6P3;H0YJV5;H0YJP2;H0YJZ8;Q86UP2;H0YJB7;G3V5G2;G3V4Y7	1533190.15202091
Q9NP79	686435.934796956
Q9Y4W6	717184.182725569
Q6ZS74	947260.25727341
Q12965	391514.315088392
Q5LJA0	1330695.46816719
P13674	794323.192050776
Q9UHB9	1338875.81472274
P55160	753763.058689203
P08579	2675124.4270158
B4E032;A6ND22;Q9Y3D3	1189989.21030405
P19878	870222.323983277
A0AVT1	591747.601500877
Q15392	630824.192750919
H0Y512;Q9HDC9	1328626.67858342
P46459	1112674.17608243
Q99459	796225.675233379
O60493	1179709.69926594
P43034	1652933.38580639
Q09028	1476548.6660473
K7EP07;K7EL99;K7ER04;Q6FGY5;K7EQH0;Q99426;K7EK42	1032423.08868813
O75955	778686.330399573
F5H6I7;F5GWF8;C9JUU1;Q6DD88	1227916.19898004
Q5T7Y7;Q9Y3Y2	1176903.50353648
A8MU28	1471095.31265995
O43399	826522.112873924
P04179	1918345.15347106
H0Y6E5;B7ZBP7;A6PVN5;A6PVN8;B7ZBP9;A6PVN6;A6PVN7;B7ZBQ0;A6PVN9;Q5T949;B4DZF8;C9IZ76;Q68CR8;Q15257;H0Y562;B4DDQ6;Q5T948	1003197.30010468
M0QYN0;M0QXF7;Q969H8	1590580.29710819
O95777	694096.757832621
Q13423	1215874.97652568
H7C1F3;C9JUM8;Q8TCB0;B7ZAG3	802886.476647911
P67870	2036994.53787233
O75348	852562.309761301
Q9UKX7	808586.3627208
P62834	1288455.43783054
Q8WYJ6	1502022.13593563
Q15369	2210728.55683282
P05771	226234.01229306
P09543	652677.304956148
Q8IYL7;Q7Z5R6	373176.266817717
P04040	2232407.70537383
P51398	737437.230054377
H7C4Q7;H7C5H7;O43488;H3BLU7	361251.081579926
Q9NTJ3	1346328.38472777
Q05DG7;Q9UBQ0;F8VXU5	1184853.74003706
A6NIH7	1480904.92838154
Q92930	394795.347311033
E9PJB2;Q53FT3;E9PPG8	1992208.10554494
F5GWB7;F5H5X6;P46087;F5GYR3;F5H8G6;F5H709;F5H359	1071607.24620281
Q07065	550759.46128415
Q8TEM1	640571.759687086
E5RFP0;Q8WVJ2	858127.478263606
P26885	1330742.25650916
P28068	701660.001005207
O60264	1225853.07079279
Q03518	1578522.9293
G5E9W7;C9J5D8;G5E9V5;P82650;H7C5H3;H7C5L9;H7C5F2;Q9H3I1	1409421.54315765
Q9NRX4	3720499.46279604
P00813	1479106.72425588
P12955	638708.855196273
P36543	955492.931809051
P50402	1301513.35765356
P62140	1486627.91202327
Q6P2Q9	1373696.75785005
E5RGI1;E5RJ27;E5RK35;P55327;E5RFR7;H0YC44;F5H0B0	1095893.2169995
Q13547	845073.702611107
Q15126	1702558.73832031
P62979	1175012.24384992
Q16401	2001944.56509538
D6RGE2;Q96CN7	949817.547885631
Q14203	1169914.13704089
Q13098	1327564.91110722
O14776	971587.728398465
F8WBI5;C9J7B1;C9K068;H7C333;O75323	1546478.47581406
P61026	1405033.3859277
Q92905	1350911.58213471
Q86YS6	241988.244591225
B4DSC0;E7EW37;Q92973;S4R398	753620.018937464
ENSG00000126749	407543.741205173
Q09161	766369.827313874
C9J7L8;H7C5Q2;F8WDI2;Q9Y305	726337.141437036
Q02252	812099.64453569
P61020	1819362.26585688
Q9Y617	543222.306853021
P13929	773195.644784661
Q9UIQ6	1242387.13396901
Q05655	1141607.15864891
P09417	2037216.50105165
P30419	1490892.96494233
Q9HAB8	1235325.26238782
P04844	1061431.13781927
Q16718	1169093.63429439
Q9UMX0	477329.403483023
Q53H12	1874921.90841225
Q8WU79	836066.930131594
F5H1J5;B1AMS2;Q14141;B4E049	1098922.43884924
O75694	857015.663246845
Q92835	1571394.28957674
P28482	660247.299540497
D4PHA4;F5GY92;Q86WP2	766030.718529037
H0YDA4;E9PLM2;B7Z1M1;E9PP27;H0YER5;Q15293	1109821.04202881
B4DF96;H7C5Q4;H7C5R5;H7C5Q3;F8WAT3;F8WF18;B4DQ14;C9IZE1;Q9BY44;F8WAE5	732656.905214048
F5GYX3	425822.968609048
Q53GS9	1014381.75331783
Q13526	2057764.6682618
C9JWE0;C9J5B8;Q9Y2L9	63800.7952623109
Q8WUW1	312307.500805243
C9JBU3;Q6UXN9;C9J355	621526.527804141
Q92616	930041.395741302
E9PN70;E9PKS9;B4DME1;E9PQE8;G3V1A0;G5EA23;Q9Y296;J3KP27	797572.313669915
P23786	659839.421640651
P11182	1286319.65329891
Q5T8A0;Q9Y399	549065.536941351
K7ES61;K7EKI4;K7EJ73;K7ELF1;Q9BYD3;K7ELQ0	648581.788377827
P78347	756253.891152343
P51553	564901.390373604
H0YNA1;Q52LJ0	890031.616674899
P35249	1985862.98051179
Q6P275	437655.719257735
G5E9Q4;B4DJC7;F8WEG8;C9JMM3;O75569	569393.836636061
Q92797	907321.985449389
Q9P032	683260.987180135
Q9BQG0	803411.178907267
Q9GZZ9	1178721.57871579
G3V2F3;G3V502;Q9Y5J7	407239.173921642
Q9BXS5	1327418.55507867
P49821	1247659.66734475
P30520	1421416.01704981
J3QRR4;J3QLW7;Q9Y221;J3QRD6	1072815.31812849
K7EKG2;K7EPB7;K7EML9;O43396;K7ER96;K7EME7;G3V1K0	861252.735978504
C9J0F2;H7BY58;B7Z972;H7C4X2;F8WAV5;F8WDT3;P22061;J3KP72;F8WAX2	2069718.02954768
Q9HBL7	3839636.02797808
E7ESL0;Q9NWU5;J3KQY1;H0YBZ7	879313.873067438
O43681	1204687.99082798
B4DQG6;P82663;E7EPW2;B4DFJ5	1415549.74202098
P53992	1049443.34351239
A6NDZ3;Q9Y3Z3	518104.253097799
P78344	1043665.42970329
E9PJK7;G5E9Q2;E9PKN4;E9PLD4;E9PLT0;E9PNG3;O75534	1221767.57723945
O75964	2733275.96115942
Q6IBS0	1424988.47244818
P27707	415625.764718626
P27708	1069049.80239226
F8W9B4	1349999.08317739
Q15404	1133156.4065799
Q13618	693928.328488632
C9JKZ2;C9JBD3;H7BZI1;F8WB20;Q02818;C9J3C1	953228.16866695
Q96RQ9	143520.977117021
Q9NSE4	1018342.80532332
Q96C36	701504.676031981
P00441	1208247.0405866
P08240	1279810.2216915
Q13418	2199827.07395667
I3L167	603774.959389589
Q02218	982903.230589758
Q9BQA1	621917.031022623
C9JZV3;C9JHK9;Q75MJ1;Q9UG63	1191531.0832865
H0YB34;H0YBX3;P52758;E5RIP8	364272.355875511
Q96RQ3	810468.095765288
P23921	1591589.44719934
B7Z7A3;B4DY13;Q5T3R7;Q9BZE4	844066.316593025
Q53H96	692590.705799976
P62873	864014.897513882
Q9NYL9	942042.159857264
P43897	540259.936079291
P82930;C9JJ19	883541.733978344
Q9NQ88	783734.349202189
P55263	685494.580645851
P50570	1498943.69364179
Q9NQP4	849622.110645973
J3KRI2;J3QL95;J3KRK4;J3KS63;J3QL86;J3KTA5;J3QRM1;J3QS62;J3QQY1;Q96JB5;J3QRX0;F5H3I5;J3QQS7;J3KSD0	774689.016110374
Q9HAV7	1817296.73301444
Q9Y5M8	709341.947515472
Q14258	877769.107205155
O75821	1538911.56819147
Q9NYU2	990320.908509304
P49961	422297.942280794
Q9BV20	469841.404751882
Q10567	742681.566293197
P84085	1108818.79117699
P49756	1001051.73353834
E3W975;O00193;E9PM92;E9PRZ9;E9PQA1	954744.64423758
H0YDU3;H0YD16;H0YDJ8;J3KN66;H0Y4R4;E9PKD1;Q5JTV8	866989.096508669
O75351	696266.8000531
P09110	1095145.44950636
P36405	1643291.76210222
O95782	1136066.38322339
H0YA97;G3V1R4;Q08J23;D6RAS3	595421.735497862
Q9NX46	999668.529878606
P13645	732525.287062122
C9JW17;Q13287	472816.688337083
Q93009	707016.88496357
Q9NYF8	841252.936766945
P18206	799774.693841043
O60488	785948.425254865
Q05519	1186036.62773974
Q14166	560485.786050081
Q99627	660120.272312095
Q9BRP8	1809316.25349372
Q14839	882689.985750174
Q9H7Z7	582547.418414693
Q9Y5K8	232766.280791203
D6R9Y6;D6RER5;H0Y9G8;D6RGI3;D6RDP1;D6RDU5;Q9NVA2;H0Y961	736213.002866939
Q6P5R6	483362.107095807
O00429	724756.333453506
M0QXM9;M0R301;M0QXU7;O43615;M0R124	1000273.83626023
C9JTC6;Q32MZ4	531497.893960709
B3KXD6;B5MCF9;H7BYY8;H7C267;O00541;C9JXJ1	827506.786036513
E9PIQ9;E9PQF3;Q9NQG5;A2A2M0	826578.631625152
C9JAZ1;F8WE26;F8WCW1;C9JNK6;O75431;Q8IZ68	509928.564378468
G3V4T2;B4DEH8;H0YJH9;Q86U42	885572.739398111
F8W9J0;B3KR64;H0YFB2;B4DGK6;O75746	1010845.77304706
P05141	1285518.84230375
Q9Y6M9	668048.21430103
B4E0Y9;Q8NBY1	518503.653634711
P62070	935345.085734161
D6RDJ1;Q9NX58	589322.8024717
Q9Y2H1	424248.611673273
P43246	835575.493342789
P20645	1395957.12703947
Q9Y2W1	811000.083289505
Q13363	710859.778661574
Q8N1G4;J3KRP5	626364.321595126
Q9Y696	471994.466103532
P52434	471652.88024281
F8WDN7;C9J3E3;E9PGZ4;Q9NTJ5;B4DK71;C9JV50;F8WCQ2;F8WD07	377998.331191351
O75935	513605.994917372
P46060	503352.462983191
Q9UNZ2	2005856.23610835
O00159	1056845.39782024
P53041	646884.212076648
P53602	831251.703293298
Q13077	1463839.54027114
P49959	873521.575162378
Q16576	1146582.46340212
Q0VAE8	1692921.12094234
H7C449;H7BZS1;H7BZM7;H7C0E5;F8WBC5;O75312	833082.298955228
O94804	449681.434101753
D6R941;P82909	1451014.60254809
P31937	921687.408339987
Q9UK45	1032850.08869258
Q9NR28	815806.833111962
P21964	535816.02199493
Q9NZB2	586540.7409543
F8WBL2;H7BY94;Q13895	677174.171472858
P11940	855342.549168277
O00148	2048701.63370473
Q9Y3C8	704634.391671691
O60762	1206370.26361852
P05091	3142813.04301181
Q86V21	750598.510510594
C9JZT7;C9JYH9;Q9BVP2;B4DMU5	669730.021118888
P35914	1010113.93505327
P61927	570139.216477979
O14879	1403763.76981978
O94906	779675.518754905
K7EMW4;K7ELZ9;K7EN96;K7ENM2;K7EQ66;Q969V3	741005.861802162
Q96A35	1405622.97081242
P32321	760163.052940291
P06132	964944.012543072
P42226	768673.721369908
P05362	1081448.16244686
O15212	815146.755575622
E5RFL3;E5RGT9;E5RGK5;Q9H2D1;B4DUQ5	915213.732815365
K7EQZ7;K7EP37;J3QQU5;J3KS54;K7EP27;J3QQQ2;J3QLR6;Q13045;K7EJJ7;J3KT47;J3KS39	562155.977696425
Q9H0P0	1065665.96456654
Q9BU61	569814.036310722
P36404	726095.278757601
P49247	873785.313618495
P56556	1080838.35033499
C9JIZ3;H7BXD5;H7C2Z6;C9JWQ8;P28676;C9JV47	416509.466961932
P82932	1319476.0825681
Q6NYC8	666401.562423944
P58546;C9JL85	817341.618614654
Q6P2E9	1345943.71660248
P62136	889029.385864686
Q8TAQ2	826371.191599504
B3KXI2	2080743.4099384
H0YA50;D6RA56;Q8N183	448431.015536552
Q13724	801212.711735709
O95816	1174698.36904225
M0R051;B1AL06;H0YBU8;H0Y6Y8;Q8N983;C9J5Q3;B1AL05	619762.963229631
K7EK60;K7EMY8;K7EJE6;K7ERL1;O95466	1046775.73354776
F5H612;H0YG82;H0YFD1;P82673	382777.332686072
O75592	30378.44354827
Q5T3I4;Q8NCW5;Q5T3I3	511264.296582148
H0YC42;E5RFT8;H7C5V3;U3KQQ8;E5RK86;E5RGC7;E5RFH3;Q9Y2Q9;H0YAT2	478876.184969079
H0YAB5;H0Y8N7;Q9BYD6	740682.922188847
O95299	523199.851883849
O15160	1046930.8102338
O15498	621574.401630515
Q13630	767763.350369511
Q16774	617022.298446068
P55735	1081481.98041408
Q9UBS4	1110877.46417705
P12270	770420.837626619
Q9UI09	361767.192206941
H3BSA6;H3BPN2;Q9H773	430668.210478987
O75822	589199.173221501
P51570	1168161.69493231
P04424	259199.713533561
P62491	2118989.41703256
P45974	926801.091655986
Q9NVH1	769111.714616164
P41227	852091.174289314
C9JPJ0;B4E019;H7C1K6;Q53G44	483635.808463509
Q02338	735324.941241612
O14561	452479.187517034
R4GMY7;M0R118;M0R1A1;M0R0D4;M0QZ54;E7EQD5;Q15833;M0R0M7;M0R376	725409.499670731
P83111;H0YNN5	1329384.66005644
Q96IJ6	1503968.87118006
Q5VXB1;A6NL20;F8W743;Q5VXA5;G3V1J2;A6NC03;F6RF20;Q7L513;F5H720	1835977.32988366
B4DWC7;B4E136;Q6YN16	859068.406651846
Q9HCN8	1069308.02445441
H0Y525;J3KP84;E9PLY6;F2Z2D6;H0YCS9;E9PRU6;H0Y5L2;E9PPG7;Q9NTX5;E9PIU8;E9PJS8;H0YD54	1204760.08616015
P42285	752631.544088372
M0QYG9;M0R3F1;M0QYM5;M0QYI8;M0QZV6;B7Z4B8;M0R0K8;Q9BUJ2;M0QYZ0;M0R203;M0R247	759461.892066467
I3L4Y5;I3L4P6;I3L1S9;C9IZD3;I3L460;I3L3P1;I3L4P0;Q68EM7	284941.974565175
Q13303	274841.74579149
P16220	773467.085408496
P08574	444664.161929086
Q5VWZ2	639632.849392033
Q9BW92	971888.036586982
Q96DI7	807302.407916817
E5RIW1;H0YBE1;E7ESC6;Q9UIA9;E9PEN8	864541.865786444
P50749	258850.874896562
Q9P016	1567674.00961089
Q92572	831115.621743971
A3KFI9;Q05048	672616.90620008
Q8IWV7	158320.158256865
Q96Q11	957642.139717329
M0R2F5;Q96CT7	791220.188413378
E7EVI2;E5RJC7;H0YB83;E5RJV0;E7EWZ7;H0YC67;B4DZW6;H0YB03;H0YBD9;H0YC27;Q96DB5;H0YAP5;E5RH53;E5RGC8	783039.445652693
P53582	650695.177905479
Q99816	723289.040034603
P49006	270055.347738245
K7EM55;K7EPT4;K7EQA4;K7EM85;F5H1R4;Q92619;F5H4A3;K7ES92;K7ES98	784951.759977291
H0Y970;D6RB24;D6RAN6;F6SKB8;Q9NVZ3	883323.769758312
P78406	719781.368718726
Q9NUJ1	551264.302477956
Q9BUQ8	895365.550140915
Q9HD33	669601.688577049
P30876	923458.697233821
P19404	676546.257764682
O43592	565335.715986855
Q6PI48	862330.260025851
Q9UKR5	731628.796930413
Q96SI9	404887.227645121
Q8WVY7	1086037.04108873
O75400	801223.664399254
Q9P0S9	791747.91055729
Q96F07	542222.118953474
Q9H9J2	579544.857209132
Q9Y6G9	1033893.98329527
Q00534	641854.997599768
P45954	1240088.00792181
J3QRP6;B3KY21;J3QRA3;O14745	817806.798796247
H0YIH9;F8W1K5;Q9Y2B0;H0YI18;F8VXJ7	1064634.28454335
Q9BW27	782283.972984937
P61006	1014312.35411735
O15355	1061646.63846399
O94874	766514.69630988
Q9Y5K6	734243.815151971
Q92600	550741.174607074
C9JB04;E9PB87;C9JTB9;O43516;B8ZZ90	984491.865244201
D6RBV5;D6R994;Q5U5X0	326485.885059868
C9K0E5;G5E9U8;Q8IXQ6	350564.593057133
H0YC73;E5RH50;H0YC33;H0YAN4;H0YBW1;H0YBR8;H0YAX9;H0YBJ5;E5RHK4;Q6PKG0;H0YBM7	635320.902996564
O75934	651820.516324914
J3QLC1;J3QLR8;Q9Y3D9	585945.544711621
P33176	772277.597450119
B7Z652;R4GMU7;Q6DKI1	472034.847665784
Q86XP3	815224.981243612
U3KQK3;K7EIR0;U3KQC1;Q9BV38;K7EML4;U3KQQ3;K7EKX5	848576.1683072
B8ZZI0;H7C1A8;C9JN42;Q9GZT8;E7EXA3	178463.866473295
Q99986	392511.661647048
P08236	163972.547969783
P51970	435675.268655016
H0YGA8;H0YH10;H0YF75;F8WAZ4;F5H7C0;F5H716;F5H257;B0QY59;O00178	886108.612255252
O43660	651609.59951419
Q96GX9	384877.76364805
P52789	238259.207338011
J3QS53;J3KTF4;J3KTI1;J3QQQ4;J3QRZ2;J3QRG5;J3KS78;J3KSJ5;J3QLB7;Q9BQA9;J3KSB6;J3QKZ6;Q969P4;H0Y2X1;J3QKS6	1157424.19356715
Q13867	597820.652811696
Q9Y371	833049.979512169
E9PPC3;E9PL10;Q96K17	1028059.18197988
P61966	899831.387272644
Q13568	81543.1630947628
O95881	483470.165100335
Q13617	595185.157837195
Q9BV57	131257.561130749
B4DEJ6;B1ANM7;B3KT28;Q9UNN5	417220.161547124
Q9BVG4;A6NDF3	564740.188219963
Q8TDN6	255611.438449357
H7BYF4;F8WB69;C9JAT7;O94888;F5GYB1;C9JD50	328132.683693556
Q14204	1142812.39201471
P09914	711062.196521487
Q9BSD7;Q5TDF0	576726.52483383
E9PGF9;O60502;B4DYV7;H7C3X0	450591.10849513
Q13576	723814.510476448
Q86YM6;Q86YM7	587347.575075892
F8WF67;B4DMW2;Q8WU90;H7C466;F8WB26	631841.067574691
P08559	1172672.31683749
F8WDL3;Q9BTV4	1191362.81421609
I3NI10;I3L2X8;I3L471;I3L4U7;I3L3W1;I3L4H1;F5GWE5;Q00169;I3L459;I3L4C0	1261907.64010299
Q9BYD1	809956.496018835
J3KN16;Q5VYK5;R4GMY1;Q5VYK3;F6XAQ5;R4GMY3	697383.293446111
J3KSV8;J3KSI8;Q9Y2R9;J3QQS1;J3QLS3;J3QKW2	679438.998011801
Q15276	337489.132679812
Q8WYA6	1168435.23559946
Q9UHI6	206020.195920856
S4R3V3;S4R3J8;Q9Y5A9	511440.056667902
H7C2Q8;Q99848	579356.044682719
Q14694	502534.58940883
P04818	537224.626127618
P61457	255756.301636383
E9PCW1	573009.013405041
O95630	350880.119288415
O00217	309938.382805287
O43491	454705.170473426
P08754	664177.248690284
P63092	744250.898453567
B4E318;Q9P287	386878.995102935
P17096	1018304.07867784
Q9GZP4	675729.46086472
Q8WY22	522108.46939911
E9PJ81;E9PRQ7;E9PS08;Q04323	780465.141555833
B9A008;E7ENR5;B8ZZ47;H0Y714;F8WCN0;Q96G21	454308.0679988
O15042	489279.710232336
Q9NVS9	365658.989843036
P05386	1011288.75034032
P48426	424510.133593017
Q9BY50	1037091.01624126
F6UR09;H0Y583;H0Y710;F6X9W3;F6TC96;H0Y4L1;H0Y7K4;F6WML8;F6XTU0;F6RG75;H0Y759;F6U341;F6VEM6;F6S6P2;P46379;F6U1F2	767080.359484455
Q86X76	250750.317858404
Q15388	782608.818961648
Q9NX24	703109.463486574
Q16555	754023.581997412
O43172	687167.97571453
Q15637	1072408.79443941
Q92522	725849.179766205
P04350	532670.153810889
Q13557	2129405.22883356
P53634	418529.100773253
O14618	193680.904539949
P49589	548179.365735716
Q00796	2833364.91075655
Q9Y3I1	104086.779861068
O76094	3110919.04633572
Q96DA6	1057649.74840358
O95747	956869.475695741
Q9H488	761153.589033106
E5RHQ3;Q96RS6;E5RGX7	295186.288702196
E9PFH4;Q9Y5L0;C9J7E5	641974.495818565
P15170	755227.265311762
E9PAR5	626618.39406995
Q8TC12	376038.570193493
F5H7V8;F5H4R5;F5H3L0;Q7Z2W9;H3BUY0	489605.633027266
P46926	460282.18908533
Q15942	899157.080348099
Q9H9A6	503001.614219449
Q9UI10	365282.388441684
F5H8L0;E9PS63;Q5JZA9;E9PNV2;Q5R372;B7ZAP0	411880.167328773
H3BSQ5;H3BUE3;H3BQ14;H3BSK9;H3BMX1;H3BUF6;H3BRB0;Q8WWM7;H3BPQ7;H3BQX7	1064022.60961665
Q9NRW7	129032.074350774
Q92974	659760.855265284
P34949	1863872.01404961
O15269	586788.838574748
Q9BTE3	1088961.80411089
F8WEU3	969046.127085161
B8ZZK0;Q53QZ3;H7BZM0	402999.749744573
P60604	490260.746862156
Q96DV4;B3KN96	348365.20613183
P05165	55907.6805587247
Q9Y2W2	438690.620493258
Q96I24	549604.515983435
Q9NYB0	299823.432929751
O94776	746594.355567423
Q5TDH0	701512.792458115
P35813	419662.672158304
