K00940	Ndk1:SPAC806.07
K12190	Vps36:SPBC3B9.09
K06125	Coq2:SPAC56F8.04c
K02962	Rps1702:SPCC24B10.09
K08282	Gad8:SPCC24B10.07
K02901	Rpl2702:SPCC74.05
K01681	SPAC24C9.06c:SPAC24C9.06c
K02486	Mak3:SPCC74.06
K10598	Cyp8:SPAC21E11.05c
K11762	Ssr2:SPAC23H3.10
K08876	Ppk3:SPAC15A10.13
spo_SPAC27F1.02c	Cdc8:SPAC27F1.02c
K03538	SPBC1703.01c:SPBC1703.01c
K10885	Pku80:SPBC543.03c
K08150	Itr2:SPAC20G8.03
K10747	Cdc17:SPAC20G8.01
K00993	SPAC22A12.10:SPAC22A12.10
K07203	Tor1:SPBC30D10.10c
K03861	Mug84:SPAC22A12.13
K01648	SPAC22A12.16:SPAC22A12.16
K11129	Nhp2:SPAC1782.10c
K10686	Uba3:SPAC24H6.12c
K01850	SPAC16E8.04c:SPAC16E8.04c
K09830	Erg3:SPAC1687.16c
K03178	Ptr3:SPBC1604.21c
K08337	SPBC6B1.05c:SPBC6B1.05c
K03240	Tif225:SPAC8C9.15c
K03262	SPAC2F7.05c:SPAC2F7.05c
K11870	Ubp1:SPCC16A11.12c
K11366	Ubp8:SPAC13A11.04c
K13336	SPAC29A4.14c:SPAC29A4.14c
K11270	Ctf8:SPAC19D5.11c
K00759	Apt1:SPAC23A1.03
K01515	SPBP35G2.12:SPBP35G2.12
K10838	Rhp41:SPAC12B10.12c
K14454	SPAC10F6.13c:SPAC10F6.13c
K10956	Sec61:SPBC354.02c
K11134	Elg1:SPBC947.11c
K01489	Cdd1:SPAC1556.04c
K03010	Rpb2:SPAC23G3.01
K14399	SPAC22H10.05c:SPAC22H10.05c
K13345	SPAPB17E12.03:SPAPB17E12.03
K14565	SPAC23G3.06:SPAC23G3.06
K10685	Fub2:SPBC16H5.03c
spo_SPCC613.04c	Rng3:SPCC613.04c
K03848	Alg6:SPBC342.01c
K00706	Bgs3:SPAC19B12.03
K08495	Gos1:SPAC4G8.10
K01591	Ura4:SPCC330.05c
K11293	Hip1:SPBC31F10.13c
K00026	SPCC306.08c:SPCC306.08c
K02981	Rps2:SPCC576.08c
K04718	SPAC4A8.07c:SPAC4A8.07c
K01011	SPCC4B3.01:SPCC4B3.01
K01673	SPBP8B7.05c:SPBP8B7.05c
K00681	Ggt2:SPAC56E4.06c
K11562	Nnf1:SPAC29E6.04
K03123	SPCC553.11c:SPCC553.11c
K03362	Pof11:SPAC29E6.01
K14005	Sec31:SPBC8D2.20c
K03845	Alg3:SPAC7D4.06c
K03120	Tbp1:SPAC29E6.08
K14544	SPBC776.08c:SPBC776.08c
K12625	Lsm6:SPAC2F3.17c
K11363	Sgf11:SPAC57A10.14
K00036	SPAC3C7.13c:SPAC3C7.13c
K10875	Rhp54:SPAC15A10.03c
K02893	Rpl2502:SPBC4F6.04
K14007	SPBC4.03c:SPBC4.03c
K00924	Kin1:SPBC4F6.06
K02603	Orc1:SPBC29A10.15
K02138	Atp7:SPBC29A10.13
K10908	Rpo41:SPAC26H5.12
K01887	Mrs1:SPBC25B2.09c
