K00115	Dmel_CG12398:Dmel_CG12398
K04676	Mad:Dmel_CG12399
K09326	Oc:Dmel_CG12154
K10352	Mhc:Dmel_CG17927
K07976	Rab39:Dmel_CG12156
K00430	Prx2540-1:Dmel_CG12405
K02145	Vha68-1:Dmel_CG12403
K03968	Dmel_CG12400:Dmel_CG12400
K11293	HirA:Dmel_CG12153
K07976	RabX5:Dmel_CG7980
K12842	Dmel_CG9346:Dmel_CG9346
K06698	Reg:Dmel_CG1591
K10392	Unc-104:Dmel_CG8566
K04447	Hop:Dmel_CG1594
K04725	Iap2:Dmel_CG8293
K08515	Dmel_CG1599:Dmel_CG1599
K00864	Dmel_CG8298:Dmel_CG8298
K10415	SdiC1:Dmel_CG9580
K01749	L(3)02640:Dmel_CG9165
K06115	BetA-spec:Dmel_CG5870
K10358	Jar:Dmel_CG5695
K03955	MtaCp1:Dmel_CG9160
K01988	AlpHa4gt2:Dmel_CG5878
K09236	Tsh:Dmel_CG1374
K08705	Ftz-f1:Dmel_CG4059
K04237	Baz:Dmel_CG5055
K08471	Gr85a:Dmel_CG31405
K15464	Dmel_CG5059:Dmel_CG5059
K01192	Dmel_CG12582:Dmel_CG12582
K10745	Dmel_CG30105:Dmel_CG30105
K00873	Dmel_CG12229:Dmel_CG12229
K09995	Bap:Dmel_CG7902
K03961	L(3)neo18:Dmel_CG9762
K14570	Dmel_CG8368:Dmel_CG8368
K14283	TacC:Dmel_CG9765
K09090	HlhM7:Dmel_CG8361
K01489	Dmel_CG8360:Dmel_CG8360
K13811	PapSs:Dmel_CG8363
K00940	NmdYn-d7:Dmel_CG8362
K09090	E(sPl):Dmel_CG8365
K12835	Dmel_CG6418:Dmel_CG6418
K12182	Hrs:Dmel_CG2903
K05208	NmdAr1:Dmel_CG2902
K04392	Mtl:Dmel_CG5588
K00934	Dmel_CG4546:Dmel_CG4546
K14404	Clp:Dmel_CG3642
K12389	Cln3:Dmel_CG5582
K09442	Ets98b:Dmel_CG5583
K04646	Chc:Dmel_CG9012
K02155	Vha16-4:Dmel_CG9013
K12841	ScaF6:Dmel_CG33522
K14411	msi:Dmel_CG5099
K06026	Neb:Dmel_CG10718
K11997	BraT:Dmel_CG10719
K12304	Dmel_CG5276:Dmel_CG5276
K08635	Nep1:Dmel_CG5905
K02977	Rps27a:Dmel_CG5271
K04515	CamKii:Dmel_CG18069
K12190	Vps36:Dmel_CG10711
K04255	Rh5:Dmel_CG5279
K00861	Dmel_CG2846:Dmel_CG2846
K14320	Dmel_CG16892:Dmel_CG16892
K11757	PolYbromo:Dmel_CG11375
K12192	CHMP2B:Dmel_CG4618
K10846	Mus201:Dmel_CG10890
K01893	Dmel_CG6796:Dmel_CG6796
K08509	UsnP:Dmel_CG11173
K04446	NfaT:Dmel_CG11172
K10532	Dmel_CG6903:Dmel_CG6903
K04233	AlsTr:Dmel_CG2872
K02881	mRpL18:Dmel_CG12373
K06675	Glu:Dmel_CG11397
K10771	Rrp1:Dmel_CG3178
K05410	Ik2:Dmel_CG2615
K13250	SsrBeta:Dmel_CG5474
K04441	Mpk2:Dmel_CG5475
K14071	Lkr:Dmel_CG10626
K04703	SprEd:Dmel_CG10155
K00547	Dmel_CG10621:Dmel_CG10621
K01900	SucB:Dmel_CG10622
K01539	AtpAlpha:Dmel_CG5670
K01110	PteN:Dmel_CG5671
K12948	Spase22-23:Dmel_CG5677
K04615	GabA-b-r1:Dmel_CG15274
K00901	RdgA:Dmel_CG34344
K13298	Pde11:Dmel_CG34341
K02270	Dmel_CG9603:Dmel_CG9603
K01934	Dmel_CG34424:Dmel_CG34424
K03386	Prx5037:Dmel_CG5826
K11140	Sp1029:Dmel_CG11956
K11140	Dmel_CG11951:Dmel_CG11951
K09553	Hop:Dmel_CG2720
K01183	Cht2:Dmel_CG2054
K10260	Ago:Dmel_CG15010
K05725	Fak56d:Dmel_CG10023
K09215	BowL:Dmel_CG10021
K02990	mRpS6:Dmel_CG15016
K05195	Rdl:Dmel_CG10537
K04688	S6k:Dmel_CG10539
K09568	Fk506-bp2:Dmel_CG11001
K14004	Sec13:Dmel_CG6773
K00517	Cyp313a4:Dmel_CG6802
K14521	l(1)G0020:Dmel_CG1994
K01880	AatS-gly:Dmel_CG6778
K02985	Rps3:Dmel_CG6779
K14962	Wdr82:Dmel_CG17293
K01187	Mal-A8:Dmel_CG8690
K12373	Fdl:Dmel_CG8824
K06230	Ci:Dmel_CG2125
K00726	MgaT1:Dmel_CG13431
K10862	Gkt:Dmel_CG8825
K12667	OstDelta:Dmel_CG6370
K11142	S-Lap1:Dmel_CG6372
K09173	Rfx:Dmel_CG6312
K01446	PgrP-lb:Dmel_CG14704
K08508	SnaP25:Dmel_CG40452
K01104	Lar:Dmel_CG10443
K03165	Top3beta:Dmel_CG3458
K04345	Pka-c3:Dmel_CG6117
K08852	Ire-1:Dmel_CG4583
K01590	Hdc:Dmel_CG3454
K03064	Rpt4:Dmel_CG3455
K03243	Eif5b:Dmel_CG10840
K00517	Cyp4p1:Dmel_CG10842
K00517	Cyp4p3:Dmel_CG10843
K05327	Rya-r44f:Dmel_CG10844
K00560	Ts:Dmel_CG3181
K05322	Sei:Dmel_CG3182
K03644	Las:Dmel_CG5231
K10258	Sc2:Dmel_CG10849
K11648	Snr1:Dmel_CG1064
K14290	Emb:Dmel_CG13387
K12311	Dmel_CG9463:Dmel_CG9463
K00934	Dmel_CG5144:Dmel_CG5144
K12404	Gga:Dmel_CG3002
K01435	vanin-like:Dmel_CG32754
K14306	Nup62:Dmel_CG6251
K02953	Rps13:Dmel_CG13389
K06704	Kul:Dmel_CG1964
K01769	Gyc32e:Dmel_CG33114
K11655	Acf1:Dmel_CG1966
K00993	Dmel_CG33116:Dmel_CG33116
