K00652	BioF:slr0917
K03076	SecY:sll1814
K00939	Adk:sll1815
K00262	GdhA:slr0710
K02948	Rps11:sll1817
K06042	MerR:sll0794
K02881	RplR:sll1811
K00214	BvdR:slr1784
K02876	RplO:sll1813
K00034	Gdh:sll1709
K01809	RfbM:slr0493
K01911	MenE:slr0492
K03040	RpoA:sll1818
K02879	RplQ:sll1819
K02316	DnaG:sll1868
K00978	RfbF:slr0983
K09691	RfbB:slr0982
K01790	RfbC:slr0985
K01709	RfbG:slr0984
K02093	ApcB:slr1986
K01582	Cad:sll1683
K00259	sll1682:sll1682
K03087	RpoD:sll1689
K01733	ThrC:sll1688
K00995	PgsA:sll1522
K03116	slr1046:slr1046
K00855	Prk:sll1525
K01682	slr0665:slr0665
K01892	HisS:slr0357
K02694	PsaF:sll0819
K00791	MiaA:sll0817
K03711	Fur:sll0567
K02275	CtaC:sll0813
K01951	GuaA:slr0213
K00548	MetH:slr0212
K02231	CobU:slr0216
K08884	PknA:slr1697
K05588	HoxU:sll1223
K05587	HoxF:sll1221
K01835	Pgm:sll0726
K01465	PyrC:slr0406
K03465	ThyX:sll1635
K00145	ArgC:sll0080
K01962	AccA:sll0728
K00858	PpnK:slr0400
K03271	GmhA:sll0083
K00367	NarB:sll1454
K01569	sll1358:sll1358
K02051	NrtA:sll1450
K02637	PetD:slr0343
K02049	NrtC:sll1452
K02049	NrtD:sll1453
K00688	GlgP:sll1356
K07462	RecJ:sll1354
K02284	CpcA:sll1578
K03654	RecQ:slr1536
K03106	Ffh:slr1531
K02959	RpsP:ssr0482
K03524	BirA:sll1655
K02487	sll1296:sll1296
K02227	CobD:slr1925
K02188	CbiD:slr1538
K02067	Ycf22:sll0751
K02011	HitB:slr0327
K02095	ApcD:sll0928
K01191	Ams1:slr0323
K06596	slr0322:slr0322
K00031	Icd:slr1289
K07785	NreB:slr0796
K01595	Ppc:sll0920
K00789	MetX:sll0927
K10039	GlnH:sll1104
K05581	NdhJ:slr1281
K05582	NdhK:slr1280
K02191	CbiT:slr1368
K00981	CdsA:slr1369
K02659	slr1043:slr1043
K00761	Upp:sll1035
K02660	McpA:slr1044
K02488	PleD:slr1047
K02835	PrfA:sll1110
K03428	ChlM:slr0525
K02500	HisF:sll1893
K01012	BioB:slr1364
K03101	LspA:slr1366
K00688	GlgP:slr1367
K03786	AroQ:sll1112
K02946	RpsJ:sll1101
K01866	TyrS:slr1031
K01585	SpeA:slr0662
K00286	ProC:slr0661
K04077	GroEl-2:sll0416
K01867	TrpS:slr1884
K01424	sll0422:sll0422
K01429	UreB:sll0420
K01756	PurB:sll0421
K02716	PsbO:sll0427
K02652	GspE:slr0063
K02230	CobN:slr1211
K11958	LivF:slr1881
K02552	EntC:slr0817
K03118	Ycf43:sll0194
K00931	ProB:slr2035
K06153	UppP:sll0210
K02638	PetE:sll0199
K03820	Lnt:slr0819
K01234	NplT:sll0842
K01776	MurI:slr1746
K01448	AmiA:slr1744
K03885	Ndh:slr1743
K02355	Fus:sll0830
K00566	MnmA:sll0844
K01633	slr1626:slr1626
K05584	slr1623:slr1623
K01507	Ppa:slr1622
K12573	Zam:sll1910
K07769	Dfr:sll0698
K02495	HemN:sll1917
K00969	NadD:sll1916
K02913	RpmG:ssr1398
K02963	RpsR:ssr1399
K00940	NdkR:sll1852
K01142	XthA:sll1854
K05356	Sds:slr0611
K05572	NdhA:sll0519
K02313	DnaA:sll0848
K06208	AroH:sll0109
K03702	UvrB:sll0459
K00003	ThrA:sll0455
K01889	PheS:sll0454
K01807	RpiA:slr0194
K04561	NorB:sll0450
K01924	MurC:slr1423
K00927	Pgk:slr0394
K00595	CbiE:sll0099
K08884	PknA:sll0776
K00873	PykF:sll1275
K07738	NrdR:slr0780
K03629	RecF:sll1277
K02029	GlnH:sll1270
K02040	SphX:sll0679
K08906	PetJ:sll1796
K01925	MurD:sll2010
K00392	Sir:slr0963
K03087	RpoD:sll2012
K02338	DnaN:slr0965
K03610	MinC:sll0288
K01695	TrpA:slr0966
K00766	TrpD:slr1867
K11603	MntA:sll1599
K04487	NifS:sll0704
K01992	KpsM:slr2107
K11601	MntC:sll1598
K03705	HrcA:sll1670
K02276	CtaE:slr1138
K02341	DnaX:slr0446
K11959	AmiC:slr0447
K00705	MalQ:sll1676
K02902	RpmB:ssr1604
K03470	RhnB:slr1130
K01755	ArgH:slr1133
K02274	CtaD:slr1137
K02275	CtaC:slr1136
K02551	MenD:sll0603
K02488	PleD:slr0687
K01999	sll0606:sll0606
K00013	HisD:slr0682
K00027	Me:slr0721
K07456	MutS:sll1772
K17108	sll1775:sll1775
K02274	CtaD:slr2082
K01619	DeoC:sll1776
K02717	sll1418:sll1418
K00033	Gnd:sll0329
K01890	PheT:sll1553
K02654	HofD:slr1120
K01902	SucD:sll1557
K10773	Nth:slr1822
K00966	sll1558:sll1558
K02428	MazG:sll1005
K03185	UbiH:slr1300
K00858	PpnK:sll1415
K06188	ApqZ:slr2057
K02438	GlgX:slr0237
K03741	ArsC:slr0946
K03564	Bcp:slr0242
K03885	Ndh:sll1484
K02956	RpsO:ssl1784
K01092	sll1329:sll1329
K01733	ThrC:sll1172
K02160	AccB:slr0435
K02356	Efp:slr0434
K01433	PurU:sll0070
K01599	HemE:slr0536
K00615	TktA:sll1070
K08300	Rne:slr1129
K01529	ZiaA:sll1076
K01480	SpeB:sll1077
