K04564	SOD2:YHR008C
K14804	SLX9:YGR081C
K01187	Ima2:YOL157C
K14565	Nop58:YOR310C
K02925	RPL3:YOR063W
K09498	CCT6:YDR188W
K15080	SAW1:YAL027W
K03495	MTO1:YGL236C
K12868	Syf2:YGR129W
K08857	KIN3:YAR018C
K13953	ADH2:YMR303C
K02951	RPS12:YOR369C
K11121	Hst3:YOR025W
K13989	DFM1:YDR411C
K10956	SSH1:YBR283C
K10967	KTR3:YBR205W
K00728	PMT3:YOR321W
sce_YML104C	Mdm1:YML104C
K03017	RPB9:YGL070C
K13954	ADH4:YGL256W
K15543	Ref2:YDR195W
K13939	FOL1:YNL256W
K01835	PRM15:YMR278W
K14328	UPF3:YGR072W
K12774	MAM1:YER106W
K11262	HFA1:YMR207C
K03135	TAF11:YML015C
K04564	MRP1:YDR347W
K00624	YAT1:YAR035W
K15278	YEA4:YEL004W
K01530	DNF1:YER166W
K14563	Nop1:YDL014W
K08734	MLH1:YMR167W
K07208	RHB1:YCR027C
K08139	SNF3:YDL194W
K02136	ATP3:YBR039W
K18184	COX20:YDR231C
K10846	RAD2:YGR258C
K03011	RPB3:YIL021W
K02155	VMA11:YPL234C
K06647	MBP1:YDL056W
K05916	YHB1:YGR234W
K12596	TRF5:YNL299W
K11667	IES6:YEL044W
K17891	ERV2:YPR037C
K14230	tM(CAU)Q1:tM_CAU_Q1
K11315	NGG1:YDR176W
K08286	KIN1:YDR122W
K07975	RHO2:YNL090W
K14237	tV(AAC)G1:tV_AAC_G1
K12881	YRA1:YDR381W
K02900	RPL28:YGL103W
K03021	RET1:YOR207C
K17434	MRPL44:YMR225C
K14230	IMT1:tM_CAU_O1
K00134	TDH3:YGR192C
K11996	UBA4:YHR111W
K00414	Cor1:YBL045C
K18181	COX14:YML129C
K05605	Ehd3:YDR036C
K00616	NQM1:YGR043C
K01196	GDB1:YPR184W
K11684	BDF2:YDL070W
K10357	MYO4:YAL029C
K02607	ORC5:YNL261W
K14229	tK(CUU)E1:tK_CUU_E1
K14229	tK(CUU)E2:tK_CUU_E2
K01930	MET7:YOR241W
K01247	MAG1:YER142C
K00227	ERG3:YLR056W
K14288	LOS1:YKL205W
K04802	POL30:YBR088C
K12855	PRP6:YBR055C
K13519	ALE1:YOR175C
K13339	PEX6:YNL329C
K07901	SEC4:YFL005W
K15223	TRI1:YMR233W
K15456	KTI12:YKL110C
K04348	CMP2:YML057W
K00237	SDH4:YDR178W
K15900	KAE1:YKR038C
K00088	IMD3:YLR432W
K14227	tI(AAU)B:tI_AAU_B
K08269	ATG1:YGL180W
K14227	tI(AAU)G:tI_AAU_G
K10753	ASF1:YJL115W
K00550	OPI3:YJR073C
K11887	RPN14:YGL004C
K02151	VMA7:YGR020C
K13357	SPO1:YNL012W
K02868	RPL11A:YPR102C
K08681	SNO2:YNL334C
K02132	ATP1:YBL099W
K11758	RSC3:YDR303C
K11273	CHL1:YPL008W
K07739	ELP3:YPL086C
K14301	NUP84:YDL116W
K03650	MSS1:YMR023C
K09265	ARG80:YMR042W
K07178	RIO1:YOR119C
K07304	MXR1:YER042W
K14845	RAI1:YGL246C
K14554	Utp21:YLR409C
K02739	PUP1:YOR157C
K08139	GAL2:YLR081W
K14221	tD(GUC)Q:tD_GUC_Q
K00988	APA1:YCL050C
K14221	tD(GUC)K:tD_GUC_K
K14226	tH(GUG)G1:tH_GUG_G1
K00062	ARA2:YMR041C
K14221	tD(GUC)O:tD_GUC_O
K01507	PPA2:YMR267W
K14221	tD(GUC)M:tD_GUC_M
K14171	AHP1:YLR109W
K14729	FOX2:YKR009C
K14233	tS(UGA)Q2:tS_UGA_Q2
K01268	APE1:YKL103C
K14221	tD(GUC)D:tD_GUC_D
K10356	MYO5:YMR109W
K11269	CTF18:YMR078C
K08741	MSH5:YDL154W
K00643	HEM1:YDR232W
K05531	MNN10:YDR245W
K14846	RPF1:YHR088W
K14570	RNH70:YGR276C
K14227	tI(AAU)P2:tI_AAU_P2
K07889	YPT52:YKR014C
K08139	RGT2:YDL138W
K09104	CBF1:YJR060W
K15217	RRN5:YLR141W
K02606	ORC4:YPR162C
K14686	CTR2:YHR175W
K08139	HXT15:YDL245C
K14227	tI(AAU)N1:tI_AAU_N1
K08286	CBK1:YNL161W
K10625	UBR1:YGR184C
K14963	SWD3:YBR175W
K03872	ELC1:YPL046C
K14539	Lsg1:YGL099W
K00830	AGX1:YFL030W
K14223	tQ(UUG)L:tQ_UUG_L
K14853	RSA1:YPL193W
K08516	YKT6:YKL196C
K17871	NDE2:YDL085W
K17908	ATG18:YFR021W
K10524	Nrk1:YNL129W
K00003	HOM6:YJR139C
K02138	ATP7:YKL016C
K02516	HSL7:YBR133C
