Numerator	Denominator	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener
-Folding, Sorting and Degradation	MAPPED	0.07776	0.08633	0.09287	0.06549	0.06945	0.07297	0.01582	0.01789	0.0205	0.009034	0.01053	0.01156	0.04873	0.05274	0.05947	0.06438	0.0702	0.07504	0.05406	0.05859	0.07334	0.07119	0.08725	0.09959	0.03133	0.03758	0.04376
-DNA Maintenance	MAPPED	0.0122	0.01835	0.02563	0.0277	0.03103	0.03367	0.001809	0.002104	0.002609	0.00118	0.002458	0.005729	0.003479	0.007229	0.008776	0.01058	0.01586	0.01862	0.005484	0.01152	0.01349	0.01086	0.01432	0.01712	0.002521	0.005046	0.01672
-RNA Family	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	MAPPED	0.001197	0.001298	0.002694	0.01178	0.01221	0.01476	0.0001656	0.002814	0.003794	0.0001918	0.004655	0.005682	0.002702	0.005784	0.00851	0.002641	0.007812	0.01064	0.003685	0.005707	0.009666	0.01007	0.01434	0.01886	0.02439	0.02544	0.02681
-Signal Transduction	MAPPED	0.001197	0.001298	0.002694	0.01169	0.01212	0.0145	8.041e-05	0.002814	0.0033	0.0001692	0.004655	0.005002	0.0007229	0.002871	0.004603	0.001192	0.003272	0.00503	0.001706	0.003712	0.004746	0.004741	0.00694	0.01051	0.02439	0.02544	0.02681
-Signaling Molecules and Interaction	MAPPED	0	0	0	8.7e-05	8.7e-05	8.7e-05	0	0	0.0007141	0	0	0.0008412	0.000449	0.002841	0.005321	0.001449	0.004382	0.005989	0.0004799	0.002047	0.00496	0.003768	0.00592	0.01013	0	0	0
Cellular Processes	MAPPED	0.008452	0.008883	0.009968	0.01447	0.0151	0.01963	0.001178	0.01454	0.02969	0.001541	0.01201	0.01813	0.007572	0.01741	0.02057	0.01355	0.02845	0.03351	0.01318	0.02028	0.02681	0.04566	0.05913	0.06833	0.002153	0.003414	0.005601
-Hemoglobin	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	MAPPED	0	0	0	0	0	0.000588	0.0002068	0.001348	0.02866	0.0002354	0.003098	0.01523	0.003055	0.005998	0.01288	0.007047	0.01027	0.0136	0.007651	0.01579	0.02013	0.0192	0.02293	0.02831	0	0	0
-Cytoskeleton	MAPPED	0.002689	0.002689	0.002689	0.004281	0.004281	0.004281	0	0	0.004825	0	2.186e-05	0.003931	0.001065	0.003544	0.00458	0.00176	0.005305	0.008515	0.0002239	0.003509	0.004643	0.007732	0.01256	0.02092	0.001927	0.001927	0.001927
-Cell Motility	MAPPED	0.001196	0.001196	0.001628	0.008562	0.009203	0.01383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001763	0.001447	0.003185
-Cell Growth and Death	MAPPED	0.004566	0.004566	0.006083	0.001342	0.001491	0.001646	0.0003841	0.005713	0.006441	5.609e-05	0.002831	0.003106	0.001017	0.001899	0.002397	0.001182	0.002083	0.003742	0.0004824	0.0008448	0.00138	0.002931	0.006591	0.008629	0	4.077e-05	0.0006894
-Cell Communication	MAPPED	0	0	0	0	0	0	0	2.046e-06	0.008609	0	0.0001059	0.008038	2.064e-05	0.001174	0.008812	0.0001202	0.001677	0.01327	1.768e-05	0.0003504	0.003667	0.001975	0.004393	0.02478	0	0	0
Metabolism	MAPPED	0.4251	0.4358	0.4507	0.5483	0.558	0.5663	0.3714	0.4012	0.4603	0.4231	0.4435	0.5137	0.3637	0.3801	0.4006	0.4066	0.4202	0.4351	0.3106	0.3166	0.348	0.2187	0.2409	0.2581	0.2296	0.2451	0.2532
-Membrane Transport	MAPPED	0.01391	0.02161	0.02824	0.09022	0.1082	0.1147	0	3.197e-05	0.0003101	0	0	0.0001501	0.0004083	0.0008896	0.001833	0.0009679	0.001583	0.001939	0.0005977	0.001064	0.001229	0.0007015	0.001277	0.001445	0.01544	0.02302	0.02625
-Central Carbon Metabolism	MAPPED	0.05524	0.0747	0.08372	0.1046	0.1215	0.1339	0.1521	0.2024	0.2428	0.1306	0.1739	0.2181	0.07052	0.09069	0.09823	0.08381	0.1031	0.1121	0.06623	0.08216	0.1172	0.04719	0.05464	0.05678	0.02386	0.03118	0.03792
-Energy Metabolism	MAPPED	0.01087	0.0247	0.02818	0.02436	0.03019	0.0377	0.008373	0.04359	0.08702	0.01365	0.03656	0.08905	0.01806	0.02457	0.04892	0.01942	0.03083	0.0483	0.04296	0.04545	0.06555	0.0116	0.0175	0.03552	0.03156	0.04385	0.05337
-Biosynthesis	MAPPED	0.1652	0.1829	0.1995	0.112	0.1247	0.1284	0.0257	0.0543	0.06049	0.07605	0.09865	0.1157	0.1062	0.1306	0.1371	0.109	0.127	0.1348	0.0546	0.06294	0.08841	0.03971	0.05944	0.06365	0.05403	0.05864	0.06405
-Other Enzymes	MAPPED	0.1033	0.1281	0.1474	0.1564	0.1663	0.1963	0.04792	0.08883	0.1662	0.08231	0.109	0.1828	0.09448	0.1282	0.1579	0.127	0.1583	0.1886	0.07238	0.1063	0.1409	0.08945	0.1076	0.1234	0.06895	0.08427	0.09595
Organismal Systems	MAPPED	0	0	0	0	0.0004406	0.001003	0.001086	0.005961	0.01648	0.0006394	0.004586	0.01257	0.005227	0.00877	0.01323	0.01398	0.01705	0.02109	0.01032	0.01884	0.0257	0.02478	0.02979	0.0405	0	0.0004768	0.001005
-Immune System	MAPPED	0	0	0	0	0	0	0	0.0001643	0.005609	0	0.0002605	0.004381	0.0005737	0.003284	0.005651	0.0008925	0.004504	0.009035	9.444e-06	0.0009302	0.007653	0.001026	0.004463	0.01392	0	0	0
-Endocrine System	MAPPED	0	0	0	0	0.0004406	0.001003	4.364e-06	0.0001656	0.002829	2.209e-05	0.000131	0.004679	0.0006036	0.001322	0.002674	0.0009926	0.002236	0.003407	0.0002129	0.001891	0.006831	0.00297	0.004354	0.009389	0	0	0.0005284
-Circulatory System	MAPPED	0	0	0	0	0	0	0	0	0	0	0	4.51e-05	0	0.0007238	0.003615	0	0.001896	0.0097	0	0.0001191	0.005097	0.0001124	0.002591	0.009911	0	0	0
-Digestive System	MAPPED	0	0	0	0	0	0	0	0	0.00703	0	0	0.004448	0	0.0001797	0.004594	0	0.0006357	0.004913	0	6.147e-06	0.0002692	0.0002461	0.002391	0.004309	0	0	0.0004768
-Excretory System	MAPPED	0	0	0	0	0	0	0	0.0001118	0.0001834	3.933e-06	4.954e-05	0.001006	0.0005115	0.0009437	0.001506	0.001738	0.002547	0.00519	0.000665	0.002248	0.004068	0.002141	0.00563	0.008199	0	0	0
-Nervous System	MAPPED	0	0	0	0	0	9.421e-10	0	2.314e-05	0.005587	0	0	0.002728	0	1.171e-05	0.0007649	0	4.951e-05	0.0007135	0	2.424e-05	0.001518	0.0009113	0.002124	0.006529	0	0	0
-Sensory System	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.171e-05	0	0	3.755e-05	0	0	2.282e-05	7.383e-07	0.0005952	0.002071	0	0	0
-Development	MAPPED	0	0	0	0	0	0	0	0	0.0007856	0	0	0.0004151	0	0	0.0002854	0	0	0.0004229	0	0	5.559e-05	0	0.000368	0.0007588	0	0	0
-Environmental Adaptation	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0.0001029	0	0	0.0005369	0	0	0.0005212	0.006423	0.006711	0.009832	0	5.561e-05	0.00228	0	0	0
Human Diseases	MAPPED	0.005707	0.02105	0.02671	0.003744	0.01173	0.0184	0.007837	0.06694	0.1029	0.01538	0.07663	0.1004	0.03539	0.05779	0.06674	0.0646	0.08061	0.09475	0.04716	0.06966	0.08254	0.06535	0.08067	0.1091	0.001653	0.01623	0.02381
-Cancers	MAPPED	0	0	0	0	9.643e-05	0.001617	0	6.776e-05	0.0001306	0	2.674e-05	0.0003361	3.957e-05	0.0003569	0.0006507	0	0.001319	0.001636	0.0001399	0.0008445	0.001889	0.003019	0.004018	0.006825	0	0	0.0003522
-Immune System Diseases	MAPPED	0	0	0	0	9.421e-10	0.0001768	0.0002222	0.00128	0.001626	0.001336	0.004522	0.006571	0.001508	0.002951	0.005342	0.00544	0.008205	0.01281	0.004867	0.009015	0.01083	0.001038	0.003787	0.00507	0	0	0
-Neurodegenerative Diseases	MAPPED	0	0.02028	0.02028	0	0.006495	0.007083	0.0002785	0.06382	0.06606	0.0007477	0.06943	0.07541	0.01065	0.03115	0.03474	0.02844	0.03785	0.04404	0.0162	0.05267	0.0573	0.02772	0.03748	0.05133	0	0.001301	0.001301
-Cardiovascular Diseases	MAPPED	0	0	0	0	0	0	0	0	2.046e-06	0	0	2.95e-06	0	0	0	0	0	0	0	0	0	0.002321	0.006044	0.01075	0	0	0
-Metabolic Diseases	MAPPED	0	0	0.004812	0	0	0.004948	0	0.00703	0.02065	0	0.004448	0.01699	0	0.004594	0.01251	0	0.004913	0.01221	0	0.000157	0.003187	0	0.0004043	0.007071	0	0	0.01452
-Infectious Diseases	MAPPED	0	0.004812	0.01052	0.0001674	0.003452	0.01004	0.001037	0.006913	0.01175	0.0004924	0.006169	0.01126	0.01389	0.01594	0.02394	0.02007	0.02224	0.0374	0.003743	0.009333	0.0181	0.01477	0.02771	0.04011	0	0.007986	0.01738
Not Mapped	MAPPED	0.01579	0.01579	0.01579	0.1161	0.1161	0.1161	0.0429	0.0429	0.0429	0.04077	0.04077	0.04077	0.2719	0.2719	0.2719	0.5194	0.5194	0.5194	0.94	0.94	0.94	0.559	0.559	0.559	0.3652	0.3652	0.3652
-Not Mapped	MAPPED	0.01579	0.01579	0.01579	0.1161	0.1161	0.1161	0.0429	0.0429	0.0429	0.04077	0.04077	0.04077	0.2719	0.2719	0.2719	0.5194	0.5194	0.5194	0.94	0.94	0.94	0.559	0.559	0.559	0.3652	0.3652	0.3652
TOTAL	Genetic Information Processing	1.879	1.892	1.945	2.767	2.798	2.85	2.493	2.532	2.707	2.931	3	3.107	3.38	3.44	3.47	4.919	5.063	5.216	4.929	5.075	5.193	3.181	3.232	3.35	5.027	5.291	5.416
MAPPED	Genetic Information Processing	1.85	1.863	1.915	2.479	2.507	2.553	2.39	2.428	2.596	2.816	2.883	2.986	2.657	2.705	2.728	3.237	3.332	3.433	2.541	2.616	2.677	2.04	2.073	2.149	3.683	3.876	3.967
Genetic Information Processing	Genetic Information Processing	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-Transcription	Genetic Information Processing	0.02466	0.03545	0.04141	0.07761	0.08624	0.09527	0.003149	0.005251	0.008196	0.001121	0.003674	0.007819	0.01112	0.01463	0.0212	0.02754	0.03185	0.03767	0.05323	0.05577	0.06061	0.03228	0.0354	0.03936	0.00147	0.001752	0.009009
-Translation	Genetic Information Processing	0.7512	0.7616	0.7809	0.648	0.6545	0.6685	0.8774	0.9427	0.9479	0.9209	0.9529	0.9592	0.7982	0.8182	0.8287	0.6545	0.6739	0.6931	0.7226	0.7492	0.7632	0.725	0.7511	0.7687	0.7718	0.8133	0.8291
-Folding, Sorting and Degradation	Genetic Information Processing	0.1496	0.161	0.1726	0.1673	0.1743	0.1816	0.04111	0.04483	0.05211	0.02658	0.02985	0.03418	0.1331	0.1425	0.1602	0.221	0.236	0.2476	0.1414	0.1551	0.1905	0.1554	0.1825	0.206	0.1222	0.1491	0.17
-DNA Maintenance	Genetic Information Processing	0.02267	0.03441	0.04742	0.07072	0.07925	0.0846	0.004377	0.005343	0.006781	0.003454	0.007337	0.01621	0.009485	0.01947	0.02397	0.03633	0.05419	0.06094	0.01466	0.03019	0.03593	0.02246	0.02959	0.03653	0.009794	0.01922	0.06381
-RNA Family	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	Genetic Information Processing	0.002222	0.002411	0.005136	0.02931	0.03119	0.03708	0.0004303	0.006789	0.009213	0.0005726	0.01328	0.01638	0.00737	0.01537	0.02292	0.008667	0.02609	0.03478	0.009883	0.01468	0.02534	0.02058	0.02999	0.03848	0.09454	0.09999	0.1022
-Signal Transduction	Genetic Information Processing	0.002222	0.002411	0.005136	0.02909	0.03096	0.03643	0.0002031	0.006789	0.007989	0.0004943	0.01328	0.01431	0.001972	0.007734	0.01256	0.003911	0.01123	0.01691	0.004561	0.009643	0.01234	0.009916	0.01435	0.02242	0.09454	0.09999	0.1022
-Signaling Molecules and Interaction	Genetic Information Processing	0	0	0	0.0002157	0.0002181	0.0002222	0	0	0.001734	0	0	0.002451	0.001215	0.007745	0.01439	0.004755	0.01463	0.01957	0.001219	0.005479	0.013	0.0077	0.01292	0.02095	0	0	0
Cellular Processes	Genetic Information Processing	0.01569	0.01667	0.01918	0.03609	0.03831	0.04921	0.002851	0.03532	0.07501	0.00436	0.03462	0.05414	0.02012	0.04649	0.05612	0.04435	0.09565	0.1116	0.03348	0.05182	0.06967	0.09467	0.1223	0.1458	0.008103	0.01377	0.02133
-Hemoglobin	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	Genetic Information Processing	0	0	0	0	0	0.0015	0.0005005	0.003251	0.07239	0.000663	0.008781	0.04449	0.008159	0.016	0.03513	0.02306	0.03323	0.04476	0.01968	0.04034	0.05362	0.03971	0.04678	0.0604	0	0	0
-Cytoskeleton	Genetic Information Processing	0.004975	0.005009	0.005149	0.01062	0.01073	0.01093	0	0	0.01253	0	6.463e-05	0.01176	0.002904	0.009669	0.01249	0.005774	0.01733	0.02909	0.0005722	0.008916	0.01194	0.01599	0.0268	0.04269	0.007095	0.007468	0.007644
-Cell Motility	Genetic Information Processing	0.002214	0.002281	0.003033	0.02175	0.02282	0.0344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006494	0.005836	0.01264
-Cell Growth and Death	Genetic Information Processing	0.008476	0.008567	0.01165	0.003373	0.003727	0.004203	0.0009295	0.01461	0.01597	0.000159	0.008452	0.008831	0.002775	0.005154	0.006545	0.003947	0.006981	0.01285	0.001291	0.002195	0.003617	0.005981	0.01347	0.01883	0	0.000158	0.002632
