Numerator	Denominator	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener
TOTAL	Genetic Information Processing	2.999	5.421	3.16	4.082	3.518	5.147	4.492	3.287	6.975
MAPPED	Genetic Information Processing	2.943	4.775	3.029	3.926	2.803	3.444	2.346	2.127	4.64
Genetic Information Processing	Genetic Information Processing	1	1	1	1	1	1	1	1	1
-Transcription	Genetic Information Processing	0.02126	0.02127	0.01303	0.005304	0.03182	0.05461	0.05113	0.04795	0
-Translation	Genetic Information Processing	0.8014	0.7382	0.7576	0.8264	0.6601	0.5387	0.6761	0.5335	0.6787
-Folding, Sorting and Degradation	Genetic Information Processing	0.137	0.1575	0.2109	0.1536	0.278	0.3533	0.2061	0.357	0.288
-DNA Maintenance	Genetic Information Processing	0.01552	0.0541	0.01556	0.01556	0.03009	0.05278	0.06411	0.06152	0.02047
-RNA Family	Genetic Information Processing	0	0	0	0	0	0	0	0	0
Environmental Information Processing	Genetic Information Processing	0.0161	0.06197	0.03685	0.03976	0.03671	0.07941	0.01732	0.1341	0.03962
-Signal Transduction	Genetic Information Processing	0.016	0.06185	0.03685	0.03976	0.03656	0.07807	0.01673	0.1264	0.03962
-Signaling Molecules and Interaction	Genetic Information Processing	0	0	0	0	3.397e-05	0	0.0005564	0.007689	0
Cellular Processes	Genetic Information Processing	0.01243	0.0533	0.03551	0.03276	0.04939	0.1237	0.05106	0.2006	0.01871
-Hemoglobin	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Vesicular Transport	Genetic Information Processing	0	0.001617	0.01007	0.01435	0.0219	0.06695	0.02664	0.0695	0
-Cytoskeleton	Genetic Information Processing	0	0.005484	0.00657	0.006697	0.02479	0.04983	0.02115	0.05965	0
-Cell Motility	Genetic Information Processing	0.003135	0.02973	0	0	0	0	0	0	0.005277
-Cell Growth and Death	Genetic Information Processing	0.008308	0.008044	0.01872	0.01163	0.002674	0.006803	0.003507	0.02691	0.009518
-Cell Communication	Genetic Information Processing	0	0	3.445e-05	6.245e-05	0	0	0	0.04505	0
Metabolism	Genetic Information Processing	1.322	2.005	1.661	2.416	1.243	1.729	0.8944	0.6336	1.522
-Membrane Transport	Genetic Information Processing	0.02201	0.2101	0.001467	0.0008997	0.003421	0.00346	0.001014	0.000426	0.1089
-Central Carbon Metabolism	Genetic Information Processing	0.3842	0.7414	1.19	1.36	0.455	0.6231	0.3197	0.2417	0.3572
-Energy Metabolism	Genetic Information Processing	0.03396	0.09165	0.02637	0.07207	0.07237	0.2083	0.1732	0.1338	0.2664
-Biosynthesis	Genetic Information Processing	0.6086	0.5065	0.1717	0.5747	0.4974	0.5959	0.2772	0.1915	0.4865
-Other Enzymes	Genetic Information Processing	0.2466	0.3787	0.1853	0.3115	0.1901	0.3001	0.09802	0.06298	0.257
Organismal Systems	Genetic Information Processing	0	0	0	0	0.0005043	0.0018	0.01472	0.04404	0
-Immune System	Genetic Information Processing	0	0	0	0	0.0001603	0.0004651	4.741e-06	0.0004508	0
-Endocrine System	Genetic Information Processing	0	0	0	0	0	0	0	0.001013	0
-Circulatory System	Genetic Information Processing	0	0	0	0	0.0002092	0.001038	0	0.03532	0
-Digestive System	Genetic Information Processing	0	0	0	0	0	0	0	0.00359	0
-Excretory System	Genetic Information Processing	0	0	0	0	0	0	0	0.0006719	0
-Nervous System	Genetic Information Processing	0	0	0	0	0	0	0	0.00289	0
-Sensory System	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Development	Genetic Information Processing	0	0	0	0	0	0	0	0.0002362	0
-Environmental Adaptation	Genetic Information Processing	0	0	0	0	0	0	0.0146	0	0
Human Diseases	Genetic Information Processing	0	0.004528	0.0004603	0.0052	0.02272	0.03876	0.0184	0.009099	0
-Cancers	Genetic Information Processing	0	0	8.216e-05	0	0.0001358	0.001353	0.0002945	0.003197	0
-Immune System Diseases	Genetic Information Processing	0	0	0.0001443	0.004615	0.001411	0.004852	0.01246	0.0006219	0
-Neurodegenerative Diseases	Genetic Information Processing	0	0	0	0.0003937	0.002091	0.004035	0.001881	0.001688	0
-Cardiovascular Diseases	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Infectious Diseases	Genetic Information Processing	0	0	0.0003155	0	0.01839	0.02247	0.001244	0.001699	0
Not Mapped	Genetic Information Processing	0.05645	0.6462	0.1311	0.1567	0.7149	1.703	2.146	1.16	2.335
-Not Mapped	Genetic Information Processing	0.05645	0.6462	0.1311	0.1567	0.7149	1.703	2.146	1.16	2.335
TOTAL	-Transcription	69.32	117.1	242.1	770.6	110.6	93.35	86.62	68.38	665.2
MAPPED	-Transcription	68.01	103.1	232.1	741.1	88.14	62.46	45.23	44.24	442.5
Genetic Information Processing	-Transcription	23.11	21.91	76.5	188.5	31.41	18.26	19.52	20.79	94.45
-Transcription	-Transcription	1	1	1	1	1	1	1	1	1
-Translation	-Transcription	18.46	15.85	58.03	155.8	20.76	9.837	13	11.1	64.3
-Folding, Sorting and Degradation	-Transcription	3.294	3.879	16.12	28.99	8.766	6.375	4.026	7.444	27.21
-DNA Maintenance	-Transcription	0.3587	1.185	1.182	2.947	0.9539	0.9932	1.255	1.27	1.933
-RNA Family	-Transcription	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Transcription	0.3697	2.053	2.833	7.507	1.162	1.427	0.3306	2.802	4.199
-Signal Transduction	-Transcription	0.3697	2.053	2.824	7.507	1.158	1.411	0.3222	2.643	4.199
-Signaling Molecules and Interaction	-Transcription	0	0	0	0	0.001049	0	0.0105	0.161	0
Cellular Processes	-Transcription	0.3599	1.168	2.721	6.173	1.55	2.246	0.9909	4.183	1.967
-Hemoglobin	-Transcription	0	0	0	0	0	0	0	0	0
-Vesicular Transport	-Transcription	0	0.03492	0.7706	2.706	0.6879	1.208	0.5122	1.445	0
-Cytoskeleton	-Transcription	0	0.186	0.5057	1.263	0.7797	0.9037	0.4086	1.235	0.423
-Cell Motility	-Transcription	0.0703	0.8455	0	0	0	0	0	0	0.7229
-Cell Growth and Death	-Transcription	0.2626	0.2498	1.44	2.192	0.08259	0.1217	0.06647	0.569	1.244
-Cell Communication	-Transcription	0	0	0.00264	0.01179	0	0	0	0.9372	0
Metabolism	-Transcription	30.62	43.77	127.6	455.4	39.31	31.5	17.29	13.19	146.4
-Membrane Transport	-Transcription	0.6596	5.34	0.1124	0.1676	0.1065	0.06275	0.01995	0.008791	11.04
-Central Carbon Metabolism	-Transcription	10.02	19.38	92.71	256.7	14.74	11.14	6.187	5.044	37.66
-Energy Metabolism	-Transcription	1.131	2.454	2.036	13.73	2.335	3.871	3.347	2.804	25.16
-Biosynthesis	-Transcription	14.73	12.19	13.25	107.6	15.85	11.01	5.422	3.953	50.19
-Other Enzymes	-Transcription	8.023	8.165	14.38	59.45	6.173	5.334	1.913	1.304	22.73
Organismal Systems	-Transcription	0	0	0	0	0.01581	0.03487	0.2897	0.9231	0
-Immune System	-Transcription	0	0	0	0	0.005266	0.008632	9.117e-05	0.009747	0
-Endocrine System	-Transcription	0	0	0	0	0	0	0	0.02105	0
-Circulatory System	-Transcription	0	0	0	0	0.006559	0.01896	0	0.7348	0
-Digestive System	-Transcription	0	0	0	0	0	0	0	0.07475	0
-Excretory System	-Transcription	0	0	0	0	0	0	0	0.01398	0
-Nervous System	-Transcription	0	0	0	0	0	0	0	0.06012	0
-Sensory System	-Transcription	0	0	0	0	0	0	0	0	0
-Development	-Transcription	0	0	0	0	0	0	0	0.004914	0
-Environmental Adaptation	-Transcription	0	0	0	0	0	0	0.2763	0	0
Human Diseases	-Transcription	0	0.09922	0.03604	0.9936	0.7269	0.7512	0.3622	0.1883	0.1494
-Cancers	-Transcription	0	0	0.006277	0	0.004259	0.02471	0.005722	0.06609	0.1494
-Immune System Diseases	-Transcription	0	0	0.01103	0.8601	0.04632	0.0886	0.2395	0.01208	0
-Neurodegenerative Diseases	-Transcription	0	0	0	0.0742	0.06627	0.07389	0.03682	0.03782	0
-Cardiovascular Diseases	-Transcription	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	-Transcription	0	0	0	0	0	0	0	0	0
-Infectious Diseases	-Transcription	0	0	0.02388	0	0.5775	0.4078	0.02435	0.03592	0
Not Mapped	-Transcription	1.305	13.95	10.05	29.58	22.48	30.89	41.38	24.14	222.7
-Not Mapped	-Transcription	1.305	13.95	10.05	29.58	22.48	30.89	41.38	24.14	222.7
TOTAL	-Translation	3.742	7.34	4.172	4.945	5.314	9.542	6.644	6.143	10.17
MAPPED	-Translation	3.671	6.465	3.999	4.755	4.234	6.385	3.47	3.974	6.768
Genetic Information Processing	-Translation	1.241	1.345	1.315	1.21	1.514	1.855	1.473	1.865	1.469
-Transcription	-Translation	0.02579	0.02792	0.01718	0.006418	0.04812	0.1011	0.0765	0.0899	0
-Translation	-Translation	1	1	1	1	1	1	1	1	1
-Folding, Sorting and Degradation	-Translation	0.1694	0.2148	0.2775	0.1858	0.4217	0.6583	0.3036	0.6651	0.4225
-DNA Maintenance	-Translation	0.01936	0.07481	0.02047	0.01885	0.04571	0.09794	0.09468	0.1153	0.03007
-RNA Family	-Translation	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Translation	0.02003	0.0841	0.04867	0.04816	0.05561	0.147	0.02546	0.2518	0.05754
-Signal Transduction	-Translation	0.01996	0.08407	0.04866	0.04816	0.05536	0.1446	0.02464	0.2374	0.05754
-Signaling Molecules and Interaction	-Translation	0	0	0	0	5.123e-05	0	0.0008133	0.01446	0
Cellular Processes	-Translation	0.01588	0.07369	0.04666	0.03967	0.07471	0.2303	0.07605	0.3744	0.02725
-Hemoglobin	-Translation	0	0	0	0	0	0	0	0	0
-Vesicular Transport	-Translation	0	0.002189	0.01324	0.01737	0.0331	0.1243	0.03927	0.13	0
-Cytoskeleton	-Translation	0	0.007372	0.008677	0.008108	0.03746	0.09237	0.03132	0.1112	0
-Cell Motility	-Translation	0.003887	0.03994	0	0	0	0	0	0	0.007775
-Cell Growth and Death	-Translation	0.01026	0.01112	0.0246	0.01407	0.004032	0.01259	0.005156	0.05072	0.01431
-Cell Communication	-Translation	0	0	4.548e-05	7.565e-05	0	0	0	0.08419	0
Metabolism	-Translation	1.649	2.707	2.192	2.923	1.89	3.202	1.322	1.184	2.221
-Membrane Transport	-Translation	0.02746	0.2827	0.001937	0.001089	0.005158	0.006391	0.001493	0.0007943	0.1586
-Central Carbon Metabolism	-Translation	0.4661	0.993	1.564	1.647	0.6894	1.153	0.47	0.4535	0.5206
-Energy Metabolism	-Translation	0.04209	0.1242	0.03466	0.08726	0.1098	0.3882	0.2572	0.2517	0.3912
-Biosynthesis	-Translation	0.7504	0.6798	0.2268	0.6954	0.7501	1.106	0.4052	0.357	0.7135
-Other Enzymes	-Translation	0.3056	0.5151	0.2435	0.3769	0.2866	0.5556	0.1473	0.1181	0.3743
Organismal Systems	-Translation	0	0	0	0	0.0007641	0.003354	0.02168	0.08297	0
-Immune System	-Translation	0	0	0	0	0.0002428	0.0008609	6.974e-06	0.0008397	0
-Endocrine System	-Translation	0	0	0	0	0	0	0	0.001897	0
-Circulatory System	-Translation	0	0	0	0	0.0003172	0.001927	0	0.06619	0
-Digestive System	-Translation	0	0	0	0	0	0	0	0.006687	0
-Excretory System	-Translation	0	0	0	0	0	0	0	0.001256	0
-Nervous System	-Translation	0	0	0	0	0	0	0	0.005401	0
-Sensory System	-Translation	0	0	0	0	0	0	0	0	0
-Development	-Translation	0	0	0	0	0	0	0	0.0004414	0
-Environmental Adaptation	-Translation	0	0	0	0	0	0	0.02148	0	0
Human Diseases	-Translation	0	0.00619	0.0006081	0.006302	0.03398	0.07224	0.0271	0.01706	0
-Cancers	-Translation	0	0	0.0001086	0	0.0002058	0.002512	0.000432	0.005956	0
-Immune System Diseases	-Translation	0	0	0.0001908	0.00559	0.00214	0.009007	0.01832	0.001167	0
-Neurodegenerative Diseases	-Translation	0	0	0	0.0004763	0.003176	0.007468	0.002833	0.003144	0
-Cardiovascular Diseases	-Translation	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	-Translation	0	0	0	0	0	0	0	0	0
-Infectious Diseases	-Translation	0	0	0.0004171	0	0.02779	0.04151	0.001874	0.003229	0
Not Mapped	-Translation	0.07043	0.8749	0.1731	0.1898	1.08	3.157	3.174	2.168	3.406
-Not Mapped	-Translation	0.07043	0.8749	0.1731	0.1898	1.08	3.157	3.174	2.168	3.406
TOTAL	-Folding, Sorting and Degradation	21.9	34.08	15.01	26.58	12.6	14.56	21.81	9.202	24.33
MAPPED	-Folding, Sorting and Degradation	21.49	30.02	14.39	25.56	10.04	9.74	11.39	5.954	16.18
Genetic Information Processing	-Folding, Sorting and Degradation	7.274	6.255	4.738	6.507	3.585	2.827	4.836	2.786	3.471
-Transcription	-Folding, Sorting and Degradation	0.1593	0.1433	0.06165	0.03437	0.1138	0.1563	0.2478	0.134	0
-Translation	-Folding, Sorting and Degradation	5.851	4.652	3.602	5.376	2.368	1.518	3.289	1.502	2.363
-Folding, Sorting and Degradation	-Folding, Sorting and Degradation	1	1	1	1	1	1	1	1	1
-DNA Maintenance	-Folding, Sorting and Degradation	0.1089	0.3548	0.07371	0.1016	0.1075	0.1486	0.3107	0.1739	0.06937
-RNA Family	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Folding, Sorting and Degradation	0.1168	0.3966	0.1751	0.2589	0.1318	0.2232	0.08226	0.3761	0.1383
-Signal Transduction	-Folding, Sorting and Degradation	0.1168	0.3922	0.1751	0.2589	0.1318	0.2204	0.08103	0.3543	0.1383
-Signaling Molecules and Interaction	-Folding, Sorting and Degradation	0	0	0	0	0.000124	0	0.002675	0.02155	0
Cellular Processes	-Folding, Sorting and Degradation	0.09044	0.3011	0.1684	0.2139	0.1782	0.3505	0.2483	0.5646	0.06814
-Hemoglobin	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Vesicular Transport	-Folding, Sorting and Degradation	0	0.01017	0.04769	0.09349	0.07859	0.1894	0.129	0.1941	0
-Cytoskeleton	-Folding, Sorting and Degradation	0	0.0367	0.03121	0.0437	0.08879	0.1409	0.1027	0.1665	0
-Cell Motility	-Folding, Sorting and Degradation	0.02354	0.1859	0	0	0	0	0	0	0.01876
-Cell Growth and Death	-Folding, Sorting and Degradation	0.0608	0.04544	0.08866	0.07582	0.009762	0.01932	0.01696	0.07466	0.03211
-Cell Communication	-Folding, Sorting and Degradation	0	0	0.0001636	0.0004066	0	0	0	0.1261	0
Metabolism	-Folding, Sorting and Degradation	9.665	12.27	7.879	15.74	4.477	4.867	4.337	1.775	5.304
-Membrane Transport	-Folding, Sorting and Degradation	0.1607	1.275	0.006959	0.005858	0.01229	0.009843	0.004917	0.001204	0.3966
-Central Carbon Metabolism	-Folding, Sorting and Degradation	2.81	4.571	5.647	8.891	1.646	1.785	1.564	0.6721	1.269
-Energy Metabolism	-Folding, Sorting and Degradation	0.2485	0.5941	0.1249	0.4706	0.2603	0.5888	0.8379	0.3769	0.926
-Biosynthesis	-Folding, Sorting and Degradation	4.473	3.359	0.8156	3.761	1.816	1.69	1.333	0.5375	1.689
-Other Enzymes	-Folding, Sorting and Degradation	1.805	2.404	0.8776	2.043	0.6939	0.8382	0.474	0.1773	0.907
Organismal Systems	-Folding, Sorting and Degradation	0	0	0	0	0.001824	0.005087	0.07141	0.1227	0
-Immune System	-Folding, Sorting and Degradation	0	0	0	0	0.0005822	0.001299	2.326e-05	0.001274	0
-Endocrine System	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0.002822	0
-Circulatory System	-Folding, Sorting and Degradation	0	0	0	0	0.0007565	0.002961	0	0.09746	0
-Digestive System	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0.009921	0
-Excretory System	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0.001881	0
-Nervous System	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0.008091	0
-Sensory System	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Development	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0.0006613	0
-Environmental Adaptation	-Folding, Sorting and Degradation	0	0	0	0	0	0	0.06945	0	0
Human Diseases	-Folding, Sorting and Degradation	0	0.02558	0.002187	0.03376	0.08346	0.1096	0.08927	0.02561	0
-Cancers	-Folding, Sorting and Degradation	0	0	0.0003886	0	0.0004891	0.003831	0.001438	0.008956	0
-Immune System Diseases	-Folding, Sorting and Degradation	0	0	0.0006827	0.02996	0.005074	0.0139	0.06112	0.001732	0
-Neurodegenerative Diseases	-Folding, Sorting and Degradation	0	0	0	0.002574	0.007466	0.01134	0.008989	0.004769	0
-Cardiovascular Diseases	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Infectious Diseases	-Folding, Sorting and Degradation	0	0	0.001492	0	0.06572	0.06443	0.005946	0.004687	0
Not Mapped	-Folding, Sorting and Degradation	0.4122	4.063	0.6227	1.02	2.56	4.817	10.42	3.248	8.144
-Not Mapped	-Folding, Sorting and Degradation	0.4122	4.063	0.6227	1.02	2.56	4.817	10.42	3.248	8.144
TOTAL	-DNA Maintenance	193.2	95.16	167.8	260.8	115.3	93.25	69.99	52.37	314.2
MAPPED	-DNA Maintenance	189.6	83.82	160.8	250.8	91.84	62.39	36.55	33.89	209
Genetic Information Processing	-DNA Maintenance	62.64	17.65	53.14	63.91	32.73	18.12	15.54	15.88	46.4
-Transcription	-DNA Maintenance	1.332	0.3984	0.6898	0.3385	1.029	0.9912	0.7932	0.7673	0
-Translation	-DNA Maintenance	51.46	13.03	40.2	52.76	21.71	9.808	10.55	8.473	30.99
-Folding, Sorting and Degradation	-DNA Maintenance	8.667	2.723	11.24	9.813	9.02	6.319	3.166	5.644	14.08
-DNA Maintenance	-DNA Maintenance	1	1	1	1	1	1	1	1	1
-RNA Family	-DNA Maintenance	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-DNA Maintenance	1.031	1.083	1.957	2.541	1.179	1.423	0.2602	2.145	1.762
-Signal Transduction	-DNA Maintenance	1.031	1.083	1.957	2.541	1.161	1.415	0.2566	2.024	1.762
-Signaling Molecules and Interaction	-DNA Maintenance	0	0	0	0	0.001112	0	0.006992	0.1216	0
Cellular Processes	-DNA Maintenance	0.4449	0.7052	1.904	2.119	1.616	2.223	0.7933	3.211	0.6233
-Hemoglobin	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Vesicular Transport	-DNA Maintenance	0	0.02838	0.5323	0.9159	0.7167	1.193	0.4138	1.107	0
-Cytoskeleton	-DNA Maintenance	0	0.09605	0.3488	0.4301	0.8124	0.9027	0.3299	0.9498	0
-Cell Motility	-DNA Maintenance	0.09352	0.3867	0	0	0	0	0	0	0.1369
-Cell Growth and Death	-DNA Maintenance	0.1794	0.1214	1.05	0.7825	0.0885	0.1274	0.05056	0.4204	0.2483
