KO number	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener
K03123	NaN	NaN	NaN	NaN	NaN	2670	7.075	29.847	NaN
K03122	NaN	NaN	NaN	NaN	4591	4864	54.181	48.807	NaN
K03129	NaN	NaN	NaN	NaN	NaN	NaN	12.952	25.204	NaN
K14649	NaN	NaN	NaN	NaN	NaN	NaN	1.558	12.606	NaN
K14650	NaN	NaN	NaN	540	2649	1337	NaN	13.929	NaN
K10845	NaN	NaN	NaN	NaN	NaN	4180	1.648	NaN	NaN
K03143	NaN	NaN	NaN	NaN	NaN	NaN	0.754	1.784	NaN
K03141	NaN	NaN	NaN	NaN	1157	2199	0.948	17.263	NaN
K03144	NaN	NaN	2328	NaN	1242	NaN	0.384	18.654	NaN
K03120	NaN	NaN	NaN	NaN	5964	4765	1.778	33.653	NaN
K03125	NaN	NaN	1338	1161	1958	2964	4.385	10.24	NaN
K03128	NaN	NaN	NaN	NaN	1133	852	0.744	9.479	NaN
K03132	NaN	NaN	NaN	NaN	1188	6300	0.543	17.434	NaN
K03131	NaN	NaN	NaN	NaN	4483	1475	12.794	41.722	NaN
K03140	NaN	NaN	NaN	NaN	3639	17554	NaN	NaN	NaN
K03135	NaN	NaN	NaN	NaN	1600	135	5.968	23.278	NaN
K03127	NaN	NaN	NaN	NaN	NaN	NaN	2.656	NaN	NaN
K14651	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03142	NaN	NaN	NaN	NaN	2533	NaN	2.808	22.391	NaN
K10844	NaN	NaN	NaN	NaN	938	NaN	0.383	26.707	NaN
K02202	NaN	NaN	1960	NaN	748	5880	18.308	37.181	NaN
K10842	NaN	NaN	NaN	NaN	516	5500	NaN	44.967	NaN
K06634	NaN	NaN	718	NaN	NaN	NaN	2.925	15.147	NaN
K03121	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K04064	NaN	2966	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K05787	15025.7	22805	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03530	5891.69	18125	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09031	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.974	NaN
K09035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09464	NaN	NaN	4615	NaN	NaN	NaN	NaN	NaN	NaN
K09043	NaN	NaN	NaN	NaN	2711	2321	NaN	NaN	NaN
K04450	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09046	NaN	NaN	NaN	NaN	3577	6988	NaN	NaN	NaN
K05870	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09050	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.56	NaN
K09051	NaN	NaN	1068	NaN	2609	1799	NaN	NaN	NaN
K09052	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K10048	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09060	NaN	NaN	NaN	NaN	NaN	NaN	64.045	NaN	NaN
K06648	NaN	NaN	7548	NaN	NaN	NaN	NaN	NaN	NaN
K12114	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.733	NaN
K09062	NaN	NaN	NaN	NaN	343	NaN	NaN	NaN	NaN
K09063	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.389	NaN
K09090	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.153	NaN
K09091	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.638	NaN
K09097	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.272	NaN
K02223	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.124	NaN
K09100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.393	NaN
K04680	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.97	NaN
K09103	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.974	NaN
K12126	NaN	NaN	NaN	NaN	NaN	NaN	0.186	NaN	NaN
K13422	NaN	NaN	NaN	NaN	NaN	NaN	11.487	NaN	NaN
K09104	NaN	NaN	1798	NaN	NaN	NaN	NaN	NaN	NaN
K07197	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.107	NaN
K04453	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.042	NaN
K09113	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.58	NaN
K09175	NaN	NaN	NaN	NaN	1574	474	NaN	NaN	NaN
K08527	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K08701	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.716	NaN
K08539	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K07292	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K08037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K07295	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.167	NaN
K05771	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K08705	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.145	NaN
K09182	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.735	NaN
K09184	NaN	NaN	NaN	2583	4729	1417	NaN	NaN	NaN
K09186	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.728	NaN
K09187	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09188	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.764	NaN
K04684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09201	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.938	NaN
K09213	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.835	NaN
K09215	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.783	NaN
K09216	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.838	NaN
K09218	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.894	NaN
K02215	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.209	NaN
K06230	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.808	NaN
K09236	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.123	NaN
K09237	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.596	NaN
K09238	NaN	NaN	339	483	NaN	NaN	NaN	NaN	NaN
K09467	NaN	NaN	NaN	NaN	1961	1724	NaN	NaN	NaN
K09240	NaN	NaN	NaN	318	NaN	NaN	NaN	NaN	NaN
K09247	NaN	NaN	NaN	2159	NaN	NaN	NaN	NaN	NaN
K12236	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.812	NaN
K09250	NaN	NaN	NaN	NaN	67040	20813	32.343	NaN	NaN
K09299	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.989	NaN
K09311	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.997	NaN
K09313	NaN	NaN	4591	1176	NaN	NaN	23.556	8.931	NaN
K09319	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.567	NaN
K09320	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.383	NaN
K09321	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.445	NaN
K09326	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.004	NaN
K09336	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.465	NaN
K09338	NaN	NaN	NaN	NaN	NaN	NaN	9.366	NaN	NaN
K08036	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K08034	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09995	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.307	NaN
K09355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.2	NaN
K09359	NaN	NaN	1836	NaN	NaN	NaN	NaN	NaN	NaN
K02646	NaN	NaN	3959	NaN	NaN	NaN	NaN	NaN	NaN
K12411	NaN	NaN	NaN	1441	NaN	NaN	NaN	NaN	NaN
K09362	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.768	NaN
K09364	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.906	NaN
K09366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.194	NaN
K09372	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.233	NaN
K09373	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.425	NaN
K09380	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.22	NaN
K09385	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.743	NaN
K04682	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09394	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.308	NaN
K07201	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09411	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.474	NaN
K09414	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09418	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.098	NaN
K09419	NaN	NaN	NaN	NaN	7245	699	NaN	NaN	NaN
K09420	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.245	NaN
K09422	NaN	NaN	NaN	NaN	NaN	NaN	27.482	NaN	NaN
K09426	NaN	NaN	6892	7122	NaN	NaN	NaN	NaN	NaN
K09427	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.855	NaN
K03211	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K02678	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.927	NaN
K09435	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09436	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09441	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.739	NaN
K05411	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K10155	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09448	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.502	NaN
K02580	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K04469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K04735	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09255	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.933	NaN
K04734	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09259	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.06	NaN
K04446	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.39	NaN
K11220	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K11221	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K04692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K11223	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K11224	NaN	NaN	NaN	NaN	NaN	NaN	NaN	74.968	NaN
K11225	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09263	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.647	NaN
K09264	NaN	NaN	NaN	NaN	NaN	NaN	0.551	NaN	NaN
K09265	NaN	NaN	683	NaN	NaN	NaN	NaN	NaN	NaN
K09267	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.947	NaN
K02620	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K04491	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09272	NaN	NaN	1598	NaN	16775	11154	18.521	119.118	NaN
K08065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K08066	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09275	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.964	NaN
K06099	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K08367	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09280	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.087	NaN
K04498	NaN	NaN	NaN	NaN	NaN	NaN	1.252	8.696	NaN
K09284	NaN	NaN	NaN	NaN	NaN	NaN	0.899	NaN	NaN
K09285	NaN	NaN	NaN	NaN	NaN	NaN	0.248	NaN	NaN
K09286	NaN	NaN	NaN	NaN	NaN	NaN	7.711	NaN	NaN
K09287	NaN	NaN	NaN	NaN	NaN	NaN	0.343	NaN	NaN
K13423	NaN	NaN	NaN	NaN	NaN	NaN	0.017	NaN	NaN
K13426	NaN	NaN	NaN	NaN	NaN	NaN	0.343	NaN	NaN
K13424	NaN	NaN	NaN	NaN	NaN	NaN	1.401	NaN	NaN
K12779	NaN	NaN	2535	NaN	NaN	NaN	NaN	NaN	NaN
K04761	329.79	108	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K05596	NaN	256	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K13634	NaN	110	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K02444	NaN	193	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03435	NaN	300	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03604	1412.17	925	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K06145	NaN	238	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03603	NaN	185	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K05799	NaN	83	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03719	1974.17	4479	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03556	NaN	187	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K04333	NaN	80	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03712	2837.49	66	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K06075	NaN	435	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03711	1682.82	2343	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09823	NaN	121	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K05818	NaN	35	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K10973	NaN	41	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K10914	1872.6	3431	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01420	NaN	604	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K13643	4077.85	1828	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K07722	NaN	247	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03557	13782.09	0.0017	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03720	NaN	428	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K06211	NaN	42	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03402	521.29	0.0017	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K02565	NaN	30	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03764	NaN	982	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03721	NaN	60	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K11531	NaN	45	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K06140	NaN	606	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K02825	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	187.784
K07735	NaN	162	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K06204	5606.51	2671	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K07738	NaN	185	NaN	NaN	NaN	NaN	NaN	NaN	215.401
K11926	NaN	445	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12871	NaN	NaN	NaN	NaN	1835	NaN	287.441	NaN	NaN
K12870	NaN	NaN	NaN	NaN	NaN	NaN	64.729	61.004	NaN
K12873	NaN	NaN	1312	NaN	4842	788	37.842	51.928	NaN
K12872	NaN	NaN	NaN	NaN	1375	2367	34.58	57.696	NaN
K12874	NaN	NaN	NaN	NaN	1194	1068	50.586	NaN	NaN
K12848	NaN	NaN	985	NaN	NaN	NaN	3.757	31.859	NaN
K12849	NaN	NaN	NaN	NaN	NaN	NaN	38.517	25.757	NaN
K12844	NaN	NaN	NaN	NaN	NaN	1308	5.09	49.544	NaN
K12846	NaN	NaN	NaN	NaN	NaN	1564	43.598	60.266	NaN
K12847	NaN	NaN	NaN	NaN	69	NaN	132.388	47.101	NaN
K12842	NaN	NaN	NaN	NaN	NaN	NaN	9.508	13.076	NaN
K12843	NaN	NaN	NaN	NaN	356	643	13.327	35.291	NaN
K10599	NaN	NaN	2869	NaN	5359	10800	42.976	335.419	NaN
K12733	NaN	NaN	NaN	NaN	8229	NaN	41.381	89.46	NaN
K12858	NaN	NaN	416	NaN	998	489	18.691	69.596	NaN
K12852	NaN	NaN	NaN	NaN	6435	1376	35.882	93.076	NaN
K12850	NaN	NaN	NaN	NaN	NaN	NaN	3.895	31.565	NaN
K12857	NaN	NaN	NaN	NaN	5768	1698	36.068	157.031	NaN
K12856	NaN	NaN	3781	1972	2726	1331	37.518	55.762	NaN
K12855	NaN	NaN	4187	NaN	560	501	14.36	57.85	NaN
K12854	NaN	NaN	6231	NaN	3425	2090	22.253	71.483	NaN
K11984	NaN	NaN	NaN	NaN	1395	NaN	49.057	27.841	NaN
K12815	NaN	NaN	297	NaN	214	NaN	7.396	15.025	NaN
K12885	NaN	NaN	NaN	NaN	NaN	NaN	142.418	NaN	NaN
K12811	NaN	NaN	NaN	NaN	2071	2267	36.267	38.964	NaN
K12897	NaN	NaN	NaN	NaN	NaN	NaN	28.347	13.786	NaN
K12896	NaN	NaN	NaN	NaN	NaN	NaN	3885.714	234.641	NaN
K12893	NaN	NaN	NaN	NaN	NaN	NaN	982.638	723.365	NaN
K12890	NaN	NaN	NaN	NaN	NaN	NaN	291.611	488.024	NaN
K12741	NaN	NaN	NaN	NaN	NaN	NaN	487.117	1393.155	NaN
K12828	NaN	NaN	NaN	NaN	1000	529	31.142	69.746	NaN
K12829	NaN	NaN	NaN	NaN	1033	801	90.706	70.896	NaN
K12826	NaN	NaN	NaN	NaN	1728	NaN	13.982	97.081	NaN
K12824	NaN	NaN	NaN	NaN	NaN	NaN	5.694	NaN	NaN
K12825	NaN	NaN	NaN	NaN	1543	2249	55.667	53.836	NaN
K12822	NaN	NaN	NaN	NaN	NaN	NaN	33.043	81.813	NaN
K12823	NaN	NaN	21577	NaN	18459	5908	49.562	548.784	NaN
K12820	NaN	NaN	NaN	NaN	16263	3952	17.293	75.305	NaN
K12821	NaN	NaN	NaN	NaN	3537	621	53.123	37.595	NaN
K12861	NaN	NaN	NaN	NaN	6141	3801	28.558	48.061	NaN
K12864	NaN	NaN	NaN	NaN	601	NaN	23.491	74.92	NaN
K12865	NaN	NaN	NaN	NaN	NaN	NaN	1.527	NaN	NaN
K12900	NaN	NaN	NaN	NaN	NaN	NaN	854.051	NaN	NaN
K12839	NaN	NaN	NaN	NaN	NaN	3915	15.583	NaN	NaN
K12835	NaN	NaN	NaN	NaN	NaN	NaN	96.219	54.562	NaN
K12834	NaN	NaN	NaN	NaN	1904	5989	22.106	149.707	NaN
K12837	NaN	NaN	NaN	NaN	4639	3722	59.629	138.024	NaN
K12836	NaN	NaN	NaN	NaN	4407	5201	68.492	116.247	NaN
K12831	NaN	NaN	NaN	NaN	788	1161	16.5	NaN	NaN
K12830	NaN	NaN	195	3276	1778	1275	58.7	70.018	NaN
K12833	NaN	NaN	NaN	NaN	6497	NaN	2.669	56.466	NaN
K12832	NaN	NaN	NaN	NaN	NaN	NaN	13.646	49.754	NaN
K12662	NaN	NaN	NaN	NaN	1896	NaN	46.44	26.281	NaN
K12817	NaN	NaN	NaN	NaN	236	927	16.437	10.955	NaN
K12816	NaN	NaN	NaN	NaN	6958	3510	21.589	23.203	NaN
K12813	NaN	NaN	NaN	NaN	2249	672	21.512	6.035	NaN
K12819	NaN	NaN	5180	NaN	871	NaN	32.568	11.241	NaN
K12818	NaN	NaN	4613	NaN	2115	1066	20.282	14.778	NaN
K06063	NaN	NaN	NaN	2468	NaN	NaN	73.079	43.653	NaN
K11096	NaN	NaN	NaN	NaN	4662	11758	96.208	898.368	NaN
K11097	NaN	NaN	NaN	NaN	1320	1917	94.866	364.762	NaN
K11095	NaN	NaN	NaN	NaN	2351	NaN	30.772	33.438	NaN
K11092	NaN	NaN	NaN	NaN	3973	3179	138.151	245.991	NaN
K11091	NaN	NaN	NaN	NaN	NaN	NaN	8.739	NaN	NaN
K11098	NaN	NaN	NaN	NaN	4508	27180	277.951	185.316	NaN
K11099	NaN	NaN	NaN	NaN	2955	NaN	122.264	391.047	NaN
K11087	NaN	NaN	NaN	NaN	10824	14368	60.247	542.007	NaN
K09567	NaN	NaN	NaN	NaN	10197	NaN	14.332	94.596	NaN
K12863	NaN	NaN	NaN	NaN	10509	18786	42.779	91.337	NaN
K12860	NaN	NaN	NaN	NaN	2624	4298	80.45	64.628	NaN
K12866	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.132	NaN
K12867	NaN	NaN	NaN	NaN	1235	NaN	27.992	13.88	NaN
K12868	NaN	NaN	NaN	NaN	NaN	NaN	9.59	23.356	NaN
K12869	NaN	NaN	NaN	NaN	3585	1473	26.618	17.749	NaN
K11086	NaN	NaN	NaN	NaN	5973	2449	57.222	NaN	NaN
K11088	NaN	NaN	NaN	NaN	6836	8612	94.231	144.328	NaN
K12812	NaN	NaN	NaN	NaN	48908	33645	NaN	489.309	NaN
K11093	NaN	NaN	NaN	NaN	4914	2495	55.354	70.009	NaN
K11094	NaN	NaN	NaN	NaN	NaN	NaN	7.979	NaN	NaN
K12827	NaN	NaN	NaN	6583	1760	1473	80.471	53.689	NaN
K12838	NaN	NaN	NaN	NaN	NaN	NaN	NaN	152.134	NaN
K12840	NaN	NaN	NaN	NaN	NaN	NaN	21.23	49.449	NaN
K12841	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.594	NaN
K12859	NaN	NaN	NaN	NaN	5654	NaN	10.302	5.638	NaN
K12862	NaN	NaN	30133	5512	5267	915	18.028	52.785	NaN
K09564	NaN	NaN	NaN	NaN	NaN	NaN	NaN	117.629	NaN
K12876	NaN	NaN	NaN	NaN	NaN	NaN	876.75	144.032	NaN
K12884	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12886	NaN	NaN	NaN	NaN	NaN	NaN	NaN	401.439	NaN
K12887	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12888	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12889	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12891	NaN	NaN	NaN	NaN	NaN	NaN	71.757	223.271	NaN
K12892	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K02877	NaN	NaN	231970	192047	74132	55270	1086.922	NaN	NaN
K02922	NaN	NaN	NaN	NaN	69275	25886	344.805	1657.678	NaN
K02920	NaN	NaN	421475	341958	63181	5745	883.707	4631.966	NaN
K02921	NaN	NaN	29219	8412	35388	34238	573.567	1599.629	NaN
K02926	14669.26	7478	NaN	NaN	NaN	NaN	46.104	79.232	3813.478
K02927	NaN	NaN	NaN	NaN	NaN	3128	3060.052	1859.354	NaN
K02924	NaN	NaN	487108	297041	58348	8492	228.5	NaN	NaN
K02925	NaN	NaN	128198	109089	152527	41062	840.654	2647.425	NaN
K02929	NaN	NaN	NaN	NaN	34883	15557	833.596	3795.205	NaN
sce_YKL056C	NaN	NaN	133025	148185	NaN	NaN	NaN	NaN	NaN
K02923	NaN	NaN	4015	48441	74762	33663	751.668	2607.417	NaN
K02931	17624.22	8400	NaN	NaN	NaN	NaN	34.96	NaN	1972.188
K02930	NaN	NaN	268388	627395	113889	56853	1315.587	3021.698	NaN
K02933	21615.13	8431	NaN	NaN	NaN	NaN	61.307	NaN	3342.1
K02935	109420.2	13955	NaN	NaN	NaN	NaN	600.884	592.364	6832.547
K02934	NaN	NaN	50229	27149	84427	46512	1155.679	1188.182	NaN
K02937	NaN	NaN	224863	219336	197051	69531	1122.052	1857.6	NaN
K02936	NaN	NaN	225688	123085	193645	47848	909.375	NaN	NaN
