KO number	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener
K03008	NaN	NaN	NaN	NaN	1138048	601216	1580.742	10853.208	NaN
K03012	NaN	NaN	2171988	NaN	445495	1060987	2428.8	NaN	NaN
K03015	NaN	NaN	NaN	NaN	NaN	NaN	4509.758	11467.365	NaN
K03014	NaN	NaN	NaN	NaN	NaN	NaN	13776.192	3238.582	NaN
K03016	NaN	NaN	NaN	NaN	423150	1203930	5127.374	7874.948	NaN
K03009	NaN	NaN	NaN	NaN	1348620	125255	1144.542	NaN	NaN
K03007	NaN	NaN	NaN	NaN	472725	1004100	176.648	6275.086	NaN
K03021	NaN	NaN	NaN	NaN	2581306	NaN	945.054	6147.759	NaN
K03018	NaN	NaN	11487280	12393940	4503357	1449603	2492.672	NaN	NaN
K03025	NaN	NaN	NaN	NaN	761992	NaN	NaN	NaN	NaN
K03002	NaN	NaN	642402	588267	11578476	2956512	1663.336	54478.766	NaN
K02999	NaN	NaN	NaN	5346432	14611500	4196079	28438.43	83691.098	NaN
K10843	NaN	NaN	3678852	NaN	149400	668150	5190.694	11459.28	NaN
K03136	NaN	NaN	NaN	NaN	684164	NaN	4265.45	7171.5	NaN
K03137	NaN	NaN	NaN	NaN	213452	NaN	898.45	11352.668	NaN
K03134	NaN	NaN	NaN	NaN	1987846	2059750	3444	936.202	NaN
K03133	NaN	NaN	972983	NaN	1147791	1572806	4425.4	23895.789	NaN
K03130	NaN	NaN	NaN	NaN	3254743	2802846	5477.103	15983.418	NaN
K03138	NaN	NaN	NaN	315315	439146	NaN	66238.887	7756.7	NaN
K03139	NaN	NaN	NaN	NaN	1109676	276634	2483.6	15174.337	NaN
K03124	NaN	NaN	NaN	NaN	299250	NaN	6006	17257.59	NaN
K03126	NaN	NaN	NaN	NaN	1709328	2189406	1814.953	12277.832	NaN
K03123	NaN	NaN	NaN	NaN	NaN	934500	2476.25	3163.782	NaN
K03122	NaN	NaN	NaN	NaN	1606850	1702400	18963.35	17863.362	NaN
K03129	NaN	NaN	NaN	NaN	NaN	NaN	4533.2	27421.952	NaN
K14649	NaN	NaN	NaN	NaN	NaN	NaN	545.3	4412.1	NaN
K14650	NaN	NaN	NaN	189000	927150	467950	NaN	4875.15	NaN
K10845	NaN	NaN	NaN	NaN	NaN	1463000	576.8	NaN	NaN
K03143	NaN	NaN	NaN	NaN	NaN	NaN	263.9	533.416	NaN
K03141	NaN	NaN	NaN	NaN	636350	1209450	331.8	10098.855	NaN
K03144	NaN	NaN	1194264	NaN	577530	NaN	134.4	9308.346	NaN
K03120	NaN	NaN	NaN	NaN	1377684	1100715	1108.394	21056.665	NaN
K03125	NaN	NaN	1426308	1237626	1973664	2987712	2221.158	21800.96	NaN
K03128	NaN	NaN	NaN	NaN	1377728	1036032	1034.16	11573.859	NaN
K03132	NaN	NaN	NaN	NaN	485892	2576700	129.777	8350.886	NaN
K03131	NaN	NaN	NaN	NaN	2048731	674075	6808.389	25283.532	NaN
K03140	NaN	NaN	NaN	NaN	913389	4406054	NaN	NaN	NaN
K03135	NaN	NaN	NaN	NaN	328000	27675	1248.21	4562.488	NaN
K03127	NaN	NaN	NaN	NaN	NaN	NaN	334.656	NaN	NaN
K14651	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03142	NaN	NaN	NaN	NaN	1081591	NaN	1182.168	9807.258	NaN
K10844	NaN	NaN	NaN	NaN	751338	NaN	290.314	20537.683	NaN
K02202	NaN	NaN	599760	NaN	261800	2058000	6407.8	13124.893	NaN
K10842	NaN	NaN	NaN	NaN	171828	1831500	NaN	14389.44	NaN
K06634	NaN	NaN	421466	NaN	NaN	NaN	1023.75	4922.775	NaN
K03121	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K04064	NaN	1038100	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K05787	1352313	2052450	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03530	530252.1	1631250	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09031	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36220.37	NaN
K09035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09464	NaN	NaN	1296815	NaN	NaN	NaN	NaN	NaN	NaN
K09043	NaN	NaN	NaN	NaN	1515449	1297439	NaN	NaN	NaN
K04450	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09046	NaN	NaN	NaN	NaN	1938734	3787496	NaN	NaN	NaN
K05870	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09050	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1996.04	NaN
K09051	NaN	NaN	692064	NaN	459184	316624	NaN	NaN	NaN
K09052	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K10048	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09060	NaN	NaN	NaN	NaN	NaN	NaN	22656.256	NaN	NaN
K06648	NaN	NaN	6061044	NaN	NaN	NaN	NaN	NaN	NaN
K12114	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1263.357	NaN
K09062	NaN	NaN	NaN	NaN	95697	NaN	NaN	NaN	NaN
K09063	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1777.416	NaN
K09090	NaN	NaN	NaN	NaN	NaN	NaN	NaN	748.073	NaN
K09091	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2821.15	NaN
K09097	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5952.624	NaN
K02223	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4235.348	NaN
K09100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	970.921	NaN
K04680	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3576.03	NaN
K09103	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4805.086	NaN
K12126	NaN	NaN	NaN	NaN	NaN	NaN	97.464	NaN	NaN
K13422	NaN	NaN	NaN	NaN	NaN	NaN	7156.401	NaN	NaN
K09104	NaN	NaN	631098	NaN	NaN	NaN	NaN	NaN	NaN
K07197	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12362.091	NaN
K04453	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1616.762	NaN
K09113	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4987.665	NaN
K09175	NaN	NaN	NaN	NaN	1235590	372090	NaN	NaN	NaN
K08527	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K08701	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6012.812	NaN
K08539	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K07292	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K08037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K07295	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14740.226	NaN
K05771	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K08705	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3229.915	NaN
K09182	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1911.765	NaN
K09184	NaN	NaN	NaN	1885590	3147624	780767	NaN	NaN	NaN
K09186	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21342.528	NaN
K09187	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09188	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11581.284	NaN
K04684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09201	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16042.971	NaN
K09213	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2906.93	NaN
K09215	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2592.536	NaN
K09216	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2483.138	NaN
K09218	NaN	NaN	NaN	NaN	NaN	NaN	NaN	489.912	NaN
K02215	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4186.59	NaN
K06230	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3922.776	NaN
K09236	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2979.342	NaN
K09237	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13492.548	NaN
K09238	NaN	NaN	261030	371910	NaN	NaN	NaN	NaN	NaN
K09467	NaN	NaN	NaN	NaN	1062862	934408	NaN	NaN	NaN
K09240	NaN	NaN	NaN	455694	NaN	NaN	NaN	NaN	NaN
K09247	NaN	NaN	NaN	3242818	NaN	NaN	NaN	NaN	NaN
K12236	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9746.072	NaN
K09250	NaN	NaN	NaN	NaN	11799040	3663088	9670.557	NaN	NaN
K09299	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7366.406	NaN
K09311	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5536.294	NaN
K09313	NaN	NaN	3117289	798504	NaN	NaN	8244.6	21282.573	NaN
K09319	NaN	NaN	NaN	NaN	NaN	NaN	NaN	864.984	NaN
K09320	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3904.008	NaN
K09321	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3610.825	NaN
K09326	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5964.168	NaN
K09336	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4137.6	NaN
K09338	NaN	NaN	NaN	NaN	NaN	NaN	4344.265	NaN	NaN
K08036	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K08034	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09995	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3045.747	NaN
K09355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10227.2	NaN
K09359	NaN	NaN	385560	NaN	NaN	NaN	NaN	NaN	NaN
K02646	NaN	NaN	2213081	NaN	NaN	NaN	NaN	NaN	NaN
K12411	NaN	NaN	NaN	554785	NaN	NaN	NaN	NaN	NaN
K09362	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8318.05	NaN
K09364	NaN	NaN	NaN	NaN	NaN	NaN	NaN	809.058	NaN
K09366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1660.824	NaN
K09372	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1632.665	NaN
K09373	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2075.325	NaN
K09380	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12681.1	NaN
K09385	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1688.093	NaN
K04682	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09394	NaN	NaN	NaN	NaN	NaN	NaN	NaN	557844.29	NaN
K07201	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09411	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1664.328	NaN
K09414	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09418	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19129.834	NaN
K09419	NaN	NaN	NaN	NaN	4404960	424992	NaN	NaN	NaN
K09420	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5416.965	NaN
K09422	NaN	NaN	NaN	NaN	NaN	NaN	8866.15	NaN	NaN
K09426	NaN	NaN	5699684	5889894	NaN	NaN	NaN	NaN	NaN
K09427	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6774.01	NaN
K03211	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K02678	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17179.586	NaN
K09435	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09436	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09441	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1270.896	NaN
K05411	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K10155	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09448	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1563.75	NaN
K02580	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K04469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K04735	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09255	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27606.979	NaN
K04734	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09259	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11030	NaN
K04446	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2025.23	NaN
K11220	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K11221	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K04692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K11223	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K11224	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57050.648	NaN
K11225	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09263	NaN	NaN	NaN	NaN	NaN	NaN	NaN	889.38	NaN
K09264	NaN	NaN	NaN	NaN	NaN	NaN	136.192	NaN	NaN
K09265	NaN	NaN	464440	NaN	NaN	NaN	NaN	NaN	NaN
K09267	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38009.667	NaN
K02620	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K04491	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09272	NaN	NaN	882096	NaN	8756550	5822388	6482.35	86122.314	NaN
K08065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K08066	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09275	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30034.949	NaN
K06099	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K08367	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09280	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11264.37	NaN
K04498	NaN	NaN	NaN	NaN	NaN	NaN	2119.347	28540.272	NaN
K09284	NaN	NaN	NaN	NaN	NaN	NaN	399.824	NaN	NaN
K09285	NaN	NaN	NaN	NaN	NaN	NaN	144.832	NaN	NaN
K09286	NaN	NaN	NaN	NaN	NaN	NaN	2548.952	NaN	NaN
K09287	NaN	NaN	NaN	NaN	NaN	NaN	120.736	NaN	NaN
K13423	NaN	NaN	NaN	NaN	NaN	NaN	6.681	NaN	NaN
K13426	NaN	NaN	NaN	NaN	NaN	NaN	104.272	NaN	NaN
K13424	NaN	NaN	NaN	NaN	NaN	NaN	727.119	NaN	NaN
K12779	NaN	NaN	2692170	NaN	NaN	NaN	NaN	NaN	NaN
K04761	100585.95	32940	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K05596	NaN	76032	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K13634	NaN	35640	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K02444	NaN	57707	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03435	NaN	100200	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03604	481549.97	315425	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K06145	NaN	78778	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03603	NaN	44215	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K05799	NaN	21082	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03719	349428.09	792783	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03556	NaN	168487	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K04333	NaN	17280	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03712	499398.24	11616	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K06075	NaN	63510	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03711	249057.36	346764	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09823	NaN	20691	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K05818	NaN	1680	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K10973	NaN	11111	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K10914	393246	720510	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K01420	NaN	151000	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K13643	660611.7	296136	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K07722	NaN	32851	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03557	1350644.8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03720	NaN	46224	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K06211	NaN	17514	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03402	82885.11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K02565	NaN	12180	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03764	NaN	103110	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03721	NaN	30780	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K11531	NaN	15750	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K06140	NaN	82416	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K02825	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33425.552
K07735	NaN	30294	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K06204	846583.01	403321	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K07738	NaN	27565	NaN	NaN	NaN	NaN	NaN	NaN	35541.165
K11926	NaN	59185	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12871	NaN	NaN	NaN	NaN	277085	NaN	100604.35	NaN	NaN
K12870	NaN	NaN	NaN	NaN	NaN	NaN	22655.15	21351.4	NaN
K12873	NaN	NaN	205984	NaN	750510	122140	13244.7	7477.632	NaN
K12872	NaN	NaN	NaN	NaN	493625	849753	12103	20193.6	NaN
K12874	NaN	NaN	NaN	NaN	1609512	1439664	17705.1	NaN	NaN
K12848	NaN	NaN	191090	NaN	NaN	NaN	1314.95	11150.65	NaN
K12849	NaN	NaN	NaN	NaN	NaN	NaN	13480.95	8499.81	NaN
K12844	NaN	NaN	NaN	NaN	NaN	457800	1781.5	17340.4	NaN
K12846	NaN	NaN	NaN	NaN	NaN	547400	15259.3	11691.604	NaN
K12847	NaN	NaN	NaN	NaN	36915	NaN	46335.8	16485.35	NaN
K12842	NaN	NaN	NaN	NaN	NaN	NaN	3327.8	4576.6	NaN
K12843	NaN	NaN	NaN	NaN	202208	365224	4664.45	12351.85	NaN
K10599	NaN	NaN	1443107	NaN	2636628	5313600	15041.6	169386.6	NaN
K12733	NaN	NaN	NaN	NaN	1259037	NaN	14483.35	15744.96	NaN
K12858	NaN	NaN	244608	NaN	672652	329586	6541.85	24358.6	NaN
K12852	NaN	NaN	NaN	NaN	6505785	1391136	27184.857	32576.6	NaN
K12850	NaN	NaN	NaN	NaN	NaN	NaN	1530.735	11047.75	NaN
K12857	NaN	NaN	NaN	NaN	1961120	577320	12623.8	54960.85	NaN
K12856	NaN	NaN	9123553	4758436	6798644	3319514	73889.487	133605.75	NaN
K12855	NaN	NaN	3764113	NaN	524160	468936	5026	20247.5	NaN
K12854	NaN	NaN	13477653	NaN	7740500	4723400	7788.55	25019.05	NaN
K11984	NaN	NaN	NaN	NaN	947205	NaN	40226.74	9744.35	NaN
K12815	NaN	NaN	318087	NaN	258512	NaN	2588.6	18360.55	NaN
K12885	NaN	NaN	NaN	NaN	NaN	NaN	49846.3	NaN	NaN
K12811	NaN	NaN	NaN	NaN	2147627	2350879	12693.45	13637.4	NaN
K12897	NaN	NaN	NaN	NaN	NaN	NaN	9921.45	3639.504	NaN
K12896	NaN	NaN	NaN	NaN	NaN	NaN	1359999.9	60537.378	NaN
K12893	NaN	NaN	NaN	NaN	NaN	NaN	343923.3	271985.24	NaN
K12890	NaN	NaN	NaN	NaN	NaN	NaN	129588.69	124446.12	NaN
K12741	NaN	NaN	NaN	NaN	NaN	NaN	170490.95	525519.19	NaN
K12828	NaN	NaN	NaN	NaN	350000	185150	10899.7	24411.1	NaN
K12829	NaN	NaN	NaN	NaN	648724	503028	31747.1	24813.6	NaN
K12826	NaN	NaN	NaN	NaN	392256	NaN	4893.7	33978.35	NaN
K12824	NaN	NaN	NaN	NaN	NaN	NaN	1992.9	NaN	NaN
K12825	NaN	NaN	NaN	NaN	762242	1111006	19483.45	18842.6	NaN
K12822	NaN	NaN	NaN	NaN	NaN	NaN	11565.05	28634.55	NaN
K12823	NaN	NaN	11802619	NaN	10318581	3302572	17346.7	336002.11	NaN
K12820	NaN	NaN	NaN	NaN	12376143	3007472	6052.55	26356.75	NaN
K12821	NaN	NaN	NaN	NaN	2631528	462024	18593.05	13158.25	NaN
K12861	NaN	NaN	NaN	NaN	1191354	737394	7225.174	16821.35	NaN
K12864	NaN	NaN	NaN	NaN	210350	NaN	8221.85	26222	NaN
K12865	NaN	NaN	NaN	NaN	NaN	NaN	534.45	NaN	NaN
K12900	NaN	NaN	NaN	NaN	NaN	NaN	298917.85	NaN	NaN
K12839	NaN	NaN	NaN	NaN	NaN	1370250	5454.05	NaN	NaN
K12835	NaN	NaN	NaN	NaN	NaN	NaN	33676.65	19096.7	NaN
K12834	NaN	NaN	NaN	NaN	228480	718680	7737.1	52397.45	NaN
K12837	NaN	NaN	NaN	NaN	2481865	1991270	20870.15	58936.248	NaN
K12836	NaN	NaN	NaN	NaN	1542450	1820350	21697.617	30689.208	NaN
K12831	NaN	NaN	NaN	NaN	256888	378486	5775	NaN	NaN
K12830	NaN	NaN	265395	4458636	2179828	1563150	20545	24506.3	NaN
K12833	NaN	NaN	NaN	NaN	2273950	NaN	934.15	19763.1	NaN
K12832	NaN	NaN	NaN	NaN	NaN	NaN	4776.1	17413.9	NaN
K12662	NaN	NaN	NaN	NaN	663600	NaN	25727.76	9198.35	NaN
K12817	NaN	NaN	NaN	NaN	86376	339282	5752.95	3724.7	NaN
K12816	NaN	NaN	NaN	NaN	3986934	2011230	7556.15	8121.05	NaN
K12813	NaN	NaN	NaN	NaN	2476149	739872	22381.494	5395.29	NaN
K12819	NaN	NaN	1978760	NaN	338819	NaN	11398.8	6452.334	NaN
K12818	NaN	NaN	5281885	NaN	2525310	1272804	7098.7	18354.276	NaN
K06063	NaN	NaN	NaN	950180	NaN	NaN	25577.65	23878.191	NaN
K11096	NaN	NaN	NaN	NaN	554778	1399202	33672.8	106905.79	NaN
K11097	NaN	NaN	NaN	NaN	116160	168696	33203.1	127666.7	NaN
K11095	NaN	NaN	NaN	NaN	822850	NaN	10770.2	11703.3	NaN
K11092	NaN	NaN	NaN	NaN	1390550	1112650	48352.85	65187.615	NaN
K11091	NaN	NaN	NaN	NaN	NaN	NaN	3058.65	NaN	NaN
K11098	NaN	NaN	NaN	NaN	356132	2147220	64514.056	16307.808	NaN
K11099	NaN	NaN	NaN	NaN	230490	NaN	42792.4	390655.95	NaN
K11087	NaN	NaN	NaN	NaN	1288056	1709792	21086.45	67208.868	NaN
K09567	NaN	NaN	NaN	NaN	1753884	NaN	5016.2	33108.6	NaN
K12863	NaN	NaN	NaN	NaN	2900484	5184936	14972.65	23656.283	NaN
K12860	NaN	NaN	NaN	NaN	2070336	3391122	28157.5	22619.8	NaN
K12866	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3546.2	NaN
K12867	NaN	NaN	NaN	NaN	1038635	NaN	9797.2	4858	NaN
K12868	NaN	NaN	NaN	NaN	NaN	NaN	3356.5	8174.6	NaN
K12869	NaN	NaN	NaN	NaN	2631390	1081182	9316.3	13205.256	NaN
K11086	NaN	NaN	NaN	NaN	836220	342860	20571.075	NaN	NaN
K11088	NaN	NaN	NaN	NaN	683600	861200	27694.142	21793.528	NaN
K12812	NaN	NaN	NaN	NaN	21861876	15039315	NaN	207467.02	NaN
K11093	NaN	NaN	NaN	NaN	1346436	683630	19373.9	31364.032	NaN
K11094	NaN	NaN	NaN	NaN	NaN	NaN	1851.128	NaN	NaN
K12827	NaN	NaN	NaN	3488990	915200	765960	40557.384	27005.567	NaN
K12838	NaN	NaN	NaN	NaN	NaN	NaN	NaN	96909.358	NaN
K12840	NaN	NaN	NaN	NaN	NaN	NaN	8216.01	19927.947	NaN
K12841	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13050.24	NaN
K12859	NaN	NaN	NaN	NaN	870716	NaN	1462.884	800.596	NaN
K12862	NaN	NaN	13589983	2485912	2507092	435540	8761.608	25442.37	NaN
K09564	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35288.7	NaN
K12876	NaN	NaN	NaN	NaN	NaN	NaN	177103.5	23765.28	NaN
K12884	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12886	NaN	NaN	NaN	NaN	NaN	NaN	NaN	203931.01	NaN
K12887	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12888	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12889	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K12891	NaN	NaN	NaN	NaN	NaN	NaN	25114.95	43537.845	NaN
K12892	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K02877	NaN	NaN	47321880	39177588	16012512	11938320	380422.7	NaN	NaN
K02922	NaN	NaN	NaN	NaN	6304025	2355626	120681.75	154164.05	NaN
K02920	NaN	NaN	42147500	34195800	6444462	1369670	309297.45	532676.09	NaN
K02921	NaN	NaN	2688148	773904	3341656	3234424	200748.45	148765.5	NaN
