Numerator	Denominator	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener
		10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%
Organismal Systems	MAPPED	0	0	0	0	0	0.008199	0	0	0	0	0	3.38e-05	0	0.0001809	0.001436	0	0.0005253	0.002664	0.006013	0.006268	0.008563	0.02047	0.02078	0.02122	0	0	0
-Immune System	MAPPED	0	0	0	0	0	0	0	0	0	0	0	3.38e-05	0	5.699e-05	0.0005807	0	0.0001342	0.0005253	0	2.015e-06	3.91e-05	0.000195	0.000212	0.0003238	0	0	0
-Endocrine System	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.486e-05	0	0	0	0	0	1.424e-06	0.00039	0.0004758	0.0008249	0	0	0
-Circulatory System	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	7.505e-05	0.0008211	0	0.0003035	0.002011	0	0	0.00114	0.01636	0.01671	0.01671	0	0	0
-Digestive System	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.39e-05	0	0	0.0003677	0	0	0.0002838	0.001646	0.001688	0.001701	0	0	0
-Excretory System	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003159	0.0003159	0.0003159	0	0	0
-Nervous System	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001359	0.001359	0.001359	0	0	0
-Sensory System	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.713e-06	0	0	0
-Development	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001111	0.0001111	0.0001111	0	0	0
-Environmental Adaptation	MAPPED	0	0	0	0	0	0.008199	0	0	0	0	0	0	0	0	0	0	0	0	0.006011	0.006172	0.008285	0	0	0	0	0	0
Human Diseases	MAPPED	0	0	0	0	0.0009622	0.003325	2.716e-05	0.000152	0.0005462	0.0001001	0.001325	0.001801	0.00652	0.008018	0.009272	0.007511	0.01131	0.01464	0.002245	0.007836	0.01158	0.003667	0.004265	0.004691	0	0	0.0006685
-Cancers	MAPPED	0	0	0	0	0	0.002363	0	2.716e-05	2.716e-05	0	0	0.0004175	0	4.873e-05	0.0004343	0	0.0003955	0.001698	0.0001225	0.0001245	0.0006992	0.00142	0.001504	0.002581	0	0	0.0006685
