Numerator	Denominator	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener
-Translation	Genetic Information Processing	0.783	0.7232	0.7559	0.8252	0.6567	0.5328	0.664	0.526	0.6553
-Folding, Sorting and Degradation	Genetic Information Processing	0.1279	0.1416	0.2097	0.152	0.2722	0.3471	0.1989	0.3525	0.2691
-DNA Maintenance	Genetic Information Processing	0.01227	0.05172	0.01484	0.009625	0.02681	0.04544	0.05485	0.05405	0.01415
-RNA Family	Genetic Information Processing	0	0	0	0	0	0	0	0	0
Environmental Information Processing	Genetic Information Processing	0.01558	0.06082	0.0368	0.03959	0.03512	0.07589	0.01634	0.1331	0.02846
-Signal Transduction	Genetic Information Processing	0.01558	0.06042	0.0368	0.03959	0.03494	0.07469	0.01607	0.1254	0.02846
-Signaling Molecules and Interaction	Genetic Information Processing	0	0	0	0	0	0	0.000211	0.007604	0
Cellular Processes	Genetic Information Processing	0.002073	0.01178	0.03506	0.03256	0.04861	0.1225	0.05062	0.1965	0.00675
-Hemoglobin	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Vesicular Transport	Genetic Information Processing	0	0.001583	0.01001	0.01427	0.02175	0.06551	0.02607	0.06892	0
-Cytoskeleton	Genetic Information Processing	0	0	0.00656	0.006663	0.02461	0.04944	0.02086	0.05793	0
-Cell Motility	Genetic Information Processing	0	0	0	0	0	0	0	0	0.0006201
-Cell Growth and Death	Genetic Information Processing	0	0	0.01845	0.01156	0.002176	0.006389	0.003105	0.0249	0
-Cell Communication	Genetic Information Processing	0	0	3.439e-05	6.217e-05	0	0	0	0.04472	0
Metabolism	Genetic Information Processing	1.254	1.899	1.655	2.402	1.237	1.707	0.8752	0.6217	1.352
-Membrane Transport	Genetic Information Processing	0.007353	0.1368	0	0	0	0	0.0006696	0.0003265	0.01973
-Central Carbon Metabolism	Genetic Information Processing	0.351	0.6399	1.055	1.216	0.4105	0.5834	0.311	0.2395	0.3324
-Energy Metabolism	Genetic Information Processing	0.0149	0.0459	0.02297	0.06148	0.05419	0.1752	0.166	0.1326	0.1726
-Biosynthesis	Genetic Information Processing	0.4632	0.4626	0.149	0.4413	0.4347	0.5783	0.2444	0.1787	0.4388
-Other Enzymes	Genetic Information Processing	0.1706	0.3128	0.05285	0.11	0.1289	0.1845	0.06817	0.04858	0.1885
Organismal Systems	Genetic Information Processing	0	0	0	0	0	0	0.01399	0.04323	0
-Immune System	Genetic Information Processing	0	0	0	0	0	0	0	0.0004121	0
-Endocrine System	Genetic Information Processing	0	0	0	0	0	0	0	0.0008242	0
-Circulatory System	Genetic Information Processing	0	0	0	0	0	0	0	0.03453	0
-Digestive System	Genetic Information Processing	0	0	0	0	0	0	0	0.003474	0
-Excretory System	Genetic Information Processing	0	0	0	0	0	0	0	0.0006669	0
-Nervous System	Genetic Information Processing	0	0	0	0	0	0	0	0.002869	0
-Sensory System	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Development	Genetic Information Processing	0	0	0	0	0	0	0	0.0002345	0
-Environmental Adaptation	Genetic Information Processing	0	0	0	0	0	0	0.01397	0	0
Human Diseases	Genetic Information Processing	0	0	8.226e-05	0.0003913	0.01817	0.02569	0.005216	0.007846	0
-Cancers	Genetic Information Processing	0	0	0	0	0	0	0.0002856	0.002999	0
-Immune System Diseases	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Neurodegenerative Diseases	Genetic Information Processing	0	0	0	5.61e-05	0.00027	0.0004919	0.0004777	0.0006468	0
-Cardiovascular Diseases	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Infectious Diseases	Genetic Information Processing	0	0	0	0	0.01594	0.01805	3.102e-05	0.0002153	0
Not Mapped	Genetic Information Processing	0.055	0.6327	0.1309	0.156	0.7097	1.69	2.114	1.152	2.226
-Not Mapped	Genetic Information Processing	0.055	0.6327	0.1309	0.156	0.7097	1.69	2.114	1.152	2.226
TOTAL	-Transcription	43.44	90.49	238.9	760.4	108.8	89.38	84.31	63.38	212.9
MAPPED	-Transcription	42.62	79.71	229	731.3	86.66	59.8	44.03	41.01	141.6
Genetic Information Processing	-Transcription	14.87	16.87	75.69	185.1	30.89	17.08	18.42	19.42	32.02
-Transcription	-Transcription	1	1	1	1	1	1	1	1	1
-Translation	-Transcription	11.64	12.33	57.26	153.8	20.48	9.321	12.64	10.27	20.98
-Folding, Sorting and Degradation	-Transcription	2.044	2.655	15.97	28.45	8.424	5.951	3.722	6.974	9.584
-DNA Maintenance	-Transcription	0.1825	0.8913	1.151	1.782	0.8349	0.8076	1.033	1.144	0.4531
-RNA Family	-Transcription	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Transcription	0.2317	1.07	2.786	7.397	1.085	1.391	0.3166	2.586	1.452
-Signal Transduction	-Transcription	0.2317	1.07	2.786	7.397	1.084	1.391	0.3121	2.438	1.452
-Signaling Molecules and Interaction	-Transcription	0	0	0	0	0	0	0.004068	0.1477	0
Cellular Processes	-Transcription	0.04791	0.419	2.653	6.091	1.525	2.147	0.9612	3.816	0.4429
-Hemoglobin	-Transcription	0	0	0	0	0	0	0	0	0
-Vesicular Transport	-Transcription	0	0.02699	0.7579	2.67	0.6763	1.16	0.4985	1.339	0
-Cytoskeleton	-Transcription	0	0	0.4967	1.247	0.7666	0.8652	0.397	1.125	0
-Cell Motility	-Transcription	0	0	0	0	0	0	0	0	0.01985
-Cell Growth and Death	-Transcription	0	0	1.396	2.163	0.06897	0.1141	0.0597	0.4837	0
-Cell Communication	-Transcription	0	0	0.002604	0.01163	0	0	0	0.8686	0
Metabolism	-Transcription	18.65	32.58	125.5	449.1	38.72	30.11	16.94	12.16	43.29
-Membrane Transport	-Transcription	0.1093	2.362	0	0	0	0	0.01297	0.006751	0.6317
-Central Carbon Metabolism	-Transcription	5.377	13.53	80.5	225	13.01	10.41	5.904	4.656	10.66
-Energy Metabolism	-Transcription	0.3415	1.246	1.757	11.59	1.694	3.089	3.118	2.599	11.1
-Biosynthesis	-Transcription	6.912	7.846	11.28	83.18	13.65	9.988	4.733	3.727	14.05
-Other Enzymes	-Transcription	4.612	5.891	4.056	21.02	4.276	3.575	1.342	0.9436	6.858
Organismal Systems	-Transcription	0	0	0	0	0	0	0.271	0.8397	0
-Immune System	-Transcription	0	0	0	0	0	0	0	0.00851	0
-Endocrine System	-Transcription	0	0	0	0	0	0	0	0.01722	0
-Circulatory System	-Transcription	0	0	0	0	0	0	0	0.6708	0
-Digestive System	-Transcription	0	0	0	0	0	0	0	0.06749	0
-Excretory System	-Transcription	0	0	0	0	0	0	0	0.01295	0
-Nervous System	-Transcription	0	0	0	0	0	0	0	0.05572	0
-Sensory System	-Transcription	0	0	0	0	0	0	0	0	0
-Development	-Transcription	0	0	0	0	0	0	0	0.004554	0
-Environmental Adaptation	-Transcription	0	0	0	0	0	0	0.2706	0	0
Human Diseases	-Transcription	0	0	0.006277	0.07322	0.5699	0.4692	0.1011	0.1542	0
-Cancers	-Transcription	0	0	0	0	0	0	0.005423	0.05824	0
-Immune System Diseases	-Transcription	0	0	0	0	0	0	0	0	0
-Neurodegenerative Diseases	-Transcription	0	0	0	0.01072	0.008466	0.0086	0.009348	0.01369	0
-Cardiovascular Diseases	-Transcription	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	-Transcription	0	0	0	0	0	0	0	0	0
-Infectious Diseases	-Transcription	0	0	0	0	0.5053	0.3397	0.000628	0.004182	0
Not Mapped	-Transcription	0.8177	10.79	9.911	29.19	22.1	29.57	40.28	22.37	71.28
-Not Mapped	-Transcription	0.8177	10.79	9.911	29.19	22.1	29.57	40.28	22.37	71.28
TOTAL	-Translation	3.732	7.304	4.15	4.915	5.301	9.476	6.623	6.12	10.04
MAPPED	-Translation	3.661	6.433	3.978	4.727	4.223	6.34	3.459	3.96	6.679
Genetic Information Processing	-Translation	1.213	1.313	1.313	1.204	1.496	1.833	1.457	1.853	1.452
-Transcription	-Translation	0.02402	0.02515	0.01678	0.00634	0.04573	0.09618	0.07361	0.08015	0
-Translation	-Translation	1	1	1	1	1	1	1	1	1
-Folding, Sorting and Degradation	-Translation	0.1612	0.1949	0.2768	0.1839	0.4072	0.6384	0.2945	0.6555	0.3923
-DNA Maintenance	-Translation	0.01568	0.07009	0.01949	0.01159	0.04035	0.08412	0.0805	0.1002	0.0216
-RNA Family	-Translation	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Translation	0.0199	0.08314	0.0484	0.04788	0.05297	0.1402	0.0244	0.2496	0.04278
-Signal Transduction	-Translation	0.0199	0.08314	0.0484	0.04788	0.05292	0.1386	0.02368	0.2352	0.04278
-Signaling Molecules and Interaction	-Translation	0	0	0	0	0	0	0.0003171	0.01432	0
Cellular Processes	-Translation	0.002596	0.01583	0.04634	0.03937	0.07384	0.2267	0.07511	0.3717	0.01011
-Hemoglobin	-Translation	0	0	0	0	0	0	0	0	0
-Vesicular Transport	-Translation	0	0.002179	0.01317	0.01726	0.03296	0.1217	0.03903	0.1291	0
-Cytoskeleton	-Translation	0	0	0.008629	0.008058	0.03736	0.09173	0.03119	0.1086	0
-Cell Motility	-Translation	0	0	0	0	0	0	0	0	0.0009462
-Cell Growth and Death	-Translation	0	0	0.02439	0.01398	0.003305	0.01191	0.004567	0.04712	0
-Cell Communication	-Translation	0	0	4.524e-05	7.519e-05	0	0	0	0.08388	0
Metabolism	-Translation	1.602	2.613	2.182	2.905	1.877	3.179	1.318	1.168	2.064
-Membrane Transport	-Translation	0.00939	0.1796	0	0	0	0	0.001	0.0006081	0.03011
-Central Carbon Metabolism	-Translation	0.4442	0.8806	1.387	1.464	0.6236	1.082	0.4634	0.4437	0.4977
-Energy Metabolism	-Translation	0.0185	0.0617	0.03019	0.0744	0.08252	0.3288	0.2467	0.2483	0.2594
-Biosynthesis	-Translation	0.5751	0.6219	0.197	0.5339	0.657	1.071	0.3615	0.333	0.6696
-Other Enzymes	-Translation	0.2069	0.4107	0.06991	0.1333	0.1955	0.3438	0.1004	0.09191	0.2822
Organismal Systems	-Translation	0	0	0	0	0	0	0.02081	0.08136	0
-Immune System	-Translation	0	0	0	0	0	0	0	0.000775	0
-Endocrine System	-Translation	0	0	0	0	0	0	0	0.00156	0
-Circulatory System	-Translation	0	0	0	0	0	0	0	0.06478	0
-Digestive System	-Translation	0	0	0	0	0	0	0	0.006517	0
-Excretory System	-Translation	0	0	0	0	0	0	0	0.001251	0
-Nervous System	-Translation	0	0	0	0	0	0	0	0.005381	0
-Sensory System	-Translation	0	0	0	0	0	0	0	0	0
-Development	-Translation	0	0	0	0	0	0	0	0.0004398	0
-Environmental Adaptation	-Translation	0	0	0	0	0	0	0.0208	0	0
Human Diseases	-Translation	0	0	0.000108	0.0004733	0.02754	0.0477	0.00779	0.01454	0
-Cancers	-Translation	0	0	0	0	0	0	0.0004253	0.005654	0
-Immune System Diseases	-Translation	0	0	0	0	0	0	0	0	0
-Neurodegenerative Diseases	-Translation	0	0	0	6.798e-05	0.0004091	0.0009131	0.0007065	0.001198	0
-Cardiovascular Diseases	-Translation	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	-Translation	0	0	0	0	0	0	0	0	0
-Infectious Diseases	-Translation	0	0	0	0	0.02421	0.03349	4.623e-05	0.0004073	0
Not Mapped	-Translation	0.07024	0.8706	0.1722	0.1887	1.077	3.135	3.164	2.16	3.362
-Not Mapped	-Translation	0.07024	0.8706	0.1722	0.1887	1.077	3.135	3.164	2.16	3.362
TOTAL	-Folding, Sorting and Degradation	21.04	30.18	14.92	26.45	12.47	14.38	21.15	9.014	21.8
MAPPED	-Folding, Sorting and Degradation	20.65	26.58	14.3	25.44	9.936	9.623	11.04	5.832	14.5
Genetic Information Processing	-Folding, Sorting and Degradation	7.016	5.649	4.725	6.47	3.568	2.793	4.747	2.76	3.219
-Transcription	-Folding, Sorting and Degradation	0.1383	0.1126	0.06059	0.03398	0.1084	0.1459	0.2442	0.1184	0
-Translation	-Folding, Sorting and Degradation	5.603	4.085	3.575	5.348	2.343	1.508	3.173	1.452	2.15
-Folding, Sorting and Degradation	-Folding, Sorting and Degradation	1	1	1	1	1	1	1	1	1
-DNA Maintenance	-Folding, Sorting and Degradation	0.08928	0.3056	0.07026	0.06237	0.09584	0.1269	0.2604	0.1506	0.04728
-RNA Family	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Folding, Sorting and Degradation	0.1122	0.3436	0.174	0.2578	0.1267	0.2163	0.08056	0.3673	0.09603
-Signal Transduction	-Folding, Sorting and Degradation	0.1122	0.3436	0.174	0.2578	0.1248	0.2103	0.07771	0.3461	0.09603
-Signaling Molecules and Interaction	-Folding, Sorting and Degradation	0	0	0	0	0	0	0.001008	0.02118	0
Cellular Processes	-Folding, Sorting and Degradation	0.01454	0.0709	0.1661	0.2119	0.1736	0.3467	0.2419	0.5472	0.02173
-Hemoglobin	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Vesicular Transport	-Folding, Sorting and Degradation	0	0.009002	0.04734	0.09289	0.07793	0.1852	0.1246	0.1903	0
-Cytoskeleton	-Folding, Sorting and Degradation	0	0	0.03102	0.04336	0.08789	0.1392	0.09969	0.1603	0
-Cell Motility	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0.002071
-Cell Growth and Death	-Folding, Sorting and Degradation	0	0	0.08741	0.07524	0.007769	0.01798	0.01524	0.06936	0
-Cell Communication	-Folding, Sorting and Degradation	0	0	0.0001627	0.0004047	0	0	0	0.1235	0
Metabolism	-Folding, Sorting and Degradation	9.125	11.2	7.832	15.63	4.416	4.825	4.183	1.722	4.517
-Membrane Transport	-Folding, Sorting and Degradation	0.05349	0.8354	0	0	0	0	0.003329	0.0009224	0.06591
-Central Carbon Metabolism	-Folding, Sorting and Degradation	2.631	4.046	5.005	7.879	1.466	1.643	1.491	0.6671	1.07
-Energy Metabolism	-Folding, Sorting and Degradation	0.1079	0.2763	0.109	0.4033	0.1933	0.4958	0.7932	0.366	0.5823
-Biosynthesis	-Folding, Sorting and Degradation	3.353	2.704	0.7062	2.855	1.554	1.615	1.171	0.5007	1.466
-Other Enzymes	-Folding, Sorting and Degradation	1.233	1.905	0.25	0.7142	0.4637	0.5215	0.3307	0.1353	0.6067
Organismal Systems	-Folding, Sorting and Degradation	0	0	0	0	0	0	0.06765	0.1202	0
-Immune System	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0.001137	0
-Endocrine System	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0.002275	0
-Circulatory System	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0.09609	0
-Digestive System	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0.009676	0
-Excretory System	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0.001843	0
-Nervous System	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0.007925	0
-Sensory System	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Development	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0.0006478	0
-Environmental Adaptation	-Folding, Sorting and Degradation	0	0	0	0	0	0	0.06765	0	0
Human Diseases	-Folding, Sorting and Degradation	0	0	0.0003902	0.002559	0.06572	0.0736	0.02594	0.02186	0
-Cancers	-Folding, Sorting and Degradation	0	0	0	0	0	0	0.001376	0.008293	0
-Immune System Diseases	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Neurodegenerative Diseases	-Folding, Sorting and Degradation	0	0	0	0.000365	0.0009764	0.001409	0.002289	0.001802	0
-Cardiovascular Diseases	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Infectious Diseases	-Folding, Sorting and Degradation	0	0	0	0	0.05693	0.05084	0.000156	0.0005996	0
Not Mapped	-Folding, Sorting and Degradation	0.3961	3.598	0.619	1.015	2.534	4.758	10.1	3.182	7.298
-Not Mapped	-Folding, Sorting and Degradation	0.3961	3.598	0.619	1.015	2.534	4.758	10.1	3.182	7.298
TOTAL	-DNA Maintenance	48.14	47.68	160.4	257.7	103.3	81.8	55.24	50.54	156.5
MAPPED	-DNA Maintenance	47.23	41.99	153.7	247.8	82.27	54.74	28.85	32.7	104.1
Genetic Information Processing	-DNA Maintenance	16.28	8.982	50.84	63.12	29.26	15.79	12.4	15.32	22.36
-Transcription	-DNA Maintenance	0.3318	0.1823	0.6502	0.3305	0.8904	0.8237	0.6125	0.6594	0
-Translation	-DNA Maintenance	12.86	6.527	38.43	52.1	19.31	8.486	8.321	8.172	15.34
-Folding, Sorting and Degradation	-DNA Maintenance	2.082	1.272	10.69	9.623	8.054	5.48	2.466	5.401	6.018
-DNA Maintenance	-DNA Maintenance	1	1	1	1	1	1	1	1	1
-RNA Family	-DNA Maintenance	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-DNA Maintenance	0.2696	0.5566	1.871	2.51	1.085	1.267	0.2104	2.068	0.7424
-Signal Transduction	-DNA Maintenance	0.2567	0.5427	1.871	2.51	1.07	1.233	0.2074	1.949	0.7424
-Signaling Molecules and Interaction	-DNA Maintenance	0	0	0	0	0	0	0.002786	0.1189	0
Cellular Processes	-DNA Maintenance	0.1194	0.1653	1.818	2.067	1.443	1.943	0.6289	3.076	0.3132
-Hemoglobin	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Vesicular Transport	-DNA Maintenance	0	0.01422	0.5088	0.906	0.642	1.047	0.3255	1.07	0
-Cytoskeleton	-DNA Maintenance	0	0	0.3335	0.4225	0.7278	0.7919	0.2602	0.9027	0
-Cell Motility	-DNA Maintenance	0	0	0	0	0	0	0	0	0.03105
-Cell Growth and Death	-DNA Maintenance	0	0	0.959	0.7338	0.0723	0.1048	0.04133	0.3927	0
-Cell Communication	-DNA Maintenance	0	0	0.001748	0.003942	0	0	0	0.6926	0
Metabolism	-DNA Maintenance	20.75	17.06	84.15	152.1	36.85	27.67	10.99	9.607	34.19
-Membrane Transport	-DNA Maintenance	0.3247	1.438	0	0	0	0	0.008592	0.005368	1.394
-Central Carbon Metabolism	-DNA Maintenance	5.714	5.748	60.28	81.02	13.31	9.846	3.857	3.716	7.987
-Energy Metabolism	-DNA Maintenance	0.5012	0.6442	1.332	3.881	1.744	3.062	2.174	2.046	4.502
-Biosynthesis	-DNA Maintenance	8.95	4.281	7.748	32.17	14.74	9.469	3.484	2.782	10.58
-Other Enzymes	-DNA Maintenance	3.998	4.018	2.687	7.072	3.974	3.174	1.064	0.7973	6.102
Organismal Systems	-DNA Maintenance	0	0	0	0	0	0	0.18	0.6693	0
-Immune System	-DNA Maintenance	0	0	0	0	0	0	0	0.006376	0
-Endocrine System	-DNA Maintenance	0	0	0	0	0	0	0	0.0128	0
-Circulatory System	-DNA Maintenance	0	0	0	0	0	0	0	0.535	0
-Digestive System	-DNA Maintenance	0	0	0	0	0	0	0	0.05398	0
