Gene names	Intensity L Diaphragm
21648	15376.2857143
18073	69879.5180723
15507	2961722.48804
66695	892761.394102
12512	2653.65546218
12323	24538.7453875
67399	74857.1428571
12372	9971428.57143
18746	6478342.74953
20198	86571.4285714
104183	41428.5714286
27273	88349.5145631
64661	1587.94285714
69787	2919.14285714
330440	4121.14285714
12971	16551.4285714
17929	13571428.5714
14660	58011.8694362
12799	21433.3333333
17035	6651.71428571
16664	15257.4380165
226519	243310.51649
16854	47727.2727273
75572	3764150.9434
20195	102000.0
16775	24669.6035242
226041	164571.428571
67326	7914.57142857
18489	1115.31428571
118449	902857.142857
12349	1592307.69231
76293	176571.428571
17885	1073825.50336
17879	80329557.1576
67971	694285.714286
11674	20521978.022
66734	114049.586777
107272	24174.0540541
13602	1019.57142857
17022	2579881.6568
14457	12905.7142857
171580	1762.97142857
11450	404858.299595
11811	834821.428571
107029	1482.25806452
26558	571.428571429
22240	125714.285714
232714	3394.28571429
232400	3889.71428571
17930	7000000.0
18483	35714.2857143
13179	2896174.86339
23969	6170.85714286
11983	320000.0
17118	69255.6634304
69051	7643.75
14467	4971428.57143
56185	10491.7847025
16852	1807407.40741
72948	46857.1428571
11676	25964.1873278
21985	62000.0
12933	68571.4285714
20965	10264.0
16890	4862.45059289
20194	945714.285714
21753	10549.4285714
19340	9422.37442922
229731	25716.0
17988	231428.571429
73723	121714.285714
13405	90538.3360522
12721	150542.299349
13184	1890.71428571
216739	1059.89956958
14583	26255.3802009
13010	69227.1428571
16985	1332.8
11997	246202.531646
15275	28644.7638604
22352	4484978.54077
71960	36950.0
381204	1803.48993289
16952	334285.714286
11820	1588.57142857
12306	2114285.71429
14381	78640.776699
18074	49821.8104063
66395	4714285.71429
12362	12352.4875622
56356	1048.22857143
74340	3233.44208809
11808	1020000.0
109857	18250.5415162
13821	133.924914676
17760	995.066225166
56078	7732.49211356
109934	2153.74285714
12406	1011990.40767
83397	54857.1428571
67103	269300.911854
216810	3478.0
217124	1176.65714286
12934	1423076.92308
20324	668571.428571
29877	10905.1428571
380698	3228571.42857
11766	1036.4
26556	34571.4285714
16776	962.641204949
12332	1463068.18182
