!!SBtab TableType='Proteomaps' Organism='mmu' ValueType='Intensity L' Tissue='Pancreas'
!ProteinIdentifier	!Abundance
12653	137428.571429
12798	3666.0
17755	5844.15584416
18799	2196.2962963
13017	1677.73033708
56526	3672.85714286
16560	9144.54277286
50706	8751.14285714
229603	107500.0
19895	36963.6963696
P01864	1165.4
11544	10022.3756906
66251	252390.057361
23999	35243.5530086
11677	1718354.43038
229593	11666.2857143
68196	9186.57142857
14432	3603.14285714
97165	110000.0
22152	6721.11111111
19309	14489.3111639
66471	18156.2857143
114584	216597.510373
14079	44685.6060606
74103	103142.857143
72042	57714.2857143
15929	150127.226463
73442	2609.28571429
59046	60571.4285714
11486	63636.3636364
22323	8721.6
66849	33428.5714286
11641	31714.2857143
12554	472.927170868
98878	42698.7060998
270685	16683.7256909
16541	333.53221957
17904	1596026.49007
212307	143251.533742
11857	18510.0
227737	9308.28571429
20692	4403.71428571
12810	162000.0
19055	16936.6602687
11745	142571.428571
19339	38143.1818182
14086	3058.28571429
16594	4413.35559265
20193	2091.14285714
67980	5728.98550725
15163	59465.0205761
13476	417142.857143
68106	5112.28571429
71733	24976.5714286
219072	56000.0
11973	320353.982301
16956	2465.18987342
17254	188783.269962
13860	1597.51428571
98932	372093.023256
54609	31347.9623824
64933	292.392344498
170718	385714.285714
16678	118681.318681
13132	26501.305483
107589	2667.85162287
11518	16698.8571429
11775	99.4177449168
19231	711428.571429
20719	521164.021164
432516	1311.88878236
16906	620748.29932
18537	885462.555066
74325	502183.406114
93686	1228.14285714
227620	28007.8895464
15129	25442176.8707
326618	238709.677419
11964	68233.3873582
15122	7057142.85714
12908	13688.658147
53416	15551.0791367
75608	136160.714286
26611	172571.428571
56360	150000.0
20362	16067.4285714
353170	1896.34285714
16592	1711111.11111
66111	21636.5714286
12550	9834.2760181
104001	16549.4285714
69654	529850.746269
11465	10589.0666667
71780	30879.7127469
320707	2032.17142857
110078	10230.4863582
223601	2281.0
232748	454.285714286
68631	11941.69279
15444	37428.5714286
107975	21108.5714286
68420	503.485714286
19264	94.0588690937
14960	8101.5625
16149	1418.27956989
23825	388571.428571
14007	5574.60629921
18582	4373.6
14936	8361.51761518
213539	8432.85714286
654795	30000.0
22142	76274.9445676
381694	3508.99795501
14593	11070.6666667
170930	1063157.89474
67068	876041.666667
57915	216.46
94181	780000.0
68519	17275.7142857
11722	1446.43835616
15512	1831.7535545
17524	10864.5714286
59069	1218309.85915
14688	207941.176471
22637	5149.19093851
12945	19136.6906475
16593	23475.0462107
19672	132285.714286
67803	1527.45714286
17219	1304.14129111
11966	92954.9902153
14245	8025.14285714
26364	222.970660147
268996	3445.42857143
71148	32285.7142857
18751	2480.92399404
52589	2393.85714286
11931	17758.8815789
22629	295528.455285
18717	301.19515885
20970	5305.42986425
13589	369029.850746
12491	20370.1271186
56327	16923.9130435
18033	2387.95056643
66273	6240.0
227541	9529.87012987
14269	1834.57142857
18597	312820.512821
56702	2471.30044843
17161	37642.5855513
74091	5831.25
68263	559888.579387
69772	27044.0816327
11891	7837.55656109
216197	5743.82608696
18536	11357.7142857
234779	133.415019763
74044	22290.8571429
12759	1062857.14286
16170	149.402857143
73834	42914.9797571
228359	104000.0
380711	4961.42857143
51793	6256.49122807
380928	2575.97142857
66128	212571.428571
P01867-2	117142.857143
21987	162000.0
229877	61714.2857143
22631	1432653.06122
66645	3443.71428571
18797	894.570502431
57349	11140.2857143
235627	147.565714286
20202	10696.2857143
59069	130633.802817
21825	188.512820513
239217	798.0
109552	30857.1428571
12419	102094.240838
108911	53428.5714286
66128	106571.428571
320183	420.742857143
13016	1136.09977324
72157	274193.548387
12417	77049.1803279
27360	28571.4285714
18642	12360.2564103
319713	1067.40469208
72108	2805.74285714
170750	31781.7014446
65106	40571.4285714
12412	96216.2162162
14225	1324074.07407
227700	3820.25
20111	20994.4751381
17831	3628.50746269
15193	9071.14285714
53598	270967.741935
11429	528205.128205
16181	1547.58426966
100900	8593.16239316
12816	22564.1025641
52398	261428.571429
17698	46100.5199307
29812	8030.57142857
18220	115714.285714
68614	252.494285714
22793	23758.8652482
26417	12195.2631579
66204	484848.484848
18195	193548.387097
53378	57714.2857143
12183	17023.5521236
192662	862745.098039
27984	494285.714286
244373	71714.2857143
233908	139575.289575
54391	181290.322581
63986	12733.4285714
12757	23872.7659574
382643	34285.7142857
15382	239062.5
116847	161640.21164
56086	164705.882353
18753	21958.4569733
22343	212857.142857
66469	7411.71428571
29875	31864.8159324
14904	5614.85714286
14857	314798.206278
76626	272000.0
668218	242571.428571
26370	2589.18604651
16400	30.6077872745
15469	168733.153639
