Gene names	Intensity L Kidney cortex
68519	53142.8571429
11722	16369.4716243
15512	75671.4060032
17524	3600000.0
59069	20598591.5493
14688	2511764.70588
16593	262476.89464
19672	212285.714286
67803	11838.0
17219	7217.41778319
11966	3679060.66536
14245	60571.4285714
26364	14180.9290954
268996	10252.8571429
73112	1608571.42857
71148	228857.142857
18751	68703.4277198
52589	127428.571429
101314	81142.8571429
11931	9671052.63158
22629	1979674.79675
18717	9179.1225416
20970	23529.4117647
13589	1597014.92537
12491	130932.20339
56327	189130.434783
18033	12667.3532441
66273	76285.7142857
227541	649.792207792
14269	149142.857143
18597	5153846.15385
18739	622.428571429
56702	15888.7892377
17161	501901.140684
74091	2012500.0
68263	6434540.38997
69772	6897959.18367
11891	220814.479638
216197	41043.4782609
18536	46000.0
234779	15494.0711462
14026	16213.7142857
12759	508571.428571
16170	11193.7142857
73834	2360323.88664
228359	582857.142857
380711	43142.8571429
380686	15500.5714286
432467	194285.714286
51793	332280.701754
380928	1182857.14286
66128	1231428.57143
P01867-2	411428.571429
21987	169142.857143
229877	365714.285714
22631	7469387.7551
66310	217142.857143
66645	102000.0
18797	49351.7017828
57349	27942.8571429
235627	3787.42857143
20202	30857.1428571
59069	838028.169014
21825	35897.4358974
239217	140000.0
109552	720000.0
12419	570680.628272
73086	2257.58980301
11630	4629.71428571
108911	112571.428571
66128	717142.857143
320183	5646.57142857
13016	48072.5623583
72157	164516.129032
12417	543715.846995
216963	31818.1818182
27360	1582857.14286
18642	110769.230769
319713	64956.0117302
72108	6137.71428571
170750	1489566.61316
65106	98857.1428571
12412	251351.351351
14225	5259259.25926
227700	63500.0
20111	134392.265193
12402	3917.96276013
11937	994.728370221
17831	2137.31343284
105298	795.714285714
12322	21757.3221757
15193	168285.714286
17220	23783.0319889
53598	559139.784946
11429	13717948.7179
16181	1844.5505618
66576	344943.820225
100900	140598.290598
12816	2979.55128205
52398	2045714.28571
17698	4540727.90295
29812	94000.0
18220	1911428.57143
68614	20694.8571429
22793	161524.822695
26417	233421.052632
66204	621212.121212
18195	1057795.69892
53378	92000.0
12183	86486.4864865
192662	4578431.37255
