!!SBtab TableType='Proteomaps' Organism='spo' Condition='Quiescent'
!ProteinIdentifier	!Abundance
SPCC16C4.10	22997
SPCC1827.06c	15833
SPAC4A8.16c	6705
SPBC428.11	15717
SPCC31H12.07	11854
SPBC582.07c	8262
SPBC106.06	8095
SPAC767.01c	11111
SPAC13D6.02c	20813
SPCC830.07c	20048
SPCC1620.08	11066
SPAC9E9.07c	13122
SPAC15F9.03c	34735
SPBC25H2.12c	7140
SPBC14F5.03c	5278
SPBC1703.10	27858
SPCC613.06	7410
SPBC1D7.04	28228
SPAC6G9.12	14047
SPAC1002.19	9944
SPBC18E5.01	19763
SPBC14C8.03	13951
SPAC11D3.15	6797
SPAC20G8.04c	7725
SPBC2G2.16	13958
SPACUNK4.15	26788
SPAC3C7.05c	13463
SPAC26F1.04c	8213
SPAC3C7.14c	104015
SPAC1002.18	8996
SPAC1D4.04	8873
SPAC23A1.12c	15200
SPBC36.04	14683
SPAC3G9.06	11308
SPAPJ760.02c	9691
SPBC12C2.06	11144
SPBC16E9.05	17950
SPAC4D7.08c	10067
SPAC25G10.05c	14180
SPAC22E12.03c	26577
SPAC1F7.01c	3731
SPAC824.07	25846
SPAC56F8.03	4777
SPAC9G1.03c	48436
SPAPB8E5.02c	6423
SPBC106.16	25962
SPBC14C8.02	6279
SPCC962.03c	8269
SPAC513.05	4293
SPCC126.08c	11450
SPCC1620.06c	14856
SPBC16C6.11	16262
SPBC14F5.13c	12700
SPBC14F5.06	9149
SPCPB16A4.05c	10673
SPAC17C9.06	9747
SPCC576.10c	10483
SPAC26H5.09c	19911
SPBC887.17	12608
SPAC31G5.16c	18478
SPAC18G6.03	21926
SPBC2G2.11	8054
SPBC29B5.02c	26065
SPAC9E9.15	18369
SPAC13A11.01c	4129
SPCC16C4.13c	51168
SPAC15A10.16	3469
SPAC4A8.15c	60595
SPCC1183.02	14171
SPCC584.04	8936
SPAC1002.17c	25478
SPAC6F12.13c	18671
SPACUNK4.08	7365
SPAC1039.09	8954
SPBC26H8.11c	33268
SPCC74.05	21973
SPAC29A4.08c	10800
SPAC1687.06c	49330
SPAC16E8.04c	11450
SPAC22F8.08	8772
SPAC1687.21	21025
SPCC1322.13	13093
SPAPB1A10.12c	10027
SPBC3D6.13c	7507
SPAC637.07	9148
SPCC1183.07	3102
SPAC11E3.13c	18801
SPBC23E6.01c	19286
SPAC1B1.03c	4384
SPCC622.09	69846
SPAC1486.05	4456
SPBC1734.13	16762
SPAC18G6.05c	1324
SPBP8B7.11	9522
SPBC418.01c	9910
SPBC4F6.17c	5092
SPBP8B7.25	37316
SPAC23C11.13c	34885
SPAC20G8.09c	5475
SPBC1289.03c	35513
SPAC1B3.03c	18006
SPAC27D7.06	13488
SPBC27B12.13	18639
SPAP32A8.02	13764
SPAC11G7.04	3128
SPAC23C11.11	10757
SPBC16E9.02c	5120
SPAC1805.08	26332
SPBP4H10.15	8490
SPBC30D10.03c	8803
SPAC1142.06	12103
SPAC12B10.07	15231
SPAC23C4.19	5662
SPAC17G6.06	16917
SPBC16D10.09	16428
SPAC24H6.10c	12441
SPAC23G3.11	9061
SPAC1A6.10	8851
SPAC664.05	47419
SPBC354.10	7544
SPAC23C4.08	18154
SPAC1071.08	60031
SPBP4H10.13	49131
SPBC8D2.04	25974
SPAC13G7.01c	4900
SPAP8A3.07c	16454
SPCC23B6.04c	4335
SPAC1782.11	30207
SPCC1450.13c	17972
SPBC24C6.05	17046
SPAC22F8.06	17772
SPBC16G5.01	12711
SPBC18E5.06	72867
SPBC1539.07c	15006
SPBC216.03	12575
SPAC19G12.03	17111
SPBC83.16c	6194
SPBC460.02c	11449
SPBC29A3.10c	41864
SPBC530.07c	27569
SPBC839.13c	4858
SPBC354.07c	14010
SPAPB1A10.10c	15191
SPBC649.02	13771
SPAC29A4.05	19598
SPBC577.08c	18126
SPAC6G10.04c	17384
SPAC1B3.05	5123
SPBC713.12	13960
SPBC577.10	16928
SPBP4G3.02	24554
