!!SBtab TableType="Proteomaps" Organism="eco"					
!Gene	mu_0_11	mu_0_21	mu_0_31	mu_0_40	mu_0_48
b0260	0	0	0	0	0
b0261	58	70	70	0	74
b0262	0	0	0	0	0
b0263	0	0	0	0	0
b0266	0	0	0	0	0
b0267	0	0	0	0	0
b0268	0	0	0	0	0
b0269	0	0	0	0	0
b0270	0	0	0	0	0
b0271	0	0	0	0	0
b0272	0	0	0	0	0
b0273	0	0	0	0	0
b0276	0	0	0	0	0
b0277	0	0	0	0	0
b0278	0	0	0	0	0
b0279	0	0	0	0	0
b0280	0	0	0	0	0
b0281	0	0	0	0	0
b0283	0	0	0	0	0
b0284	0	0	0	0	0
b0285	0	0	0	0	0
b0286	0	0	0	0	0
b0287	0	0	0	0	0
b0288	0	0	0	0	0
b0289	0	0	0	0	0
b0290	0	0	0	0	0
b0291	0	0	0	0	0
b0292	0	0	0	0	0
b0293	0	0	0	0	0
b0294	0	0	0	0	0
b0295	0	0	0	0	0
b0296	0	0	0	0	0
b0297	0	0	0	0	0
b0300	0	0	0	0	0
b0301	0	0	0	0	0
b0303	0	0	0	0	0
b0304	0	0	0	0	0
b0305	0	0	0	0	0
b0306	0	0	0	0	0
b0307	0	0	0	0	0
b0308	0	0	0	0	0
b0310	0	0	0	0	0
b0311	0	0	0	0	0
b0312	0	0	0	0	0
b0313	0	0	0	0	0
b0314	0	0	0	0	0
b0315	0	0	0	0	0
b0316	0	0	0	0	0
b0317	0	0	0	0	0
b0318	0	0	0	0	0
b0319	0	0	0	0	0
b0320	0	0	0	0	0
b0321	0	0	0	0	0
b0323	0	0	0	0	0
b0324	0	0	0	0	0
b0325	5240	3731	3175	2547	2219
b0326	0	0	0	0	0
b0327	0	0	0	0	0
b0328	0	0	0	0	0
b0329	14959	8314	12456	12267	3939
b0330	0	0	0	0	0
b0331	408	0	0	0	0
b0333	298	0	0	0	0
b0334	561	0	0	0	0
b0335	0	0	0	0	0
b0336	0	0	0	0	0
b0337	471	979	1934	3079	2820
b0338	0	0	0	0	0
b0339	0	0	0	0	0
b0340	0	0	0	0	0
b0341	0	0	0	0	0
b0346	35	57	45	24	15
b0347	0	0	0	0	0
b0348	0	0	0	0	0
b0349	0	0	0	0	0
b0350	0	0	0	0	0
b0351	0	0	0	0	0
b0352	0	0	0	0	0
b0353	0	0	0	0	0
b0354	166	202	277	352	396
b0355	0	0	0	0	0
b0356	488	622	660	678	751
b0357	127	158	224	228	306
b0358	0	0	0	0	0
b0363	0	0	0	0	0
b0364	0	0	0	0	0
b0365	0	0	0	0	0
b0366	0	0	0	0	0
b0367	0	0	0	0	0
