!!SBtab TableType="Proteomaps" Organism="eco"					
!Gene	mu_0_11	mu_0_21	mu_0_31	mu_0_40	mu_0_48
b2041	295	444	774	965	1185
b2042	1859	2577	2676	3171	4735
b2043	0	0	0	0	0
b2044	0	0	0	0	0
b2045	0	0	0	0	0
b2046	0	0	0	0	0
b2047	0	0	0	0	0
b2048	0	0	0	0	0
b2049	0	0	0	0	0
b2050	0	0	0	0	0
b2051	0	0	0	0	0
b2052	0	0	0	0	0
b2053	0	0	0	0	0
b2054	0	0	0	0	0
b2055	0	0	0	0	0
b2056	0	0	0	0	0
b2057	0	0	0	0	0
b2058	0	0	0	0	0
b2059	0	0	0	0	0
b2060	0	0	0	0	0
b2061	0	0	0	0	0
b2062	0	0	0	0	0
b2063	0	0	0	0	0
b2064	0	0	0	0	0
b2065	0	0	0	0	0
b2066	0	0	0	0	0
b2067	0	0	0	0	0
b2068	0	0	0	0	0
b2069	0	0	0	0	0
b2070	0	0	0	0	0
b2071	0	0	0	0	0
b2072	0	0	0	0	0
b2073	0	0	0	0	0
b2074	0	0	0	0	0
b2075	0	0	0	0	0
b2076	0	0	0	0	0
b2077	0	0	0	0	0
b2078	0	0	0	0	0
b2079	59	69	80	82	103
b2080	2161	1659	1138	890	677
b2081	59	108	155	173	216
b2082	0	0	0	0	0
b2083	0	0	0	0	0
b2085	0	0	0	0	0
b2086	122	101	108	67	0
b2091	5163	0	0	0	0
b2092	2132	0	0	0	0
b2093	19025	0	0	0	0
b2094	9189	15927	16624	15143	8217
b2095	18619	0	0	0	0
b2096	23272	0	0	0	0
b2097	3991	8382	7043	5912	6036
b2098	0	0	0	0	0
b2099	0	0	0	0	0
b2100	0	0	0	0	0
b2101	0	0	0	0	0
b2102	0	0	0	0	0
b2103	1112	1293	1424	1609	1782
b2104	1003	1266	1448	1550	1900
b2105	315	417	424	461	586
b2106	0	0	0	0	0
b2107	333	418	0	809	541
b2108	0	0	0	0	0
b2109	0	0	0	0	0
b2110	0	0	0	0	0
b2111	0	0	0	0	0
b2112	0	0	0	0	0
b2113	415	527	746	846	1252
b2114	710	989	1321	1618	2054
b2118	0	0	0	0	0
b2119	0	0	0	0	0
b2120	0	0	0	0	0
b2121	0	0	0	0	0
b2122	0	0	0	0	0
b2123	0	0	0	0	0
b2124	0	0	0	0	0
b2125	556	816	897	900	632
b2126	0	0	0	0	0
b2127	0	0	0	0	0
b2128	0	0	0	0	0
b2129	0	0	0	0	0
b2130	0	0	0	0	0
b2131	1400	1194	1206	1367	1227
b2132	101	165	213	223	307
b2133	746	1047	1385	1240	1039
b2134	0	0	0	0	0
b2135	0	0	0	0	0
b2136	0	0	0	0	0
b2137	292	208	167	194	173
b2139	0	0	0	0	0
b2140	0	0	0	0	0
b2141	0	0	0	0	0
b2142	0	0	0	0	0
b2143	1331	949	716	811	713
b2144	0	0	0	0	0
b2145	0	0	0	0	0
b2146	0	0	0	0	0
b2147	0	0	0	0	0
b2148	0	0	0	0	0
b2149	370	442	582	390	179
b2150	12027	0	0	0	0
b2151	0	0	0	0	0
b2152	0	0	0	0	0
b2153	1054	1589	2276	2787	3771
b2154	277	419	540	481	508
b2155	0	0	0	0	0
b2156	0	0	0	0	0
b2157	0	0	0	0	0
b2158	0	0	0	0	0
b2159	0	0	0	0	0
b2160	0	0	0	0	0
b2161	0	0	0	0	0
b2162	0	0	0	0	0
b2163	0	0	0	0	0
b2164	0	0	0	0	0
b2165	0	0	0	0	0
b2166	0	0	0	0	0
b2167	158	167	223	209	184
b2168	122	146	189	247	231
b2169	246	266	331	351	319
b2170	0	0	0	0	0
b2171	383	510	748	938	1125
b2172	0	0	0	0	0
b2173	0	0	0	0	0
b2174	0	0	0	0	0
b2175	0	0	0	0	0
b2176	0	0	0	0	0
b2177	0	0	0	0	0
b2178	0	0	0	0	0
b2179	0	0	0	0	0
b2180	0	0	0	0	0
b2181	0	0	0	0	0
b2182	0	0	0	0	0
b2183	213	295	422	477	650
b2184	0	0	0	0	0
b2185	7265	9109	14133	17879	24288
b2186	254	308	362	373	445
b2187	497	0	0	0	0
b2188	0	0	0	0	0
b2189	0	0	0	0	0
b2190	0	0	0	0	0
b2193	133	201	232	239	266
b2194	0	0	0	0	0
b2195	0	0	0	0	0
b2196	0	0	0	0	0
b2197	0	0	0	0	0
b2198	0	0	0	0	0
b2199	0	0	0	0	0
b2200	0	0	0	0	0
b2201	0	0	0	0	0
b2202	0	0	0	0	0
b2203	0	0	0	0	0
b2204	0	0	0	0	0
b2205	0	0	0	0	0
b2206	0	0	0	0	0
b2207	0	0	0	0	0
b2208	0	0	0	0	0
b2209	0	0	0	0	0
b2210	0	0	0	0	0
b2211	0	0	0	0	0
b2212	0	0	0	0	0
b2213	0	0	0	0	0
b2214	0	0	0	0	0
b2215	881	1026	806	859	660
b2216	35	43	50	47	53
b2217	1298	1751	2156	2166	2856
b2218	0	0	0	0	0
b2219	0	0	0	0	0
b2220	0	0	0	0	0
b2221	0	0	0	0	0
b2222	0	0	0	0	0
b2223	0	0	0	0	0
b2224	0	0	0	0	0
b2225	0	0	0	0	0
b2226	0	0	0	0	0
b2229	0	0	0	0	0
b2230	0	0	0	0	0
b2231	669	1032	1452	1530	1835
b2232	256	390	568	652	819
b2233	0	0	0	0	0
b2234	601	862	1352	1563	1597
b2235	454	569	903	1075	1121
b2236	0	0	0	0	0
b2237	0	0	0	0	0
b2238	0	0	0	0	0
b2239	0	0	0	0	0
b2240	0	0	0	0	0
b2241	0	0	0	0	0
b2242	0	0	0	0	0
b2243	0	0	0	0	0
b2244	0	0	0	0	0
b2245	0	0	0	0	0
b2246	0	0	0	0	0
b2247	0	0	0	0	0
b2248	0	0	0	0	0
b2249	0	0	0	0	0
b2250	0	0	0	0	0
b2251	0	0	0	0	0
b2252	147	0	0	0	0
b2253	316	0	0	0	0
b2254	53	93	0	92	100
b2255	90	0	0	0	0
b2256	0	0	0	0	0
b2257	0	0	0	0	0
b2258	0	0	0	0	0
b2259	156	0	0	0	0
b2260	0	0	0	0	0
b2261	0	0	0	0	0
b2262	638	728	1090	1334	1622
b2263	0	0	0	0	0
b2264	0	0	0	0	0
b2265	0	0	0	0	0
b2266	2459	2357	2284	2586	2201
b2267	0	0	0	0	0
b2268	0	0	0	0	0
b2269	0	0	0	0	0
b2270	0	0	0	0	0
b2271	0	0	0	0	0
b2272	0	0	0	0	0
b2273	0	0	0	0	0
b2274	0	0	0	0	0
b2275	0	0	0	0	0
b2276	0	0	0	0	0
b2277	0	0	0	0	0
b2278	52	0	0	0	0
b2279	214	0	0	0	0
b2280	0	0	0	0	0
b2281	684	905	1278	1475	1232
b2282	0	0	0	0	0
b2283	796	1083	1637	1872	2010
b2284	400	485	698	831	747
b2285	759	911	0	1162	0
b2286	1010	1454	2400	2570	2310
b2287	586	679	943	1209	901
b2288	247	548	515	834	438
b2289	20	29	24	0	15
b2290	79	129	194	167	184
b2291	30	33	0	52	80
b2292	0	0	0	0	0
b2293	174	213	282	325	337
b2294	1070	1312	1903	2208	2560
b2295	0	0	0	0	0
b2296	1584	1567	1761	1637	1821
b2297	1278	1397	1581	1375	1393
b2298	0	0	0	0	0
b2299	254	364	641	677	798
b2300	367	380	481	441	650
b2301	143	141	195	225	265
b2302	70	0	40	52	48
b2303	504	764	976	1237	1510
b2304	450	430	294	235	200
b2305	0	0	0	0	0
b2306	170	262	250	282	269
b2307	0	0	0	0	0
b2308	0	0	0	0	0
b2309	3181	4248	5660	6872	8922
b2310	11136	11717	7645	8790	3811
b2311	0	0	0	0	0
b2312	128	124	239	475	529
b2313	0	0	0	0	0
b2314	0	0	0	0	0
b2315	0	0	0	0	0
b2316	733	880	1126	1230	1493
b2317	0	0	0	0	0
b2318	0	0	0	0	0
b2319	380	435	634	615	728
b2320	540	612	844	894	966
b2321	0	0	0	0	0
b2322	0	0	0	0	0
b2323	3886	3979	3617	3788	3804
b2324	0	0	0	0	0
b2325	162	339	386	595	1028
b2326	0	0	0	0	0
b2327	0	0	0	0	0
b2328	0	0	0	0	0
b2329	298	372	580	399	704
b2330	406	524	620	634	790
b2331	0	0	0	0	0
b2332	0	0	0	0	0
b2333	0	0	0	0	0
b2334	0	0	0	0	0
b2335	0	0	0	0	0
b2336	0	0	0	0	0
b2339	0	0	0	0	0
b2340	0	0	0	0	0
b2341	21	22	19	2	2
b2342	118	137	135	88	64
b2343	0	0	0	0	0
b2344	86	72	52	27	11
b2345	0	0	0	0	0
b2346	0	0	0	0	0
b2347	0	0	0	0	0
b2348	0	0	0	0	0
b2349	0	0	0	0	0
b2350	0	0	0	0	0
b2351	0	0	0	0	0
b2352	0	0	0	0	0
b2353	0	0	0	0	0
b2354	0	0	0	0	0
b2355	0	0	0	0	0
b2356	0	0	0	0	0
b2357	0	0	0	0	0
b2358	0	0	0	0	0
b2359	0	0	0	0	0
b2360	0	0	0	0	0
b2361	0	0	0	0	0
b2362	0	0	0	0	0
b2363	0	0	0	0	0
b2364	0	0	0	0	0
b2365	0	0	0	0	0
b2366	0	0	0	0	0
b2367	0	0	0	0	0
b2368	0	0	0	0	0
b2369	0	0	0	0	0
b2370	0	0	0	0	0
b2371	0	0	0	0	0
b2372	0	0	0	0	0
b2373	0	0	0	0	0
b2374	0	0	0	0	0
b2375	0	0	0	0	0
b2376	0	0	0	0	0
b2377	0	0	0	0	0
b2378	0	0	0	0	0
b2379	36	36	59	59	63
b2380	0	0	0	0	0
b2381	0	0	0	0	0
b2382	0	0	0	0	0
b2383	18	0	0	0	0
b2384	0	0	0	0	0
b2385	0	0	0	0	0
b2386	0	0	0	0	0
b2387	0	0	0	0	0
b2388	923	1121	1270	1372	992
b2389	0	0	0	0	0
b2390	0	0	0	0	0
b2392	0	0	0	0	0
b2393	0	0	0	0	0
b2394	78	0	0	0	0
b2395	0	0	0	0	0
b2397	0	0	0	0	0
b2398	0	0	0	0	0
b2399	0	0	0	0	0
b2400	1150	1557	2294	2751	3542
b2405	0	0	0	0	0
b2406	0	0	0	0	0
b2407	0	0	0	0	0
b2408	0	0	0	0	0
b2409	0	0	0	0	0
b2410	0	0	0	0	0
b2411	89	96	120	128	153
b2412	524	641	659	675	725
b2413	0	0	0	0	0
b2414	15675	22222	28985	34111	39043
b2415	6043	9052	13942	16447	15126
b2416	2377	3943	6420	7551	6866
b2417	18878	19730	24641	25916	25056
b2418	46	0	0	124	0
b2419	0	0	0	0	0
b2420	0	0	0	0	0
b2421	338	481	776	1147	1540
b2422	89	162	289	324	409
b2423	0	0	0	0	0
b2424	0	0	0	0	0
b2425	2215	2807	3724	4522	5740
b2426	368	510	508	336	237
b2427	0	0	0	0	0
b2428	92	110	104	84	69
b2429	0	0	0	0	0
b2430	0	0	0	0	0
b2431	263	356	511	503	621
b2432	0	0	0	0	0
b2433	0	0	0	0	0
b2434	0	0	0	0	0
b2435	0	0	0	0	0
b2436	0	0	0	0	0
b2437	0	0	0	0	0
b2438	0	0	0	0	0
b2439	141	163	331	203	157
b2440	0	0	0	0	0
b2441	0	0	0	0	0
b2442	0	0	0	0	0
b2443	0	0	0	0	0
b2444	0	0	0	0	0
b2445	0	0	0	0	0
b2446	0	0	0	0	0
b2447	0	0	0	0	0
b2448	0	0	0	0	0
b2449	0	0	0	0	0
b2450	258	321	368	328	296
b2451	0	0	0	0	0
b2452	0	0	0	0	0
b2453	0	0	0	0	0
b2454	0	0	0	0	0
b2455	0	0	0	0	0
b2456	0	0	0	0	0
b2457	0	0	0	0	0
b2458	0	0	0	0	0
b2459	0	0	0	0	0
b2460	0	0	0	0	0
b2461	0	0	0	0	0
b2462	0	0	0	0	0
b2463	1952	3040	3653	2680	1677
b2464	2634	2005	1967	2047	2011
b2465	2137	2029	2459	2588	2338
b2466	0	0	0	0	0
b2467	0	0	0	0	0
b2468	0	0	0	0	0
b2469	0	0	0	0	0
b2470	104	0	0	0	0
b2471	253	0	0	0	0
b2472	49	68	78	99	124
b2473	113	98	121	139	162
b2474	0	0	0	0	0
b2475	171	138	212	188	215
b2476	2153	3057	3655	4621	5870
b2477	564	718	890	999	1270
b2478	613	953	1509	1788	1609
b2479	0	0	0	0	0
b2480	1791	2094	3116	3812	5045
b2481	0	0	0	0	0
b2482	0	0	0	0	0
b2483	0	0	0	0	0
b2484	0	0	0	0	0
b2485	0	0	0	0	0
b2486	0	0	0	0	0
b2487	137	0	0	0	0
b2488	0	0	0	0	0
b2489	0	0	0	0	0
b2490	0	0	0	0	0
b2491	0	0	0	0	0
b2492	0	0	0	0	0
b2493	0	0	0	0	0
b2494	287	305	280	236	269
b2495	772	915	1645	1617	2317
b2496	0	0	0	0	0
b2497	0	0	0	0	0
b2498	2882	6259	10160	13563	17945
b2499	493	769	1225	1642	2511
b2500	97	121	205	210	325
b2501	64	80	95	96	111
b2502	30	33	48	54	55
b2503	0	0	0	0	0
b2504	0	0	0	0	0
b2505	0	0	0	0	0
b2506	0	0	0	0	0
b2507	1021	1548	2623	3364	5470
b2508	2043	3007	4555	6604	9355
b2509	0	0	0	0	0
b2510	0	0	0	0	0
b2511	442	490	672	743	794
b2512	494	586	749	851	1161
b2513	563	681	913	1016	1240
b2514	717	939	1325	1438	1793
b2515	273	356	473	494	598
b2516	470	481	606	604	616
b2517	79	119	209	205	254
b2518	4329	9048	15461	16018	12255
b2519	0	0	0	0	0
b2520	41	42	43	42	45
b2521	887	952	946	806	809
b2522	0	0	0	0	0
b2523	1367	1829	2611	2789	3363
b2524	512	0	0	0	0
b2525	647	887	1251	1384	1790
b2526	93	129	200	221	300
b2527	229	419	571	643	843
b2528	140	249	357	385	432
b2529	2373	3879	5534	5639	6281
b2530	3056	4309	5835	6118	6827
b2531	1828	2612	3140	3081	3061
b2532	70	98	139	163	223
b2533	304	476	778	1251	1328
b2534	0	0	0	0	0
b2535	0	0	0	0	0
b2536	0	0	0	0	0
b2537	0	0	0	0	0
b2538	0	0	0	0	0
b2539	0	0	0	0	0
b2540	0	0	0	0	0
b2541	0	0	0	0	0
b2542	0	0	0	0	0
b2543	0	0	0	0	0
b2544	0	0	0	0	0
b2545	0	0	0	0	0
b2546	0	0	0	0	0
b2547	0	0	0	0	0
b2548	0	0	0	0	0
b2549	0	0	0	0	0
b2550	0	0	0	0	0
b2551	4348	6748	8754	13228	15735
b2552	0	0	0	0	0
b2553	863	1182	1653	1832	2019
b2554	0	0	0	0	0
b2555	0	0	0	0	0
b2556	0	0	0	0	0
b2557	750	1122	1709	2225	3249
b2558	0	0	0	0	0
b2559	0	0	0	0	0
b2560	0	0	0	0	0
b2561	0	0	0	0	0
b2562	0	0	0	0	0
b2563	0	0	0	0	0
b2564	642	0	1742	1861	3028
b2565	0	0	0	0	0
b2566	48	67	98	107	118
b2567	121	170	232	255	343
b2568	41	55	73	65	59
b2569	675	864	1082	1184	1291
b2570	0	0	0	0	0
b2571	401	409	333	280	306
b2572	0	0	0	0	0
b2573	183	184	228	213	297
b2574	0	0	0	0	0
b2575	0	0	0	0	0
b2576	224	265	343	353	395
b2577	0	0	0	0	0
b2578	0	0	0	0	0
b2579	1111	1386	1448	1816	3766
b2580	0	0	0	0	0
b2581	517	598	673	775	896
b2582	69	0	155	149	204
b2583	0	0	0	0	0
b2584	147	148	86	52	27
b2585	690	884	801	778	711
b2586	0	0	0	0	0
b2587	305	469	435	320	218
b2591	0	0	0	0	0
b2592	1351	1437	1922	1844	1984
b2593	109	95	101	122	125
b2594	180	228	258	339	398
b2595	383	563	733	837	1084
b2597	2293	2911	2113	2266	2323
b2599	361	469	650	637	781
b2600	87	96	130	343	374
b2601	241	0	0	0	0
b2602	0	0	0	0	0
b2603	0	0	0	0	0
b2604	0	0	0	0	0
b2605	0	0	0	0	0
b2606	6574	8504	12506	18441	22720
b2607	0	0	0	0	0
b2608	1216	1622	2104	2383	2618
b2609	13199	17903	28276	36775	43694
b2610	457	565	747	872	1217
b2611	0	0	0	0	0
b2614	2050	2427	3099	3762	4519
b2615	73	94	94	98	105
b2616	0	0	0	0	0
b2617	0	0	0	0	0
b2618	0	0	0	0	0
b2619	0	0	0	0	0
b2620	0	0	0	0	0
b2621	0	0	0	0	0
b2622	0	0	0	0	0
b2623	0	0	0	0	0
b2624	0	0	0	0	0
b2625	0	0	0	0	0
b2626	0	0	0	0	0
b2627	0	0	0	0	0
b2628	0	0	0	0	0
b2629	0	0	0	0	0
b2630	0	0	0	0	0
b2631	0	0	0	0	0
b2632	0	0	0	0	0
b2633	0	0	0	0	0
b2634	0	0	0	0	0
b2635	0	0	0	0	0
b2636	0	0	0	0	0
b2637	0	0	0	0	0
b2638	0	0	0	0	0
b2641	0	0	0	0	0
b2642	0	0	0	0	0
b2643	0	0	0	0	0
b2644	0	0	0	0	0
b2645	0	0	0	0	0
b2646	0	0	0	0	0
b2647	0	0	0	0	0
b2648	0	0	0	0	0
b2650	0	0	0	0	0
b2652	0	0	0	0	0
b2659	0	0	0	0	0
b2660	0	0	0	0	0
b2661	1072	1411	1630	1492	1113
b2662	1173	1407	2075	1760	1414
b2663	0	0	0	0	0
b2664	0	0	0	0	0
b2665	11283	9608	6483	5224	3178
b2666	0	0	0	0	0
b2667	0	0	0	0	0
b2668	0	0	0	0	0
b2669	839	1377	1869	3268	6967
b2670	0	0	0	0	0
b2671	0	0	0	0	0
b2672	543	386	467	454	421
b2673	0	0	0	0	0
b2674	0	0	0	0	0
b2675	0	0	0	0	0
b2676	0	0	0	0	0
b2677	0	0	0	0	0
b2678	0	0	0	0	0
b2679	73	0	0	0	0
b2681	0	0	0	0	0
b2682	0	0	0	0	0
b2683	0	0	0	0	0
b2684	66	109	159	185	339
b2685	0	0	0	0	0
b2686	0	0	0	0	0
b2687	3050	3276	4778	5971	7773
b2688	103	110	138	149	191
b2689	0	0	0	0	0
b2690	0	0	0	0	0
b2694	0	0	0	0	0
b2695	0	0	0	0	0
b2696	3236	4698	5514	6728	7050
b2697	1012	1295	1712	2000	2687
b2698	0	0	0	0	0
b2699	905	1436	1697	1715	1815
b2700	155	160	194	191	184
b2701	0	0	0	0	0
b2702	0	0	0	0	0
b2703	0	0	0	0	0
b2704	0	0	0	0	0
b2705	0	0	0	0	0
b2706	0	0	0	0	0
b2707	0	0	0	0	0
b2708	30	0	0	45	47
b2709	0	0	0	0	0
b2710	0	0	0	0	0
b2711	0	0	0	0	0
b2712	0	0	0	0	0
b2713	0	0	0	0	0
b2714	0	0	0	0	0
b2715	0	0	0	0	0
b2716	0	0	0	0	0
b2717	0	0	0	0	0
b2718	0	0	0	0	0
b2719	0	0	0	0	0
b2720	0	0	0	0	0
b2721	0	0	0	0	0
b2722	0	0	0	0	0
b2723	0	0	0	0	0
b2724	0	0	0	0	0
b2725	0	0	0	0	0
b2726	0	0	0	0	0
b2727	0	0	0	0	0
b2728	0	0	0	0	0
b2729	0	0	0	0	0
b2730	0	0	0	0	0
b2731	0	0	0	0	0
b2732	0	0	0	0	0
b2733	0	0	0	0	0
b2734	0	0	0	0	0
b2735	0	0	0	0	0
b2736	0	0	0	0	0
b2737	0	0	0	0	0
b2738	0	0	0	0	0
b2739	0	0	0	0	0
b2740	0	0	0	0	0
b2741	302	329	546	519	622
b2742	0	0	0	0	0
b2743	0	0	0	0	0
b2744	0	0	0	0	0
b2745	0	0	0	0	0
b2746	0	0	0	0	0
b2747	0	0	0	0	0
b2748	0	0	0	0	0
b2749	0	0	0	0	0
b2750	0	0	0	0	0
b2751	530	1061	1766	2440	3126
b2752	684	1234	2094	3113	4786
b2753	0	0	0	0	0
b2754	0	0	0	0	0
b2755	0	0	0	0	0
b2756	0	0	0	0	0
b2757	0	0	0	0	0
b2758	0	0	0	0	0
b2759	0	0	0	0	0
b2760	0	0	0	0	0
b2761	0	0	0	0	0
b2762	346	506	835	926	1398
b2763	739	1092	1967	2399	2931
b2764	640	1017	1831	3301	4208
b2765	0	0	0	0	0
b2766	0	0	0	0	0
b2767	0	0	0	0	0
b2768	0	0	0	0	0
b2769	0	0	0	0	0
b2770	0	0	0	0	0
b2771	0	0	0	0	0
b2774	0	0	0	0	0
b2775	0	0	0	0	0
b2776	0	0	0	0	0
b2777	0	0	0	0	0
b2778	0	0	0	0	0
b2779	13564	14268	18859	22821	32376
b2780	309	472	815	1090	1409
b2781	0	0	0	0	0
b2782	0	0	0	0	0
b2783	0	0	0	0	0
b2784	99	140	157	140	133
b2785	0	0	0	0	0
b2786	0	0	0	0	0
b2787	0	0	0	0	0
b2788	0	0	0	0	0
b2789	0	0	0	0	0
b2790	632	821	904	850	981
b2791	0	0	0	0	0
b2792	0	0	0	0	0
b2793	0	0	0	0	0
b2794	51	69	73	83	99
b2795	24	24	32	36	41
b2796	0	0	0	0	0
b2797	0	0	0	0	0
b2798	0	0	0	0	0
b2799	256	383	248	96	60
b2800	0	0	0	0	0
b2801	0	0	0	0	0
b2802	0	0	0	0	0
b2803	0	0	0	0	0
b2804	0	0	0	0	0
b2805	0	0	0	0	0
b2806	36	47	63	72	82
b2807	0	0	0	0	0
b2808	0	0	0	0	0
b2809	1290	0	0	0	0
b2810	0	0	0	0	0
b2811	39	48	60	69	78
b2812	0	0	0	0	0
b2813	0	0	0	0	0
b2816	0	0	0	0	0
b2817	0	0	0	0	0
b2818	145	222	315	574	581
b2819	0	0	0	0	0
b2820	0	0	0	0	0
b2821	0	0	0	0	0
b2822	0	0	0	0	0
b2823	0	0	0	0	0
b2824	0	0	0	0	0
b2825	0	0	0	0	0
b2826	0	0	0	0	0
b2827	138	183	256	281	372
b2828	0	0	0	0	0
b2829	52	69	89	82	87
b2830	0	0	0	0	0
b2831	0	0	0	0	0
b2832	0	0	0	0	0
b2833	0	0	0	0	0
b2834	522	634	810	903	1046
b2835	0	0	0	0	0
b2836	0	0	0	0	0
b2837	0	0	0	0	0
b2838	85	138	218	278	389
b2839	0	0	0	0	0
b2840	0	0	0	0	0
b2841	0	0	0	0	0
b2842	0	0	0	0	0
b2843	0	0	0	0	0
b2844	128	0	0	0	0
b2845	0	0	0	0	0
b2846	0	0	0	0	0
b2847	0	0	0	0	0
b2848	0	0	0	0	0
b2849	0	0	0	0	0
b2850	0	0	0	0	0
b2851	0	0	0	0	0
b2852	0	0	0	0	0
b2853	0	0	0	0	0
b2854	0	0	0	0	0
b2856	0	0	0	0	0
b2858	0	0	0	0	0
b2859	0	0	0	0	0
b2860	0	0	0	0	0
b2861	0	0	0	0	0
b2863	0	0	0	0	0
b2864	0	0	0	0	0
b2865	0	0	0	0	0
b2866	0	0	0	0	0
b2867	0	0	0	0	0
b2868	0	0	0	0	0
b2869	0	0	0	0	0
b2870	0	0	0	0	0
b2871	0	0	0	0	0
b2872	0	0	0	0	0
b2873	0	0	0	0	0
b2874	0	0	0	0	0
b2875	0	0	0	0	0
b2876	0	0	0	0	0
b2877	0	0	0	0	0
b2878	0	0	0	0	0
b2879	0	0	0	0	0
b2880	0	0	0	0	0
b2881	0	0	0	0	0
b2882	0	0	0	0	0
b2883	0	0	0	0	0
b2886	0	0	0	0	0
b2887	0	0	0	0	0
b2888	0	0	0	0	0
b2889	0	0	0	0	0
b2890	1681	2568	3639	4498	5331
b2891	0	0	0	0	0
b2892	0	0	0	0	0
b2893	303	335	450	490	630
b2894	0	0	0	0	0
b2895	0	0	0	0	0
b2896	0	0	0	0	0
b2897	299	0	0	0	0
b2898	1387	1686	1871	1809	1971
b2899	0	0	0	0	0
b2900	303	345	361	426	557
b2901	503	595	818	905	1132
b2902	0	0	0	0	0
b2903	185	387	680	822	951
b2904	561	792	1363	1863	2051
b2905	67	106	215	276	367
b2906	0	0	0	0	0
b2907	0	0	0	0	0
b2908	766	1058	1345	1331	1188
b2909	481	563	811	913	1229
b2910	363	449	543	568	609
b2911	0	0	0	0	0
b2912	0	0	0	0	0
b2913	2751	4215	6914	11632	15571
b2914	2339	2873	3495	4045	4710
b2915	0	0	0	0	0
b2916	256	333	418	428	542
b2917	0	0	0	0	0
b2918	0	0	0	0	0
b2919	0	0	0	0	0
b2920	0	0	0	0	0
b2921	0	0	0	0	0
b2922	1968	2214	2425	2471	2354
b2923	0	0	0	0	0
b2924	458	773	1950	3013	5346
b2925	7947	8677	11387	14010	20068
b2926	10329	11360	15187	16516	18874
b2927	0	0	0	0	0
b2928	0	0	0	0	0
b2929	0	0	0	0	0
b2930	0	0	0	0	0
b2933	0	0	0	0	0
b2934	0	0	0	0	0
b2935	1375	2538	3493	3969	4710
b2936	90	123	124	95	108
b2937	830	1007	1523	1820	1828
b2938	333	594	1086	1390	1652
b2939	0	0	0	0	0
b2940	0	0	0	0	0
b2942	1913	2405	3889	6875	6816
b2943	0	0	0	0	0
b2944	0	0	0	0	0
b2945	0	0	0	0	0
b2946	0	0	0	0	0
b2947	593	763	934	1015	1266
b2948	163	240	367	431	557
b2949	0	0	0	0	0
b2950	0	0	0	0	0
b2951	124	149	214	253	321
b2952	0	0	0	0	0
b2953	0	0	0	0	0
b2954	128	193	306	369	451
b2955	0	0	0	0	0
b2956	0	0	0	0	0
b2957	0	0	0	0	0
b2958	397	381	429	510	565
b2959	1274	1235	1568	1753	1905
b2960	371	389	548	679	760
b2961	0	0	0	0	0
b2962	2306	2633	3098	3221	3927
b2963	0	0	0	0	0
b2964	17	0	0	0	0
b2965	0	0	0	0	0
b2966	0	0	0	0	0
b2967	0	0	0	0	0
b2968	0	0	0	0	0
b2969	0	0	0	0	0
b2970	0	0	0	0	0
b2971	0	0	0	0	0
b2972	0	0	0	0	0
b2975	0	0	0	0	0
b2976	1382	2316	2273	1558	1096
b2977	958	0	1475	1014	631
b2979	0	0	0	0	0
b2980	0	0	0	0	0
b2981	0	0	0	0	0
b2982	0	0	0	0	0
b2983	0	0	0	0	0
b2984	0	0	0	0	0
b2985	0	0	0	0	0
b2986	0	0	0	0	0
b2987	0	0	0	0	0
b2988	336	0	0	852	0
b2989	1770	1774	1468	1248	1110
b2990	0	0	0	0	0
b2991	0	0	0	0	0
b2992	0	0	0	0	0
b2993	0	0	0	0	0
b2994	0	0	0	0	0
b2995	0	0	0	0	0
b2996	0	0	0	0	0
b2997	0	0	0	0	0
b2998	0	0	0	0	0
b3001	1296	1609	1146	704	0
b3002	0	0	0	0	0
b3003	537	353	319	308	263
b3005	0	0	0	0	0
b3006	0	0	0	0	0
b3008	1023	1369	1529	1655	1904
b3009	0	0	0	0	0
b3010	0	0	0	0	0
b3011	371	483	440	456	730
b3012	1128	835	790	919	973
b3013	0	0	0	0	0
b3014	0	0	0	0	0
b3017	152	267	313	0	349
b3018	0	0	0	0	0
b3019	0	0	0	0	0
b3020	48	72	67	63	47
b3021	0	0	0	0	0
b3022	0	0	0	0	0
b3023	0	0	0	0	0
b3024	1906	1587	2071	1811	1698
b3025	0	0	0	0	0
b3026	0	0	0	0	0
b3027	0	0	0	0	0
b3028	199	395	450	314	336
b3029	1579	2045	2395	2316	2691
b3030	0	0	0	0	0
b3031	0	0	0	0	0
b3032	122	136	101	156	76
b3033	0	0	0	0	0
b3034	141	178	214	232	234
b3035	151	184	216	251	243
b3037	144	172	119	137	126
b3038	159	184	226	231	241
b3039	0	0	0	0	0
b3040	0	0	0	0	0
b3041	110	0	270	327	328
b3042	523	578	721	811	1008
b3043	0	0	0	0	0
b3046	0	0	0	0	0
b3047	0	0	0	0	0
b3048	0	0	0	0	0
b3049	0	0	0	0	0
b3050	0	0	0	0	0
b3051	0	0	0	0	0
b3052	460	677	813	881	1089
b3053	69	87	112	108	108
b3054	99	121	170	173	214
b3055	121	110	75	66	87
b3056	33	0	41	0	35
b3057	0	0	0	0	0
b3058	0	0	0	0	0
b3059	0	0	0	0	0
b3060	0	0	0	0	0
b3061	0	0	0	0	0
b3062	0	0	0	0	0
b3063	0	0	0	0	0
b3064	0	0	0	0	0
b3065	10313	14097	22802	29725	37684
b3066	0	0	0	0	0
